brand,model,model_full,model_family,model_extra,model_code,year,category_raw,category,engine,engine_position,displacement_cc,max_power_cv,rpm_max_power,torque_nm,rpm_max_torque,top_speed_kmh,weight_kg,wheelbase_mm,length_mm,width_mm,height_mm,photo_url,url,description
Ferrari,125 S,125 S,NA,NA,NA,1947,Sport Prototype,Competition,V12,NA,1497,118,6800,NA,NA,NA,650,2420,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbd834f8fc7b0aa908148a-ferrari-125-s-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/125-s,Ferrari 125 S: This was the very first car to wear the Ferrari badge. The V12 engine was designed by Gioacchino Colombo with contributions from Giuseppe Busso and Luigi Bazzi.
Ferrari,159 S,159 S,NA,NA,NA,1947,Sport Prototype,Competition,V12,front,1903,125,6500,NA,NA,NA,NA,2420,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbd8f8f8fc7b0aa90814b4-ferrari-159-s-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/159-s,Ferrari 159 S: Developed from the 125 S whose engine was increased to 1903 cc by boring it out and working on the stroke.
Ferrari,166 Inter,166 Inter,NA,NA,NA,1948,Gran Turismo,Road,V12,front,1995,90,5600,NA,NA,150,900,2620,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbda2d2cdb32285a79ac43-ferrari-166-inter1948-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/166-inter,"Ferrari 166 Inter: This was Ferrari’s first 12-cylinder engine to reach 2-litre capacity. As in the case of the 159 S, bore sizes and strokes were both increased, and as usual both open-wheel and full bodywork models were produced."
Ferrari,166 Inter Sport,166 Inter Sport,NA,NA,NA,1948,Sport Prototype,Competition,V12,front,1995,131,6500,NA,NA,215,630,2420,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbdafe2cdb32285a79ac71-ferrari-166-inter-sport-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/166-inter-sport,The Ferrari Tipo 166 Inter Sport two-litre engine spawned a whole range of sports and single-seater models.
Ferrari,166 MM,166 MM,NA,NA,NA,1948,Sport Prototype,Competition,V12,front,1995,140,6600,NA,NA,220,650,2200,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbdb742cdb32285a79ac8e-ferrari-166-mm-1948-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/166-mm,"Designed for long distance competition, the Ferrari 166 MM took its name from one of the world’s most famous road races, the Mille Miglia, in which the Maranello cars were to triumph again and again. Its coachwork was built by Touring using the “Superlight” method."
Ferrari,166 S,166 S,NA,NA,NA,1948,Sport Prototype,Competition,V12,front,1995,110,6000,NA,NA,170,800,2420,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbdaa3f8fc7b0aa9081513-ferrari-166-s-1948-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/166-s,"The Ferrari 166 S was launched at the start of 1948 in both berlinetta and spider versions, both of which were built by Allemano."
Ferrari,195 Inter,195 Inter,NA,NA,NA,1950,Gran Turismo,Road,V12,front,2341,131,6000,NA,NA,180,950,2500,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbeee784077c3b2433d66b-ferrari-195-inter-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/195-inter,"Ferrari 195 Inter: This was a touring-type version of the 195 S, with a more powerful yet more flexible engine which made driving easier for clients unused to extreme performance."
Ferrari,195 S,195 S,NA,NA,NA,1950,Sport Prototype,Competition,V12,front,2341,170,7000,NA,NA,NA,720,2250,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbef422cdb32285a79b0e0-ferrari-195-s-1950.thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/195-s,"Ferrari 195 S: A further development of the 12-cylinder that reached a displacement of 2,350 cc. The increase in power was combined with a sweeter, more gradual delivery. Just a small number of 195 Ss were produced, with Touring bodying both the open and coupé versions."
Ferrari,275 S,275 S,NA,NA,NA,1950,Sport Prototype,Competition,V12,front,3322,271,7200,NA,NA,240,850,2420,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbefad0cf6995f44de92fe-ferrari-275-s-1950-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/275-s,The big new Lampredi engine got its first outing in the Ferrari 275 S sports car at 3322 cc. Two models were built with Touring barchetta bodies and took part in the Mille Miglia held in April 1950.
Ferrari,340 America,340 America,NA,NA,NA,1950,Sport Prototype,Competition,V12,front,4102,220,6000,NA,NA,240,900,2420,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf01cf8fc7b0aa90819c9-ferrari-340-america-1950-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/340-america,"Ferrari 340 America: The American market was growing with every year that passed and showed great potential for the Maranello marque. In fact, this model, which was actually based directly on the 340 F1, was created specifically to meet the demands of the new breed of owner."
Ferrari,212 Export,212 Export,NA,NA,NA,1951,Sport Prototype,Competition,V12,front,2563,165,7000,NA,NA,220,850,2250,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf1520cf6995f44de9301-ferrari-212-export-1951-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/212-export,"Ferrari 212 Export: Gioachino Colombo's V12 was given a further boost in power to 2562.51 cm3. A new chassis was constructed; one with a more rigid undercarriage, to be able to withstand the 150 bhp the engine was capable of delivering. "
Ferrari,212 Inter,212 Inter,NA,NA,NA,1951,Gran Turismo,Road,V12,front,2563,150,6500,NA,NA,200,1000,2600,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf07af8fc7b0aa90819e7-ferrari-212-inter-1951-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/212-inter,"Ferrari 212 Inter: The Gioacchino Colombo V12 was bored out to provide a bigger displacement. The chassis was inspired by that of the 166 MM, with modifications aimed at transmitting the higher power output to the road."
Ferrari,342 America,342 America,NA,NA,NA,1951,Gran Turismo,Road,V12,front,4102,200,5000,NA,NA,186,1200,2650,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf0dc2cdb32285a79b14f-ferrari-342-america-1951-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/342-america,"Ferrari 342 America: Interest in Ferraris was growing among potential clients, but some were wary of the competition levels of performance provided by engines which reached the market with very little in the way of detuning."
Ferrari,250 S,250 S,NA,NA,NA,1952,Sport Prototype,Competition,V12,front,2953,230,7500,NA,NA,250,850,2250,3800,1570,1400,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf1c1f8fc7b0aa9081a34-ferrari-250-s-1952-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/250-s,"Ferrari 250 S: Based yet again on the designs of Gioachino Colombo developed Aurelio Lampredi, the V12 Ferrari was a three-litre with coachwork by Vignale and Touring."
Ferrari,340 Mexico,340 Mexico,NA,NA,NA,1952,Sport Prototype,Competition,V12,front,4102,280,6600,NA,NA,282,900,2600,4201,1503,1333,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf2ae2cdb32285a79b1bc-ferrari-340-mexico-1952-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/340-mexico,Ferrari 340 Mexico: Resounding success in the 1951 Carrera Panamericana convinced Enzo Ferrari to create this car. Only four examples were built in all by Vignale: three Berlinettas and one Spider.
Ferrari,Ferrari 225 S,Ferrari 225 S,NA,NA,NA,1952,Sport Prototype,Competition,V12,front,2715,209,7200,NA,NA,230,850,2250,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf258f8fc7b0aa9081a54-ferrari-225-s-1952-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/225-s,Ferrari 225 S: Ferrari continued with its development of two absolute jewels at this particular time: the two V12s designed respectively by Gioachino Colombo and Aurelio Lampredi.
Ferrari,250 Europa,250 Europa,NA,NA,NA,1953,Gran Turismo,Road,V12,front,2963,200,6300,NA,NA,218,1150,2800,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf3020cf6995f44de9304-ferrari_250_europa_1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/250-europa,"The Ferrari 250 Europa took over from the 212 Inter, and for economies of scale, shared the same chassis as the 375 America. The Lampredi V12 was kept below 3 litres."
Ferrari,250 MM,250 MM,NA,NA,NA,1953,Sport Prototype,Competition,V12,front,2953,239,7200,NA,NA,250,900,2400,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf3e1f8fc7b0aa9081ab7-ferrari-250-mm-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/250-mm,"Ferrari 250 MM: Two versions of the 250 Sport-derived 250 MM were built: a Pininfarina berlinetta, which hailed in a whole new era in design, and a barchetta by Vignale. Significant improvements had been made to both the engine and the suspensions with the addition of Houdaille shocks."
Ferrari,340 MM,340 MM,NA,NA,NA,1953,Sport Prototype,Competition,V12,front,4102,280,6600,NA,NA,282,850,2500,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf4762cdb32285a79b232-ferrari-340-mm-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/340-mm,The Ferrari 340 MM was built for the 1953 Mille Miglia which Giannino Marzotto duly won in a barchetta version with coachwork by Vignale. Marzotto set a new record speed for the race at an average of over 142 km/h.
Ferrari,375 America,375 America,NA,NA,NA,1953,Gran Turismo,Road,V12,front,4522,300,6300,NA,NA,250,1150,2800,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf359f8fc7b0aa9081a93-ferrari-375-america-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/375-america,"Ferrari 375 America: Heir to the 342 America, this model was aimed at the same segment of the market. The Colombo-designed V12 was dropped in favour of the Aurelio Lampredi version that featured cylinder heads with twin inlet tracts."
Ferrari,375 MM,375 MM,NA,NA,NA,1953,Sport Prototype,Competition,V12,front,4523,340,7000,NA,NA,289,900,2600,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf50ef8fc7b0aa9081b02-ferrari-375-mm-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/375-mm,"The Ferrari 375 Mille Miglia carried on the Ferrari tradition of naming sports models after the famous Italian road race and was a spin-off of the F1 single-seater, just like its sister car, the 375 America, which was the GT equivalent."
Ferrari,500 Mondial,500 Mondial,NA,NA,NA,1953,Sport Prototype,Competition,4-cyl.,front,1985,170,7000,NA,NA,236,720,2250,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf664f8fc7b0aa9081b6b-ferrari-500-mondial-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/500-mondial,Ferrari 500 Mondial: The first of these cars was built by a young coachbuilder from Modena called Scaglietti and was inspired by a design created by Dino Ferrari to freshen up the look of the old 166 given to him by his father.
Ferrari,625 TF,625 TF,NA,NA,NA,1953,Sport Prototype,Competition,V4,front,2498,220,7000,NA,NA,240,730,2250,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf58c84077c3b2433d81f-ferrari-625-tf-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/625-tf,Ferrari 625 TF: This is an interesting model from many points of view starting with the fact that the 625 of its name refers to the ccs of the 1954 F1 2.5-litre and the TF may refer to the Targa Florio even though the car never actually raced in it.
Ferrari,735 S,735 S,NA,NA,NA,1953,Sport Prototype,Competition,4-cyl.,front,2942,224,6800,NA,NA,NA,750,2250,NA,NA,NA,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf5ff84077c3b2433d845-ferrari-735-s-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/735-s,Ferrari 735 S: The in-line 4-cylinder Ferrari engine started out its career in the 1950 Formula 2 Championship. This engine type had proved itself a winner on both twisty and fast circuits and so it was decided to transfer the technology to sports cars.
