model_id,model,start_year,end_year,source_year,source_category,production_status,period_source_name,period_source_url,period_source_type,period_confidence,period_review_status,period_notes,period_reviewed_at,main_family,subfamily,lineage,generation,engine_architecture,engine_type,engine_location,seating_configuration,orientation,predecessor,predecessor_year,predecessor_relationship,successor,successor_year,successor_relationship,successor_in_dataset,alternative_predecessor,alternative_relationship,base_model,base_model_year,taxonomy_confidence,external_enrichment_required,taxonomy_notes,start_year_source,taxonomy_source,engine,displacement_cc,max_power_cv,rpm_max_power,top_speed_kmh,engine_position,engine_orientation,engine_angle_deg,compression_ratio,bore_mm,stroke_mm,weight_kg,wheelbase_mm,length_mm,width_mm,height_mm,image_url,url,description,source_origin
ferrari_1947_125_s,125 S,1947,,1947,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,1497,118,6800,,,,,9.5,55,52,650,2420,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbd834f8fc7b0aa908148a-ferrari-125-s-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/125-s,Ferrari 125 S: This was the very first car to wear the Ferrari badge. The V12 engine was designed by Gioacchino Colombo with contributions from Giuseppe Busso and Luigi Bazzi.,ferrari_past_models_scraper
ferrari_1947_159_s,159 S,1947,,1947,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,1903,125,6500,,front,longitudinal,60,8.5,59,58,,2420,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbd8f8f8fc7b0aa90814b4-ferrari-159-s-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/159-s,Ferrari 159 S: Developed from the 125 S whose engine was increased to 1903 cc by boring it out and working on the stroke.,ferrari_past_models_scraper
ferrari_1948_166_inter,166 Inter,1948,,1948,Grand Touring,unknown,,,,unreviewed,not_in_manual_file,,,Front-engined V12 two-seat GT,Berlinetta / coupe,,,V12,combustion,front,,grand tourer,,,,,,,,,,,,low,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,1995,90,5600,150,front,longitudinal,60,6.8,60,59,900,2620,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbda2d2cdb32285a79ac43-ferrari-166-inter1948-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/166-inter,"Ferrari 166 Inter: This was Ferrari’s first 12-cylinder engine to reach 2-litre capacity. As in the case of the 159 S, bore sizes and strokes were both increased, and as usual both open-wheel and full bodywork models were produced.",ferrari_past_models_scraper
ferrari_1948_166_inter_sport,166 Inter Sport,1948,,1948,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,1995,131,6500,215,front,longitudinal,60,11,60,59,630,2420,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbdafe2cdb32285a79ac71-ferrari-166-inter-sport-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/166-inter-sport,The Ferrari Tipo 166 Inter Sport two-litre engine spawned a whole range of sports and single-seater models.,ferrari_past_models_scraper
ferrari_1948_166_mm,166 MM,1948,,1948,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,1995,140,6600,220,front,longitudinal,60,10,60,59,650,2200,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbdb742cdb32285a79ac8e-ferrari-166-mm-1948-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/166-mm,"Designed for long distance competition, the Ferrari 166 MM took its name from one of the world’s most famous road races, the Mille Miglia, in which the Maranello cars were to triumph again and again. Its coachwork was built by Touring using the “Superlight” method.",ferrari_past_models_scraper
ferrari_1948_166_s,166 S,1948,,1948,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,1995,110,6000,170,front,longitudinal,60,7.5,60,59,800,2420,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbdaa3f8fc7b0aa9081513-ferrari-166-s-1948-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/166-s,"The Ferrari 166 S was launched at the start of 1948 in both berlinetta and spider versions, both of which were built by Allemano.",ferrari_past_models_scraper
ferrari_1950_195_inter,195 Inter,1950,,1950,Grand Touring,unknown,,,,unreviewed,not_in_manual_file,,,Front-engined V12 two-seat GT,Berlinetta / coupe,,,V12,combustion,front,,grand tourer,,,,,,,,,,,,low,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2341,131,6000,180,front,longitudinal,60,7.5,65,59,950,2500,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbeee784077c3b2433d66b-ferrari-195-inter-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/195-inter,"Ferrari 195 Inter: This was a touring-type version of the 195 S, with a more powerful yet more flexible engine which made driving easier for clients unused to extreme performance.",ferrari_past_models_scraper
ferrari_1950_195_s,195 S,1950,,1950,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2341,170,7000,,front,longitudinal,60,8.5,65,59,720,2250,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbef422cdb32285a79b0e0-ferrari-195-s-1950.thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/195-s,"Ferrari 195 S: A further development of the 12-cylinder that reached a displacement of 2,350 cc. The increase in power was combined with a sweeter, more gradual delivery. Just a small number of 195 Ss were produced, with Touring bodying both the open and coupé versions.",ferrari_past_models_scraper
ferrari_1950_275_s,275 S,1950,,1950,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,3322,271,7200,240,front,longitudinal,60,8,72,68,850,2420,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbefad0cf6995f44de92fe-ferrari-275-s-1950-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/275-s,The big new Lampredi engine got its first outing in the Ferrari 275 S sports car at 3322 cc. Two models were built with Touring barchetta bodies and took part in the Mille Miglia held in April 1950.,ferrari_past_models_scraper
ferrari_1950_340_america,340 America,1950,,1950,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,4102,220,6000,240,front,longitudinal,60,8,80,68,900,2420,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf01cf8fc7b0aa90819c9-ferrari-340-america-1950-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/340-america,"Ferrari 340 America: The American market was growing with every year that passed and showed great potential for the Maranello marque. In fact, this model, which was actually based directly on the 340 F1, was created specifically to meet the demands of the new breed of owner.",ferrari_past_models_scraper
