category,no,title,year,url,spec,value
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,overall_length,"4,050mm"
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,overall_width,"1,600mm"
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,overall_height,"1,630mm"
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,wheelbase,"2,350mm"
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,curb_weight,"1,020kg"
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,engine,"Type 1G (4-cyl. in line, OHV)"
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,engine_displacement,"1,197cc"
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,engine_max_power,"31kW (42PS)/4,500rpm"
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,top_speed,109km/h
Austin 1953 1959,013,Austin A40 Somerset Saloon (1953 : B30),1953,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a40_somerset.html,seating_capacity,4
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,overall_length,"4,120mm"
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,overall_width,"1,580mm"
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,overall_height,"1,590mm"
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,wheelbase,"2,520mm"
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,curb_weight,"1,085kg"
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,engine,"Type 1H (4-cyl. in line, OHV)"
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,engine_displacement,"1,489cc"
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,engine_max_power,"42kW (57PS)/4,400rpm"
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,top_speed,130km/h
Austin 1953 1959,022,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_navy_blue.html,seating_capacity,6
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,overall_length,"4,120mm (4,110mm)"
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,overall_width,"1,580mm"
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,overall_height,"1,590mm (1,570mm)"
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,wheelbase,"2,520mm (2,510mm)"
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,curb_weight,"1,085kg (1,070kg)"
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,engine,"Type 1H (4-cyl. in line, OHV)"
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,engine_displacement,"1,489cc"
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,engine_max_power,"42kW=57PS (37kW=50PS)/4,400rpm"
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,top_speed,130km/h (128km/h)
Austin 1953 1959,021,Austin A50 Cambridge Saloon (1959 : B131),1959,https://www.nissan-global.com/EN/HERITAGE_COLLECTION/austin_a50_cambridge_red_whi.html,seating_capacity,6 (5)
