url,section_group,spec_clean,value
https://www.ferrari.com/en-EN/auto/125-s,engine,bore_stroke,55 x 52.5mm
https://www.ferrari.com/en-EN/auto/125-s,engine,unitary_displacement,124.73cc
https://www.ferrari.com/en-EN/auto/125-s,engine,total_displacement,1496.77cc
https://www.ferrari.com/en-EN/auto/125-s,engine,compression_ratio,9.5 : 1
https://www.ferrari.com/en-EN/auto/125-s,engine,maximum_power,87 kW (118 hp) at 6800 rpm
https://www.ferrari.com/en-EN/auto/125-s,engine,power_per_litre,79hp/l
https://www.ferrari.com/en-EN/auto/125-s,engine,valve_actuation,"single overhead camshaft per bank, two valves per cylinder"
https://www.ferrari.com/en-EN/auto/125-s,engine,fuel_feed,three Weber 30 DCF carburettors
https://www.ferrari.com/en-EN/auto/125-s,engine,ignition,"single spark plug per cylinder, two magnetos"
https://www.ferrari.com/en-EN/auto/125-s,engine,lubrication,wet sump
https://www.ferrari.com/en-EN/auto/125-s,engine,clutch,single-plate
https://www.ferrari.com/en-EN/auto/125-s,engine,frame,tubular steel
https://www.ferrari.com/en-EN/auto/125-s,chassis,front_suspension,"independent, unequal-length wishbones, transverse leaf spring, hydraulic shock absorbers"
https://www.ferrari.com/en-EN/auto/125-s,chassis,rear_suspension,"live axle, semi-elliptic springs, hydraulic shock absorbers, anti-roll bar"
https://www.ferrari.com/en-EN/auto/125-s,chassis,brakes,drums
https://www.ferrari.com/en-EN/auto/125-s,chassis,transmission,5-speed + reverse
https://www.ferrari.com/en-EN/auto/125-s,chassis,steering,worm and sector
https://www.ferrari.com/en-EN/auto/125-s,chassis,fuel_tank,capacity 72litres
https://www.ferrari.com/en-EN/auto/125-s,chassis,front_tyres,5.00 x 15
https://www.ferrari.com/en-EN/auto/125-s,chassis,rear_tyres,6.00 x 15
https://www.ferrari.com/en-EN/auto/125-s,chassis,type,two-seater spider
https://www.ferrari.com/en-EN/auto/125-s,bodywork,wheelbase,2420mm
https://www.ferrari.com/en-EN/auto/125-s,bodywork,front_track,1240mm
