track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
daytona,2000-02-06,91,Dodge Viper GTS-R #C21 - Dodge V10/90° 2v OHV 7986 cc N/A,1,GTO,Viper Team Oreca (F),Closed bodywork,Front-engined,"Olivier Beretta (MC)/Karl Wendlinger (A)/Dominique Dupuy (F)preliminary session only: Pierre-Henri Raphanel (F); listed, never drove: Tommy Archer (USA), David Donohue (USA), Jean-Philippe Belloc (F)",DODGE/Mobil 1,red (+white),Michelin,28/11/2010,Nate Brown,Dodge,Viper,GTS-R,#C21,Result: winner - (172.533 kph) - margin: 30s879Grid: 21st (1:49.4380),winner - (172.533 kph) - margin: 30s879Grid: 21st (1:49.4380),finished,21,1:49.4380,172.533 kph,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Daytona-2000-02-06-091.jpg,https://www.racingsportscars.com/photo/2000/Daytona-2000-02-06-091.jpg,https://www.racingsportscars.com/make/photo/Dodge.html,https://www.racingsportscars.com/type/photo/Dodge/Viper.html,https://www.racingsportscars.com/suffix/photo/Dodge/Viper/GTS-R.html,https://www.racingsportscars.com/chassis/photo/GTSR-C21.html
daytona,2000-02-06,3,Chevrolet Corvette C5-R #001 (Pratt & Miller) - Chevrolet LS1 V8/90° 2v OHV 6991 cc N/A,2,GTO,Corvette Racing (USA),Closed bodywork,Front-engined,Ron Fellows (CDN)/Justin Bell (GB)/Chris Kneifel (USA),Goodwrench/GMAC,yellow/white (+black),Goodyear,NA,NA,Chevrolet,Corvette C5,-R,#001,Result: 2nd (30s879 behind the winner)Grid: 11th (1:45.8890),2nd (30s879 behind the winner)Grid: 11th (1:45.8890),finished,11,1:45.8890,30s879 behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette%20C5.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette%20C5/-R.html,https://www.racingsportscars.com/chassis/photo/C5R-001.html
daytona,2000-02-06,93,Dodge Viper GTS-R #C22 - Dodge V10/90° 2v OHV 7986 cc N/A,3,GTO,Viper Team Oreca (F),Closed bodywork,Front-engined,"David Donohue (USA)/Ni Amorim (P)/Jean-Philippe Belloc (F)/Tommy Archer (USA)listed, never drove: Olivier Beretta (MC)",DODGE/Mobil 1,red (+white),Michelin,NA,NA,Dodge,Viper,GTS-R,#C22,Result: 3rd (4 laps behind the winner)Grid: 18th (1:49.2060),3rd (4 laps behind the winner)Grid: 18th (1:49.2060),finished,18,1:49.2060,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Dodge.html,https://www.racingsportscars.com/type/photo/Dodge/Viper.html,https://www.racingsportscars.com/suffix/photo/Dodge/Viper/GTS-R.html,https://www.racingsportscars.com/chassis/photo/GTSR-C22.html
daytona,2000-02-06,20,Riley & Scott Mk III #010 - Ford Lincoln V8/90° 2v OHV 5500 cc N/A,4,SR,Dyson Racing Team (USA),Open bodywork,Mid-engined,James Weaver (GB)/Rob Dyson (USA)/Max Papis (I)/Elliot Forbes-Robinson (USA),THETFORD/NORCOLD/GOODYEAR,white/blue,Goodyear,NA,NA,Riley & Scott,Mk III,NA,#010,Result: 4th 1st in SR (6 laps behind the winner)Grid: 1st (1:41.0020),4th 1st in SR (6 laps behind the winner)Grid: 1st (1:41.0020),finished,1,1:41.0020,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Riley%20---%20Scott.html,https://www.racingsportscars.com/type/photo/Riley%20---%20Scott/Mk%20III.html,NA,https://www.racingsportscars.com/chassis/photo/010%20%5bMk%20III%5d.html
daytona,2000-02-06,92,Dodge Viper GTS-R #C27 - Dodge V10/90° 2v OHV 7986 cc N/A,5,GTO,Viper Team Oreca (F),Closed bodywork,Front-engined,"Tommy Archer (USA)/Vincent Vosse (B)/Marc Duez (B)/Jean-Philippe Belloc (F)listed, never drove: Olivier Beretta (MC), David Donohue (USA)",DODGE/Mobil 1,red (+white),Michelin,04/02/2013,Florent Moulin,Dodge,Viper,GTS-R,#C27,Result: 5th (32 laps behind the winner)Grid: 17th (1:49.1090),5th (32 laps behind the winner)Grid: 17th (1:49.1090),finished,17,1:49.1090,32 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Daytona-2000-02-06-092.jpg,https://www.racingsportscars.com/photo/2000/Daytona-2000-02-06-092.jpg,https://www.racingsportscars.com/make/photo/Dodge.html,https://www.racingsportscars.com/type/photo/Dodge/Viper.html,https://www.racingsportscars.com/suffix/photo/Dodge/Viper/GTS-R.html,https://www.racingsportscars.com/chassis/photo/GTSR-C27.html
daytona,2000-02-06,45,Dodge Viper GTS-R #C6 - Dodge V10/90° 2v OHV 7986 cc N/A,6,GTO,Team Viper West,Closed bodywork,Front-engined,"Stephen Watson (ZA)/Christian Vann (GB)/Raffaele Sangiuolo (I)/Allison Duncan (USA)preliminary session only: Erik Messley (USA); listed, never drove: B. J. Zacharias (USA), Toni Seiler (CH)",THOMAS GROUP,white/blue,Dunlop,28/11/2010,Nate Brown,Dodge,Viper,GTS-R,#C6,Result: 6th (58 laps behind the winner)Grid: 41st (1:54.9000),6th (58 laps behind the winner)Grid: 41st (1:54.9000),finished,41,1:54.9000,58 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Daytona-2000-02-06-045.jpg,https://www.racingsportscars.com/photo/2000/Daytona-2000-02-06-045.jpg,https://www.racingsportscars.com/make/photo/Dodge.html,https://www.racingsportscars.com/type/photo/Dodge/Viper.html,https://www.racingsportscars.com/suffix/photo/Dodge/Viper/GTS-R.html,https://www.racingsportscars.com/chassis/photo/GTSR-C6.html
daytona,2000-02-06,46,Dodge Viper GTS-R #C23 - Dodge V10/90° 2v OHV 7986 cc N/A,7,GTO,Team Viper West,Closed bodywork,Front-engined,Toni Seiler (CH)/Walter Brun (CH)/Erik Messley (USA)DNS: Hans Hugenholtz (NL),NOTTER/APOL/sportfeed.com,pink/yellow/orange/white/black,Dunlop,28/11/2010,Nate Brown,Dodge,Viper,GTS-R,#C23,Result: 7th (64 laps behind the winner)Grid: 28th (1:53.2870),7th (64 laps behind the winner)Grid: 28th (1:53.2870),finished,28,1:53.2870,64 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Daytona-2000-02-06-046.jpg,https://www.racingsportscars.com/photo/2000/Daytona-2000-02-06-046.jpg,https://www.racingsportscars.com/make/photo/Dodge.html,https://www.racingsportscars.com/type/photo/Dodge/Viper.html,https://www.racingsportscars.com/suffix/photo/Dodge/Viper/GTS-R.html,https://www.racingsportscars.com/chassis/photo/GTSR-C23.html
daytona,2000-02-06,56,Porsche 996 GT3-R #WP0ZZZ99ZYS692073 - Porsche M96/77 F6 4v DOHC 3598 cc N/A,8,GTU,Haberthur Racing (CH),Closed bodywork,Rear-engined,"Luca Drudi (I)/Fabio Babini (I)/Fabio Rosa (I)/Gabrio Rosa (I)listed, never drove: Pascal Fabre (F), ""Rael"" (CDN)",ORSOGIL/ROSA & C.,black,Pirelli,28/11/2010,Nate Brown,Porsche,996 GT3-R,NA,#WP0ZZZ99ZYS692073,Result: 8th 1st in GTU (65 laps behind the winner)Grid: 43rd (1:55.3940),8th 1st in GTU (65 laps behind the winner)Grid: 43rd (1:55.3940),finished,43,1:55.3940,65 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Daytona-2000-02-06-056.jpg,https://www.racingsportscars.com/photo/2000/Daytona-2000-02-06-056.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996%20GT3-R.html,NA,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99ZYS692073.html
daytona,2000-02-06,72,Porsche 993 GT2 R #WP0ZZZ99ZWS393002 - Porsche Typ M64/83 F6 2v DOHC 3746 cc 2xKKK K24,9,GTO,Freisinger Motorsport (D),Closed bodywork,Rear-engined,"Wolfgang Kaufmann (D)/Ernst Palmberger (D)/Lance Stewart (USA)listed, never drove: Manfred Jurasz (A)",MOTOREX,black/white,Dunlop,28/11/2010,Nate Brown,Porsche,993 GT2,R,#WP0ZZZ99ZWS393002,Result: 9th (66 laps behind the winner)Grid: 24th (1:51.4760),9th (66 laps behind the winner)Grid: 24th (1:51.4760),finished,24,1:51.4760,66 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Daytona-2000-02-06-072.jpg,https://www.racingsportscars.com/photo/2000/Daytona-2000-02-06-072.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/993%20GT2.html,https://www.racingsportscars.com/suffix/photo/Porsche/993%20GT2/R.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99ZWS393002.html
daytona,2000-02-06,7,Porsche 996 GT3-R #WP0ZZZ99ZYS692001 - Porsche M96/77 F6 4v DOHC 3598 cc N/A,10,GTU,RWS Motorsport (D),Closed bodywork,Rear-engined,/Philipp Peter (A)/Hans Willems (B)/Hans-Jörg Hofer (A)/Dieter Quester (A)/Luca Riccitelli (I),Red Bull/KTM,blue (+yellow/red),Michelin,28/11/2010,Nate Brown,Porsche,996 GT3-R,NA,#WP0ZZZ99ZYS692001,Result: 10th (66 laps behind the winner)Grid: 29th (1:53.4240),10th (66 laps behind the winner)Grid: 29th (1:53.4240),finished,29,1:53.4240,66 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Daytona-2000-02-06-007.jpg,https://www.racingsportscars.com/photo/2000/Daytona-2000-02-06-007.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996%20GT3-R.html,NA,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99ZYS692001.html
