track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
daytona,2008-01-27,1,Riley Mk XI #004 - Lexus TRD V8 4987 cc N/A,1,DP,Chip Ganassi with Felix Sabates (USA),Closed bodywork,Mid-engined,Scott Pruett (USA)/Memo Rojas (MEX)/Juan Pablo Montoya (CO)/Dario Franchitti (GB),NA,NA,Pirelli,15/12/2019,Fred Lewis,Riley,Mk XI,#004,NA,Result: winner - (165.854 kph) - margin: 2 lapsGrid: 6th (1:41.5050),winner - (165.854 kph) - margin: 2 lapsGrid: 6th (1:41.5050),finished,6,1:41.5050,165.854 kph,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-0001.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-0001.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XI.html,https://www.racingsportscars.com/chassis/photo/MkXI-004.html,NA
daytona,2008-01-27,99,Riley Mk XI #026 - Pontiac GM LS6 V8/90° 2v OHV 4988 cc N/A,2,DP,Gainsco/Bob Stallings Racing,Closed bodywork,Mid-engined,/Alex Gurney (USA)/Jon Fogarty (USA)/Jim Vasser (USA)/Jimmie Johnson (USA),NA,NA,Pirelli,15/12/2019,Fred Lewis,Riley,Mk XI,#026,NA,Result: 2nd (2 laps behind the winner)Grid: 11th (1:42.1600),2nd (2 laps behind the winner)Grid: 11th (1:42.1600),finished,11,1:42.1600,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-099.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-099.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XI.html,https://www.racingsportscars.com/chassis/photo/MkXI-026.html,NA
daytona,2008-01-27,9,Riley Mk XI #021 - Pontiac GM LS6 V8/90° 2v OHV 4988 cc N/A,3,DP,Penske-Taylor Racing,Closed bodywork,Mid-engined,Ryan Briscoe (AUS)/Helio Castroneves (USA)/Kurt Busch (USA),NA,NA,Pirelli,15/12/2019,Gary Kozinski and Fred Lewis,Riley,Mk XI,#021,NA,Result: 3rd (6 laps behind the winner)Grid: 13th (1:42.2570),3rd (6 laps behind the winner)Grid: 13th (1:42.2570),finished,13,1:42.2570,6 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-009.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-009.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XI.html,https://www.racingsportscars.com/chassis/photo/MkXI-021.html,NA
daytona,2008-01-27,76,Riley Mk XI #014 - Pontiac GM LS6 V8/90° 2v OHV 4988 cc N/A,4,DP,Krohn Racing,Closed bodywork,Mid-engined,Niclas Jönsson (S)/Ricardo Zonta (BR)/Darren Turner (GB),NA,NA,Pirelli,28/12/2010,Gary Kozinski,Riley,Mk XI,#014,NA,Result: 4th (7 laps behind the winner)Grid: 15th (1:42.2960),4th (7 laps behind the winner)Grid: 15th (1:42.2960),finished,15,1:42.2960,7 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-076.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-076.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XI.html,https://www.racingsportscars.com/chassis/photo/MkXI-014.html,NA
daytona,2008-01-27,10,Riley Mk XI #020 - Pontiac GM LS6 V8/90° 2v OHV 4988 cc N/A,5,DP,SunTrust Racing,Closed bodywork,Mid-engined,Wayne Taylor (ZA)/Max Angelelli (I)/Michael Valiante (CDN)/Ricky Taylor (USA),NA,NA,Pirelli,15/12/2019,Fred Lewis,Riley,Mk XI,#020,NA,Result: 5th (8 laps behind the winner)Grid: 4th (1:41.1610),5th (8 laps behind the winner)Grid: 4th (1:41.1610),finished,4,1:41.1610,8 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-010.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-010.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XI.html,https://www.racingsportscars.com/chassis/photo/MkXI-020.html,NA
daytona,2008-01-27,60,Riley Mk XX #032 - Ford V8 4v 4950 cc N/A,6,DP,Michael Shank Racing,Closed bodywork,Mid-engined,Mark Patterson (USA)/Oswaldo Negri (BR)/Justin Wilson (GB)/Graham Rahal (USA),NA,NA,Pirelli,15/12/2019,Fred Lewis and Gary Kozinski,Riley,Mk XX,#032,NA,Result: 6th (15 laps behind the winner)Grid: 1st (1:40.7930),6th (15 laps behind the winner)Grid: 1st (1:40.7930),finished,1,1:40.7930,15 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-060.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-060.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XX.html,https://www.racingsportscars.com/chassis/photo/MkXX-032.html,NA
daytona,2008-01-27,75,Riley Mk XI #011 - Pontiac GM LS6 V8/90° 2v OHV 4988 cc N/A,7,DP,Krohn Racing,Closed bodywork,Mid-engined,Tracy Krohn (USA)/Eric van de Poele (B)/Oliver Gavin (GB),NA,NA,Pirelli,15/12/2019,Gary Kozinski and Fred Lewis,Riley,Mk XI,#011,NA,Result: 7th (17 laps behind the winner)Grid: 25th (no time),7th (17 laps behind the winner)Grid: 25th (no time),finished,25,no time,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-075.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-075.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XI.html,https://www.racingsportscars.com/chassis/photo/MkXI-011.html,NA
daytona,2008-01-27,91,Riley Mk XX #MkXI-028 - Pontiac GM LS6 V8/90° 2v OHV 4988 cc N/A,8,DP,Bob Stallings/Riley-Matthews,Closed bodywork,Mid-engined,Jim Matthews (USA)/Marc Goossens (B)/Johnny O'Connell (USA)/Ryan Hunter-Reay (USA),NA,NA,Pirelli,15/12/2019,Fred Lewis and Gary Kozinski,Riley,Mk XX,#MkXI-028,NA,Result: 8th (19 laps behind the winner)Grid: 3rd (1:41.0410),8th (19 laps behind the winner)Grid: 3rd (1:41.0410),finished,3,1:41.0410,19 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-091.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-091.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XX.html,https://www.racingsportscars.com/chassis/photo/MkXI-028.html,NA
daytona,2008-01-27,70,Mazda RX-8 #005 (Riley-Speedsource) - Mazda Rotary,9,GT,SpeedSource,Closed bodywork,Front-engined,David Haskell (USA)/Sylvain Tremblay (CDN)/Nick Ham (USA)/Raphael Matos (BR),NA,NA,Pirelli,28/12/2010,Gary Kozinski,Mazda,RX-8,#005,NA,Result: 9th 1st in GT (31 laps behind the winner)Grid: 26th (1:50.7580),9th 1st in GT (31 laps behind the winner)Grid: 26th (1:50.7580),finished,26,1:50.7580,31 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-070.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-070.jpg,https://www.racingsportscars.com/make/photo/Mazda.html,https://www.racingsportscars.com/type/photo/Mazda/RX-8.html,https://www.racingsportscars.com/chassis/photo/MK%20XV%20N-005.html,NA
daytona,2008-01-27,66,Porsche 997 GT3 Cup #WP0ZZZ99Z8S798100 - Porsche F6 4v DOHC N/A,10,GT,TRG (USA),Closed bodywork,Rear-engined,Bryce Miller (USA)/Ted Ballou (USA)/Andy Lally (USA)/Richard Westbrook (GB),NA,NA,Pirelli,13/01/2011,Gary Kozinski,Porsche,997 GT3 Cup,#WP0ZZZ99Z8S798100,NA,Result: 10th (38 laps behind the winner)Grid: 36th (1:51.8020),10th (38 laps behind the winner)Grid: 36th (1:51.8020),finished,36,1:51.8020,38 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2008/TN_Daytona-2008-01-27-066.jpg,https://www.racingsportscars.com/photo/2008/Daytona-2008-01-27-066.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/997%20GT3%20Cup.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99Z8S798100.html,NA
