year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
1968,54,Porsche 907 LH #005 - Porsche Typ 771/1 F8 2v DOHC 2195 cc N/A,1,P,Porsche Works Team (D),Closed bodywork,Mid-engined,Vic Elford (GB)/Jochen Neerpasch (D)/Rolf Stommelen (D)/Jo Siffert (CH)/Hans Herrmann (D),PORSCHE,white (+yellow),NA,30/03/2014,The Henry Ford/Friedman,Porsche,907,LH,#005,Result: winner - (171.695 kph) - margin: 14 lapsGrid: 5th (1:59.1500),winner - (171.695 kph) - margin: 14 lapsGrid: 5th (1:59.1500),finished,5,1:59.1500,171.695 kph,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-054.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-054.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/907.html,https://www.racingsportscars.com/suffix/photo/Porsche/907/LH.html,https://www.racingsportscars.com/chassis/photo/907-005.html
1968,52,Porsche 907 LH #008 - Porsche Typ 771/1 F8 2v DOHC 2195 cc N/A,2,P,Porsche Works Team (D),Closed bodywork,Mid-engined,Jo Siffert (CH)/Hans Herrmann (D)DNS: Gerhard Mitter (D),PORSCHE,white (+green),NA,30/03/2014,The Henry Ford/Friedman and Mike Smith,Porsche,907,LH,#008,Result: 2nd (14 laps behind the winner)Grid: 4th (1:58.2200),2nd (14 laps behind the winner)Grid: 4th (1:58.2200),finished,4,1:58.2200,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-052.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-052.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/907.html,https://www.racingsportscars.com/suffix/photo/Porsche/907/LH.html,https://www.racingsportscars.com/chassis/photo/907-008.html
1968,51,Porsche 907 LH #011 - Porsche Typ 771/1 F8 2v DOHC 2195 cc N/A,3,P,Porsche Works Team (D),Closed bodywork,Mid-engined,Jo Schlesser (F)/Joe Buzzetta (USA),PORSCHE,white,NA,30/03/2014,The Henry Ford/Friedman,Porsche,907,LH,#011,Result: 3rd (14 laps behind the winner)Grid: 6th (2:00.1600),3rd (14 laps behind the winner)Grid: 6th (2:00.1600),finished,6,2:00.1600,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-051.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-051.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/907.html,https://www.racingsportscars.com/suffix/photo/Porsche/907/LH.html,https://www.racingsportscars.com/chassis/photo/907-011.html
1968,1,Ford Mustang # - Ford V8 4949 cc N/A,4,TA+2.0,Shelby Racing (USA),Closed bodywork,Front-engined,Jerry Titus (USA)/Ronnie Bucknum (USA),SHELBY RACING CO.,red (+black),Goodyear,30/03/2014,The Henry Ford/Friedman and Frank Perkins,Ford,Mustang,NA,#,Result: 4th 1st in TA+2.0 (44 laps behind the winner)Grid: 22nd (2:07.3100),4th 1st in TA+2.0 (44 laps behind the winner)Grid: 22nd (2:07.3100),finished,22,2:07.3100,44 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-001.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-001.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Mustang.html,NA,https://www.racingsportscars.com/chassis/photo/Mustang-Shelby-01%23.html
1968,20,Alfa Romeo T33/2 - Alfa Romeo V8 2v DOHC 1998 cc N/A,5,P,Autodelta S.p.a. (I),Closed bodywork,Mid-engined,Udo Schütz (D)/Nino Vaccarella (I),NA,red (+white),NA,30/03/2014,The Henry Ford/Friedman,Alfa Romeo,T33/2,NA,NA,Result: 5th (56 laps behind the winner)Grid: 9th (2:02.2100),5th (56 laps behind the winner)Grid: 9th (2:02.2100),finished,9,2:02.2100,56 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-020.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-020.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__2.html,NA,NA
1968,23,Alfa Romeo T33/2 #75033-015 - Alfa Romeo V8 2v DOHC 1998 cc N/A,6,P,Autodelta S.p.a. (I),Closed bodywork,Mid-engined,"Mario Andretti (USA)/Lucien Bianchi (B)listed, never drove: Leo Cella (I)",alfa romeo/Firestone,red (+light blue),Firestone,11/01/2014,"Fred Lewis, Frank Perkins and The Henry Ford/Friedman",Alfa Romeo,T33/2,NA,#75033-015,Result: 6th (64 laps behind the winner)Grid: 11th (2:02.3800),6th (64 laps behind the winner)Grid: 11th (2:02.3800),finished,11,2:02.3800,64 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-023.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-023.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__2.html,NA,https://www.racingsportscars.com/chassis/photo/AR75033-015.html
1968,22,Alfa Romeo T33/2 - Alfa Romeo V8 2v DOHC 1998 cc N/A,7,P,Autodelta S.p.a. (I),Closed bodywork,Mid-engined,Mario Casoni (I)/Giampiero Biscaldi (I)/Teodoro Zeccoli (I),NA,red (+lighter),NA,30/03/2014,The Henry Ford/Friedman,Alfa Romeo,T33/2,NA,NA,Result: 7th (79 laps behind the winner)Grid: 13th (2:02.7300),7th (79 laps behind the winner)Grid: 13th (2:02.7300),finished,13,2:02.7300,79 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-022.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-022.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__2.html,NA,NA
1968,34,Ferrari 250 LM #6107 - Ferrari V12/60° 2v SOHC 3285 cc N/A,8,S,Raceco-Miami (USA),Closed bodywork,Mid-engined,John Gunn (USA)/Guillermo Ortega (EC)/Fausto Merello (EC),LA FAVORITA,purple,NA,11/01/2014,"Jesse Carroll, Frank Perkins and The Henry Ford/Friedman",Ferrari,250 LM,NA,#6107,Result: 8th 1st in S (81 laps behind the winner)Grid: 14th (2:03.8000),8th 1st in S (81 laps behind the winner)Grid: 14th (2:03.8000),finished,14,2:03.8000,81 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-034.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-034.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20LM.html,NA,https://www.racingsportscars.com/chassis/photo/6107%20%5b250LM%5d.html
1968,59,Porsche 911 # - Porsche F6 2v SOHC 1991 cc N/A,9,TA2.0,Brumos Porsche (USA),-,Rear-engined,Peter Gregg (USA)/Sten Axelsson (S),BRUMOS PORSCHE,light,Firestone,30/03/2014,The Henry Ford/Friedman,Porsche,911,NA,#,Result: 9th 1st in TA2.0 (84 laps behind the winner)Grid: 35th (2:19.3000),9th 1st in TA2.0 (84 laps behind the winner)Grid: 35th (2:19.3000),finished,35,2:19.3000,84 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-059.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-059.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,NA,https://www.racingsportscars.com/chassis/photo/911-Gregg%23.html
1968,31,Chevrolet Corvette Sting Ray C2 # - Chevrolet V8/90° 2v OHV 7261 cc N/A,10,GT,DX Sunray Oil Co. (USA),Closed bodywork,Front-engined,Jerry Grant (USA)/Dave Morgan (USA),DX,dark blue/white (+red),Goodyear,30/03/2014,The Henry Ford/Friedman,Chevrolet,Corvette Sting Ray,C2,#,Result: 10th 1st in GT (87 laps behind the winner)Grid: 17th (2:05.4100),10th 1st in GT (87 laps behind the winner)Grid: 17th (2:05.4100),finished,17,2:05.4100,87 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1968/TN_Daytona-1968-02-04-031.jpg,https://www.racingsportscars.com/photo/1968/Daytona-1968-02-04-031.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette%20Sting%20Ray.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette%20Sting%20Ray/C2.html,https://www.racingsportscars.com/chassis/photo/Corvette-C2-DXSunray%23.html
