track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
bathurst,2019-02-03,912,Porsche 991 GT3 R - Porsche F6 4v DOHC 3996 cc N/A,1,Pro,EBM,Closed bodywork,Rear-engined,Dirk Werner (D)/Dennis Olsen (N)/Matt Campbell (AUS),NA,NA,NA,NA,NA,Porsche,991 GT3 R,NA,NA,Result: winner - margin: 3s4413Grid: 6th (2:02.5777) - 5th fastest qualifier,winner - margin: 3s4413Grid: 6th (2:02.5777) - 5th fastest qualifier,finished,6,2:02.5777,NA,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,NA,NA
bathurst,2019-02-03,62,Aston Martin V12 Vantage GT3 #040 - Aston Martin AM11/Prodrive V12/60° 4v DOHC 5935 cc N/A,2,Pro,R-Motorsport,Closed bodywork,Front-engined,"Jake Dennis (GB)/Matthieu Vaxiviere (F)/Marvin Kirchhöfer (D)listed, never drove: Peter Leemhuis (AUS), Matthew Parry (GB), Florian Kamelger (CH), Andreas Bänziger (CH)",NA,NA,NA,04/09/2020,Tim Dodgson,Aston Martin,V12 Vantage,GT3,#040,Result: 2nd (3s4413 behind the winner)Grid: 10th (2:02.4127) - 1st fastest qualifier,2nd (3s4413 behind the winner)Grid: 10th (2:02.4127) - 1st fastest qualifier,finished,10,2:02.4127,3s4413 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Bathurst-2019-02-03-062.jpg,https://www.racingsportscars.com/photo/2019/Bathurst-2019-02-03-062.jpg,https://www.racingsportscars.com/make/photo/Aston%20Martin.html,https://www.racingsportscars.com/type/photo/Aston%20Martin/V12%20Vantage.html,https://www.racingsportscars.com/suffix/photo/Aston%20Martin/V12%20Vantage/GT3.html,https://www.racingsportscars.com/chassis/photo/AMRVANTAGEGT3-040.html
bathurst,2019-02-03,999,Mercedes-AMG GT3 #AMG GT3 190 16 088 - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,3,Pro,Mercedes-AMG Team Mann Filter GruppeM Racing (HK),Closed bodywork,Front-engined,Maximilian Buhk (D)/Maximilian Götz (D)/Raffaele Marciello (I),NA,NA,NA,NA,NA,Mercedes-AMG,GT3,NA,#AMG GT3 190 16 088,Result: 3rd (7s5942 behind the winner)Grid: 1st (2:02.7380) - 9th fastest qualifier,3rd (7s5942 behind the winner)Grid: 1st (2:02.7380) - 9th fastest qualifier,finished,1,2:02.7380,7s5942 behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,NA,https://www.racingsportscars.com/chassis/photo/AMG%20GT3%20190%2016%20088.html
bathurst,2019-02-03,888,Mercedes-AMG GT3 - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,4,Pro,Mercedes-AMG Team Vodafone,Closed bodywork,Front-engined,Craig Lowndes (AUS)/Jamie Wincup (AUS)/Shane van Gisbergen (NZ),NA,NA,NA,04/09/2020,Tim Dodgson,Mercedes-AMG,GT3,NA,NA,Result: 4th (7s7984 behind the winner)Grid: 19th (2:03.4495),4th (7s7984 behind the winner)Grid: 19th (2:03.4495),finished,19,2:03.4495,7s7984 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Bathurst-2019-02-03-888.jpg,https://www.racingsportscars.com/photo/2019/Bathurst-2019-02-03-888.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,NA,NA
bathurst,2019-02-03,42,BMW M6 F13 GT3 # - BMW P63 V8/90° 4395 cc Twin-Turbo,5,Pro,BMW Team Schnitzer,Closed bodywork,Front-engined,Augusto Farfus (BR)/Chaz Mostert (AUS)/Martin Tomczyk (D),NA,NA,NA,04/09/2020,Tim Dodgson,BMW,M6,F13 GT3,#,Result: 5th (8s9161 behind the winner)Grid: 15th (2:02.9437),5th (8s9161 behind the winner)Grid: 15th (2:02.9437),finished,15,2:02.9437,8s9161 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Bathurst-2019-02-03-042.jpg,https://www.racingsportscars.com/photo/2019/Bathurst-2019-02-03-042.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M6.html,https://www.racingsportscars.com/suffix/photo/BMW/M6/F13%20GT3.html,https://www.racingsportscars.com/chassis/photo/M6-GT3-Schnitzer-01%23.html
bathurst,2019-02-03,108,Bentley Continental GT3 # - Bentley 4.0 TFSI V8/90° 4v DOHC 3993 cc Twin-Turbo,6,Pro,Bentley Team M-Sport (GB),Closed bodywork,Front-engined,Andy Soucek (E)/Maxime Soulet (B)/Vincent Abril (F),NA,NA,NA,NA,NA,Bentley,Continental GT3,NA,#,Result: 6th (12s5019 behind the winner)Grid: 11th (2:02.8580),6th (12s5019 behind the winner)Grid: 11th (2:02.8580),finished,11,2:02.8580,12s5019 behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Bentley.html,https://www.racingsportscars.com/type/photo/Bentley/Continental%20GT3.html,NA,https://www.racingsportscars.com/chassis/photo/BGT3%2001__003.html
bathurst,2019-02-03,18,Nissan GT-R Nismo GT3 # - Nissan VR38DETT V6/60° 4v DOHC 3799 cc Twin-Turbo,7,Pro,KCMG (HK),Closed bodywork,Front-engined,Alexandre Imperatori (CH)/Oliver Jarvis (GB)/Edoardo Liberati (I),NA,NA,NA,04/09/2020,Tim Dodgson,Nissan,GT-R,Nismo GT3,#,Result: 7th (51s0909 behind the winner)Grid: 9th (2:02.7940) - 10th fastest qualifier,7th (51s0909 behind the winner)Grid: 9th (2:02.7940) - 10th fastest qualifier,finished,9,2:02.7940,51s0909 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Bathurst-2019-02-03-018.jpg,https://www.racingsportscars.com/photo/2019/Bathurst-2019-02-03-018.jpg,https://www.racingsportscars.com/make/photo/Nissan.html,https://www.racingsportscars.com/type/photo/Nissan/GT-R.html,https://www.racingsportscars.com/suffix/photo/Nissan/GT-R/Nismo%20GT3.html,https://www.racingsportscars.com/chassis/photo/R35GT3-KCMG-01%23.html
bathurst,2019-02-03,107,Bentley Continental GT3 # - Bentley 4.0 TFSI V8/90° 4v DOHC 3993 cc Twin-Turbo,8,Pro,Bentley Team M-Sport,Closed bodywork,Front-engined,Steven Kane (GB)/Jules Gounon (F)/Jordan Pepper (ZA),NA,NA,NA,04/09/2020,Tim Dodgson,Bentley,Continental GT3,NA,#,Result: 8th (1 lap behind the winner)Grid: 3rd (2:02.6120) - 6th fastest qualifier,8th (1 lap behind the winner)Grid: 3rd (2:02.6120) - 6th fastest qualifier,finished,3,2:02.6120,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Bathurst-2019-02-03-107.jpg,https://www.racingsportscars.com/photo/2019/Bathurst-2019-02-03-107.jpg,https://www.racingsportscars.com/make/photo/Bentley.html,https://www.racingsportscars.com/type/photo/Bentley/Continental%20GT3.html,NA,https://www.racingsportscars.com/chassis/photo/BGT3%2001__MS-07%23.html
bathurst,2019-02-03,51,Ferrari 488 GT3 (Michelotto) - Ferrari Tipo F154CB V8/90° 4v DOHC 3902 cc Twin-Turbo,9,Pro-Am,Spirit of Race,Closed bodywork,Mid-engined,Paul Dalla Lana (CDN)/Pedro Lamy (P)/Mathias Lauda (A),NA,NA,NA,04/09/2020,Tim Dodgson,Ferrari,488,GT3,NA,Result: 9th 1st in Pro-Am (2 laps behind the winner)Grid: 23rd (2:04.1158),9th 1st in Pro-Am (2 laps behind the winner)Grid: 23rd (2:04.1158),finished,23,2:04.1158,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Bathurst-2019-02-03-051.jpg,https://www.racingsportscars.com/photo/2019/Bathurst-2019-02-03-051.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/488.html,https://www.racingsportscars.com/suffix/photo/Ferrari/488/GT3.html,NA
bathurst,2019-02-03,98,Audi R8 LMS #AS4SAFGT201700077 - Audi FSI V10/90° 4v DOHC 5205 cc N/A,10,Pro-Am,Matt Stone Racing (D),Closed bodywork,Mid-engined,Todd Hazelwood (AUS)/Roger Lago (AUS)/David Russell (AUS),NA,NA,NA,NA,NA,Audi,R8 LMS,NA,#AS4SAFGT201700077,Result: 10th (4 laps behind the winner)Grid: 22nd (2:04.0656),10th (4 laps behind the winner)Grid: 22nd (2:04.0656),finished,22,2:04.0656,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8%20LMS.html,NA,https://www.racingsportscars.com/chassis/photo/AS4SAFGT201700077.html
