track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
brands_hatch,1985-09-22,2,Porsche 962 C #003 - Porsche Typ 935/76 F6 4v DOHC 2649 cc 2xKKK K26,1,C1,Rothmans Porsche (D),Closed bodywork,Mid-engined,Hans-Joachim Stuck (D)/Derek Bell (GB),Rothmans,white/blue (+red),Dunlop,02/10/2004,Joe Santos,Porsche,962,C,#003,Result: winner - (179.600 kph) - margin: 11s99Grid: 3rd (1:16.0800),winner - (179.600 kph) - margin: 11s99Grid: 3rd (1:16.0800),finished,3,1:16.0800,179.600 kph,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-002.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-002.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/962.html,https://www.racingsportscars.com/suffix/photo/Porsche/962/C.html,https://www.racingsportscars.com/chassis/photo/962-003.html
brands_hatch,1985-09-22,1,Porsche 962 C #002 - Porsche Typ 935/76 F6 4v DOHC 2649 cc 2xKKK K26,2,C1,Rothmans Porsche (D),Closed bodywork,Mid-engined,Jacky Ickx (B)Jochen Mass (D),Rothmans,white/blue (+red),Dunlop,02/10/2004,Joe Santos,Porsche,962,C,#002,Result: 2nd (11s99 behind the winner)Grid: 4th (1:16.8900),2nd (11s99 behind the winner)Grid: 4th (1:16.8900),finished,4,1:16.8900,11s99 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-001.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-001.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/962.html,https://www.racingsportscars.com/suffix/photo/Porsche/962/C.html,https://www.racingsportscars.com/chassis/photo/962-002.html
brands_hatch,1985-09-22,5,Lancia LC2/85 #0007 (Dallara) - Ferrari 308C V8/90° 4v DOHC 3014 cc 2xKKK,3,C1,Martini Racing (I),Closed bodywork,Mid-engined,Bob Wollek (F)/Andrea de Cesaris (I)/Mauro Baldi (I),MARTINI,white (+blue/red),Michelin,02/10/2004,Joe Santos,Lancia,LC2,/85,#0007,Result: 3rd (1 lap behind the winner)Grid: 2nd (1:15.1000),3rd (1 lap behind the winner)Grid: 2nd (1:15.1000),finished,2,1:15.1000,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-005.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-005.jpg,https://www.racingsportscars.com/make/photo/Lancia.html,https://www.racingsportscars.com/type/photo/Lancia/LC2.html,https://www.racingsportscars.com/suffix/photo/Lancia/LC2/__85.html,https://www.racingsportscars.com/chassis/photo/LC2-0007.html
brands_hatch,1985-09-22,4,Lancia LC2/85 #0006 (Dallara) - Ferrari 308C V8/90° 4v DOHC 3014 cc 2xKKK,4,C1,Martini Racing (I),Closed bodywork,Mid-engined,Riccardo Patrese (I)/Alessandro Nannini (I),MARTINI,white (+blue/red),Michelin,02/10/2004,Joe Santos,Lancia,LC2,/85,#0006,Result: 4th (5 laps behind the winner)Grid: 1st (1:14.6600),4th (5 laps behind the winner)Grid: 1st (1:14.6600),finished,1,1:14.6600,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-004.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-004.jpg,https://www.racingsportscars.com/make/photo/Lancia.html,https://www.racingsportscars.com/type/photo/Lancia/LC2.html,https://www.racingsportscars.com/suffix/photo/Lancia/LC2/__85.html,https://www.racingsportscars.com/chassis/photo/LC2-0006.html
brands_hatch,1985-09-22,3,Porsche 956 #010 - Porsche Type 935/79 F6 4v DOHC 2649 cc 2xKKK K26,5,C1,Rothmans Porsche (D),Closed bodywork,Mid-engined,Vern Schuppan (AUS)/Al Holbert (USA),Rothmans,white/blue (+red),Dunlop,16/08/2004,Rupert Lowes,Porsche,956,NA,#010,Result: 5th (14 laps behind the winner)Grid: 7th (1:20.1800),5th (14 laps behind the winner)Grid: 7th (1:20.1800),finished,7,1:20.1800,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-003.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-003.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/956.html,NA,https://www.racingsportscars.com/chassis/photo/956-010.html
brands_hatch,1985-09-22,79,Ecosse C285 #002 - Ford Cosworth DFL V8/90° 4v DOHC 3300 cc N/A,6,C2,Ecurie Ecosse (GB),Closed bodywork,Mid-engined,"Ray Mallock (GB)/Mike Wilds (GB)listed, never drove: David Leslie (GB)",Bovis,white (+blue/orange),Avon,26/02/2003,David Wall,Ecosse,C285,NA,#002,Result: 6th 1st in C2 (19 laps behind the winner)Grid: 14th (1:26.5000),6th 1st in C2 (19 laps behind the winner)Grid: 14th (1:26.5000),finished,14,1:26.5000,19 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-079.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-079.jpg,https://www.racingsportscars.com/make/photo/Ecosse.html,https://www.racingsportscars.com/type/photo/Ecosse/C285.html,NA,https://www.racingsportscars.com/chassis/photo/85__002.html
brands_hatch,1985-09-22,34,March 84G #3 - Porsche 956 Type 935/76 F6 4v DOHC 2649 cc 2xKKK,7,C1,Cosmik Racing Promotions Ltd. (GB),Closed bodywork,Mid-engined,"Anders Olofsson (S)/Divina Galica (GB)/Costas Los (GR)listed, never drove: Mikael Nabrink (S)",COSMIK,white/green (+orange),Yokohama,28/05/2005,David Small,March,84G,NA,#3,Result: 7th (27 laps behind the winner)Grid: 11th (1:24.6100),7th (27 laps behind the winner)Grid: 11th (1:24.6100),finished,11,1:24.6100,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-034.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-034.jpg,https://www.racingsportscars.com/make/photo/March.html,https://www.racingsportscars.com/type/photo/March/84G.html,NA,https://www.racingsportscars.com/chassis/photo/84G-3.html
brands_hatch,1985-09-22,80,Alba AR6 #005 - Carma FF L4 1915 cc 1xKKK,8,C2,Carma FF (I),Closed bodywork,Mid-engined,Martino Finotto (I)Carlo Facetti (I)/Almo Coppelli (I),totip,white (+orange/green),Avon,16/08/2004,Rupert Lowes,Alba,AR6,NA,#005,Result: 8th (30 laps behind the winner)Grid: 13th (1:25.7100),8th (30 laps behind the winner)Grid: 13th (1:25.7100),finished,13,1:25.7100,30 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-080.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-080.jpg,https://www.racingsportscars.com/make/photo/Alba.html,https://www.racingsportscars.com/type/photo/Alba/AR6.html,NA,https://www.racingsportscars.com/chassis/photo/AR6-005.html
brands_hatch,1985-09-22,93,ALD 01 #C2/01 - BMW M88 L6 4v DOHC 3450 cc N/A,9,C2,Louis Descartes (F),Closed bodywork,Mid-engined,Jacques Heuclin (F)/Louis Descartes (F),BUSINESS & PLEASURE/Randlinger,yellow (+black),Avon,02/10/2004,Joe Santos,ALD,01,NA,#C2/01,Result: 9th (45 laps behind the winner)Grid: 23rd (1:33.1900),9th (45 laps behind the winner)Grid: 23rd (1:33.1900),finished,23,1:33.1900,45 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-093.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-093.jpg,https://www.racingsportscars.com/make/photo/ALD.html,https://www.racingsportscars.com/type/photo/ALD/01.html,NA,https://www.racingsportscars.com/chassis/photo/C2__01.html
brands_hatch,1985-09-22,75,Gebhardt JC843 #840-2 - Ford Cosworth DFL V8/90° 4v DOHC 3300 cc N/A,10,C2,ADA Engineering (GB),Closed bodywork,Mid-engined,Nick Adams (GB)/Ian Taylor (GB)/Ian Harrower (GB),Transol,white/dark blue/red,Avon,02/10/2004,Joe Santos,Gebhardt,JC843,NA,#840-2,Result: 10th (46 laps behind the winner)Grid: 15th (1:27.3400),10th (46 laps behind the winner)Grid: 15th (1:27.3400),finished,15,1:27.3400,46 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Brands_Hatch-1985-09-22-075.jpg,https://www.racingsportscars.com/photo/1985/Brands_Hatch-1985-09-22-075.jpg,https://www.racingsportscars.com/make/photo/Gebhardt.html,https://www.racingsportscars.com/type/photo/Gebhardt/JC843.html,NA,https://www.racingsportscars.com/chassis/photo/840-2.html
