track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
fuji,1985-05-05,1,Porsche 956 B #118 - Porsche Type 935/79 F6 4v DOHC 2649 cc 2xKKK K26,1,LD-1,Trust Racing Team (J),Closed bodywork,Mid-engined,Vern Schuppan (AUS)/Keiichi Suzuki (J),ISEKI TRACTOR,white/blue (+yellow/orange/red),Dunlop,10/12/2016,Hiro [8gatsuno HIKARI] 8月のひかり,Porsche,956,B,#118,Result: winner - (172.204 kph) - margin: 6 lapsGrid: 2nd (1:20.8000),winner - (172.204 kph) - margin: 6 lapsGrid: 2nd (1:20.8000),finished,2,1:20.8000,172.204 kph,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-05-05-001.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-05-05-001.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/956.html,https://www.racingsportscars.com/suffix/photo/Porsche/956/B.html,https://www.racingsportscars.com/chassis/photo/956-118.html
fuji,1985-05-05,27,Porsche 956 #101 - Porsche Type 935/79 F6 4v DOHC 2649 cc 2xKKK K26,2,LD-1,From A Racing (J),Closed bodywork,Mid-engined,Jiro Yoneyama (J)/Hideki Okada (J),FROM A/STP,yellow/black (+white),Dunlop,NA,NA,Porsche,956,NA,#101,Result: 2nd (6 laps behind the winner)Grid: 7th (1:21.9800),2nd (6 laps behind the winner)Grid: 7th (1:21.9800),finished,7,1:21.9800,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/956.html,NA,https://www.racingsportscars.com/chassis/photo/956-101.html
fuji,1985-05-05,2,MCS Guppy Renoma 84C # - BMW M12/6,3,LD-2,Alpha Cubic Racing Team (J),Closed bodywork,Mid-engined,Noritake Takahara (J)/Chiyomi Totani (J),renoma,NA,Dunlop,NA,NA,MCS,Guppy,Renoma 84C,#,Result: 3rd (9 laps behind the winner)Grid: 15th (1:29.3100),3rd (9 laps behind the winner)Grid: 15th (1:29.3100),finished,15,1:29.3100,9 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/MCS.html,https://www.racingsportscars.com/type/photo/MCS/Guppy.html,https://www.racingsportscars.com/suffix/photo/MCS/Guppy/Renoma%2084C.html,https://www.racingsportscars.com/chassis/photo/MCS-Renoma%23.html
fuji,1985-05-05,86,Mazda 737C # (Mooncraft) - Mazda 13B Racing 2R 1308 cc Rotary,4,LD-2,Mazdaspeed (J),Closed bodywork,Mid-engined,Yoshimi Katayama (J)/Yojiro Terada (J)/Takashi Yorino (J),Nikon,NA,Dunlop,NA,NA,Mazda,737C,NA,#,Result: 4th (11 laps behind the winner)Grid: 16th (1:29.9400),4th (11 laps behind the winner)Grid: 16th (1:29.9400),finished,16,1:29.9400,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Mazda.html,https://www.racingsportscars.com/type/photo/Mazda/737C.html,NA,https://www.racingsportscars.com/chassis/photo/737C-002.html
fuji,1985-05-05,37,Tom's 85C # - Toyota 4T-GT L4 2v 2090 cc Turbo,5,LD-1,Team Ikuzawa (J),Closed bodywork,Mid-engined,Tiff Needell (GB)/James Weaver (GB),Canon/TOYOTA,white/red,Dunlop,10/12/2016,Hiro [8gatsuno HIKARI] 8月のひかり,Tom's,85C,NA,#,Result: 5th (13 laps behind the winner)Grid: 8th (1:22.4800),5th (13 laps behind the winner)Grid: 8th (1:22.4800),finished,8,1:22.4800,13 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-05-05-037.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-05-05-037.jpg,https://www.racingsportscars.com/make/photo/Tom%27s.html,https://www.racingsportscars.com/type/photo/Tom%27s/85C.html,NA,https://www.racingsportscars.com/chassis/photo/Toms84C-Ikuzawa%23.html
fuji,1985-05-05,38,Dome 85C # - Toyota 4T-GT L4 2100 cc Turbo,6,LD-1,Dome Motorsport (J),Closed bodywork,Mid-engined,Geoff Lees (GB)/Toshio Suzuki (J),WACOAL/TOYOTA,white (+purple/pink),Dunlop,10/12/2016,Hiro [8gatsuno HIKARI] 8月のひかり,Dome,85C,NA,#,Result: 6th (17 laps behind the winner)Grid: 4th (1:21.2300),6th (17 laps behind the winner)Grid: 4th (1:21.2300),finished,4,1:21.2300,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-05-05-038.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-05-05-038.jpg,https://www.racingsportscars.com/make/photo/Dome.html,https://www.racingsportscars.com/type/photo/Dome/85C.html,NA,https://www.racingsportscars.com/chassis/photo/Dome85C-01%23.html
fuji,1985-05-05,36,Tom's 85C # - Toyota 4T-GT L4 2v 2090 cc Turbo,7,LD-1,Tom's (J),Closed bodywork,Mid-engined,Satoru Nakajima (J)/Masanori Sekiya (J)/Kaoru Hoshino (J),TOYOTA/POTENZA,white (+purple/silver),Bridgestone,10/12/2016,Hiro [8gatsuno HIKARI] 8月のひかり,Tom's,85C,NA,#,Result: 7th (26 laps behind the winner)Grid: 5th (1:21.6600),7th (26 laps behind the winner)Grid: 5th (1:21.6600),finished,5,1:21.6600,26 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-05-05-036.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-05-05-036.jpg,https://www.racingsportscars.com/make/photo/Tom%27s.html,https://www.racingsportscars.com/type/photo/Tom%27s/85C.html,NA,https://www.racingsportscars.com/chassis/photo/Toms85C-01%23.html
fuji,1985-05-05,8,Tom's 84C # - Toyota 4T-GT L4 2v 2090 cc Turbo,8,LD-1,Rays Racing Division (J),Closed bodywork,Mid-engined,Hitoshi Ogawa (J)/Tsunehisa Asai (J),RAYS/TOYOTA,white (+green/silver),Dunlop,10/12/2016,Hiro [8gatsuno HIKARI] 8月のひかり,Tom's,84C,NA,#,Result: 8th (32 laps behind the winner)Grid: 13th (1:27.0000),8th (32 laps behind the winner)Grid: 13th (1:27.0000),finished,13,1:27.0000,32 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-05-05-008.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-05-05-008.jpg,https://www.racingsportscars.com/make/photo/Tom%27s.html,https://www.racingsportscars.com/type/photo/Tom%27s/84C.html,NA,https://www.racingsportscars.com/chassis/photo/Toms84C-Rays%23.html
fuji,1985-05-05,21,Toyota Celica # - Toyota,9,LD-3,Trust Racing Team (J),Closed bodywork,Front-engined,Ryusaku Hitomi (J)/Mitsutake Koma (J),NA,NA,Dunlop,NA,NA,Toyota,Celica,NA,#,Result: 9th (34 laps behind the winner)Grid: 19th (1:39.7900),9th (34 laps behind the winner)Grid: 19th (1:39.7900),finished,19,1:39.7900,34 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Toyota.html,https://www.racingsportscars.com/type/photo/Toyota/Celica.html,NA,https://www.racingsportscars.com/chassis/photo/Celica-RA63-Trust%23.html
fuji,1985-05-05,80,Mazda RX-7 254 - Mazda Rotary,10,LD-2,Koyata Engei Racing (J),Closed bodywork,Front-engined,Shigeru Yokoyama (J)/Hachirou Saeki (J)/Akio Yokoyama (J),Panasport,white,Yokohama,27/05/2017,Nissan Motorsport,Mazda,RX-7,254,NA,Result: 10th (37 laps behind the winner)Grid: 20th (1:41.2400),10th (37 laps behind the winner)Grid: 20th (1:41.2400),finished,20,1:41.2400,37 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-05-05-080.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-05-05-080.jpg,https://www.racingsportscars.com/make/photo/Mazda.html,https://www.racingsportscars.com/type/photo/Mazda/RX-7.html,https://www.racingsportscars.com/suffix/photo/Mazda/RX-7/254.html,NA
