track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
le_mans,1955-06-12,6,Jaguar D-type #XKD 505 - Jaguar XK L6 2v DOHC 3442 cc N/A,1,S5.0,Jaguar Cars Ltd. (GB),Open bodywork,Front-engined,"Mike Hawthorn (GB)/Ivor Bueb (GB)listed, never drove: Jimmy Stewart (GB), Bob Berry (GB), Tony Rolt (GB), Norman Dewis (GB)","unknown
Registration: 774 RW",dark green,Dunlop,NA,NA,Jaguar,D-type,#XKD 505,NA,Result: winner - (172.308 kph) - margin: 5 lapsGrid:,winner - (172.308 kph) - margin: 5 lapsGrid:,finished,NA,NA,172.308 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Jaguar.html,https://www.racingsportscars.com/type/photo/Jaguar/D-type.html,https://www.racingsportscars.com/chassis/photo/XKD%20505.html,NA
le_mans,1955-06-12,23,Aston Martin DB3S #6a - Aston Martin L6 2v DOHC 2922 cc N/A,2,S3.0,Aston Martin Ltd. (GB),Open bodywork,Front-engined,Peter Collins (GB)/Paul Frère (B),"unknown
Registration: 62 EMU",metallic green (+yellow),NA,07/11/2022,Jelle ter Veer,Aston Martin,DB3S,#6a,NA,Result: 2nd 1st in S3.0 (5 laps behind the winner)Grid:,2nd 1st in S3.0 (5 laps behind the winner)Grid:,finished,NA,NA,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1955/TN_Le_Mans-1955-06-12-023.jpg,https://www.racingsportscars.com/photo/1955/Le_Mans-1955-06-12-023.jpg,https://www.racingsportscars.com/make/photo/Aston%20Martin.html,https://www.racingsportscars.com/type/photo/Aston%20Martin/DB3S.html,https://www.racingsportscars.com/chassis/photo/DB3S__6.html,NA
le_mans,1955-06-12,10,Jaguar D-type #XKD 503 - Jaguar XK L6 2v DOHC 3442 cc N/A,3,S5.0,Ecurie Francorchamps (B),Open bodywork,Front-engined,"Johnny Claes (B)/Jacques Swaters (B)listed, never drove: André Pilette (B), Olivier Gendebien (B), Roger Laurent (B)",NA,yellow,NA,NA,NA,Jaguar,D-type,#XKD 503,NA,Result: 3rd (11 laps behind the winner)Grid:,3rd (11 laps behind the winner)Grid:,finished,NA,NA,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Jaguar.html,https://www.racingsportscars.com/type/photo/Jaguar/D-type.html,https://www.racingsportscars.com/chassis/photo/XKD%20503.html,NA
le_mans,1955-06-12,37,Porsche 550 #0046 - Porsche Typ 547; no:P90050 F4 2v DOHC 1498 cc N/A,4,S1.5,Porsche KG (D),Open bodywork,Mid-engined,"Helmut Polensky (D)/Richard von Frankenberg (D)listed, never drove: Josef Jeser (D)","unknown
Registration: W21-8518",silver,NA,NA,NA,Porsche,550,#0046,NA,Result: 4th 1st in S1.5 (23 laps behind the winner)Grid:,4th 1st in S1.5 (23 laps behind the winner)Grid:,finished,NA,NA,23 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/550.html,https://www.racingsportscars.com/chassis/photo/550-0046.html,NA
le_mans,1955-06-12,66,Porsche 550 #15 - Porsche Typ 547; no:12 F4 2v DOHC 1498 cc N/A,5,S1.5,Ecurie Belge/Gonzague Olivier (B),Open bodywork,Mid-engined,"Olivier Gendebien (B)/Wolfgang Seidel (D)DNS: André Milhoux (B); listed, never drove: Pierre Strasse (B), Johnny Claes (B)",NA,yellow,NA,NA,NA,Porsche,550,#15,NA,Result: 5th (31 laps behind the winner)Grid:,5th (31 laps behind the winner)Grid:,finished,NA,NA,31 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/550.html,https://www.racingsportscars.com/chassis/photo/550-15.html,NA
le_mans,1955-06-12,62,Porsche 550 #0047 - Porsche Typ 547; no:P90051 F4 2v DOHC 1498 cc N/A,6,S1.5,Porsche KG (D),Open bodywork,Mid-engined,Helmut Glöckler (D)/Jaroslav Juhan (CS),NA,silver,NA,NA,NA,Porsche,550,#0047,NA,Result: 6th (34 laps behind the winner)Grid:,6th (34 laps behind the winner)Grid:,finished,NA,NA,34 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/550.html,https://www.racingsportscars.com/chassis/photo/550-0047.html,NA
le_mans,1955-06-12,34,Bristol 450 Coupé - Bristol BSX L6 2v OHV 1971 cc N/A,7,S2.0,Bristol Aeroplane Co (GB),Open bodywork,Front-engined,"Peter Wilson (GB)/Jim Mayers (GB)listed, never drove: Tommy Line (GB), Mike Keen (GB), David Blakely (GB)",NA,green,NA,NA,NA,Bristol,450,NA,Coupé,Result: 7th 1st in S2.0 (36 laps behind the winner)Grid:,7th 1st in S2.0 (36 laps behind the winner)Grid:,finished,NA,NA,36 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Bristol.html,https://www.racingsportscars.com/type/photo/Bristol/450.html,NA,https://www.racingsportscars.com/suffix/photo/Bristol/450/Coup%c3%a9.html
le_mans,1955-06-12,33,Bristol 450 Coupé #5 - Bristol BSX L6 2v OHV 1971 cc N/A,8,S2.0,Bristol Aeroplane Co (GB),Open bodywork,Front-engined,"Mike Keen (GB)/Tommy Line (GB)DNS: David Blakely (GB); listed, never drove: Jim Mayers (GB), Peter Wilson (GB)",NA,green,NA,NA,NA,Bristol,450,#5,Coupé,Result: 8th (37 laps behind the winner)Grid:,8th (37 laps behind the winner)Grid:,finished,NA,NA,37 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Bristol.html,https://www.racingsportscars.com/type/photo/Bristol/450.html,https://www.racingsportscars.com/chassis/photo/450-5.html,https://www.racingsportscars.com/suffix/photo/Bristol/450/Coup%c3%a9.html
le_mans,1955-06-12,32,Bristol 450 Coupé - Bristol BSX L6 2v OHV 1971 cc N/A,9,S2.0,Bristol Aeroplane Co (GB),Open bodywork,Front-engined,"Tommy Wisdom (GB)/Jack Fairman (GB)listed, never drove: Tommy Line (GB)",NA,green,NA,NA,NA,Bristol,450,NA,Coupé,Result: 9th (39 laps behind the winner)Grid:,9th (39 laps behind the winner)Grid:,finished,NA,NA,39 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Bristol.html,https://www.racingsportscars.com/type/photo/Bristol/450.html,NA,https://www.racingsportscars.com/suffix/photo/Bristol/450/Coup%c3%a9.html
le_mans,1955-06-12,35,Frazer Nash Sebring #421/200/205 - Bristol L6 2v OHV 1971 cc N/A,10,S2.0,Automobiles Frazer Nash Ltd. (GB),Open bodywork,Front-engined,Marcel Becquart (F)/Dickie Stoop (GB),"unknown
Registration: 7834 H",green,NA,NA,NA,Frazer Nash,Sebring,#421/200/205,NA,Result: 10th (47 laps behind the winner)Grid:,10th (47 laps behind the winner)Grid:,finished,NA,NA,47 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Frazer%20Nash.html,https://www.racingsportscars.com/type/photo/Frazer%20Nash/Sebring.html,https://www.racingsportscars.com/chassis/photo/421__200__205.html,NA
