track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
le_mans,1971-06-13,22,Porsche 917 K #053 - Porsche 912 F12 2v DOHC 4907 cc N/A,1,S5.0,Martini Racing Team (D),Closed bodywork,Mid-engined,Helmut Marko (A)/Gijs van Lennep (NL),MARTINI RACING TEAM/Shell,white (+black/blue/red),Firestone,14/03/2008,Endurance-Series.com,Porsche,917,K,#053,Result: winner - (222.305 kph) - margin: 2 lapsGrid: 5th (3:18.7000),winner - (222.305 kph) - margin: 2 lapsGrid: 5th (3:18.7000),finished,5,3:18.7000,222.305 kph,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-022.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-022.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-053.html
le_mans,1971-06-13,19,Porsche 917 K #031=>026 - Porsche 912 F12 2v DOHC 4907 cc N/A,2,S5.0,J.W. Automotive Engineering Ltd. (GB),Closed bodywork,Mid-engined,Richard Attwood (GB)/Herbert Müller (CH),Gulf,light blue (+orange),Firestone,14/03/2008,Endurance-Series.com,Porsche,917,K,#031=>026,Result: 2nd (2 laps behind the winner)Grid: 11th (3:22.2000),2nd (2 laps behind the winner)Grid: 11th (3:22.2000),finished,11,3:22.2000,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-019.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-019.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-031.html
le_mans,1971-06-13,12,Ferrari 512 M #1020 - Ferrari 512 V12/60° 4v 4994 cc N/A,3,S5.0,North American Racing Team (USA),Closed bodywork,Mid-engined,Sam Posey (USA)/Tony Adamowicz (USA),BP,red (+white/blue),Goodyear,29/11/2010,Philippe Moriniere and Rainer W. Schlegelmilch Schlegelmilch Photography,Ferrari,512 M,NA,#1020,Result: 3rd (31 laps behind the winner)Grid: 12th (3:26.5000),3rd (31 laps behind the winner)Grid: 12th (3:26.5000),finished,12,3:26.5000,31 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-012.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-012.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/512%20M.html,NA,https://www.racingsportscars.com/chassis/photo/1020%20%5b512S%5d.html
le_mans,1971-06-13,16,Ferrari 512 M #1028 - Ferrari 512 V12/60° 4v 4994 cc N/A,4,S5.0,David Piper (GB),Closed bodywork,Mid-engined,Chris Craft (GB)/David Weir (USA),SANDEMAN,red,Goodyear,29/06/2021,Julian Nowell,Ferrari,512 M,NA,#1028,Result: 4th (42 laps behind the winner)Grid: 9th (3:21.3000),4th (42 laps behind the winner)Grid: 9th (3:21.3000),finished,9,3:21.3000,42 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-016.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-016.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/512%20M.html,NA,https://www.racingsportscars.com/chassis/photo/1028%20%5b512S%5d.html
le_mans,1971-06-13,58,Ferrari 365 GTB/4 #12467 - Ferrari V12 4390 cc N/A,5,S5.0,North American Racing Team (USA),Closed bodywork,Front-engined,"Bob Grossman (USA)/Luigi Chinetti, Jr. (USA)",GOODYEAR,red,Goodyear,24/05/2017,Michel Guilloux,Ferrari,365 GTB/4,NA,#12467,Result: 5th (83 laps behind the winner)Grid: 33rd (4:21.3000),5th (83 laps behind the winner)Grid: 33rd (4:21.3000),finished,33,4:21.3000,83 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-058.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-058.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/365%20GTB__4.html,NA,https://www.racingsportscars.com/chassis/photo/12467%20%5b365%20GTB__4%5d.html
le_mans,1971-06-13,63,Porsche 911 S #911 030 0364 - Porsche F6 2v SOHC 2380 cc N/A,6,GT+2.0,Henri Cachia (F),Closed bodywork,Rear-engined,Raymond Touroul (F)/André Anselme (F),CIBIÉ,white (+red),NA,24/05/2017,Alain Jourdainne Photos 24H Le Mans,Porsche,911,S,#911 030 0364,Result: 6th 1st in GT+2.0 (91 laps behind the winner)Grid: 40th (4:25.2000),6th 1st in GT+2.0 (91 laps behind the winner)Grid: 40th (4:25.2000),finished,40,4:25.2000,91 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-063.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-063.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,https://www.racingsportscars.com/chassis/photo/911%20030%200364.html
le_mans,1971-06-13,49,Porsche 907 #031 - Porsche Typ 901 F6 1991 cc N/A,7,P2.0,André Wicky Racing Team,Closed bodywork,Mid-engined,/Walter Brun (CH)/Peter Mattli (CH)preliminary session only: Willy Meier (CH),Esso/ATOMIC/Wicky/TURCO CHEMIE,white (+red/green),Firestone,24/05/2017,Michel Guilloux,Porsche,907,NA,#031,Result: 7th 1st in P2.0 (91 laps behind the winner)Grid: 24th (4:06.0000),7th 1st in P2.0 (91 laps behind the winner)Grid: 24th (4:06.0000),finished,24,4:06.0000,91 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-049.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-049.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/907.html,NA,https://www.racingsportscars.com/chassis/photo/907-031.html
le_mans,1971-06-13,38,Porsche 911 EC #911 022 0306 - Porsche F6 2v SOHC 2380 cc N/A,8,GT+2.0,Mazzia René (F),Closed bodywork,Rear-engined,René Mazzia (F)/Jürgen Barth (D),TRADIFRANCE/Esso/CIBIÉ,blue,NA,04/12/2022,ZANTAFIO56 (CC-BY-SA-2.0),Porsche,911,EC,#911 022 0306,Result: 8th (94 laps behind the winner)Grid: 39th (4:25.1000),8th (94 laps behind the winner)Grid: 39th (4:25.1000),finished,39,4:25.1000,94 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-038.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-038.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/EC.html,https://www.racingsportscars.com/chassis/photo/911%20022%200306.html
le_mans,1971-06-13,42,Porsche 911 S #911 030 1017 - Porsche F6 2v SOHC 2247 cc N/A,9,GT+2.0,Jean Mésagne (F),Closed bodywork,Rear-engined,"Jean Mésange (F)/""Gedehem"" (F)",Esso/LES PAVILLONS DE FRANCE,white (+red),Dunlop,24/05/2017,Michel Guilloux,Porsche,911,S,#911 030 1017,Result: 9th (99 laps behind the winner)Grid: 45th (4:27.2000),9th (99 laps behind the winner)Grid: 45th (4:27.2000),finished,45,4:27.2000,99 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-042.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-042.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,https://www.racingsportscars.com/chassis/photo/911%20030%201017.html
le_mans,1971-06-13,26,Porsche 911 S #911 030 1010 - Porsche no: 630 1305 F6 2v SOHC 2380 cc N/A,10,GT+2.0,Nicolas Koob (L),Closed bodywork,Rear-engined,Erwin Kremer (D)/Nicolas Koob (L)/Günther Huber (A),KENT/ESSO/PORSCHE-KREMER,red (+white),Dunlop,24/05/2017,Michel Guilloux,Porsche,911,S,#911 030 1010,Result: 10th (105 laps behind the winner)Grid: 35th (4:21.9000),10th (105 laps behind the winner)Grid: 35th (4:21.9000),finished,35,4:21.9000,105 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Le_Mans-1971-06-13-026.jpg,https://www.racingsportscars.com/photo/1971/Le_Mans-1971-06-13-026.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,https://www.racingsportscars.com/chassis/photo/911%20030%201010.html
