track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
le_mans,2000-06-18,8,Audi R8 #404 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,1,LMP900,Audi Sport Team Joest (D),Open bodywork,Mid-engined,"Frank Biela (D)Emanuele Pirro (I)/Tom Kristensen (DK)listed, never drove: James Weaver (GB), Rinaldo Capello (I), Christian Abt (D)",Infineon,silver (+red),Michelin,18/09/2020,Paul Kooyman,Audi,R8,#404,NA,Result: winner - (208.630 kph) - margin: 1 lapGrid: 2nd (3:36.6500),winner - (208.630 kph) - margin: 1 lapGrid: 2nd (3:36.6500),finished,2,3:36.6500,208.630 kph,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-008.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-008.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100404.html,NA
le_mans,2000-06-18,9,Audi R8 #405 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,2,LMP900,Audi Sport Team Joest (D),Open bodywork,Mid-engined,"Allan McNish (GB)/Stéphane Ortelli (MC)/Laurent Aiello (F)listed, never drove: Tom Kristensen (DK), Rinaldo Capello (I), Christian Abt (D), Michele Alboreto (I)",Infineon,silver (+yellow),Michelin,18/09/2020,Paul Kooyman,Audi,R8,#405,NA,Result: 2nd (1 lap behind the winner)Grid: 1st (3:36.1240),2nd (1 lap behind the winner)Grid: 1st (3:36.1240),finished,1,3:36.1240,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-009.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-009.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100405.html,NA
le_mans,2000-06-18,7,Audi R8 #403 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,3,LMP900,Audi Sport Team Joest (D),Open bodywork,Mid-engined,"Michele Alboreto (I)/Christian Abt (D)/Rinaldo Capello (I)listed, never drove: Tom Kristensen (DK), Allan McNish (GB), Laurent Aiello (F), Stéphane Ortelli (MC)",Infineon,silver (+black),Michelin,18/09/2020,"Jean-Michel Lefebvre, Jean-Michel Bosselet and Paul Kooyman",Audi,R8,#403,NA,Result: 3rd (3 laps behind the winner)Grid: 3rd (3:37.0860),3rd (3 laps behind the winner)Grid: 3rd (3:37.0860),finished,3,3:37.0860,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-007.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-007.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100403.html,NA
le_mans,2000-06-18,16,Courage C52 #3 - Peugeot Sodemo A32 alu V6/60° 3200 cc 2xGarrett,4,LMP900,Pescarolo Sport (F),Open bodywork,Mid-engined,"Emmanuel Clérico (F)/Sébastien Bourdais (F)/Olivier Grouillard (F)listed, never drove: Henri Pescarolo (F)",La Sarthe/la filiere/FATurbo EXPRESS/PEUGEOT,green/silver (+orange),Michelin,18/09/2020,Jean-Michel Lefebvre and Paul Kooyman,Courage,C52,#3,NA,Result: 4th (24 laps behind the winner)Grid: 17th (3:45.7710),4th (24 laps behind the winner)Grid: 17th (3:45.7710),finished,17,3:45.7710,24 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-016.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-016.jpg,https://www.racingsportscars.com/make/photo/Courage.html,https://www.racingsportscars.com/type/photo/Courage/C52.html,https://www.racingsportscars.com/chassis/photo/C52-3.html,NA
le_mans,2000-06-18,12,Panoz LMP-1 Roadster S #005 (Reynard) - Elan Power Products 6L8 alu/Roush V8/90° 2v OHV 5971 cc N/A,5,LMP900,Panoz Motorsports (USA),Open bodywork,Front-engined,"Hiroki Kato (J)/Johnny O'Connell (USA)/Pierre-Henri Raphanel (F)listed, never drove: David Brabham (AUS), Jan Magnussen (DK), Klaus Graf (D)",panoz/ADELAIDE,red (+black/silver),Michelin,18/09/2020,Jean-Michel Bosselet,Panoz,LMP-1 Roadster S,#005,NA,Result: 5th (26 laps behind the winner)Grid: 8th (3:41.3590),5th (26 laps behind the winner)Grid: 8th (3:41.3590),finished,8,3:41.3590,26 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-012.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-012.jpg,https://www.racingsportscars.com/make/photo/Panoz.html,https://www.racingsportscars.com/type/photo/Panoz/LMP-1%20Roadster%20S.html,https://www.racingsportscars.com/chassis/photo/LMP-005.html,NA
le_mans,2000-06-18,23,Panoz LMP-1 Roadster S #006 (Reynard) - Elan Power Products 6L8 alu/Roush V8/90° 2v OHV 6000 cc N/A,6,LMP900,TV Asahi Team Dragon (J),Open bodywork,Front-engined,"Toshio Suzuki (J)/Masahiko Kageyama (J)/Masami Kageyama (J)listed, never drove: Masanori Sekiya (J)",TV Asahi/CUP NECHÉ,white (+gold/red),Michelin,18/09/2020,Jean-Michel Lefebvre and Paul Kooyman,Panoz,LMP-1 Roadster S,#006,NA,Result: 6th (28 laps behind the winner)Grid: 12th (3:44.5990),6th (28 laps behind the winner)Grid: 12th (3:44.5990),finished,12,3:44.5990,28 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-023.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-023.jpg,https://www.racingsportscars.com/make/photo/Panoz.html,https://www.racingsportscars.com/type/photo/Panoz/LMP-1%20Roadster%20S.html,https://www.racingsportscars.com/chassis/photo/LMP-006.html,NA
le_mans,2000-06-18,51,Chrysler Viper GTS-R #C31 - Chrysler alu V10/90° 2v OHV 7986 cc N/A,7,GTS,Viper Team Oreca (F),Closed bodywork,Front-engined,"Karl Wendlinger (A)/Olivier Beretta (MC)/Dominique Dupuy (F)listed, never drove: Anthony Beltoise (F), Patrick Huisman (NL), Vincent Vosse (B), Ni Amorim (P), Jean-Philippe Belloc (F)",PlayStation/Mobil 1/CHRYSLER,red (+white),Michelin,18/09/2020,Jean-Michel Bosselet and Paul Kooyman,Chrysler,Viper,#C31,GTS-R,Result: 7th 1st in GTS (35 laps behind the winner)Grid: 24th (3:56.3270),7th 1st in GTS (35 laps behind the winner)Grid: 24th (3:56.3270),finished,24,3:56.3270,35 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-051.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-051.jpg,https://www.racingsportscars.com/make/photo/Chrysler.html,https://www.racingsportscars.com/type/photo/Chrysler/Viper.html,https://www.racingsportscars.com/chassis/photo/GTSR-C31.html,https://www.racingsportscars.com/suffix/photo/Chrysler/Viper/GTS-R.html
le_mans,2000-06-18,22,Panoz LMP-1 Roadster S #001 (Reynard) - Elan Power Products 6L8 alu/Roush V8/90° 2v OHV 6000 cc N/A,8,LMP900,TV Asahi Team Dragon (J),Open bodywork,Front-engined,"Keiichi Tsuchiya (J)/Masahiko Kondo (J)/Akira Iida (J)listed, never drove: Toshio Suzuki (J)",TV Asahi/CUP NECHÉ,white (+gold/red),Michelin,25/04/2006,Paul Kooyman,Panoz,LMP-1 Roadster S,#001,NA,Result: 8th (38 laps behind the winner)Grid: 13th (3:44.6270),8th (38 laps behind the winner)Grid: 13th (3:44.6270),finished,13,3:44.6270,38 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-022.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-022.jpg,https://www.racingsportscars.com/make/photo/Panoz.html,https://www.racingsportscars.com/type/photo/Panoz/LMP-1%20Roadster%20S.html,https://www.racingsportscars.com/chassis/photo/LMP-001.html,NA
le_mans,2000-06-18,53,Chrysler Viper GTS-R #C35 - Chrysler alu V10/90° 2v OHV 7986 cc N/A,9,GTS,Viper Team Oreca (F),Closed bodywork,Front-engined,"Anthony Beltoise (F)David Donohue (USA)/Ni Amorim (P)listed, never drove: Patrick Huisman (NL), Thomaz Mello-Breyner (P), Tommy Archer (USA), Manuel Mello-Breyner (P), Jean-Philippe Belloc (F), Pedro Mello-Breyner (P)",PlayStation/Mobil 1/CHRYSLER,red (+white),Michelin,25/04/2006,Paul Kooyman,Chrysler,Viper,#C35,GTS-R,Result: 9th (40 laps behind the winner)Grid: 28th (4:02.8370),9th (40 laps behind the winner)Grid: 28th (4:02.8370),finished,28,4:02.8370,40 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-053.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-053.jpg,https://www.racingsportscars.com/make/photo/Chrysler.html,https://www.racingsportscars.com/type/photo/Chrysler/Viper.html,https://www.racingsportscars.com/chassis/photo/GTSR-C35.html,https://www.racingsportscars.com/suffix/photo/Chrysler/Viper/GTS-R.html
le_mans,2000-06-18,64,Chevrolet Corvette C5-R #002 (Pratt & Miller) - Chevrolet LS1 alu V8/90° 2v OHV 6991 cc N/A,10,GTS,Corvette Racing-Gary Pratt (USA),Closed bodywork,Front-engined,"/Kelly Collins (USA)/Andy Pilgrim (USA)/Franck Fréon (F)listed, never drove: Ron Fellows (CDN), Justin Bell (GB), Chris Kneifel (USA)",Goodwrench/GMAC,yellow/white (+black),Goodyear,18/09/2020,"Jean-Michel Bosselet, Jean-Michel Lefebvre and Paul Kooyman",Chevrolet,Corvette C5,#002,-R,Result: 10th (41 laps behind the winner)Grid: 26th (3:58.6150),10th (41 laps behind the winner)Grid: 26th (3:58.6150),finished,26,3:58.6150,41 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2000/TN_Le_Mans-2000-06-18-064.jpg,https://www.racingsportscars.com/photo/2000/Le_Mans-2000-06-18-064.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette%20C5.html,https://www.racingsportscars.com/chassis/photo/C5R-002.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette%20C5/-R.html
