track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
norisring,1977-07-03,52,Porsche 935 #930 770 0905 - Porsche 930/72; no:0677 2904 F6 2v SOHC 2808 cc 1xKKK,1,Div.I,Jägermeister Max Moritz Team (D),Closed bodywork,Rear-engined,Manfred Schurti (FL),Jägermeister,orange,NA,31/05/2011,Harry Maurer,Porsche,935,#930 770 0905,NA,Result: winner - margin: 17s4Grid:,winner - margin: 17s4Grid:,finished,NA,NA,NA,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Norisring-1977-07-03t-052.jpg,https://www.racingsportscars.com/photo/1977/Norisring-1977-07-03t-052.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200905.html,NA
norisring,1977-07-03,50,Porsche 935/77 #003 - Porsche 930/72 F6 2v SOHC 2856 cc Twin-Turbo,2,Div.I,Martini Racing Porsche System (D),Closed bodywork,Rear-engined,"Bob Wollek (F)listed, never drove: Jacky Ickx (B)",MARTINI PORSCHE,white (+blue/red),Dunlop,31/05/2011,Harry Maurer,Porsche,935,#003,/77,Result: 2nd (17s4 behind the winner)Grid:,2nd (17s4 behind the winner)Grid:,finished,NA,NA,17s4 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Norisring-1977-07-03t-050.jpg,https://www.racingsportscars.com/photo/1977/Norisring-1977-07-03t-050.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/935-003%20R17.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/__77.html
norisring,1977-07-03,66,Porsche 935 #930 770 0908 - Porsche F6 2v SOHC Turbo,3,Div.I,Gelo Racing Team Georg Loos Werbe KG (D),Closed bodywork,Rear-engined,Rolf Stommelen (D),Shell/Warsteiner,red (+white),Goodyear,26/06/2010,Harry Maurer,Porsche,935,#930 770 0908,NA,Result: 3rd (2 laps behind the winner)Grid:,3rd (2 laps behind the winner)Grid:,finished,NA,NA,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Norisring-1977-07-03t-066.jpg,https://www.racingsportscars.com/photo/1977/Norisring-1977-07-03t-066.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200908.html,NA
norisring,1977-07-03,13,BMW 320 #E21-R1-10 - BMW M12/7 L4 4v DOHC 1991 cc N/A,4,Div.II,BMW Junior Team (D),Closed bodywork,Front-engined,Manfred Winkelhock (D),NA,white,Goodyear,27/07/2025,Classic and Vintage BMW and Harry Maurer,BMW,320,#E21-R1-10,NA,Result: 4th (2 laps behind the winner)Grid:,4th (2 laps behind the winner)Grid:,finished,NA,NA,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Norisring-1977-07-03t-013.jpg,https://www.racingsportscars.com/photo/1977/Norisring-1977-07-03t-013.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,https://www.racingsportscars.com/chassis/photo/E21-R1-10.html,NA
norisring,1977-07-03,58,Porsche 935 K #006 00019-K1 - Porsche F6 2v SOHC Turbo,5,Div.I,Kannacher GT-Racing (D),Closed bodywork,Rear-engined,Franz Konrad (A),KANNACHER GT,red,NA,03/08/2025,Classic and Vintage BMW,Porsche,935,#006 00019-K1,K,Result: 5th (2 laps behind the winner)Grid:,5th (2 laps behind the winner)Grid:,finished,NA,NA,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Norisring-1977-07-03t-058.jpg,https://www.racingsportscars.com/photo/1977/Norisring-1977-07-03t-058.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/006%2000019-K1.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K.html
norisring,1977-07-03,53,Porsche 934/5 #930 670 0168 - Porsche F6 2v SOHC Turbo,6,Div.I,Autohaus Max Moritz GmbH (D),Closed bodywork,Rear-engined,Edgar Dören (D),VALVOLINE/ROMULUS Werkzeuge/MAX MORITZ PORSCHE,white/blue/red,NA,31/05/2011,Harry Maurer,Porsche,934,#930 670 0168,/5,Result: 6th (3 laps behind the winner)Grid:,6th (3 laps behind the winner)Grid:,finished,NA,NA,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Norisring-1977-07-03t-053.jpg,https://www.racingsportscars.com/photo/1977/Norisring-1977-07-03t-053.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200168.html,https://www.racingsportscars.com/suffix/photo/Porsche/934/__5.html
norisring,1977-07-03,40,Porsche 935/77 2.0 #935/2-001 - Porsche 935/02 F6 2v SOHC 1425 cc 1xKKK,7,Div.II,Martini Racing Porsche System (D),Closed bodywork,Rear-engined,Jacky Ickx (B),MARTINI PORSCHE,white (+blue/red),Dunlop,26/06/2010,Harry Maurer,Porsche,935,#935/2-001,/77 2.0,Result: 7th (3 laps behind the winner)Grid:,7th (3 laps behind the winner)Grid:,finished,NA,NA,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Norisring-1977-07-03t-040.jpg,https://www.racingsportscars.com/photo/1977/Norisring-1977-07-03t-040.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/935__2-001.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/__77%202.0.html
norisring,1977-07-03,7,BMW 2002 Turbo # - BMW /Schnitzer L4 1428 cc Turbo,8,Div.II,Optische Werke G. Rodenstock (D),Closed bodywork,Front-engined,Peter Hennige (D),Rodenstock,red/yellow/blue,Dunlop,03/08/2025,Classic and Vintage BMW and Harry Maurer,BMW,2002,#,Turbo,Result: 8th (4 laps behind the winner)Grid:,8th (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Norisring-1977-07-03t-007.jpg,https://www.racingsportscars.com/photo/1977/Norisring-1977-07-03t-007.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/2002.html,https://www.racingsportscars.com/chassis/photo/2002-G5-Schnitzer-02%23.html,https://www.racingsportscars.com/suffix/photo/BMW/2002/Turbo.html
norisring,1977-07-03,4,BMW 320 # - BMW M12/7/GS L4 4v DOHC 1991 cc N/A,9,Div.II,Team Warsteiner GS-Tuning (D),Closed bodywork,Front-engined,Jörg Obermoser (D),Warsteiner,gold (+black),NA,31/05/2011,Harry Maurer,BMW,320,#,NA,Result: 9th (5 laps behind the winner)Grid:,9th (5 laps behind the winner)Grid:,finished,NA,NA,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Norisring-1977-07-03t-004.jpg,https://www.racingsportscars.com/photo/1977/Norisring-1977-07-03t-004.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,https://www.racingsportscars.com/chassis/photo/320-Gr5-GS%23.html,NA
norisring,1977-07-03,61,Porsche 934/5 #930 670 0158 - Porsche F6 2v SOHC Turbo,10,Div.I,Dieter Schornstein (D),Closed bodywork,Rear-engined,Dieter Schornstein (D),SEKURIT,blue/white,NA,NA,NA,Porsche,934,#930 670 0158,/5,Result: 10th (5 laps behind the winner)Grid:,10th (5 laps behind the winner)Grid:,finished,NA,NA,5 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200158.html,https://www.racingsportscars.com/suffix/photo/Porsche/934/__5.html
