track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
nurburgring,1976-05-30,7,BMW 3.5 CSL #2275982 - BMW M49/3 L6 4v DOHC 3498 cc N/A,1,Gr.5+3.0,Memphis Team International - BMW Schnitzer (D),Closed bodywork,Front-engined,Albrecht Krebs (D)/Dieter Quester (A),Gösser Beer/DENZEL,green (+blue/red),Goodyear,26/07/2025,Classic and Vintage BMW and Hartmut Schulz,BMW,3.5 CSL,#2275982,NA,Result: winner - (161.656 kph) - margin: 3m53s6Grid: 6th (8:12.1000),winner - (161.656 kph) - margin: 3m53s6Grid: 6th (8:12.1000),finished,6,8:12.1000,161.656 kph,NA,https://www.racingsportscars.com/tn/photo/1976/TN_Nurburgring-1976-05-30-007.jpg,https://www.racingsportscars.com/photo/1976/Nurburgring-1976-05-30-007.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/3.5%20CSL.html,https://www.racingsportscars.com/chassis/photo/2275982.html,NA
nurburgring,1976-05-30,6,Porsche 934/5 #930 670 0175 - Porsche 930/71 F6 2v SOHC 2993 cc Turbo,2,Gr.5+3.0,Gelo Racing Team (D),Closed bodywork,Rear-engined,Toine Hezemans (NL)/Tim Schenken (AUS),GEORG LOOS/TEBERNUM Krefeld,red (+white/yellow),Goodyear,30/04/2018,Hartmut Schulz,Porsche,934,#930 670 0175,/5,Result: 2nd (3m53s6 behind the winner)Grid: 4th (8:11.2000),2nd (3m53s6 behind the winner)Grid: 4th (8:11.2000),finished,4,8:11.2000,3m53s6 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1976/TN_Nurburgring-1976-05-30-006.jpg,https://www.racingsportscars.com/photo/1976/Nurburgring-1976-05-30-006.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200175.html,https://www.racingsportscars.com/suffix/photo/Porsche/934/__5.html
nurburgring,1976-05-30,25,Porsche 934 #930 670 0168 - Porsche 930/71 F6 2v SOHC 3000 cc Turbo,3,GT+3.0,Jägermeister Max Moritz Team (D),Closed bodywork,Rear-engined,"/Reinhardt Stenzel (D)/Helmut Kelleners (D)/Derek Bell (GB)listed, never drove: Günter Steckkönig (D)",Jägermeister,orange,Dunlop,26/07/2025,Classic and Vintage BMW,Porsche,934,#930 670 0168,NA,Result: 3rd 1st in GT+3.0 (1 lap behind the winner)Grid: 9th (8:17.9000),3rd 1st in GT+3.0 (1 lap behind the winner)Grid: 9th (8:17.9000),finished,9,8:17.9000,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1976/TN_Nurburgring-1976-05-30-025.jpg,https://www.racingsportscars.com/photo/1976/Nurburgring-1976-05-30-025.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200168.html,NA
nurburgring,1976-05-30,5,Porsche 934/5 #930 670 0171 - Porsche 930/71 F6 2v SOHC 2993 cc Turbo,4,Gr.5+3.0,GVEA (CH),Closed bodywork,Rear-engined,"Claude Haldi (CH)/Markus Hotz (CH)listed, never drove: Claude Ballot-Léna (F)",NA,red,NA,26/07/2025,Classic and Vintage BMW,Porsche,934,#930 670 0171,/5,Result: 4th (1 lap behind the winner)Grid: 12th (8:27.9000),4th (1 lap behind the winner)Grid: 12th (8:27.9000),finished,12,8:27.9000,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1976/TN_Nurburgring-1976-05-30-005.jpg,https://www.racingsportscars.com/photo/1976/Nurburgring-1976-05-30-005.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200171.html,https://www.racingsportscars.com/suffix/photo/Porsche/934/__5.html
nurburgring,1976-05-30,3,Porsche 934/5 #930 670 0151? - Porsche 930/71 F6 2v SOHC 2993 cc Turbo,5,Gr.5+3.0,Kannacher GT Racing (D),Closed bodywork,Rear-engined,"Gijs van Lennep (NL)/Hartwig Bertrams (D)listed, never drove: Jürgen Kannacher (D)",KANNACHER GT,red,Dunlop,18/11/2023,Hartwig Bertrams collection,Porsche,934,#930 670 0151?,/5,Result: 5th (2 laps behind the winner)Grid: 3rd (8:10.6000),5th (2 laps behind the winner)Grid: 3rd (8:10.6000),finished,3,8:10.6000,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1976/TN_Nurburgring-1976-05-30-003.jpg,https://www.racingsportscars.com/photo/1976/Nurburgring-1976-05-30-003.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200151.html,https://www.racingsportscars.com/suffix/photo/Porsche/934/__5.html
nurburgring,1976-05-30,26,Porsche 934 #930 670 0160 - Porsche 930/71 F6 2v SOHC 3000 cc Turbo,6,GT+3.0,Valvoline Deutschland (D),Closed bodywork,Rear-engined,Helmut Bross (D)/Eberhard Sindel (D),NA,white (+red/blue),Dunlop,26/07/2025,Classic and Vintage BMW,Porsche,934,#930 670 0160,NA,Result: 6th (3 laps behind the winner)Grid: 15th (8:38.1000),6th (3 laps behind the winner)Grid: 15th (8:38.1000),finished,15,8:38.1000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1976/TN_Nurburgring-1976-05-30-026.jpg,https://www.racingsportscars.com/photo/1976/Nurburgring-1976-05-30-026.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200160.html,NA
nurburgring,1976-05-30,33,Porsche 911 Carrera RSR #911 460 9073 - Porsche F6 2v SOHC 3000 cc N/A,7,Gr.5 3.0,Jägermeister Max Moritz Team (D),Closed bodywork,Rear-engined,"Eckhard Schimpf (D)/Edgar Dören (D)DNS: Helmut Kelleners (D), Derek Bell (GB)",Jägermeister,orange,NA,30/04/2018,Hartmut Schulz,Porsche,911 Carrera,#911 460 9073,RSR,Result: 7th 1st in Gr.5 3.0 (3 laps behind the winner)Grid: 17th (8:42.3000),7th 1st in Gr.5 3.0 (3 laps behind the winner)Grid: 17th (8:42.3000),finished,17,8:42.3000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1976/TN_Nurburgring-1976-05-30-033.jpg,https://www.racingsportscars.com/photo/1976/Nurburgring-1976-05-30-033.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/chassis/photo/911%20460%209073.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR.html
nurburgring,1976-05-30,32,Porsche 911 Carrera RSR 3.0 # - Porsche F6 2v SOHC 2994 cc N/A,8,Gr.5 3.0,Joseph Brambring (D),Closed bodywork,Rear-engined,"Jürgen Neuhaus (D)/Jürgen Barth (D)listed, never drove: Josef Brambring (D)",Shell,white,Dunlop,30/04/2018,Hartmut Schulz,Porsche,911 Carrera,#,RSR 3.0,Result: 8th (3 laps behind the winner)Grid: 14th (8:34.8000),8th (3 laps behind the winner)Grid: 14th (8:34.8000),finished,14,8:34.8000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1976/TN_Nurburgring-1976-05-30-032.jpg,https://www.racingsportscars.com/photo/1976/Nurburgring-1976-05-30-032.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/chassis/photo/911-Brambring%23.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR%203.0.html
nurburgring,1976-05-30,35,Porsche 911 Carrera RSR 3.0 #005 0004 (Kremer) - Porsche F6 2v SOHC 2994 cc N/A,9,Gr.5 3.0,Heinzmann-Rennfeuerschutz-Racing-Team (D),Closed bodywork,Rear-engined,"Herbert Asselborn (D)/Karl-Josef Römer (D)DNS: Jürgen Konrad (D), Georg Freiberger (D)",NA,NA,NA,NA,NA,Porsche,911 Carrera,#005 0004,RSR 3.0,Result: 9th (3 laps behind the winner)Grid: 22nd (9:01.5000),9th (3 laps behind the winner)Grid: 22nd (9:01.5000),finished,22,9:01.5000,3 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/chassis/photo/005%200004.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR%203.0.html
nurburgring,1976-05-30,24,Porsche 934 #930 670 0167 - Porsche 930/71 F6 2v SOHC 3000 cc Turbo,10,GT+3.0,Jägermeister Max Moritz Team (D),Closed bodywork,Rear-engined,Derek Bell (GB)/Günter Steckkönig (D)/Helmut Kelleners (D)/Reinhardt Stenzel (D),Jägermeister,orange,Dunlop,18/11/2023,Hartwig Bertrams collection,Porsche,934,#930 670 0167,NA,Result: 10th (3 laps behind the winner)Grid: 7th (8:17.4000),10th (3 laps behind the winner)Grid: 7th (8:17.4000),finished,7,8:17.4000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1976/TN_Nurburgring-1976-05-30-024.jpg,https://www.racingsportscars.com/photo/1976/Nurburgring-1976-05-30-024.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200167.html,NA
