track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
nurburgring,1971-06-27,29,BMW 2002 # - BMW L4 1990 cc N/A,1,T2.0,"BMW-Alpina, Buchloe (D)",Closed bodywork,Front-engined,Ferfried von Hohenzollern (D)/Gerold Pankl (A),NA,NA,NA,NA,NA,BMW,2002,#,NA,Result: winner - (118.900 kph) - margin: 47s000Grid: (9:46.0000),winner - (118.900 kph) - margin: 47s000Grid: (9:46.0000),finished,NA,NA,118.900 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/2002.html,https://www.racingsportscars.com/chassis/photo/2002-Alpina-Hohenzollern%23.html,NA
nurburgring,1971-06-27,2,BMW 2800 CS - BMW L6 2996 cc N/A,2,T+2.5,"BMW-Alpina-Essen, Ing. Rüdiger Faltz (D)",Closed bodywork,Front-engined,Rüdiger Faltz (D)/Jürgen Schulte-Oversohl (D),BMW ALPINA ESSEN/REPPEKUS & FALTZ,yellow (+black/blue/orange),NA,26/07/2025,Classic and Vintage BMW,BMW,2800 CS,NA,NA,Result: 2nd 1st in T+2.5 (47s000 behind the winner)Grid:,2nd 1st in T+2.5 (47s000 behind the winner)Grid:,finished,NA,NA,47s000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Nurburgring-1971-06-27-002.jpg,https://www.racingsportscars.com/photo/1971/Nurburgring-1971-06-27-002.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/2800%20CS.html,NA,NA
nurburgring,1971-06-27,8,BMW 2800 CS - BMW L6 2788 cc N/A,3,T+2.5,(D),Closed bodywork,Front-engined,Hans Eisenschenk (D)/Hans-Günter Stoffel (D),NA,NA,NA,NA,NA,BMW,2800 CS,NA,NA,Result: 3rd (4m52s000 behind the winner)Grid:,3rd (4m52s000 behind the winner)Grid:,finished,NA,NA,4m52s000 behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/2800%20CS.html,NA,NA
nurburgring,1971-06-27,45,Opel Manta A 19 SR - Opel L4 1897 cc N/A,4,T2.0,(D),Closed bodywork,Front-engined,Udo Hoffmann (D)/Johannes Breuer (D),NA,NA,NA,NA,NA,Opel,Manta,NA,A 19 SR,Result: 4th (2 laps behind the winner)Grid:,4th (2 laps behind the winner)Grid:,finished,NA,NA,2 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Manta.html,NA,https://www.racingsportscars.com/suffix/photo/Opel/Manta/A%2019%20SR.html
nurburgring,1971-06-27,62,BMW 1602 - BMW L4 1573 cc N/A,5,T1.6,Vorbrüggen KG (D),Closed bodywork,Front-engined,Eckhard Meding (D)/Willi Mücher (D),NA,NA,NA,NA,NA,BMW,1602,NA,NA,Result: 5th 1st in T1.6 (7 laps behind the winner)Grid:,5th 1st in T1.6 (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/1602.html,NA,NA
nurburgring,1971-06-27,4,Ford Capri RS 2600 - Ford V6 2900 cc N/A,6,T+2.5,Ford Odenthal (D),Closed bodywork,Front-engined,Waltraud Odenthal (D)/Bernd Terbeck (D),NA,NA,NA,NA,NA,Ford,Capri,NA,RS 2600,Result: 6th (7 laps behind the winner)Grid:,6th (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Capri.html,NA,https://www.racingsportscars.com/suffix/photo/Ford/Capri/RS%202600.html
nurburgring,1971-06-27,58,BMW 1602 - BMW L4 1573 cc N/A,7,T1.6,Hans-Peter Koepchen GmbH - BMW Tuning (D),Closed bodywork,Front-engined,Günther Mohrs (D)/Horst Bins (D),NA,NA,NA,NA,NA,BMW,1602,NA,NA,Result: 7th (7 laps behind the winner)Grid:,7th (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/1602.html,NA,NA
nurburgring,1971-06-27,26,BMW 2002 TI - BMW L4 1990 cc N/A,8,T2.0,Automobilclub Mayen 1927 (D),Closed bodywork,Front-engined,Kurt Hens (D)/Hans-Werner Brohl (D),NA,NA,NA,NA,NA,BMW,2002,NA,TI,Result: 8th (8 laps behind the winner)Grid:,8th (8 laps behind the winner)Grid:,finished,NA,NA,8 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/2002.html,NA,https://www.racingsportscars.com/suffix/photo/BMW/2002/TI.html
nurburgring,1971-06-27,92,Alfa Romeo 1300 GTA Junior - Alfa Romeo L4 1290 cc N/A,9,T1.3,(D),-,-,Lutz Busch (D)/Karl-Ernst Brune (D),NA,NA,NA,NA,NA,Alfa Romeo,1300 GTA Junior,NA,NA,Result: 9th 1st in T1.3 (9 laps behind the winner)Grid:,9th 1st in T1.3 (9 laps behind the winner)Grid:,finished,NA,NA,9 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/1300%20GTA%20Junior.html,NA,NA
nurburgring,1971-06-27,53,BMW 1602 - BMW L4 1573 cc N/A,10,T1.6,Automobilclub Mayen 1927 (D),Closed bodywork,Front-engined,Heinz Mundorf (D)/Hans Wendel (D),NA,NA,NA,NA,NA,BMW,1602,NA,NA,Result: 10th (10 laps behind the winner)Grid:,10th (10 laps behind the winner)Grid:,finished,NA,NA,10 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/1602.html,NA,NA
