track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
nurburgring,1979-10-07,27,Ford Escort II RS 2000 - Ford L4 1993 cc N/A,1,Gr.1 2.0,Sport Car Club of Stuttgart (D),Closed bodywork,Front-engined,Herbert Kummle (D)/Karl Mauer (D)/Winni Vogt (D),NA,NA,NA,NA,NA,Ford,Escort,II RS 2000,NA,Result: winner - (133.200 kph) - margin: 3 lapsGrid:,winner - (133.200 kph) - margin: 3 lapsGrid:,finished,NA,NA,133.200 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Escort.html,https://www.racingsportscars.com/suffix/photo/Ford/Escort/II%20RS%202000.html,NA
nurburgring,1979-10-07,6,Ford Capri III 3.0S - Ford V6 2993 cc N/A,2,Gr.1 3.0,Gordon Spice Racing (GB),Closed bodywork,Front-engined,Gordon Spice (GB)/Jean-Michel Martin (B)/Philippe Martin (B),NA,NA,NA,NA,NA,Ford,Capri,III 3.0S,NA,Result: 2nd 1st in Gr.1 3.0 (3 laps behind the winner)Grid:,2nd 1st in Gr.1 3.0 (3 laps behind the winner)Grid:,finished,NA,NA,3 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Capri.html,https://www.racingsportscars.com/suffix/photo/Ford/Capri/III%203.0S.html,NA
nurburgring,1979-10-07,44,Ford Escort II RS 2000 - Ford L4 1993 cc N/A,3,Gr.1 2.0,Ford Berkenkamp Racing (D),Closed bodywork,Front-engined,Dieter Selzer (D)/Winfried Maiworm (D)/Mathias Schneider (D),NA,NA,NA,NA,NA,Ford,Escort,II RS 2000,NA,Result: 3rd (4 laps behind the winner)Grid:,3rd (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Escort.html,https://www.racingsportscars.com/suffix/photo/Ford/Escort/II%20RS%202000.html,NA
nurburgring,1979-10-07,47,Ford Escort II RS 2000 - Ford L4 1993 cc N/A,4,Gr.1 2.0,Sportfahrergemeinschaft Köln (D),Closed bodywork,Front-engined,Franz-Josef Bröhling (D)/Manfred Lauderbach (D)/Heinz Schaaf (D),NA,NA,NA,NA,NA,Ford,Escort,II RS 2000,NA,Result: 4th (7 laps behind the winner)Grid:,4th (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Escort.html,https://www.racingsportscars.com/suffix/photo/Ford/Escort/II%20RS%202000.html,NA
nurburgring,1979-10-07,29,Ford Escort II RS 2000 - Ford L4 1993 cc N/A,5,Gr.1 2.0,AC Versmold e. V. im ADAC (D),Closed bodywork,Front-engined,Erwin Menzefricke/Hubert Wulff (D)/Bernd Sudhölter (D),NA,NA,NA,NA,NA,Ford,Escort,II RS 2000,NA,Result: 5th (8 laps behind the winner)Grid:,5th (8 laps behind the winner)Grid:,finished,NA,NA,8 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Escort.html,https://www.racingsportscars.com/suffix/photo/Ford/Escort/II%20RS%202000.html,NA
nurburgring,1979-10-07,10,Opel Commodore GS/E - Opel L6 2v CIH N/A,6,Gr.1 3.0,Gilden Kölsch Racing Team (D),Closed bodywork,Front-engined,Herbert Herler (D)/Fred Räk (D)/Ulli Lohrer,NA,NA,NA,NA,NA,Opel,Commodore,GS/E,NA,Result: 6th (8 laps behind the winner)Grid:,6th (8 laps behind the winner)Grid:,finished,NA,NA,8 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Commodore.html,https://www.racingsportscars.com/suffix/photo/Opel/Commodore/GS__E.html,NA
nurburgring,1979-10-07,31,Ford Escort RS 2000 - Ford L4 1993 cc N/A,7,Gr.1 2.0,Rallye Racing Team Scheer (D),Closed bodywork,Front-engined,Josef Högg/Axel von Hatten/Peter Kemmer,NA,NA,NA,NA,NA,Ford,Escort,RS 2000,NA,Result: 7th (9 laps behind the winner)Grid:,7th (9 laps behind the winner)Grid:,finished,NA,NA,9 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Escort.html,https://www.racingsportscars.com/suffix/photo/Ford/Escort/RS%202000.html,NA
nurburgring,1979-10-07,55,Audi 80 GTE - Audi L4 1588 cc N/A,8,Gr.1 1.6,ABEX-Pagid-Caramba Racing Team (D),Closed bodywork,-,Willi Bergmeister (D)/Peter Seikel (D)/Hans-Joachim Nowak (D),NA,NA,NA,NA,NA,Audi,80,GTE,NA,Result: 8th 1st in Gr.1 1.6 (10 laps behind the winner)Grid:,8th 1st in Gr.1 1.6 (10 laps behind the winner)Grid:,finished,NA,NA,10 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/80.html,https://www.racingsportscars.com/suffix/photo/Audi/80/GTE.html,NA
nurburgring,1979-10-07,46,Ford Escort RS 2000 - Ford L4 1993 cc N/A,9,Gr.1 2.0,(D),Closed bodywork,Front-engined,Friedhelm Mantz (D)/Hans-Jürgen Pill (D)/Erhard Brochwitz,NA,NA,NA,NA,NA,Ford,Escort,RS 2000,NA,Result: 9th (12 laps behind the winner)Grid:,9th (12 laps behind the winner)Grid:,finished,NA,NA,12 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Escort.html,https://www.racingsportscars.com/suffix/photo/Ford/Escort/RS%202000.html,NA
nurburgring,1979-10-07,23,BMW 2002 TII # - BMW L4 2v SOHC 1990 cc N/A,10,Gr.1 2.0,Yale Stapler Team (D),Closed bodywork,Front-engined,Heiner Müller (D)/Peter Biewald (D)/Michael Middelhaufe (D),NA,NA,NA,NA,NA,BMW,2002,TII,#,Result: 10th (12 laps behind the winner)Grid:,10th (12 laps behind the winner)Grid:,finished,NA,NA,12 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/2002.html,https://www.racingsportscars.com/suffix/photo/BMW/2002/TII.html,https://www.racingsportscars.com/chassis/photo/2002-Staple%23.html
