track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
sebring,1973-03-24,59,Porsche 911 Carrera RSR #911 360 0705 - Porsche F6 2v SOHC 2808 cc N/A,1,GTO,Dr. Dave Helmick (USA),Closed bodywork,Rear-engined,Peter Gregg (USA)/Hurley Haywood (USA)/Dave Helmick (USA),GARRARD,yellow,Goodyear,10/02/2012,"Fred Lewis, Louis Galanos and John B. MacNeill",Porsche,911 Carrera,RSR,#911 360 0705,Result: winner - (157.481 kph) - margin: 1 lapGrid: 4th (3:01.0800),winner - (157.481 kph) - margin: 1 lapGrid: 4th (3:01.0800),finished,4,3:01.0800,157.481 kph,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-059.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-059.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR.html,https://www.racingsportscars.com/chassis/photo/911%20360%200705.html
sebring,1973-03-24,1,Porsche 911 Carrera RSR 2.8 #911 360 0755 - Porsche F6 2v SOHC 2687 cc N/A,2,GTO,Toad Hall Motor Racing (USA),Closed bodywork,Rear-engined,Michael Keyser (USA)/Milt Minter (USA),Ethyl/Toad Hall Motor Racing,yellow,Goodyear,28/12/2007,Fred Lewis,Porsche,911 Carrera,RSR 2.8,#911 360 0755,Result: 2nd (1 lap behind the winner)Grid: 5th (3:01.5400),2nd (1 lap behind the winner)Grid: 5th (3:01.5400),finished,5,3:01.5400,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-001.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-001.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR%202.8.html,https://www.racingsportscars.com/chassis/photo/911%20360%200755.html
sebring,1973-03-24,50,Chevrolet Corvette C3 # - Chevrolet V8/90° 2v OHV 6997 cc N/A,3,GTO,John Greenwood Racing (USA),Closed hardtop bodywork,Front-engined,Ron Grable (USA)/John Greenwood (USA)/Mike Brockman (USA),Lifesaver Street Radial/BFG,white (+blue/red),BF Goodrich,28/12/2007,Fred Lewis,Chevrolet,Corvette,C3,#,Result: 3rd (7 laps behind the winner)Grid: 9th (3:05.5200),3rd (7 laps behind the winner)Grid: 9th (3:05.5200),finished,9,3:05.5200,7 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-050.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-050.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette/C3.html,https://www.racingsportscars.com/chassis/photo/Corvette-Greenwood-50%23.html
sebring,1973-03-24,81,Porsche 911 Carrera RSR 2.8 #911 360 0756 - Porsche F6 2v SOHC 2808 cc N/A,4,GTO,Far West Racing (USA),Closed bodywork,Rear-engined,Grey Egerton (USA)/Elliot Forbes-Robinson (USA),PHARR YARNS/Castrol/CIBIÉ,yellow,Goodyear,21/04/2008,Fred Lewis and Louis Galanos,Porsche,911 Carrera,RSR 2.8,#911 360 0756,Result: 4th (9 laps behind the winner)Grid: 7th (3:02.4300),4th (9 laps behind the winner)Grid: 7th (3:02.4300),finished,7,3:02.4300,9 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-081.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-081.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR%202.8.html,https://www.racingsportscars.com/chassis/photo/911%20360%200756.html
sebring,1973-03-24,17,Chevrolet Camaro II # - Chevrolet V8/90° 2v OHV N/A,5,TO,Vince Gimondo (USA),Closed bodywork,Front-engined,Vince Gimondo (USA)/Billy Dingman (USA),NA,NA,Goodyear,21/04/2008,Louis Galanos,Chevrolet,Camaro,II,#,Result: 5th 1st in TO (14 laps behind the winner)Grid: 10th (3:05.5800),5th 1st in TO (14 laps behind the winner)Grid: 10th (3:05.5800),finished,10,3:05.5800,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-017.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-017.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Camaro/II.html,https://www.racingsportscars.com/chassis/photo/Camaro-II-Gimondo%23.html
sebring,1973-03-24,37,Ford Mustang # - Ford Boss 302/Bud Moore Engineering V8 N/A,6,TO,Dan Moore (USA),Closed bodywork,Front-engined,Dan Moore (USA)/David McCullough (USA),NA,blue/white,NA,14/08/2010,David McCullough,Ford,Mustang,NA,#,Result: 6th (16 laps behind the winner)Grid: 22nd (3:10.9700),6th (16 laps behind the winner)Grid: 22nd (3:10.9700),finished,22,3:10.9700,16 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-037.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-037.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Mustang.html,NA,https://www.racingsportscars.com/chassis/photo/Mustang-Moore%23.html
sebring,1973-03-24,27,Porsche 911 ST #911 230 0538 - Porsche F6 2v SOHC N/A,7,GTU,Don Lindley,Closed bodywork,Rear-engined,"Don Lindley (USA)/Stephen Behr (USA)/Brian Goellnicht (USA)DNS: Pete Peters (USA); listed, never drove: John Bernadine (USA)",CIBIÉ,yellow,NA,10/02/2012,John B. MacNeill and Louis Galanos,Porsche,911,ST,#911 230 0538,Result: 7th 1st in GTU (17 laps behind the winner)Grid: 44th (3:21.9200),7th 1st in GTU (17 laps behind the winner)Grid: 44th (3:21.9200),finished,44,3:21.9200,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-027.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-027.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/ST.html,https://www.racingsportscars.com/chassis/photo/911%20230%200538.html
sebring,1973-03-24,76,Porsche 911 ST # - Porsche F6 2v SOHC N/A,8,GTU,Silverstone Racing Team (USA),Closed bodywork,Rear-engined,George Stone (USA)/Mike Downs (USA),NA,silver,Goodyear,15/02/2019,Greg Hampton and Louis Galanos,Porsche,911,ST,#,Result: 8th (17 laps behind the winner)Grid: 23rd (3:13.1200),8th (17 laps behind the winner)Grid: 23rd (3:13.1200),finished,23,3:13.1200,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-076.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-076.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/ST.html,https://www.racingsportscars.com/chassis/photo/911%20230%201514.html
sebring,1973-03-24,24,Chevrolet Camaro # - Chevrolet V8/90° 2v OHV N/A,9,TO,T. C. Racing (USA),Closed bodywork,Front-engined,Tim Chitwood (USA)/Joie Chitwood (USA)/Bob Nagel (USA),CHITWOOD,white (+yellow),Goodyear,21/04/2008,Louis Galanos,Chevrolet,Camaro,NA,#,Result: 9th (18 laps behind the winner)Grid: 18th (3:09.6000),9th (18 laps behind the winner)Grid: 18th (3:09.6000),finished,18,3:09.6000,18 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-024.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-024.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Camaro.html,NA,https://www.racingsportscars.com/chassis/photo/Camaro-I-Chitwood%23.html
sebring,1973-03-24,91,Porsche 911 S # - Porsche F6 2v SOHC N/A,10,GTU,Holbert's Porsche-Audi (USA),Closed bodywork,Rear-engined,Dieter Oest (USA)/Mike Tillson (USA)/Harry Bytzek (CDN),PORSCHE,NA,Goodyear,28/12/2007,Fred Lewis,Porsche,911,S,#,Result: 10th (28 laps behind the winner)Grid: 43rd (3:20.3700),10th (28 laps behind the winner)Grid: 43rd (3:20.3700),finished,43,3:20.3700,28 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1973/TN_Sebring-1973-03-24-091.jpg,https://www.racingsportscars.com/photo/1973/Sebring-1973-03-24-091.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911.html,https://www.racingsportscars.com/suffix/photo/Porsche/911/S.html,https://www.racingsportscars.com/chassis/photo/911S-Tilsson91%23.html
