track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
spa,1971-07-25,22,Ford Capri RS 2600 - Ford V6 2873 cc N/A,1,Div.3,Ford Köln,Closed bodywork,Front-engined,Dieter Glemser (D)/Alex Soler-Roig (E),NA,silver (+orange),NA,17/09/2012,Rallye Racing and Paul Kooyman,Ford,Capri,RS 2600,NA,Result: winner - (182.690 kph) - margin: 3 lapsGrid: 3rd (4:09.9000),winner - (182.690 kph) - margin: 3 lapsGrid: 3rd (4:09.9000),finished,3,4:09.9000,182.690 kph,NA,https://www.racingsportscars.com/tn/etcc/1971/TN_Spa-1971-07-25-022.jpg,https://www.racingsportscars.com/etcc/1971/Spa-1971-07-25-022.jpg,https://www.racingsportscars.com/make/photo/Ford.html?cat=4,https://www.racingsportscars.com/type/photo/Ford/Capri.html?cat=4,https://www.racingsportscars.com/suffix/photo/Ford/Capri/RS%202600.html?cat=4,NA
spa,1971-07-25,35,Mercedes-Benz 300 SEL 6.3 # - Mercedes-Benz V8 6834 cc N/A,2,Div.3,AMG,Closed bodywork,Front-engined,Clemens Schickentanz (D)Hans Heyer (D),AMG,red,NA,17/09/2012,Julien Garnier and Rallye Racing,Mercedes-Benz,300 SEL,6.3,#,Result: 2nd (3 laps behind the winner)Grid: 5th (4:14.5000),2nd (3 laps behind the winner)Grid: 5th (4:14.5000),finished,5,4:14.5000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/etcc/1971/TN_Spa-1971-07-25-035.jpg,https://www.racingsportscars.com/etcc/1971/Spa-1971-07-25-035.jpg,https://www.racingsportscars.com/make/photo/Mercedes-Benz.html?cat=4,https://www.racingsportscars.com/type/photo/Mercedes-Benz/300%20SEL.html?cat=4,https://www.racingsportscars.com/suffix/photo/Mercedes-Benz/300%20SEL/6.3.html?cat=4,https://www.racingsportscars.com/chassis/photo/300SEL-Heyer%23.html?cat=4
spa,1971-07-25,42,Alfa Romeo 2000 GTAm - Alfa Romeo L4 2v DOHC 1985 cc N/A,3,Div.2,Autodelta,Closed bodywork,Front-engined,Carlo Facetti (I)/Toine Hezemans (NL),NA,brown,Firestone,29/01/2006,Paul Kooyman,Alfa Romeo,2000 GTAm,NA,NA,Result: 3rd 1st in Div.2 (22 laps behind the winner)Grid: 12th (4:26.4000),3rd 1st in Div.2 (22 laps behind the winner)Grid: 12th (4:26.4000),finished,12,4:26.4000,22 laps behind the winner,NA,https://www.racingsportscars.com/tn/etcc/1971/TN_Spa-1971-07-25-042.jpg,https://www.racingsportscars.com/etcc/1971/Spa-1971-07-25-042.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html?cat=4,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/2000%20GTAm.html?cat=4,NA,NA
spa,1971-07-25,40,Alfa Romeo 2000 GTAm - Alfa Romeo L4 2v DOHC 1985 cc N/A,4,Div.2,Autodelta,Closed bodywork,Front-engined,Nino Vaccarella (I)/Jacques Berger (B),NA,NA,NA,NA,NA,Alfa Romeo,2000 GTAm,NA,NA,Result: 4th (22 laps behind the winner)Grid: 20th (4:30.1000),4th (22 laps behind the winner)Grid: 20th (4:30.1000),finished,20,4:30.1000,22 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html?cat=4,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/2000%20GTAm.html?cat=4,NA,NA
spa,1971-07-25,41,Alfa Romeo 2000 GTAm - Alfa Romeo L4 2v DOHC 1985 cc N/A,5,Div.2,Autodelta,Closed bodywork,Front-engined,Philippe Toussaint (B)/Pierre-Yves Bertinchamps (B),Shell,red,Firestone,28/09/2006,Julien Garnier,Alfa Romeo,2000 GTAm,NA,NA,Result: 5th (22 laps behind the winner)Grid: 24th (4:33.0000),5th (22 laps behind the winner)Grid: 24th (4:33.0000),finished,24,4:33.0000,22 laps behind the winner,NA,https://www.racingsportscars.com/tn/etcc/1971/TN_Spa-1971-07-25-041.jpg,https://www.racingsportscars.com/etcc/1971/Spa-1971-07-25-041.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html?cat=4,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/2000%20GTAm.html?cat=4,NA,NA
spa,1971-07-25,23,BMW 2800 CS - BMW L6 2996 cc N/A,6,Div.3,Team Luigi Racing,Closed bodywork,Front-engined,"Alain Peltier (B)/""Pedro"" (B)",NA,NA,NA,NA,NA,BMW,2800 CS,NA,NA,Result: 6th (31 laps behind the winner)Grid: 37th (4:49.3000),6th (31 laps behind the winner)Grid: 37th (4:49.3000),finished,37,4:49.3000,31 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html?cat=4,https://www.racingsportscars.com/type/photo/BMW/2800%20CS.html?cat=4,NA,NA
spa,1971-07-25,25,BMW 2800 CS - BMW L6 2996 cc N/A,7,Div.3,,Closed bodywork,Front-engined,"Pierre Maublanc (F)/Nicolas Koob (L)listed, never drove: Edgar Herrmann (EAK)",NA,NA,NA,NA,NA,BMW,2800 CS,NA,NA,Result: 7th (35 laps behind the winner)Grid: 52nd (5:08.1000),7th (35 laps behind the winner)Grid: 52nd (5:08.1000),finished,52,5:08.1000,35 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html?cat=4,https://www.racingsportscars.com/type/photo/BMW/2800%20CS.html?cat=4,NA,NA
spa,1971-07-25,34,Opel Commodore A GS/E # - Opel L6 2v CIH 2990 cc N/A,8,Div.3,,Closed bodywork,Front-engined,Dany Wauters (B)/Coemans,NA,NA,NA,NA,NA,Opel,Commodore,A GS/E,#,Result: 8th (36 laps behind the winner)Grid: 41st (4:53.4000),8th (36 laps behind the winner)Grid: 41st (4:53.4000),finished,41,4:53.4000,36 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html?cat=4,https://www.racingsportscars.com/type/photo/Opel/Commodore.html?cat=4,https://www.racingsportscars.com/suffix/photo/Opel/Commodore/A%20GS__E.html?cat=4,https://www.racingsportscars.com/chassis/photo/Commodore-Wauters%23.html?cat=4
spa,1971-07-25,24,BMW 2800 CS - BMW L6 2996 cc N/A,9,Div.3,,Closed bodywork,Front-engined,Achim Warmbold (D)/Rainer Braun (D),NA,NA,NA,NA,NA,BMW,2800 CS,NA,NA,Result: 9th (42 laps behind the winner)Grid: 48th (5:01.8000),9th (42 laps behind the winner)Grid: 48th (5:01.8000),finished,48,5:01.8000,42 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html?cat=4,https://www.racingsportscars.com/type/photo/BMW/2800%20CS.html?cat=4,NA,NA
spa,1971-07-25,33,BMW 2800 CS - BMW L6 2996 cc N/A,10,Div.3,,Closed bodywork,Front-engined,Helmut Gall (D)/Eckard Babendererde (D),NA,NA,NA,NA,NA,BMW,2800 CS,NA,NA,Result: 10th (49 laps behind the winner)Grid: 47th (5:01.2000),10th (49 laps behind the winner)Grid: 47th (5:01.2000),finished,47,5:01.2000,49 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html?cat=4,https://www.racingsportscars.com/type/photo/BMW/2800%20CS.html?cat=4,NA,NA
