track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
suzuka,1995-08-27,1,McLaren F1 GTR #02R - BMW S70/3 V12/60° 4v DOHC 6064 cc N/A,1,GT1,Gulf Racing/GTC (GB),Closed bodywork,Mid-engined,Maurizio Sandro Sala (BR)/Masanori Sekiya (J)/Ray Bellm (GB),Ueno Clinic/Gulf,dark blue,Michelin,15/12/2016,Osam Kuwata,McLaren,F1 GTR,#02R,NA,Result: winner - (151.033 kph) - margin: 2 lapsGrid: 4th (2:06.1430),winner - (151.033 kph) - margin: 2 lapsGrid: 4th (2:06.1430),finished,4,2:06.1430,151.033 kph,NA,https://www.racingsportscars.com/tn/photo/1995/TN_Suzuka-1995-08-27-001.jpg,https://www.racingsportscars.com/photo/1995/Suzuka-1995-08-27-001.jpg,https://www.racingsportscars.com/make/photo/McLaren.html,https://www.racingsportscars.com/type/photo/McLaren/F1%20GTR.html,https://www.racingsportscars.com/chassis/photo/GTR-02R.html,NA
suzuka,1995-08-27,8,McLaren F1 GTR #03R - BMW S70/3 V12/60° 4v DOHC 6064 cc N/A,2,GT1,West Competition (GB),Closed bodywork,Mid-engined,John Nielsen (DK)/Thomas Bscher (D),Davidoff,NA,Goodyear,NA,NA,McLaren,F1 GTR,#03R,NA,Result: 2nd (2 laps behind the winner)Grid: 6th (2:07.2950),2nd (2 laps behind the winner)Grid: 6th (2:07.2950),finished,6,2:07.2950,2 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/McLaren.html,https://www.racingsportscars.com/type/photo/McLaren/F1%20GTR.html,https://www.racingsportscars.com/chassis/photo/GTR-03R.html,NA
suzuka,1995-08-27,60,Ferrari F40 GTE #ZFFGJ34B000082404 - Ferrari F120 B V8/90° 4v DOHC Twin-Turbo,3,GT1,Ferrari Club Italia (I),Closed bodywork,Mid-engined,Anders Olofsson (S)/Luciano Della Noce (I)/Fabio Mancini (I),Brummel/FAGIOLI,red/green (+white),Pirelli,15/12/2016,Osam Kuwata,Ferrari,F40,#ZFFGJ34B000082404,GTE,Result: 3rd (3 laps behind the winner)Grid: 2nd (2:05.1690),3rd (3 laps behind the winner)Grid: 2nd (2:05.1690),finished,2,2:05.1690,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1995/TN_Suzuka-1995-08-27-060.jpg,https://www.racingsportscars.com/photo/1995/Suzuka-1995-08-27-060.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/F40.html,https://www.racingsportscars.com/chassis/photo/ZFFGJ34B000082404.html,https://www.racingsportscars.com/suffix/photo/Ferrari/F40/GTE.html
suzuka,1995-08-27,86,Porsche 993 GT2 Evo #WP0ZZZ99ZTS393103 - Porsche Typ M64/83 F6 2v DOHC 3600 cc 2xKKK27,4,GT1,Larbre Competition (F),Closed bodywork,Rear-engined,Jean-Pierre Jarier (F)Bob Wollek (F),GITANES BLONDE/MOTUL,blue,Michelin,15/12/2016,Osam Kuwata,Porsche,993 GT2,#WP0ZZZ99ZTS393103,Evo,Result: 4th (3 laps behind the winner)Grid: 13th (2:11.0470),4th (3 laps behind the winner)Grid: 13th (2:11.0470),finished,13,2:11.0470,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1995/TN_Suzuka-1995-08-27-086.jpg,https://www.racingsportscars.com/photo/1995/Suzuka-1995-08-27-086.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/993%20GT2.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99ZTS393103.html,https://www.racingsportscars.com/suffix/photo/Porsche/993%20GT2/Evo.html
suzuka,1995-08-27,100,Honda NSX Turbo (NA1) (Thompson) - Honda VTEC V6/90° 4v QOHC 2977 cc Turbo,5,LM GT2,Team Kunimitsu (J),Closed bodywork,Mid-engined,Kunimitsu Takahashi (J)/Keiichi Tsuchiya (J)/Akira Iida (J),KENWOOD/KANEKO/Kunimitsu/Castrol/ADVAN,red,Yokohama,15/12/2016,Osam Kuwata,Honda,NSX,NA,Turbo (NA1),Result: 5th 1st in LM GT2 (4 laps behind the winner)Grid: 19th (2:12.1880),5th 1st in LM GT2 (4 laps behind the winner)Grid: 19th (2:12.1880),finished,19,2:12.1880,4 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1995/TN_Suzuka-1995-08-27-100.jpg,https://www.racingsportscars.com/photo/1995/Suzuka-1995-08-27-100.jpg,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/NSX.html,NA,https://www.racingsportscars.com/suffix/photo/Honda/NSX/Turbo%20(NA1).html
suzuka,1995-08-27,61,Ferrari F40 GTE #ZFFGJ34B000090001 (Michelotto) - Ferrari F120 B V8/90° 4v DOHC Twin-Turbo,6,GT1,Ferrari Club Italia (I),Closed bodywork,Mid-engined,Tetsuya Ōta (J)/Massimo Monti (I)/Gary Ayles (GB),Brummel/FAGIOLI,red/green (+white),Pirelli,15/12/2016,Osam Kuwata,Ferrari,F40,#ZFFGJ34B000090001,GTE,Result: 6th (4 laps behind the winner)Grid: 10th (2:07.9400),6th (4 laps behind the winner)Grid: 10th (2:07.9400),finished,10,2:07.9400,4 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1995/TN_Suzuka-1995-08-27-061.jpg,https://www.racingsportscars.com/photo/1995/Suzuka-1995-08-27-061.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/F40.html,https://www.racingsportscars.com/chassis/photo/ZFFGJ34B000090001.html,https://www.racingsportscars.com/suffix/photo/Ferrari/F40/GTE.html
suzuka,1995-08-27,90,Venturi 600 SLM #VK8CLM611950009 - Renault PRV V6,7,GT1,Société Venturi SA (F),Closed bodywork,-,Jean-Marc Gounon (F)/Philippe Gache (F)/Arnaud Trévisiol (F),NA,silver,Michelin,06/07/2015,Didier Caradec,Venturi,600,#VK8CLM611950009,SLM,Result: 7th (5 laps behind the winner)Grid: 8th (2:07.5380),7th (5 laps behind the winner)Grid: 8th (2:07.5380),finished,8,2:07.5380,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1995/TN_Suzuka-1995-08-27-090.jpg,https://www.racingsportscars.com/photo/1995/Suzuka-1995-08-27-090.jpg,https://www.racingsportscars.com/make/photo/Venturi.html,https://www.racingsportscars.com/type/photo/Venturi/600.html,https://www.racingsportscars.com/chassis/photo/VK8CLM611950009.html,https://www.racingsportscars.com/suffix/photo/Venturi/600/SLM.html
suzuka,1995-08-27,55,Porsche 993 GT2 R #WP0ZZZ99ZTS393067 - Porsche Typ M64/81 F6 2v DOHC 3600 cc Twin-Turbo,8,GT3,Stadler Motorsport (CH),Closed bodywork,Rear-engined,Enzo Calderari (CH)Lilian Bryner (CH)/Stéphane Ratel (F),Tissot,NA,Pirelli,NA,NA,Porsche,993 GT2,#WP0ZZZ99ZTS393067,R,Result: 8th 1st in GT3 (8 laps behind the winner)Grid: 26th (2:15.5550),8th 1st in GT3 (8 laps behind the winner)Grid: 26th (2:15.5550),finished,26,2:15.5550,8 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/993%20GT2.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99ZTS393067.html,https://www.racingsportscars.com/suffix/photo/Porsche/993%20GT2/R.html
suzuka,1995-08-27,19,Samos FS 951 - Nissan,9,RS,FRD,-,-,"Masaki Jounai (J)/Tatsuya Tanigawa (J)listed, never drove: Nobuhido Umehara (J)",Rapido,NA,Dunlop,NA,NA,Samos,FS 951,NA,NA,Result: 9th 1st in RS (9 laps behind the winner)Grid: 16th (2:11.8940),9th 1st in RS (9 laps behind the winner)Grid: 16th (2:11.8940),finished,16,2:11.8940,9 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Samos.html,https://www.racingsportscars.com/type/photo/Samos/FS%20951.html,NA,NA
suzuka,1995-08-27,20,Porsche 993 GT2 R #WP0ZZZ99ZTS393081 - Porsche Typ M64/81 F6 2v DOHC 3600 cc Twin-Turbo,10,GT3,Konrad Motorsport (D),Closed bodywork,Rear-engined,Franz Konrad (A)/Antônio Hermann (BR),NA,NA,Pirelli,NA,NA,Porsche,993 GT2,#WP0ZZZ99ZTS393081,R,Result: 10th (10 laps behind the winner)Grid: 30th (2:16.8350),10th (10 laps behind the winner)Grid: 30th (2:16.8350),finished,30,2:16.8350,10 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/993%20GT2.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99ZTS393081.html,https://www.racingsportscars.com/suffix/photo/Porsche/993%20GT2/R.html
