track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
laguna_seca,1981-05-03,7,Lola T600 #HU1 - Chevrolet V8/90° 2v OHV N/A,1,GTX,Cooke Woods/Garretson (USA),Closed bodywork,Mid-engined,Brian Redman (GB),CW/COOKE WOODS RACING,yellow (+dark blue),Goodyear,03/02/2023,Bob Moffett,Lola,T600,#HU1,NA,Result: winner - (169.234 kph) - margin: 11s0515Grid: 5th,winner - (169.234 kph) - margin: 11s0515Grid: 5th,finished,5,NA,169.234 kph,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Laguna_Seca-1981-05-03-007.jpg,https://www.racingsportscars.com/photo/1981/Laguna_Seca-1981-05-03-007.jpg,https://www.racingsportscars.com/make/photo/Lola.html,https://www.racingsportscars.com/type/photo/Lola/T600.html,https://www.racingsportscars.com/chassis/photo/T600-HU1.html,NA
laguna_seca,1981-05-03,8,Porsche 935 JLP-3 #JLP-3 (Gaaco) - Porsche 930/80 F6 2v SOHC Turbo,2,GTX,JLP Racing (USA),Closed bodywork,Rear-engined,"John Paul, Jr. (USA)",J.L.P. RACING,light blue (+yellow),NA,03/02/2023,Bob Moffett,Porsche,935,#JLP-3,JLP-3,Result: 2nd (11s0515 behind the winner)Grid: 2nd,2nd (11s0515 behind the winner)Grid: 2nd,finished,2,NA,11s0515 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Laguna_Seca-1981-05-03-008.jpg,https://www.racingsportscars.com/photo/1981/Laguna_Seca-1981-05-03-008.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/JLP-3.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/JLP-3.html
laguna_seca,1981-05-03,1,Porsche 935 K3/80 #000 00011 (Kremer) - Porsche F6 2v SOHC Turbo,3,GTX,John Fitzpatrick (GB),Closed bodywork,Rear-engined,John Fitzpatrick (GB),SACHS/COX,white (+blue),Goodyear,03/02/2023,Bob Moffett,Porsche,935,#000 00011,K3/80,Result: 3rd (0 laps behind the winner)Grid: 1st (1:01.5410),3rd (0 laps behind the winner)Grid: 1st (1:01.5410),finished,1,1:01.5410,0 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Laguna_Seca-1981-05-03-001.jpg,https://www.racingsportscars.com/photo/1981/Laguna_Seca-1981-05-03-001.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/000%2000011.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K3__80.html
laguna_seca,1981-05-03,9,Porsche 935 K3/80 #009 00030 - Porsche F6 2v SOHC Twin-Turbo,4,GTX,Cooke Woods/Garretson (USA),Closed bodywork,Rear-engined,Bobby Rahal (USA),NA,NA,NA,NA,NA,Porsche,935,#009 00030,K3/80,Result: 4th (0 laps behind the winner)Grid: 3rd,4th (0 laps behind the winner)Grid: 3rd,finished,3,NA,0 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/009%2000030.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K3__80.html
laguna_seca,1981-05-03,0,Porsche 935 K3/80 #000 00027 (Kremer) - Porsche 930/80 F6 2v SOHC Turbo,5,GTX,Interscope Racing (USA),Closed bodywork,Rear-engined,Danny Ongais (USA),Panasonic,black (+red/orange/pink),Goodyear,NA,NA,Porsche,935,#000 00027,K3/80,Result: 5th (0 laps behind the winner)Grid: 11th,5th (0 laps behind the winner)Grid: 11th,finished,11,NA,0 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/000%2000027.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K3__80.html
laguna_seca,1981-05-03,2,March 81P #81P-01 - BMW M88 L6 DOHC 3500 cc N/A,6,GTX,BMW Motorsport (USA),Closed bodywork,Mid-engined,David Hobbs (GB),KENWOOD,white (+blue/red),Goodyear,03/02/2023,Bob Moffett,March,81P,#81P-01,NA,Result: 6th (1 lap behind the winner)Grid: 7th,6th (1 lap behind the winner)Grid: 7th,finished,7,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Laguna_Seca-1981-05-03-002.jpg,https://www.racingsportscars.com/photo/1981/Laguna_Seca-1981-05-03-002.jpg,https://www.racingsportscars.com/make/photo/March.html,https://www.racingsportscars.com/type/photo/March/81P.html,https://www.racingsportscars.com/chassis/photo/81P-01.html,NA
laguna_seca,1981-05-03,0,Porsche 935 K3/80 #000 00010 (Kremer) - Porsche F6 2v SOHC Turbo,7,GTX,Interscope Racing (USA),Closed bodywork,Rear-engined,Ted Field (USA),NA,NA,NA,NA,NA,Porsche,935,#000 00010,K3/80,Result: 7th (1 lap behind the winner)Grid: 8th,7th (1 lap behind the winner)Grid: 8th,finished,8,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/000%2000010.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K3__80.html
laguna_seca,1981-05-03,30,Porsche 935/78-81 #JR-001 (Joest) - Porsche 930/79 F6 2v SOHC 3124 cc Turbo,8,GTX,Momo/Penthouse (I),Closed bodywork,Rear-engined,Gianpiero Moretti (I),momo/PENTHOUSE,red (+yellow),Goodyear,03/02/2023,Bob Moffett,Porsche,935,#JR-001,/78-81,Result: 8th (1 lap behind the winner)Grid: 9th,8th (1 lap behind the winner)Grid: 9th,finished,9,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Laguna_Seca-1981-05-03-030.jpg,https://www.racingsportscars.com/photo/1981/Laguna_Seca-1981-05-03-030.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/935__81%20JR-001.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/__78-81.html
laguna_seca,1981-05-03,86,Porsche 935/80 #000 00024 (Brumos) - Porsche F6 2v SOHC Turbo,9,GTX,Bayside Disposal Racing (USA),Closed bodywork,Rear-engined,Hurley Haywood (USA),NA,white (+pink/dark blue),NA,03/02/2023,Bob Moffett,Porsche,935,#000 00024,/80,Result: 9th (1 lap behind the winner)Grid: 10th,9th (1 lap behind the winner)Grid: 10th,finished,10,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Laguna_Seca-1981-05-03-086.jpg,https://www.racingsportscars.com/photo/1981/Laguna_Seca-1981-05-03-086.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/000%2000024.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/__80.html
laguna_seca,1981-05-03,19,Chevrolet Monza #DeKon 1011 (DeKon) - Chevrolet V8/90° 2v OHV N/A,10,GTX,Chris Cord (USA),Closed bodywork,Front-engined,Chris Cord (USA),NA,NA,NA,NA,NA,Chevrolet,Monza,#DeKon 1011,NA,Result: 10th (2 laps behind the winner)Grid: 13th,10th (2 laps behind the winner)Grid: 13th,finished,13,NA,2 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Monza.html,https://www.racingsportscars.com/chassis/photo/DeKon%201011.html,NA
