track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
le_mans,2001-06-17,1,Audi R8 #503 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,1,LMP900,Audi Sport Team Joest (D),Open bodywork,Mid-engined,"Frank Biela (D)Emanuele Pirro (I)/Tom Kristensen (DK)listed, never drove: Michele Alboreto (I), Laurent Aiello (F), Rinaldo Capello (I)",Infineon,silver (+red),Michelin,25/04/2006,Paul Kooyman,Audi,R8,#503,NA,Result: winner - (180.949 kph) - margin: 1 lapGrid: 2nd (3:32.4580),winner - (180.949 kph) - margin: 1 lapGrid: 2nd (3:32.4580),finished,2,3:32.4580,180.949 kph,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-001.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-001.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100503.html,NA
le_mans,2001-06-17,2,Audi R8 #505 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,2,LMP900,Audi Sport North America (D),Open bodywork,Mid-engined,"Laurent Aiello (F)/Rinaldo Capello (I)/Christian Pescatori (I)preliminary session only: Tom Kristensen (DK); listed, never drove: Emanuele Pirro (I), Michele Alboreto (I), Frank Biela (D)",Infineon,silver (+yellow),Michelin,25/04/2006,Paul Kooyman,Audi,R8,#505,NA,Result: 2nd (1 lap behind the winner)Grid: 1st (3:32.4290),2nd (1 lap behind the winner)Grid: 1st (3:32.4290),finished,1,3:32.4290,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-002.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-002.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100505.html,NA
le_mans,2001-06-17,8,Bentley EXP Speed 8 #002/3 (RTN) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,3,GTP,Team Bentley (GB),Closed bodywork,Mid-engined,"Andy Wallace (GB)/Eric van de Poele (B)/Butch Leitzinger (USA)preliminary session only: Guy Smith (GB); listed, never drove: Martin Brundle (GB), Perry McCarthy (GB), James Weaver (GB)",BENTLEY,dark green (+gold),Dunlop,25/04/2006,Paul Kooyman,Bentley,EXP Speed 8,#002/3,NA,Result: 3rd 1st in GTP (15 laps behind the winner)Grid: 9th (3:37.4080),3rd 1st in GTP (15 laps behind the winner)Grid: 9th (3:37.4080),finished,9,3:37.4080,15 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-008.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-008.jpg,https://www.racingsportscars.com/make/photo/Bentley.html,https://www.racingsportscars.com/type/photo/Bentley/EXP%20Speed%208.html,https://www.racingsportscars.com/chassis/photo/002__3.html,NA
le_mans,2001-06-17,16,Chrysler LMP #DO 002 (Dallara) - Chrysler Mopar V8/90° 2v OHV 5998 cc N/A,4,LMP900,Team PlayStation (F),Open bodywork,Mid-engined,"Olivier Beretta (MC)Pedro Lamy (P)/Karl Wendlinger (A)preliminary session only: Stéphane Sarrazin (F); listed, never drove: Norman Simon (D)",PlayStation 2/CHRYSLER,silver/blue (+yellow/white),Michelin,25/04/2006,Paul Kooyman,Chrysler,LMP,#DO 002,NA,Result: 4th (23 laps behind the winner)Grid: 6th (3:36.1550),4th (23 laps behind the winner)Grid: 6th (3:36.1550),finished,6,3:36.1550,23 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-016.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-016.jpg,https://www.racingsportscars.com/make/photo/Chrysler.html,https://www.racingsportscars.com/type/photo/Chrysler/LMP.html,https://www.racingsportscars.com/chassis/photo/DO%20002.html,NA
le_mans,2001-06-17,38,Reynard 2KQ #009 - VW Lehmann HPT/ROC L4 4v DOHC 1997 cc 1xKKK,5,LMP675,ROC Auto (F),Open bodywork,Mid-engined,Jordi Gene (E)/Jean-Denis Delétraz (CH)/Pascal Fabre (F),IMVEST/SWAN VISION 64,lime green/dark blue/silver,Michelin,25/04/2006,Paul Kooyman,Reynard,2KQ,#009,NA,Result: 5th 1st in LMP675 (37 laps behind the winner)Grid: 23rd (3:44.1980),5th 1st in LMP675 (37 laps behind the winner)Grid: 23rd (3:44.1980),finished,23,3:44.1980,37 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-038.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-038.jpg,https://www.racingsportscars.com/make/photo/Reynard.html,https://www.racingsportscars.com/type/photo/Reynard/2KQ.html,https://www.racingsportscars.com/chassis/photo/2KQ-009.html,NA
le_mans,2001-06-17,83,Porsche 996 GT3-RS #WP0ZZZ99Z1S692075 - Porsche M96/77 F6 4v DOHC 3598 cc N/A,6,GT,Seikel Motorsport (D),Closed bodywork,Rear-engined,"Luca Drudi (I)/Fabio Babini (I)/Gabrio Rosa (I)listed, never drove: Alex Caffi (I)",ROSA & C./Scola,black/yellow,Yokohama,12/08/2002,Jean-Michel Lefebvre,Porsche,996 GT3-RS,#WP0ZZZ99Z1S692075,NA,Result: 6th 1st in GT (38 laps behind the winner)Grid: 40th (4:11.7870),6th 1st in GT (38 laps behind the winner)Grid: 40th (4:11.7870),finished,40,4:11.7870,38 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-083.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-083.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996%20GT3-RS.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99Z1S692075.html,NA
le_mans,2001-06-17,77,Porsche 996 GT3-RS #WP0ZZZ99Z1S692078 - Porsche M96/77 F6 4v DOHC 3598 cc N/A,7,GT,Freisinger Motorsports (D),Closed bodywork,Rear-engined,"Romain Dumas (F)/Philippe Haezebrouck (F)/Gunnar Jeannette (USA)preliminary session only: Nigel Smith (GB), Xavier Pompidou (F); listed, never drove: Wolfgang Kaufmann (D), Yukihiro Hane (J), Greg Atkinson (GB), Dirk Schoysman (B)",SPB/ATS,white (+blue),Yokohama,12/08/2002,Jean-Michel Lefebvre,Porsche,996 GT3-RS,#WP0ZZZ99Z1S692078,NA,Result: 7th (39 laps behind the winner)Grid: 42nd (4:13.8160),7th (39 laps behind the winner)Grid: 42nd (4:13.8160),finished,42,4:13.8160,39 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-077.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-077.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996%20GT3-RS.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99Z1S692078.html,NA
le_mans,2001-06-17,63,Chevrolet Corvette C5-R #003 (Pratt & Miller) - Chevrolet LS1 V8/90° 2v OHV 6991 cc N/A,8,GTS,Corvette Racing Pratt (USA),Closed bodywork,Front-engined,"Ron Fellows (CDN)/Johnny O'Connell (USA)/Scott Pruett (USA)listed, never drove: Andy Pilgrim (USA), Franck Fréon (F), Chris Kneifel (USA), Kelly Collins (USA)",Goodwrench/GMAC/AER,yellow,Goodyear,07/10/2002,GM Racing,Chevrolet,Corvette C5,#003,-R,Result: 8th 1st in GTS (43 laps behind the winner)Grid: 27th (3:55.5520),8th 1st in GTS (43 laps behind the winner)Grid: 27th (3:55.5520),finished,27,3:55.5520,43 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-063.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-063.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette%20C5.html,https://www.racingsportscars.com/chassis/photo/C5R-003.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette%20C5/-R.html
le_mans,2001-06-17,75,Porsche 996 GT3-RS #WP0ZZZ99Z1S692081 - Porsche M96/77 F6 4v DOHC 3598 cc N/A,9,GT,Perspective Racing (F),Closed bodywork,Rear-engined,Thierry Perrier (F)/Nigel Smith (GB)/Michel Neugarten (B)preliminary session only: David Loger (F),LA MONTRE HERMES/Expotech/PARISHOTELS.COM,orange/dark blue,Dunlop,12/08/2002,Jean-Michel Lefebvre,Porsche,996 GT3-RS,#WP0ZZZ99Z1S692081,NA,Result: 9th (46 laps behind the winner)Grid: 47th (4:20.6670),9th (46 laps behind the winner)Grid: 47th (4:20.6670),finished,47,4:20.6670,46 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-075.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-075.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996%20GT3-RS.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99Z1S692081.html,NA
le_mans,2001-06-17,80,Porsche 996 GT3-RS #WP0ZZZ99Z1S692070 - Porsche M96/77 F6 4v DOHC 3598 cc N/A,10,GT,Larbre Compétition (F),Closed bodywork,Rear-engined,Patrice Goueslard (F)/Jean-Luc Chéreau (F)/Sébastien Dumez (F),CHEREAU/FAT,white/red/black,Michelin,12/08/2002,Jean-Michel Lefebvre,Porsche,996 GT3-RS,#WP0ZZZ99Z1S692070,NA,Result: 10th (47 laps behind the winner)Grid: 39th (4:11.7380),10th (47 laps behind the winner)Grid: 39th (4:11.7380),finished,39,4:11.7380,47 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2001/TN_Le_Mans-2001-06-17-080.jpg,https://www.racingsportscars.com/photo/2001/Le_Mans-2001-06-17-080.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996%20GT3-RS.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99Z1S692070.html,NA
