year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
1989,63,Sauber C9/88 #88-C9-03 - Mercedes M119 V8/90° 4v 4973 cc 2xKKK K27,1,C1,Team Sauber Mercedes (CH/D),Closed bodywork,Mid-engined,Jochen Mass (D)/Manuel Reuter (D)/Stanley Dickens (S),AEG,silver (+black),Michelin,17/04/2003,Jeremy Jackson,Sauber,C9,/88,#88-C9-03,Result: winner - (219.990 kph) - margin: 5 lapsGrid: 11th (3:22.8600) - 12th fastest qualifier,winner - (219.990 kph) - margin: 5 lapsGrid: 11th (3:22.8600) - 12th fastest qualifier,finished,11,3:22.8600,219.990 kph,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-063.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Sauber.html,https://www.racingsportscars.com/type/photo/Sauber/C9.html,https://www.racingsportscars.com/suffix/photo/Sauber/C9/__88.html,https://www.racingsportscars.com/chassis/photo/88-C9-03.html
1989,61,Sauber C9/88 #88-C9-04 - Mercedes M119 V8/90° 4v 4973 cc 2xKKK K27,2,C1,Team Sauber Mercedes (CH/D),Closed bodywork,Mid-engined,"Mauro Baldi (I)Gianfranco Brancatelli (I)/Kenny Acheson (GB)listed, never drove: Jean-Louis Schlesser (F), Alain Cudini (F), Jean-Pierre Jabouille (F)",AEG/MERCEDES-BENZ,silver (+black),Michelin,17/04/2003,Jeremy Jackson,Sauber,C9,/88,#88-C9-04,Result: 2nd (5 laps behind the winner)Grid: 2nd (3:15.6700) - 3rd fastest qualifier,2nd (5 laps behind the winner)Grid: 2nd (3:15.6700) - 3rd fastest qualifier,finished,2,3:15.6700,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-061.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Sauber.html,https://www.racingsportscars.com/type/photo/Sauber/C9.html,https://www.racingsportscars.com/suffix/photo/Sauber/C9/__88.html,https://www.racingsportscars.com/chassis/photo/88-C9-04.html
1989,9,Porsche 962 C #145 (Joest) - Porsche F6 4v DOHC 2998 cc Turbo,3,C1,Joest Racing (D),Closed bodywork,Mid-engined,"Hans-Joachim Stuck (D)Bob Wollek (F)listed, never drove: ""John Winter"" (D)",BLAUPUNKT/###/SACHS,pink/white (+grey),Goodyear,20/09/2009,Philippe Moriniere and Jean-Pierre Monier,Porsche,962,C,#145,Result: 3rd (7 laps behind the winner)Grid: 5th (3:19.8000) - 6th fastest qualifier,3rd (7 laps behind the winner)Grid: 5th (3:19.8000) - 6th fastest qualifier,finished,5,3:19.8000,7 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-009.jpg,https://www.racingsportscars.com/photo/1989/Le_Mans-1989-06-11-009.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/962.html,https://www.racingsportscars.com/suffix/photo/Porsche/962/C.html,https://www.racingsportscars.com/chassis/photo/962-145.html
1989,1,Jaguar XJR-9 LM #TWR-J12C-588 (Advanced) - Jaguar TWR Jaguar V12/Alan Scott V12/60° 2v 6995.3 cc N/A,4,C1,Silk Cut Jaguar (GB),Closed bodywork,Mid-engined,Jan Lammers (NL)/Patrick Tambay (F)/Andrew Gilbert-Scott (GB),Silk Cut/Castrol/JAGUAR,white/violet (+yellow),Dunlop,22/07/2005,Papin Ludovic,Jaguar,XJR-9,LM,#TWR-J12C-588,Result: 4th (9 laps behind the winner)Grid: 3rd (3:18.3500) - 4th fastest qualifier,4th (9 laps behind the winner)Grid: 3rd (3:18.3500) - 4th fastest qualifier,finished,3,3:18.3500,9 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-001.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Jaguar.html,https://www.racingsportscars.com/type/photo/Jaguar/XJR-9.html,https://www.racingsportscars.com/suffix/photo/Jaguar/XJR-9/LM.html,https://www.racingsportscars.com/chassis/photo/TWR-J12C-588.html
1989,NA,Sauber C9/88 #87-C9-02 - Mercedes M119 V8/90° 4v 4973 cc 2xKKK K27,5,C1,Team Sauber Mercedes (CH/D),Closed bodywork,Mid-engined,Jean-Louis Schlesser (F)/Jean-Pierre Jabouille (F)/Alain Cudini (F),AEG/MERCEDES-BENZ,silver (+black),Michelin,22/07/2005,Philippe Moriniere,Sauber,C9,/88,#87-C9-02,Result: 5th (11 laps behind the winner)Grid: 1st (3:15.0400),5th (11 laps behind the winner)Grid: 1st (3:15.0400),finished,1,3:15.0400,11 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-062_T.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Sauber.html,https://www.racingsportscars.com/type/photo/Sauber/C9.html,https://www.racingsportscars.com/suffix/photo/Sauber/C9/__88.html,https://www.racingsportscars.com/chassis/photo/87-C9-02.html
1989,8,Porsche 962 C #004=>104C - Porsche F6 4v DOHC 2998 cc 2xKKK,6,C1,Joest Racing (D),Closed bodywork,Mid-engined,Henri Pescarolo (F)/Jean-Louis Ricci (F)/Claude Ballot-Léna (F),BLAUPUNKT/PRIMAGAZ/SACHS,white/blue (+orange),Goodyear,17/04/2003,Jeremy Jackson,Porsche,962,C,#004=>104C,Result: 6th (18 laps behind the winner)Grid: 33rd (3:35.4200) - 35th fastest qualifier,6th (18 laps behind the winner)Grid: 33rd (3:35.4200) - 35th fastest qualifier,finished,33,3:35.4200,18 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-008.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/962.html,https://www.racingsportscars.com/suffix/photo/Porsche/962/C.html,https://www.racingsportscars.com/chassis/photo/962-004.html
1989,201,Mazda 767 B #001 - Mazda 13J Racing 4R 2616 cc Rotary,7,IMSA,Mazdaspeed (J),Closed bodywork,Mid-engined,"Pierre Dieudonné (B)David Kennedy (IRL)/Chris Hodgetts (GB)listed, never drove: Yoshimi Katayama (J)",Finish Line/mazda,white (+blue),Dunlop,22/07/2005,Papin Ludovic,Mazda,767,B,#001,Result: 7th 1st in IMSA (21 laps behind the winner)Grid: 28th (3:31.3800) - 30th fastest qualifier,7th 1st in IMSA (21 laps behind the winner)Grid: 28th (3:31.3800) - 30th fastest qualifier,finished,28,3:31.3800,21 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-201.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Mazda.html,https://www.racingsportscars.com/type/photo/Mazda/767.html,https://www.racingsportscars.com/suffix/photo/Mazda/767/B.html,https://www.racingsportscars.com/chassis/photo/767-001.html
1989,4,Jaguar XJR-9 LM #TWR-J12C-287 (Advanced) - Jaguar TWR Jaguar V12/Alan Scott V12/60° 2v 6995.3 cc N/A,8,C1,Silk Cut Jaguar (GB),Closed bodywork,Mid-engined,Alain Ferté (F)/Eliseo Salazar (RCH)/Michel Ferté (F),Silk Cut/Castrol/JAGUAR,white/violet (+yellow),Dunlop,20/09/2009,Philippe Moriniere and Jean-Pierre Monier,Jaguar,XJR-9,LM,#TWR-J12C-287,Result: 8th (21 laps behind the winner)Grid: 6th (3:20.1900) - 7th fastest qualifier,8th (21 laps behind the winner)Grid: 6th (3:20.1900) - 7th fastest qualifier,finished,6,3:20.1900,21 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-004.jpg,https://www.racingsportscars.com/photo/1989/Le_Mans-1989-06-11-004.jpg,https://www.racingsportscars.com/make/photo/Jaguar.html,https://www.racingsportscars.com/type/photo/Jaguar/XJR-9.html,https://www.racingsportscars.com/suffix/photo/Jaguar/XJR-9/LM.html,https://www.racingsportscars.com/chassis/photo/TWR-J12C-287.html
1989,202,Mazda 767 B #002 - Mazda 13J Racing 4R 2616 cc Rotary,9,IMSA,Mazdaspeed (J),Closed bodywork,Mid-engined,"Takashi Yorino (J)/Hervé Regout (B)/Elliot Forbes-Robinson (USA)DNS: Marc Duez (B), Chris Hodgetts (GB), Volker Weidler (D)",CHARGE,red/green (+black),Dunlop,22/07/2005,Philippe Moriniere,Mazda,767,B,#002,Result: 9th (24 laps behind the winner)Grid: 16th (3:25.4500) - 17th fastest qualifier,9th (24 laps behind the winner)Grid: 16th (3:25.4500) - 17th fastest qualifier,finished,16,3:25.4500,24 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-202.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Mazda.html,https://www.racingsportscars.com/type/photo/Mazda/767.html,https://www.racingsportscars.com/suffix/photo/Mazda/767/B.html,https://www.racingsportscars.com/chassis/photo/767-002.html
1989,16,Porsche 962 C #128 - Porsche F6 4v DOHC 2998 cc Turbo,10,C1,Brun Motorsport (CH),Closed bodywork,Mid-engined,"Uwe Schäfer (D)/Harald Huysman (B)/Dominique Lacaud (F)listed, never drove: Stanley Dickens (S), Oscar Larrauri (RA), Juha Varjosaari (FIN)",HYDRO ALUMINIUM,yellow/blue,Yokohama,22/07/2005,Philippe Moriniere,Porsche,962,C,#128,Result: 10th (38 laps behind the winner)Grid: 27th (3:29.9000) - 29th fastest qualifier,10th (38 laps behind the winner)Grid: 27th (3:29.9000) - 29th fastest qualifier,finished,27,3:29.9000,38 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1989/TN_Le_Mans-1989-06-11-016.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/962.html,https://www.racingsportscars.com/suffix/photo/Porsche/962/C.html,https://www.racingsportscars.com/chassis/photo/962-128.html
