year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
2003,7,Bentley Speed 8 #004/5 (RTN) - Bentley V8/90° 4v DOHC 3995 cc Twin-Turbo,1,GTP,Team Bentley (GB),Closed bodywork,Mid-engined,"Rinaldo Capello (I)/Tom Kristensen (DK)/Guy Smith (GB)listed, never drove: Jonny Kane (GB)",BENTLEY/BREITLING,dark green (+silver),Michelin,01/09/2003,Pincus © 2003-2009,Bentley,Speed 8,#004/5,NA,Result: winner - (214.399 kph) - margin: 2 lapsGrid: 1st (3:32.8430),winner - (214.399 kph) - margin: 2 lapsGrid: 1st (3:32.8430),finished,1,3:32.8430,214.399 kph,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-007.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Bentley.html,https://www.racingsportscars.com/type/photo/Bentley/Speed%208.html,https://www.racingsportscars.com/chassis/photo/004__5.html,NA
2003,8,Bentley Speed 8 #004/3 (RTN) - Bentley V8/90° 4v DOHC 3995 cc Twin-Turbo,2,GTP,Team Bentley (GB),Closed bodywork,Mid-engined,"Johnny Herbert (GB)/David Brabham (AUS)/Mark Blundell (GB)listed, never drove: Jonny Kane (GB)",BENTLEY/BREITLING,dark green (+silver),Michelin,01/09/2003,Pincus © 2003-2009,Bentley,Speed 8,#004/3,NA,Result: 2nd (2 laps behind the winner)Grid: 2nd (3:35.0980),2nd (2 laps behind the winner)Grid: 2nd (3:35.0980),finished,2,3:35.0980,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-008.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Bentley.html,https://www.racingsportscars.com/type/photo/Bentley/Speed%208.html,https://www.racingsportscars.com/chassis/photo/004__3.html,NA
2003,6,Audi R8 #505 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,3,LMP900,Champion Racing-Dave Maraj (USA),Open bodywork,Mid-engined,Emanuele Pirro (I)J.J. Lehto (FIN)/Stefan Johansson (S),ADT/Champion/Canon,white (+red/yellow/green/blue),Michelin,01/09/2003,Pincus © 2003-2009,Audi,R8,#505,NA,Result: 3rd 1st in LMP900 (5 laps behind the winner)Grid: 6th (3:36.8570),3rd 1st in LMP900 (5 laps behind the winner)Grid: 6th (3:36.8570),finished,6,3:36.8570,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-006.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100505.html,NA
2003,5,Audi R8 #602 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,4,LMP900,Audi Japan Team Goh (J),Open bodywork,Mid-engined,"Jan Magnussen (DK)/Marco Werner (D)/Seiji Ara (J)listed, never drove: Emanuele Pirro (I), Ryo Fukuda (J)",Infineon/KONAMI/Canon,white (+gun metal),Michelin,01/09/2003,Pincus © 2003-2009,Audi,R8,#602,NA,Result: 4th (7 laps behind the winner)Grid: 5th (3:36.4180),4th (7 laps behind the winner)Grid: 5th (3:36.4180),finished,5,3:36.4180,7 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-005.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100602.html,NA
2003,11,Panoz LMP 01 #008 (Reynard) - Elan Power Products V8/90° 2v OHV 5983 cc N/A,5,LMP900,JML Team Panoz (USA),Open bodywork,Front-engined,"Olivier Beretta (MC)/Max Papis (I)/Gunnar Jeannette (USA)listed, never drove: Bill Auberlen (USA), David Donohue (USA)",JML,silver/black (+red),Michelin,01/09/2003,Pincus © 2003-2009,Panoz,LMP 01,#008,NA,Result: 5th (17 laps behind the winner)Grid: 10th (3:40.7660),5th (17 laps behind the winner)Grid: 10th (3:40.7660),finished,10,3:40.7660,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-011.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Panoz.html,https://www.racingsportscars.com/type/photo/Panoz/LMP%2001.html,https://www.racingsportscars.com/chassis/photo/LMP-008.html,NA
2003,15,Dome S101 #03 - Judd GV4 V10/72° 4v DOHC 3994 cc N/A,6,LMP900,Racing For Holland (NL),Open bodywork,Mid-engined,"Jan Lammers (NL)/Andy Wallace (GB)/John Bosch (NL)listed, never drove: Val Hillebrand (NL)",BTMS/AIMS/OGER/...,black/white,Michelin,01/09/2003,Pincus © 2003-2009,Dome,S101,#03,NA,Result: 6th (17 laps behind the winner)Grid: 4th (3:36.1560),6th (17 laps behind the winner)Grid: 4th (3:36.1560),finished,4,3:36.1560,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-015.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Dome.html,https://www.racingsportscars.com/type/photo/Dome/S101.html,https://www.racingsportscars.com/chassis/photo/S101-03.html,NA
2003,13,Courage C60 JX #N°5 - Judd GV4 V10/72° 4v DOHC 3998 cc N/A,7,LMP900,Courage Compétition (F),Open bodywork,Mid-engined,/Jean-Marc Gounon (F)/Stéphane Grégoire (F)/Jonathan Cochet (F)preliminary session only: Boris Derichebourg (F),SERAM GROUP/Bouygues Telecom,blue (+red/white),Michelin,01/09/2003,Pincus © 2003-2009,Courage,C60,#N°5,JX,Result: 7th (17 laps behind the winner)Grid: 9th (3:40.4000),7th (17 laps behind the winner)Grid: 9th (3:40.4000),finished,9,3:40.4000,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-013.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Courage.html,https://www.racingsportscars.com/type/photo/Courage/C60.html,https://www.racingsportscars.com/chassis/photo/C60-N%c2%b05.html,https://www.racingsportscars.com/suffix/photo/Courage/C60/JX.html
2003,17,Courage C60 Evo #N°3 - Peugeot Sodemo A32 V6/60° 4v DOHC 3200 cc Twin-Turbo,8,LMP900,Pescarolo Sport (F),Open bodywork,Mid-engined,"Jean-Christophe Boullion (F)/Stéphane Sarrazin (F)/Franck Lagorce (F)listed, never drove: Eric Hélary (F)",PlayStation 2/La Sarthe/PEUGEOT/ATS,green/dark blue,Michelin,01/09/2003,Pincus © 2003-2009,Courage,C60,#N°3,Evo,Result: 8th (21 laps behind the winner)Grid: 11th (3:40.8390),8th (21 laps behind the winner)Grid: 11th (3:40.8390),finished,11,3:40.8390,21 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-017.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Courage.html,https://www.racingsportscars.com/type/photo/Courage/C60.html,https://www.racingsportscars.com/chassis/photo/C60-N%c2%b03.html,https://www.racingsportscars.com/suffix/photo/Courage/C60/Evo.html
2003,18,Courage C60 Evo #N°4 - Peugeot Sodemo A32 V6/60° 4v DOHC 3200 cc Twin-Turbo,9,LMP900,Pescarolo Sport (F),Open bodywork,Mid-engined,Eric Hélary (F)/Soheil Ayari (F)/Nicolas Minassian (F),PlayStation 2/La Sarthe/PEUGEOT/ATS,green/blue,Michelin,01/09/2003,Pincus © 2003-2009,Courage,C60,#N°4,Evo,Result: 9th (25 laps behind the winner)Grid: 13th (3:43.1510),9th (25 laps behind the winner)Grid: 13th (3:43.1510),finished,13,3:43.1510,25 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-018.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Courage.html,https://www.racingsportscars.com/type/photo/Courage/C60.html,https://www.racingsportscars.com/chassis/photo/C60-N%c2%b04.html,https://www.racingsportscars.com/suffix/photo/Courage/C60/Evo.html
2003,88,Ferrari 550 Maranello GTS #ZFFZR49B000108462 (CRD06) (Prodrive) - Ferrari V12/65° 4v DOHC 5983 cc N/A,10,GTS,Veloqx Prodrive Racing (GB),Closed bodywork,Front-engined,Peter Kox (NL)/Tomáš Enge (CZ)/Jamie Davies (GB),prodrive/ISOCLIMA,red,Michelin,01/09/2003,Pincus © 2003-2009,Ferrari,550 Maranello,#ZFFZR49B000108462 (CRD06),GTS,Result: 10th 1st in GTS (41 laps behind the winner)Grid: 19th (3:53.2780) - 20th fastest qualifier,10th 1st in GTS (41 laps behind the winner)Grid: 19th (3:53.2780) - 20th fastest qualifier,finished,19,3:53.2780,41 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2003/TN_Le_Mans-2003-06-15-088.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/550%20Maranello.html,https://www.racingsportscars.com/chassis/photo/ZFFZR49B000108462.html,https://www.racingsportscars.com/suffix/photo/Ferrari/550%20Maranello/GTS.html
