year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
1977,4,Porsche 936/77 #001 - Porsche 911/78 F6 2v SOHC 2142 cc 2xKKK,1,S+2.0,Martini Racing Porsche System (D),Open bodywork,Mid-engined,"Jacky Ickx (B)Jürgen Barth (D)/Hurley Haywood (USA)listed, never drove: Rolf Stommelen (D), Eberhard Braun (D), Manfred Schurti (FL)",MARTINI PORSCHE,white (+blue/red),Dunlop,11/04/2011,"Jacques Ubags, Paul Kooyman and Michel Guilloux",Porsche,936,/77,#001,Result: winner - (194.651 kph) - margin: 11 lapsGrid: 7th (3:40.0000),winner - (194.651 kph) - margin: 11 lapsGrid: 7th (3:40.0000),finished,7,3:40.0000,194.651 kph,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-004.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-004.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/936.html,https://www.racingsportscars.com/suffix/photo/Porsche/936/__77.html,https://www.racingsportscars.com/chassis/photo/936-001.html
1977,10,Mirage GR8 #802 - Renault V6 1996 cc Turbo,2,S+2.0,Grand Touring Cars Inc. (USA),Open bodywork,Mid-engined,"Jean-Pierre Jarier (F)Vern Schuppan (AUS)listed, never drove: Sam Posey (USA), Michel Leclère (F)",GITANES/JCB/elf/Renault,blue/yellow (+red/white),Goodyear,23/11/2015,"Gérard Rouxel, Paul Kooyman and Michel Guilloux",Mirage,GR8,NA,#802,Result: 2nd (11 laps behind the winner)Grid: 12th (3:47.4000),2nd (11 laps behind the winner)Grid: 12th (3:47.4000),finished,12,3:47.4000,11 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-010.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-010.jpg,https://www.racingsportscars.com/make/photo/Mirage.html,https://www.racingsportscars.com/type/photo/Mirage/GR8.html,NA,https://www.racingsportscars.com/chassis/photo/GR8__802.html
1977,40,Porsche 935 #930 770 0912 - Porsche 930/72; no:677 2911 F6 2v SOHC 2808 cc 1xKKK,3,Gr.5,J.M.S. Racing Team (F),Closed bodywork,Rear-engined,"Claude Ballot-Léna (F)/Peter Gregg (USA)DNS: Jacques Borras (F); listed, never drove: Cyril Grandet (F)",CACHIA/JMS,black/red,Dunlop,23/11/2015,"Gérard Rouxel, Alain Jourdainne Photos 24H Le Mans, Michel Guilloux and Paul Kooyman",Porsche,935,NA,#930 770 0912,Result: 3rd 1st in Gr.5 (27 laps behind the winner)Grid: 16th (3:56.4000),3rd 1st in Gr.5 (27 laps behind the winner)Grid: 16th (3:56.4000),finished,16,3:56.4000,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-040.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-040.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,NA,https://www.racingsportscars.com/chassis/photo/930%20770%200912.html
1977,88,Inaltera LM #001 - Ford Cosworth DFV V8/90° 4v DOHC 2993 cc N/A,4,GTP,Inaltera (F),Closed bodywork,Mid-engined,"Jean Rondeau (F)/Jean Ragnotti (F)listed, never drove: Jean-Pierre Beltoise (F)",INALTERA,blue (+pink),Goodyear,12/09/2020,"Dominique Gasnerie, Paul Kooyman, Michel Guilloux and Kenneth John Gill",Inaltera,LM,NA,#001,Result: 4th 1st in GTP (27 laps behind the winner)Grid: 20th (4:00.7000),4th 1st in GTP (27 laps behind the winner)Grid: 20th (4:00.7000),finished,20,4:00.7000,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-088.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-088.jpg,https://www.racingsportscars.com/make/photo/Inaltera.html,https://www.racingsportscars.com/type/photo/Inaltera/LM.html,NA,https://www.racingsportscars.com/chassis/photo/LM-001.html
1977,5,De Cadenet Lola LM #LM-3 (Thompson) - Ford Cosworth DFV V8/90° 4v DOHC 2993 cc N/A,5,S+2.0,Alain de Cadenet (GB),Open bodywork,Mid-engined,Alain de Cadenet (GB)/Chris Craft (GB)DNS: Gordon Spice (GB),TATE LYTE/elf/HAMMOND SAUCE/de Cadenet,dark green (+white),Goodyear,23/11/2015,Gérard Rouxel and Jacques Ubags,De Cadenet,Lola LM,NA,#LM-3,Result: 5th (27 laps behind the winner)Grid: 15th (3:49.2000),5th (27 laps behind the winner)Grid: 15th (3:49.2000),finished,15,3:49.2000,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-005.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-005.jpg,https://www.racingsportscars.com/make/photo/De%20Cadenet.html,https://www.racingsportscars.com/type/photo/De%20Cadenet/Lola%20LM.html,NA,https://www.racingsportscars.com/chassis/photo/LM-3.html
1977,26,Chevron B36 #76-07 - ROC Chrysler-Simca L4 1996 cc N/A,6,S2.0,Société R.O.C. (F),Open bodywork,Mid-engined,"Michel Pignard (F)/Albert Dufréne (F)/Jacques Henry (F)listed, never drove: Fred Stalder (F), Jean-Louis Bos (F), Jacky Haran (F)",la pierre du nord/Christine Laure,white/red (+blue),NA,29/01/2006,Paul Kooyman,Chevron,B36,NA,#76-07,Result: 6th 1st in S2.0 (39 laps behind the winner)Grid: 22nd (4:03.4000),6th 1st in S2.0 (39 laps behind the winner)Grid: 22nd (4:03.4000),finished,22,4:03.4000,39 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-026.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-026.jpg,https://www.racingsportscars.com/make/photo/Chevron.html,https://www.racingsportscars.com/type/photo/Chevron/B36.html,NA,https://www.racingsportscars.com/chassis/photo/B36-76-07.html
1977,58,Porsche 934 #006 00022 (Kremer) - Porsche 930/71 F6 2v SOHC 2993 cc Turbo,7,GT,Porsche Kremer Racing (D),Closed bodywork,Rear-engined,"Bob Wollek (F)/""Steve"" (B)/Philippe Gurdjian (F)",Burton of London,white/blue,Goodyear,11/04/2011,"Alain Jourdainne Photos 24H Le Mans, Paul Kooyman and Michel Guilloux",Porsche,934,NA,#006 00022,Result: 7th 1st in GT (44 laps behind the winner)Grid: 17th (3:59.0000),7th 1st in GT (44 laps behind the winner)Grid: 17th (3:59.0000),finished,17,3:59.0000,44 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-058.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-058.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,NA,https://www.racingsportscars.com/chassis/photo/006%2000022.html
1977,71,BMW 3.0 CSL #77-003 - BMW L6 3152 cc N/A,8,IMSA,Luigi Racing (B),Closed bodywork,Front-engined,Pierre Dieudonné (B)/Spartaco Dini (I)/Jean Xhenceval (B),UFO jeans/Castrol,white/red,Dunlop,23/07/2025,"Paul Kooyman, Classic and Vintage BMW and Michel Guilloux",BMW,3.0 CSL,NA,#77-003,Result: 8th 1st in IMSA (51 laps behind the winner)Grid: 39th (4:23.7000),8th 1st in IMSA (51 laps behind the winner)Grid: 39th (4:23.7000),finished,39,4:23.7000,51 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-071.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-071.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/3.0%20CSL.html,NA,https://www.racingsportscars.com/chassis/photo/77-003.html
1977,50,BMW 320 - BMW M12/7 L4 1991 cc N/A,9,IMSA,Hervé Poulain,Closed bodywork,Front-engined,"Hervé Poulain (F)/Marcel Mignot (F)listed, never drove: Anny-Charlotte Verney (F)",GOODYEAR,white (+yellow/green/dark blue),Goodyear,23/07/2025,"Michel Guilloux, Classic and Vintage BMW, Kenneth John Gill and Jacques Ubags",BMW,320,NA,NA,Result: 9th (55 laps behind the winner)Grid: 49th (4:27.9000),9th (55 laps behind the winner)Grid: 49th (4:27.9000),finished,49,4:27.9000,55 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-050.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-050.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,NA,NA
1977,61,Porsche 911 Carrera RSR 3.0 #911 460 9070 - Porsche F6 2v SOHC 2994 cc N/A,10,GT,Christian Gouttepifre (F),Closed bodywork,Rear-engined,"Christian Gouttepifre (F)/Philippe Malbran (F)/Alain Leroux (F)listed, never drove: Claude Buchet (F), Raymond Touroul (F)",solamor/ESSO/TOUROUL RACING,white (+violet/green/pink),Dunlop,11/04/2011,Michel Guilloux,Porsche,911 Carrera,RSR 3.0,#911 460 9070,Result: 10th (61 laps behind the winner)Grid: 43rd (4:25.9000),10th (61 laps behind the winner)Grid: 43rd (4:25.9000),finished,43,4:25.9000,61 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Le_Mans-1977-06-12-061.jpg,https://www.racingsportscars.com/photo/1977/Le_Mans-1977-06-12-061.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR%203.0.html,https://www.racingsportscars.com/chassis/photo/911%20460%209070.html
