year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
2024,50,Ferrari 499P #12 16P (Dallara) - Ferrari Tipo F163CG V6/120° 4v DOHC 2992 cc 2xGarrett Hybrid,1,Hypercar,Ferrari AF Corse (I),Closed bodywork,Mid-engined,Nicklas Nielsen (DK)/Antonio Fuoco (I)/Miguel Molina (E),RICHARD MILLE/ADLER,red (+yellow/black),Michelin,21/09/2024,Štěpán Koutník and Tooru Kitajima,Ferrari,499P,#12 16P,NA,Result: winner - (176.300 kph) - margin: 14s2210Grid: 4th (3:24.7310),winner - (176.300 kph) - margin: 14s2210Grid: 4th (3:24.7310),finished,4,3:24.7310,176.300 kph,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-050.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-050.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/499P.html,https://www.racingsportscars.com/chassis/photo/499P%2012%2016P.html,NA
2024,7,Toyota GR010 Hybrid #22-07 - Toyota H8909 V6/90° 4v DOHC 3500 cc 2xGarrett Hybrid,2,Hypercar,Toyota Gazoo Racing (J),Closed bodywork,Mid-engined,"Nyck de Vries (NL)/Kamui Kobayashi (J)/José Maria Lopez (RA)listed, never drove: Mike Conway (GB)",GR/DENSO/FUJITSU,black (+silver/red/white),Michelin,21/09/2024,Štěpán Koutník,Toyota,GR010 Hybrid,#22-07,NA,Result: 2nd (14s2210 behind the winner)Grid: 23rd (3:24.7540) - 5th fastest qualifier,2nd (14s2210 behind the winner)Grid: 23rd (3:24.7540) - 5th fastest qualifier,finished,23,3:24.7540,14s2210 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-007.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-007.jpg,https://www.racingsportscars.com/make/photo/Toyota.html,https://www.racingsportscars.com/type/photo/Toyota/GR010%20Hybrid.html,https://www.racingsportscars.com/chassis/photo/GR010__22-07.html,NA
2024,51,Ferrari 499P #12 14P (Dallara) - Ferrari Tipo F163CG V6/120° 4v DOHC 2992 cc 2xGarrett Hybrid,3,Hypercar,Ferrari AF Corse (I),Closed bodywork,Mid-engined,Alessandro Pier Guidi (I)/Antonio Giovinazzi (I)/James Calado (GB),RICHARD MILLE,red (+yellow/black),Michelin,21/09/2024,Tooru Kitajima and Štěpán Koutník,Ferrari,499P,#12 14P,NA,Result: 3rd (36s7300 behind the winner)Grid: 3rd (3:25.0490) - 8th fastest qualifier,3rd (36s7300 behind the winner)Grid: 3rd (3:25.0490) - 8th fastest qualifier,finished,3,3:25.0490,36s7300 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-051.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-051.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/499P.html,https://www.racingsportscars.com/chassis/photo/499P%2012%2014P.html,NA
2024,6,Porsche 963 #125 (Multimatic) - Porsche 9RD V8/90° 4v DOHC 4593 cc Twin-Turbo Hybrid,4,Hypercar,Porsche Penske Motorsport (D),Closed bodywork,Mid-engined,Laurens Vanthoor (B)/Kevin Estre (F)/André Lotterer (D),PORSCHE 963/PENSKE/Ansys/TAG HEUER/HELLER,red/white (+black),Michelin,21/09/2024,Štěpán Koutník,Porsche,963,#125,NA,Result: 4th (37s8970 behind the winner)Grid: 1st (3:24.6340) - 2nd fastest qualifier,4th (37s8970 behind the winner)Grid: 1st (3:24.6340) - 2nd fastest qualifier,finished,1,3:24.6340,37s8970 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-006.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-006.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/963.html,https://www.racingsportscars.com/chassis/photo/963_125.html,NA
2024,8,Toyota GR010 Hybrid #22-08 - Toyota H8909 V6/90° 4v DOHC 3500 cc 2xGarrett Hybrid,5,Hypercar,Toyota Gazoo Racing (J),Closed bodywork,Mid-engined,Sébastien Buemi (CH)/Brendon Hartley (NZ)/Ryō Hirakawa (J),GR/DENSO/FUJITSU,black (+silver/red/white),Michelin,21/09/2024,Štěpán Koutník and Tooru Kitajima,Toyota,GR010 Hybrid,#22-08,NA,Result: 5th (1m02s8241 behind the winner)Grid: 11th (3:25.4460) - 12th fastest qualifier,5th (1m02s8241 behind the winner)Grid: 11th (3:25.4460) - 12th fastest qualifier,finished,11,3:25.4460,1m02s8241 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-008.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-008.jpg,https://www.racingsportscars.com/make/photo/Toyota.html,https://www.racingsportscars.com/type/photo/Toyota/GR010%20Hybrid.html,https://www.racingsportscars.com/chassis/photo/GR010__22-08.html,NA
2024,5,Porsche 963 #122 (Multimatic) - Porsche 9RD V8/90° 4v DOHC 4593 cc Twin-Turbo Hybrid,6,Hypercar,Porsche Penske Motorsport (D),Closed bodywork,Mid-engined,Frédéric Makowiecki (F)/Matt Campbell (AUS)/Michael Christensen (DK),PORSCHE 963/PENSKE/Ansys/TAG HEUER/HELLER,red/white/black,Michelin,21/09/2024,Štěpán Koutník and Tooru Kitajima,Porsche,963,#122,NA,Result: 6th (1m45s6541 behind the winner)Grid: 10th (3:25.3070) - 11th fastest qualifier,6th (1m45s6541 behind the winner)Grid: 10th (3:25.3070) - 11th fastest qualifier,finished,10,3:25.3070,1m45s6541 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-005.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-005.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/963.html,https://www.racingsportscars.com/chassis/photo/963_122.html,NA
2024,2,Cadillac V-Series.R #P222 006 (Dallara) - Cadillac LMC55R V8/90° 4v DOHC 5500 cc Hybrid,7,Hypercar,Cadillac Racing (USA),Closed bodywork,Mid-engined,Alex Lynn (GB)/Alex Palou (E)/Earl Bamber (NZ),CADILLAC,blue/black (+red/yellow),Michelin,21/09/2024,Štěpán Koutník,Cadillac,V-Series.R,#P222 006,NA,Result: 7th (2m34s4682 behind the winner)Grid: 7th (3:24.7820) - 6th fastest qualifier,7th (2m34s4682 behind the winner)Grid: 7th (3:24.7820) - 6th fastest qualifier,finished,7,3:24.7820,2m34s4682 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-002.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-002.jpg,https://www.racingsportscars.com/make/photo/Cadillac.html,https://www.racingsportscars.com/type/photo/Cadillac/V-Series.R.html,https://www.racingsportscars.com/chassis/photo/P222%20006.html,NA
2024,NA,Porsche 963 #123 (Multimatic) - Porsche 9RD V8/90° 4v DOHC 4593 cc Twin-Turbo Hybrid,8,Hypercar,Hertz Team Jota (GB),Closed bodywork,Mid-engined,Will Stevens (GB)/Callum Ilott (GB)/Norman Nato (F),Hertz,gold (+white/red/black),Michelin,21/09/2024,Štěpán Koutník and Tooru Kitajima,Porsche,963,#123,NA,Result: 8th (3m02s6910 behind the winner)Grid: 8th (3:25.1450),8th (3m02s6910 behind the winner)Grid: 8th (3:25.1450),finished,8,3:25.1450,3m02s6910 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-012_T.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-012_T.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/963.html,https://www.racingsportscars.com/chassis/photo/963_123.html,NA
2024,38,Porsche 963 #124 (Multimatic) - Porsche 9RD V8/90° 4v DOHC 4593 cc Twin-Turbo Hybrid,9,Hypercar,Hertz Team Jota (GB),Closed bodywork,Mid-engined,Phil Hanson (GB)/Oliver Rasmussen (DK)/Jenson Button (GB),Hertz,gold (+white/red/black),Michelin,21/09/2024,Tooru Kitajima and Štěpán Koutník,Porsche,963,#124,NA,Result: 9th (3m36s7563 behind the winner)Grid: 17th (3:26.2900) - 18th fastest qualifier,9th (3m36s7563 behind the winner)Grid: 17th (3:26.2900) - 18th fastest qualifier,finished,17,3:26.2900,3m36s7563 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-038.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-038.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/963.html,https://www.racingsportscars.com/chassis/photo/963_124.html,NA
2024,63,Lamborghini SC63 #new (Ligier) - Lamborghini V8/90° 4v DOHC 3800 cc Twin-Turbo Hybrid,10,Hypercar,Lamborghini Iron Lynx (I),Closed bodywork,Mid-engined,Edoardo Mortara (I)/Mirko Bortolotti (I)/Daniil Kvyat (RUS),CSR2/IRON LYNX/Fastron/ROGER DUBUIS,green (+black/silver),Michelin,21/09/2024,Štěpán Koutník and Tooru Kitajima,Lamborghini,SC63,#new,NA,Result: 10th (2 laps behind the winner)Grid: 13th (3:25.9730) - 14th fastest qualifier,10th (2 laps behind the winner)Grid: 13th (3:25.9730) - 14th fastest qualifier,finished,13,3:25.9730,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-063.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-063.jpg,https://www.racingsportscars.com/make/photo/Lamborghini.html,https://www.racingsportscars.com/type/photo/Lamborghini/SC63.html,https://www.racingsportscars.com/chassis/photo/SC63-63%23.html,NA
2024,94,Peugeot 9X8 2024 #2024 12 - Peugeot X6H Hybrid4 V6/90° 4v DOHC 2600 cc 2xGarrett Hybrid,11,Hypercar,Peugeot TotalEnergies (F),Closed bodywork,Mid-engined,Paul di Resta (GB)/Loïc Duval (F)/Stoffel Vandoorne (B),TotalEnergies/PEUGEOT,white (+black/grey/lime green),Michelin,21/09/2024,Štěpán Koutník and Tooru Kitajima,Peugeot,9X8,#2024 12,2024,Result: 11th (2 laps behind the winner)Grid: 20th (3:27.2510) - 21st fastest qualifier,11th (2 laps behind the winner)Grid: 20th (3:27.2510) - 21st fastest qualifier,finished,20,3:27.2510,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-094.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-094.jpg,https://www.racingsportscars.com/make/photo/Peugeot.html,https://www.racingsportscars.com/type/photo/Peugeot/9X8.html,https://www.racingsportscars.com/chassis/photo/9X8-12.html,https://www.racingsportscars.com/suffix/photo/Peugeot/9X8/2024.html
2024,93,Peugeot 9X8 2024 #11 - Peugeot X6H Hybrid4 V6/90° 4v DOHC 2600 cc 2xGarrett Hybrid,12,Hypercar,Peugeot TotalEnergies (F),Closed bodywork,Mid-engined,Nico Müller (CH)/Mikkel Jensen (DK)/Jean-Eric Vergne (F),TotalEnergies/PEUGEOT,white (+black/grey/lime green),Michelin,21/09/2024,Štěpán Koutník and Tooru Kitajima,Peugeot,9X8,#11,2024,Result: 12th (2 laps behind the winner)Grid: 15th (3:26.1950) - 16th fastest qualifier,12th (2 laps behind the winner)Grid: 15th (3:26.1950) - 16th fastest qualifier,finished,15,3:26.1950,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-093.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-093.jpg,https://www.racingsportscars.com/make/photo/Peugeot.html,https://www.racingsportscars.com/type/photo/Peugeot/9X8.html,https://www.racingsportscars.com/chassis/photo/9X8-11.html,https://www.racingsportscars.com/suffix/photo/Peugeot/9X8/2024.html
2024,19,Lamborghini SC63 #007 (Ligier) - Lamborghini V8/90° 4v DOHC 3800 cc Twin-Turbo Hybrid,13,Hypercar,Lamborghini Iron Lynx (I),Closed bodywork,Mid-engined,Andrea Caldarelli (I)/Matteo Cairoli (I)/Romain Grosjean (F),CSR2/IRON LYNX/Fastron/ROGER DUBUIS,green (+black/silver/white),Michelin,21/09/2024,Štěpán Koutník and Tooru Kitajima,Lamborghini,SC63,#007,NA,Result: 13th (2 laps behind the winner)Grid: 21st (3:27.6550) - 22nd fastest qualifier,13th (2 laps behind the winner)Grid: 21st (3:27.6550) - 22nd fastest qualifier,finished,21,3:27.6550,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-019.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-019.jpg,https://www.racingsportscars.com/make/photo/Lamborghini.html,https://www.racingsportscars.com/type/photo/Lamborghini/SC63.html,https://www.racingsportscars.com/chassis/photo/SC63-007.html,NA
2024,11,Isotta Fraschini Tipo 6 LMH Competizione #002 - Isotta Fraschini V6/90° 4v DOHC 3000 cc Turbo Hybrid,14,Hypercar,Isotta Fraschini (I),Closed bodywork,Mid-engined,Jean-Karl Vernay (F)/Antonio Serravalle (CDN)/Carl Wattana Bennett (T),SALT/Fragante,red/blue/white,Michelin,21/09/2024,Tooru Kitajima and Štěpán Koutník,Isotta Fraschini,Tipo 6 LMH,#002,Competizione,Result: 14th (9 laps behind the winner)Grid: 22nd (3:29.8650) - 23rd fastest qualifier,14th (9 laps behind the winner)Grid: 22nd (3:29.8650) - 23rd fastest qualifier,finished,22,3:29.8650,9 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-011.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-011.jpg,https://www.racingsportscars.com/make/photo/Isotta%20Fraschini.html,https://www.racingsportscars.com/type/photo/Isotta%20Fraschini/Tipo%206%20LMH.html,https://www.racingsportscars.com/chassis/photo/IF-T6C-002.html,https://www.racingsportscars.com/suffix/photo/Isotta%20Fraschini/Tipo%206%20LMH/Competizione.html
2024,22,Oreca 07 #35 - Gibson GK428/Gibson Technology V8/90° 4v DOHC 4200 cc N/A,15,LMP2,United Autosports (GB),Closed bodywork,Mid-engined,"Oliver Jarvis (GB)/Nolan Siegel (USA)/Bijoy Garg (USA)listed, never drove: Filipe Albuquerque (P)",wing/UNITED AUTOSPORTS,dark blue (+red/white),Goodyear,21/09/2024,Štěpán Koutník and Tooru Kitajima,Oreca,07,#35,NA,Result: 15th 1st in LMP2 (14 laps behind the winner)Grid: 28th (3:34.2700) - 30th fastest qualifier,15th 1st in LMP2 (14 laps behind the winner)Grid: 28th (3:34.2700) - 30th fastest qualifier,finished,28,3:34.2700,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-022.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-022.jpg,https://www.racingsportscars.com/make/photo/Oreca.html,https://www.racingsportscars.com/type/photo/Oreca/07.html,https://www.racingsportscars.com/chassis/photo/07-LMP2-35.html,NA
2024,34,Oreca 07 #93 - Gibson GK428/Gibson Technology V8/90° 4v DOHC 4200 cc N/A,16,LMP2,Inter Europol Competition (PL),Closed bodywork,Mid-engined,"Vladislav Lomko (RUS)/Clément Novalak (F)/Jakub Smiechowski (PL)listed, never drove: Tom Dillmann (F)",FORTIS/INTER Europol,green/orange (+black),Goodyear,21/09/2024,Štěpán Koutník and Tooru Kitajima,Oreca,07,#93,NA,Result: 16th (14 laps behind the winner)Grid: 34th (3:34.8850),16th (14 laps behind the winner)Grid: 34th (3:34.8850),finished,34,3:34.8850,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-034.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-034.jpg,https://www.racingsportscars.com/make/photo/Oreca.html,https://www.racingsportscars.com/type/photo/Oreca/07.html,https://www.racingsportscars.com/chassis/photo/07-LMP2-93.html,NA
2024,28,Oreca 07 #75 - Gibson GK428/Gibson Technology V8/90° 4v DOHC 4200 cc N/A,17,LMP2,IDEC Sport (F),Closed bodywork,Mid-engined,Job van Uitert (NL)/Reshad de Gerus (F)/Paul Lafargue (F),Rebirth/IDEC SPORT,blue (+silver/yellow),Goodyear,21/09/2024,Štěpán Koutník and Tooru Kitajima,Oreca,07,#75,NA,Result: 17th (14 laps behind the winner)Grid: 25th (3:33.8270) - 27th fastest qualifier,17th (14 laps behind the winner)Grid: 25th (3:33.8270) - 27th fastest qualifier,finished,25,3:33.8270,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2024/TN_Le_Mans-2024-06-16-028.jpg,https://www.racingsportscars.com/photo/2024/Le_Mans-2024-06-16-028.jpg,https://www.racingsportscars.com/make/photo/Oreca.html,https://www.racingsportscars.com/type/photo/Oreca/07.html,https://www.racingsportscars.com/chassis/photo/07-LMP2-75.html,NA
