event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,mets,mets,Lada Samara 21083,NA,1:18,NA,https://www.ewrc-models.com/model/17297/,https://ewrc-models.com/photos/f18/17297/i_37701.jpg,https://ewrc-models.com/photos/f18/17297/m_37701.jpg
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,raissar,talvar,Lada Samara 21083,NA,1:18,NA,https://www.ewrc-models.com/model/16445/,https://ewrc-models.com/photos/f17/16445/i_35176.jpg,https://ewrc-models.com/photos/f17/16445/m_35176.jpg
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,vardinogiannis,stefanis,Lancia Delta HF 4WD,Racing43,1:43,S074,https://www.ewrc-models.com/model/4326/,https://ewrc-models.com/photos/f5/4326/i_7859.jpg,https://ewrc-models.com/photos/f5/4326/m_7859.jpg
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,stohl,rohringer,Audi 90 Quattro,Provence,1:43,by M-Modelcars Collection,https://www.ewrc-models.com/model/15239/,https://ewrc-models.com/photos/f16/15239/i_31632.jpg,https://ewrc-models.com/photos/f16/15239/m_31632.jpg
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,stohl,rohringer,Audi 90 Quattro,Real Car Models,1:43,NA,https://www.ewrc-models.com/model/6200/,https://ewrc-models.com/photos/f7/6200/i_10863.jpg,https://ewrc-models.com/photos/f7/6200/m_10863.jpg
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,schwarz,wicha,Audi 200 Quattro,Neo,1:43,45250,https://www.ewrc-models.com/model/1438/,https://ewrc-models.com/photos/f2/1438/i_4490.jpg,https://ewrc-models.com/photos/f2/1438/m_4490.jpg
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,schwarz,wicha,Audi 200 Quattro,Scala43,1:43,K17,https://www.ewrc-models.com/model/1433/,https://ewrc-models.com/photos/f2/1433/i_3671.jpg,https://ewrc-models.com/photos/f2/1433/m_3671.jpg
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,biasion,siviero,Lancia Delta Integrale,NA,1:43,NA,https://www.ewrc-models.com/model/19851/,https://ewrc-models.com/photos/f20/19851/i_46486.jpg,https://ewrc-models.com/photos/f20/19851/m_46486.jpg
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,fiorio,pirollo,Lancia Delta Integrale,IXO,1:43,RAC454A,https://www.ewrc-models.com/model/19546/,https://ewrc-models.com/photos/f20/19546/i_45246.jpg,https://ewrc-models.com/photos/f20/19546/m_45246.jpg
acropolis_1989,acropolis,Acropolis,Acropolis 1989,1989,https://ewrc-results.com/event/4264-acropolis-rally-1989/,eklund,cederberg,Nissan March Turbo,NA,1:43,NA,https://www.ewrc-models.com/model/13436/,https://ewrc-models.com/photos/f14/13436/i_26242.jpg,https://ewrc-models.com/photos/f14/13436/m_26242.jpg
