event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,fujimoto,sircombe,Toyota Corolla WRC,AUTOart,1:18,80028,https://www.ewrc-models.com/model/317/,https://ewrc-models.com/photos/f1/317/i_1609.jpg,https://ewrc-models.com/photos/f1/317/m_1609.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,auriol,giraudet,Toyota Corolla WRC,AUTOart,1:18,80024,https://www.ewrc-models.com/model/313/,https://ewrc-models.com/photos/f1/313/i_1587.jpg,https://ewrc-models.com/photos/f1/313/m_1587.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,mäkinen,mannisenmäki,Mitsubishi Lancer Evo V,Tarmac Works,1:18,T18003TM2,https://www.ewrc-models.com/model/13854/,https://ewrc-models.com/photos/f14/13854/i_28524.jpg,https://ewrc-models.com/photos/f14/13854/m_28524.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,mäkinen,mannisenmäki,Mitsubishi Lancer Evo V,Altaya,1:18,NA,https://www.ewrc-models.com/model/11684/,https://ewrc-models.com/photos/f12/11684/i_22033.jpg,https://ewrc-models.com/photos/f12/11684/m_22033.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,fujimoto,sircombe,Toyota Corolla WRC,HPI,1:43,ignition model / IG0151,https://www.ewrc-models.com/model/6452/,https://ewrc-models.com/photos/f7/6452/i_11228.jpg,https://ewrc-models.com/photos/f7/6452/m_11228.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,auriol,giraudet,Toyota Corolla WRC,Vitesse,1:43,V98206,https://www.ewrc-models.com/model/3253/,https://ewrc-models.com/photos/f4/3253/i_6472.jpg,https://ewrc-models.com/photos/f4/3253/m_6472.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,mäkinen,mannisenmäki,Mitsubishi Lancer Evo V,NA,1:43,NA,https://www.ewrc-models.com/model/19244/,https://ewrc-models.com/photos/f20/19244/i_44124.jpg,https://ewrc-models.com/photos/f20/19244/m_44124.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,mäkinen,mannisenmäki,Mitsubishi Lancer Evo V,Altaya,1:43,NA,https://www.ewrc-models.com/model/10549/,https://ewrc-models.com/photos/f11/10549/i_19480.jpg,https://ewrc-models.com/photos/f11/10549/m_19480.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,mäkinen,mannisenmäki,Mitsubishi Lancer Evo V,IXO,1:43,RAM 520,https://www.ewrc-models.com/model/7132/,https://ewrc-models.com/photos/f8/7132/i_12419.jpg,https://ewrc-models.com/photos/f8/7132/m_12419.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,mäkinen,mannisenmäki,Mitsubishi Lancer Evo V,Vitesse,1:43,V98089,https://www.ewrc-models.com/model/4493/,https://ewrc-models.com/photos/f5/4493/i_11473.jpg,https://ewrc-models.com/photos/f5/4493/m_11473.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,mäkinen,mannisenmäki,Mitsubishi Lancer Evo V,Skid,1:43,SKM99009,https://www.ewrc-models.com/model/2170/,https://ewrc-models.com/photos/f3/2170/i_4728.jpg,https://ewrc-models.com/photos/f3/2170/m_4728.jpg
australia_1998,australia,Australia,Australia 1998,1998,https://ewrc-results.com/event/147-api-rally-australia-1998/,mäkinen,mannisenmäki,Mitsubishi Lancer Evo V,Vitesse,1:43,V98089,https://www.ewrc-models.com/model/1507/,https://ewrc-models.com/photos/f2/1507/i_3764.jpg,https://ewrc-models.com/photos/f2/1507/m_3764.jpg
