event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,bugalski,chiaroni,Citroën Xsara WRC,Solido,1:18,9021,https://www.ewrc-models.com/model/390/,https://ewrc-models.com/photos/f1/390/i_14580.jpg,https://ewrc-models.com/photos/f1/390/m_14580.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,auriol,giraudet,Peugeot 206 WRC,Solido,1:18,NA,https://www.ewrc-models.com/model/388/,https://ewrc-models.com/photos/f1/388/i_1812.jpg,https://ewrc-models.com/photos/f1/388/m_1812.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,auriol,giraudet,Peugeot 206 WRC,AUTOart,1:18,80158,https://www.ewrc-models.com/model/129/,https://ewrc-models.com/photos/f1/129/i_383.jpg,https://ewrc-models.com/photos/f1/129/m_383.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,bugalski,chiaroni,Citroën Xsara WRC,Solido,1:43,1567,https://www.ewrc-models.com/model/3192/,https://ewrc-models.com/photos/f4/3192/i_6360.jpg,https://ewrc-models.com/photos/f4/3192/m_6360.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,puras,martí,Citroën Xsara WRC,IXO,1:43,RAM007,https://www.ewrc-models.com/model/417/,https://ewrc-models.com/photos/f1/417/i_1865.jpg,https://ewrc-models.com/photos/f1/417/m_1865.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,bugalski,chiaroni,Citroën Xsara WRC,IXO,1:43,RAM006,https://www.ewrc-models.com/model/416/,https://ewrc-models.com/photos/f1/416/i_1864.jpg,https://ewrc-models.com/photos/f1/416/m_1864.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,auriol,giraudet,Peugeot 206 WRC,Altaya,1:43,NA,https://www.ewrc-models.com/model/11680/,https://ewrc-models.com/photos/f12/11680/i_22024.jpg,https://ewrc-models.com/photos/f12/11680/m_22024.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,princen,colebunders,Peugeot 206 WRC,NA,1:43,NA,https://www.ewrc-models.com/model/10955/,https://ewrc-models.com/photos/f11/10955/i_20287.jpg,https://ewrc-models.com/photos/f11/10955/m_20287.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,auriol,giraudet,Peugeot 206 WRC,Norev,1:43,472612,https://www.ewrc-models.com/model/5287/,https://ewrc-models.com/photos/f6/5287/i_9991.jpg,https://ewrc-models.com/photos/f6/5287/m_9991.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,princen,colebunders,Peugeot 206 WRC,NA,1:43,NA,https://www.ewrc-models.com/model/4656/,https://ewrc-models.com/photos/f5/4656/i_8344.jpg,https://ewrc-models.com/photos/f5/4656/m_8344.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,jean-joseph,boyère,Peugeot 206 WRC,Skid,1:43,SKM208,https://www.ewrc-models.com/model/2156/,https://ewrc-models.com/photos/f3/2156/i_4696.jpg,https://ewrc-models.com/photos/f3/2156/m_4696.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,princen,colebunders,Peugeot 206 WRC,NA,1:43,NA,https://www.ewrc-models.com/model/1624/,https://ewrc-models.com/photos/f2/1624/i_3886.jpg,https://ewrc-models.com/photos/f2/1624/m_3886.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,auriol,giraudet,Peugeot 206 WRC,IXO,1:43,RAM008,https://www.ewrc-models.com/model/418/,https://ewrc-models.com/photos/f1/418/i_1866.jpg,https://ewrc-models.com/photos/f1/418/m_1866.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,loeb,elena,Citroën Saxo S1600,Racing43,1:43,RR007,https://www.ewrc-models.com/model/6857/,https://ewrc-models.com/photos/f7/6857/i_11974.jpg,https://ewrc-models.com/photos/f7/6857/m_11974.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,tuohino,vihavainen,Toyota Corolla WRC,NA,1:43,NA,https://www.ewrc-models.com/model/8480/,https://ewrc-models.com/photos/f9/8480/i_15314.jpg,https://ewrc-models.com/photos/f9/8480/m_15314.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,cañellas,sanchís,Seat Cordoba WRC,Altaya,1:43,NA,https://www.ewrc-models.com/model/2416/,https://ewrc-models.com/photos/f3/2416/i_5068.jpg,https://ewrc-models.com/photos/f3/2416/m_5068.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,cañellas,sanchís,Seat Cordoba WRC,IXO,1:43,RAM011,https://www.ewrc-models.com/model/421/,https://ewrc-models.com/photos/f1/421/i_1869.jpg,https://ewrc-models.com/photos/f1/421/m_1869.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,blázquez,mercader,Seat Cordoba WRC,IXO,1:43,RAM010,https://www.ewrc-models.com/model/420/,https://ewrc-models.com/photos/f1/420/i_1868.jpg,https://ewrc-models.com/photos/f1/420/m_1868.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,vallejo,vallejo,Fiat Punto S1600,IXO,1:43,NA,https://www.ewrc-models.com/model/9530/,https://ewrc-models.com/photos/f10/9530/i_17636.jpg,https://ewrc-models.com/photos/f10/9530/m_17636.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,dallavilla,fappani,Fiat Punto S1600,Altaya,1:43,NA,https://www.ewrc-models.com/model/8843/,https://ewrc-models.com/photos/f9/8843/i_16188.jpg,https://ewrc-models.com/photos/f9/8843/m_16188.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,stohl,minor,Fiat Punto S1600,Racing43,1:43,S175,https://www.ewrc-models.com/model/6832/,https://ewrc-models.com/photos/f7/6832/i_11933.jpg,https://ewrc-models.com/photos/f7/6832/m_11933.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,dallavilla,fappani,Fiat Punto S1600,Racing43,1:43,S150,https://www.ewrc-models.com/model/6820/,https://ewrc-models.com/photos/f7/6820/i_11921.jpg,https://ewrc-models.com/photos/f7/6820/m_11921.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,dallavilla,fappani,Fiat Punto S1600,Altaya,1:43,NA,https://www.ewrc-models.com/model/6306/,https://ewrc-models.com/photos/f7/6306/i_11024.jpg,https://ewrc-models.com/photos/f7/6306/m_11024.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,lloverá,corral,Fiat Punto S1600,NA,1:43,NA,https://www.ewrc-models.com/model/4960/,https://ewrc-models.com/photos/f5/4960/i_8877.jpg,https://ewrc-models.com/photos/f5/4960/m_8877.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,vallejo,vallejo,Fiat Punto S1600,Skid,1:43,NA,https://www.ewrc-models.com/model/4958/,https://ewrc-models.com/photos/f5/4958/i_8871.jpg,https://ewrc-models.com/photos/f5/4958/m_8871.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,vallejo,vallejo,Fiat Punto S1600,Trofeu,1:43,MP0202,https://www.ewrc-models.com/model/4638/,https://ewrc-models.com/photos/f5/4638/i_8312.jpg,https://ewrc-models.com/photos/f5/4638/m_8312.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,stohl,minor,Fiat Punto S1600,IXO,1:43,RAM027,https://www.ewrc-models.com/model/432/,https://ewrc-models.com/photos/f1/432/i_1880.jpg,https://ewrc-models.com/photos/f1/432/m_1880.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,dallavilla,fappani,Fiat Punto S1600,IXO,1:43,RAM026,https://www.ewrc-models.com/model/431/,https://ewrc-models.com/photos/f1/431/i_1879.jpg,https://ewrc-models.com/photos/f1/431/m_1879.jpg
catalunya_2001,catalunya,Catalunya,Catalunya 2001,2001,https://ewrc-results.com/event/97-rallye-catalunya-costa-brava-rallye-de-espana-2001/,basso,guglielmini,Fiat Punto S1600,IXO,1:43,RAM018,https://www.ewrc-models.com/model/426/,https://ewrc-models.com/photos/f1/426/i_1874.jpg,https://ewrc-models.com/photos/f1/426/m_1874.jpg
