event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,alén,kivimäki,Lancia Delta HF 4WD,Kyosho,1:18,08960B,https://www.ewrc-models.com/model/17184/,https://ewrc-models.com/photos/f18/17184/i_37418.jpg,https://ewrc-models.com/photos/f18/17184/m_37418.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,vatanen,harryman,Ford Sierra RS Cosworth,Altaya,1:18,AL18-1987-Fin-06,https://www.ewrc-models.com/model/10241/,https://ewrc-models.com/photos/f11/10241/i_18959.jpg,https://ewrc-models.com/photos/f11/10241/m_18959.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,tumalevičius,videika,Lada VAZ 2105 VFTS,IXO,1:18,18RMC181A.22,https://www.ewrc-models.com/model/17035/,https://ewrc-models.com/photos/f18/17035/i_36788.jpg,https://ewrc-models.com/photos/f18/17035/m_36788.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,alén,kivimäki,Lancia Delta HF 4WD,NA,1:43,NA,https://www.ewrc-models.com/model/14083/,https://ewrc-models.com/photos/f15/14083/i_27828.jpg,https://ewrc-models.com/photos/f15/14083/m_27828.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,vatanen,harryman,Ford Sierra RS Cosworth,Spark,1:43,S8704,https://www.ewrc-models.com/model/10713/,https://ewrc-models.com/photos/f11/10713/i_19869.jpg,https://ewrc-models.com/photos/f11/10713/m_19869.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,vatanen,harryman,Ford Sierra RS Cosworth,Trofeu,1:43,102,https://www.ewrc-models.com/model/7191/,https://ewrc-models.com/photos/f8/7191/i_12533.jpg,https://ewrc-models.com/photos/f8/7191/m_12533.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,vatanen,harryman,Ford Sierra RS Cosworth,Racing43,1:43,S024,https://www.ewrc-models.com/model/6758/,https://ewrc-models.com/photos/f7/6758/i_11839.jpg,https://ewrc-models.com/photos/f7/6758/m_11839.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,vatanen,harryman,Ford Sierra RS Cosworth,Altaya,1:43,NA,https://www.ewrc-models.com/model/6379/,https://ewrc-models.com/photos/f7/6379/i_11134.jpg,https://ewrc-models.com/photos/f7/6379/m_11134.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,kvaizar,janeček,Škoda 130 L,Abrex,1:43,13018,https://www.ewrc-models.com/model/2442/,https://ewrc-models.com/photos/f3/2442/i_5096.jpg,https://ewrc-models.com/photos/f3/2442/m_5096.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,eklund,whittock,Audi Coupé Quattro,Trofeu,1:43,DSN 277,https://www.ewrc-models.com/model/18080/,https://ewrc-models.com/photos/f19/18080/i_40186.jpg,https://ewrc-models.com/photos/f19/18080/m_40186.jpg
finland_1987,finland,Finland,Finland 1987,1987,https://ewrc-results.com/event/8911-rally-of-the-1000-lakes-1987/,mikkola,hertz,Audi 200 Quattro,NA,1:43,by M-Modelcars Collection,https://www.ewrc-models.com/model/14792/,https://ewrc-models.com/photos/f15/14792/i_30435.jpg,https://ewrc-models.com/photos/f15/14792/m_30435.jpg
