event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,rossi,cassina,Ford Focus RS WRC '07,Sun Star,1:18,3939,https://www.ewrc-models.com/model/16212/,https://ewrc-models.com/photos/f17/16212/i_34545.jpg,https://ewrc-models.com/photos/f17/16212/m_34545.jpg
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,clark,nagle,Ford Focus RS WRC '07,Sun Star,1:18,3944,https://www.ewrc-models.com/model/229/,https://ewrc-models.com/photos/f1/229/i_974.jpg,https://ewrc-models.com/photos/f1/229/m_974.jpg
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,andersson,andersson,Suzuki SX4 WRC,NA,1:18,NA,https://www.ewrc-models.com/model/19757/,https://ewrc-models.com/photos/f20/19757/i_46143.jpg,https://ewrc-models.com/photos/f20/19757/m_46143.jpg
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,perez,spooner,Ford Focus RS WRC '04,NA,1:43,NA,https://www.ewrc-models.com/model/13676/,https://ewrc-models.com/photos/f14/13676/i_26711.jpg,https://ewrc-models.com/photos/f14/13676/m_26711.jpg
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,sordo,martí,Citroën C4 WRC,IXO,1:43,NA,https://www.ewrc-models.com/model/9660/,https://ewrc-models.com/photos/f10/9660/i_17792.jpg,https://ewrc-models.com/photos/f10/9660/m_17792.jpg
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,loeb,elena,Citroën C4 WRC,IXO,1:43,NA,https://www.ewrc-models.com/model/9659/,https://ewrc-models.com/photos/f10/9659/i_17791.jpg,https://ewrc-models.com/photos/f10/9659/m_17791.jpg
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,sordo,martí,Citroën C4 WRC,IXO,1:43,RAM350B,https://www.ewrc-models.com/model/592/,https://ewrc-models.com/photos/f1/592/i_2292.jpg,https://ewrc-models.com/photos/f1/592/m_2292.jpg
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,loeb,elena,Citroën C4 WRC,IXO,1:43,RAM350A,https://www.ewrc-models.com/model/591/,https://ewrc-models.com/photos/f1/591/i_2290.jpg,https://ewrc-models.com/photos/f1/591/m_2290.jpg
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,rossi,cassina,Ford Focus RS WRC '07,Minichamps,1:43,400088146,https://www.ewrc-models.com/model/5813/,https://ewrc-models.com/photos/f6/5813/i_11547.jpg,https://ewrc-models.com/photos/f6/5813/m_11547.jpg
rally_gb_2008,rally_gb,Rally GB,Rally GB 2008,2008,https://ewrc-results.com/event/163-wales-rally-gb-2008/,rossi,cassina,Ford Focus RS WRC '07,IXO,1:43,RAM351,https://www.ewrc-models.com/model/1729/,https://ewrc-models.com/photos/f2/1729/i_4060.jpg,https://ewrc-models.com/photos/f2/1729/m_4060.jpg
