event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,röhrl,geistdörfer,Audi Quattro A2,Sun Star,1:18,4258,https://www.ewrc-models.com/model/18347/,https://ewrc-models.com/photos/f19/18347/i_41028.jpg,https://ewrc-models.com/photos/f19/18347/m_41028.jpg
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,röhrl,geistdörfer,Audi Quattro A2,AUTOart,1:18,503.04.003.05,https://www.ewrc-models.com/model/1049/,https://ewrc-models.com/photos/f2/1049/i_2981.jpg,https://ewrc-models.com/photos/f2/1049/m_2981.jpg
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,darniche,mahé,Audi 80 Quattro,Trofeu,1:43,TRFdsn381,https://www.ewrc-models.com/model/19764/,https://ewrc-models.com/photos/f20/19764/i_46161.jpg,https://ewrc-models.com/photos/f20/19764/m_46161.jpg
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,bos,leuvrey,Audi 80 Quattro,Scala43,1:43,K214,https://www.ewrc-models.com/model/3541/,https://ewrc-models.com/photos/f4/3541/i_6826.jpg,https://ewrc-models.com/photos/f4/3541/m_6826.jpg
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,darniche,mahé,Audi 80 Quattro,Scala43,1:43,K212,https://www.ewrc-models.com/model/3539/,https://ewrc-models.com/photos/f4/3539/i_6824.jpg,https://ewrc-models.com/photos/f4/3539/m_6824.jpg
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,saby,andrié,Renault 5 Turbo,NA,1:43,NA,https://www.ewrc-models.com/model/8340/,https://ewrc-models.com/photos/f9/8340/i_15023.jpg,https://ewrc-models.com/photos/f9/8340/m_15023.jpg
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,thérier,vial,Renault 5 Turbo,Spark,1:43,S3861,https://www.ewrc-models.com/model/7229/,https://ewrc-models.com/photos/f8/7229/i_12593.jpg,https://ewrc-models.com/photos/f8/7229/m_12593.jpg
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,thérier,vial,Renault 5 Turbo,Altaya,1:43,NA,https://www.ewrc-models.com/model/2412/,https://ewrc-models.com/photos/f3/2412/i_5064.JPG,https://ewrc-models.com/photos/f3/2412/m_5064.JPG
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,nannini,maddii,Fiat Ritmo,Racing43,1:43,NA,https://www.ewrc-models.com/model/13407/,https://ewrc-models.com/photos/f14/13407/i_26205.jpg,https://ewrc-models.com/photos/f14/13407/m_26205.jpg
monte_carlo_1984,monte_carlo,Monte Carlo,Monte Carlo 1984,1984,https://ewrc-results.com/event/1589-rallye-automobile-monte-carlo-1984/,servià,sabater,Opel Manta 400,NA,1:43,NA,https://www.ewrc-models.com/model/9027/,https://ewrc-models.com/photos/f10/9027/i_16609.jpg,https://ewrc-models.com/photos/f10/9027/m_16609.jpg
