event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,verini,rossetti,Fiat 124 Abarth Rallye,Sun Star,1:18,4951,https://www.ewrc-models.com/model/162/,https://ewrc-models.com/photos/f1/162/i_603.jpg,https://ewrc-models.com/photos/f1/162/m_603.jpg
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,mäkinen,liddon,Ford Escort RS 1800 MKII,Minichamps,1:18,100758401,https://www.ewrc-models.com/model/6687/,https://ewrc-models.com/photos/f7/6687/i_11725.jpg,https://ewrc-models.com/photos/f7/6687/m_11725.jpg
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,clark,mason,Ford Escort RS 1800 MKII,Sun Star,1:18,4432,https://www.ewrc-models.com/model/4763/,https://ewrc-models.com/photos/f5/4763/i_8551.jpg,https://ewrc-models.com/photos/f5/4763/m_8551.jpg
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,mäkinen,liddon,Ford Escort RS 1800 MKII,Sun Star,1:18,4431,https://www.ewrc-models.com/model/60/,https://ewrc-models.com/photos/f1/60/i_512.jpg,https://ewrc-models.com/photos/f1/60/m_512.jpg
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,knollmann,grimkowski,Volkswagen Golf,Scala43,1:43,K07b,https://www.ewrc-models.com/model/3452/,https://ewrc-models.com/photos/f4/3452/i_6722.jpg,https://ewrc-models.com/photos/f4/3452/m_6722.jpg
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,pond,richards,Opel Kadett GT/E,Trofeu,1:43,dsn-32,https://www.ewrc-models.com/model/14409/,https://ewrc-models.com/photos/f15/14409/i_28862.jpg,https://ewrc-models.com/photos/f15/14409/m_28862.jpg
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,pond,richards,Opel Kadett GT/E,Schuco,1:43,NA,https://www.ewrc-models.com/model/4770/,https://ewrc-models.com/photos/f5/4770/i_8559.jpg,https://ewrc-models.com/photos/f5/4770/m_8559.jpg
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,pond,richards,Opel Kadett GT/E,Schuco,1:43,03613,https://www.ewrc-models.com/model/3783/,https://ewrc-models.com/photos/f4/3783/i_7104.jpg,https://ewrc-models.com/photos/f4/3783/m_7104.jpg
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,blomqvist,sylvan,Saab 96 V4,Mini Racing,1:43,0392,https://www.ewrc-models.com/model/2275/,https://ewrc-models.com/photos/f3/2275/i_4896.jpg,https://ewrc-models.com/photos/f3/2275/m_4896.jpg
rally_gb_1975,rally_gb,RAC Rally,RAC Rally 1975,1975,https://ewrc-results.com/event/12258-lombard-rac-rally-1975/,waldegård,thorszelius,Lancia Stratos HF,Arena Models,1:43,ARE147,https://www.ewrc-models.com/model/5181/,https://ewrc-models.com/photos/f6/5181/i_9295.jpg,https://ewrc-models.com/photos/f6/5181/m_9295.jpg
