event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,recalde,christie,Lancia Delta Integrale 16V,Solido,1:18,NA,https://www.ewrc-models.com/model/15976/,https://ewrc-models.com/photos/f16/15976/i_33773.jpg,https://ewrc-models.com/photos/f16/15976/m_33773.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,recalde,christie,Lancia Delta Integrale 16V,Sun Star,1:18,3126,https://www.ewrc-models.com/model/173/,https://ewrc-models.com/photos/f1/173/i_675.jpg,https://ewrc-models.com/photos/f1/173/m_675.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,kankkunen,piironen,Lancia Delta Integrale 16V,Sun Star,1:18,3118,https://www.ewrc-models.com/model/165/,https://ewrc-models.com/photos/f1/165/i_616.jpg,https://ewrc-models.com/photos/f1/165/m_616.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,blomqvist,melander,Nissan Sunny GTI-R,Provence,1:43,PM0074,https://www.ewrc-models.com/model/4558/,https://ewrc-models.com/photos/f5/4558/i_8197.jpg,https://ewrc-models.com/photos/f5/4558/m_8197.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,blomqvist,melander,Nissan Sunny GTI-R,Norev,1:43,PM0074,https://www.ewrc-models.com/model/2066/,https://ewrc-models.com/photos/f3/2066/i_6126.jpg,https://ewrc-models.com/photos/f3/2066/m_6126.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,kankkunen,piironen,Lancia Delta Integrale 16V,Altaya,1:43,NA,https://www.ewrc-models.com/model/14613/,https://ewrc-models.com/photos/f15/14613/i_29720.jpg,https://ewrc-models.com/photos/f15/14613/m_29720.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,kankkunen,piironen,Lancia Delta Integrale 16V,Racing43,1:43,RK016,https://www.ewrc-models.com/model/6881/,https://ewrc-models.com/photos/f7/6881/i_12009.jpg,https://ewrc-models.com/photos/f7/6881/m_12009.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,recalde,christie,Lancia Delta Integrale 16V,Vitesse,1:43,V42416,https://www.ewrc-models.com/model/1188/,https://ewrc-models.com/photos/f2/1188/i_3372.jpg,https://ewrc-models.com/photos/f2/1188/m_3372.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,kankkunen,piironen,Lancia Delta Integrale 16V,Vitesse,1:43,V42408,https://www.ewrc-models.com/model/1170/,https://ewrc-models.com/photos/f2/1170/i_3299.jpg,https://ewrc-models.com/photos/f2/1170/m_3299.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,kankkunen,piironen,Lancia Delta Integrale 16V,HPI,1:43,8228,https://www.ewrc-models.com/model/1029/,https://ewrc-models.com/photos/f2/1029/i_2938.jpg,https://ewrc-models.com/photos/f2/1029/m_2938.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,recalde,christie,Lancia Delta Integrale 16V,HPI,1:43,8277,https://www.ewrc-models.com/model/1025/,https://ewrc-models.com/photos/f2/1025/i_2933.jpg,https://ewrc-models.com/photos/f2/1025/m_2933.jpg
safari_1991,safari,Safari,Safari 1991,1991,https://ewrc-results.com/event/653-martini-safari-rally-1991/,kankkunen,piironen,Lancia Delta Integrale 16V,Altaya,1:24,NA,https://www.ewrc-models.com/model/16494/,https://ewrc-models.com/photos/f17/16494/i_35289.jpg,https://ewrc-models.com/photos/f17/16494/m_35289.jpg
