event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,blomqvist,cederberg,Audi Quattro,Sun Star,1:18,4220,https://www.ewrc-models.com/model/136/,https://ewrc-models.com/photos/f1/136/i_470.jpg,https://ewrc-models.com/photos/f1/136/m_470.jpg
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,demuth,fischer,Audi Quattro,Sun Star,1:18,4196,https://www.ewrc-models.com/model/66/,https://ewrc-models.com/photos/f1/66/i_425.jpg,https://ewrc-models.com/photos/f1/66/m_425.jpg
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,cerrato,cerri,Opel Ascona 400,Sun Star,1:18,5374,https://www.ewrc-models.com/model/12030/,https://ewrc-models.com/photos/f13/12030/i_22821.jpg,https://ewrc-models.com/photos/f13/12030/m_22821.jpg
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,wittmann,diekmann,Audi Quattro,Trofeu,1:43,TRFRRIT22,https://www.ewrc-models.com/model/19865/,https://ewrc-models.com/photos/f20/19865/i_46530.jpg,https://ewrc-models.com/photos/f20/19865/m_46530.jpg
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,blomqvist,cederberg,Audi Quattro,Altaya,1:43,NA,https://www.ewrc-models.com/model/11253/,https://ewrc-models.com/photos/f12/11253/i_20954.jpg,https://ewrc-models.com/photos/f12/11253/m_20954.jpg
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,wittmann,diekmann,Audi Quattro,Corgi,1:43,DetailCars ART 495,https://www.ewrc-models.com/model/10149/,https://ewrc-models.com/photos/f11/10149/i_18777.jpg,https://ewrc-models.com/photos/f11/10149/m_18777.jpg
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,cinotto,radaelli,Audi Quattro,Racing43,1:43,S135,https://www.ewrc-models.com/model/6801/,https://ewrc-models.com/photos/f7/6801/i_11883.jpg,https://ewrc-models.com/photos/f7/6801/m_11883.jpg
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,demuth,fischer,Audi Quattro,Scala43,1:43,82-SR-16,https://www.ewrc-models.com/model/1356/,https://ewrc-models.com/photos/f2/1356/i_3593.jpg,https://ewrc-models.com/photos/f2/1356/m_3593.jpg
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,cinotto,radaelli,Audi Quattro,Trofeu,1:43,1616,https://www.ewrc-models.com/model/1345/,https://ewrc-models.com/photos/f2/1345/i_3582.jpg,https://ewrc-models.com/photos/f2/1345/m_3582.jpg
sanremo_1982,sanremo,Sanremo,Sanremo 1982,1982,https://ewrc-results.com/event/10229-rallye-sanremo-1982/,blomqvist,cederberg,Audi Quattro,Trofeu,1:43,1606,https://www.ewrc-models.com/model/1335/,https://ewrc-models.com/photos/f2/1335/i_14591.jpg,https://ewrc-models.com/photos/f2/1335/m_14591.jpg
