event_slug,rally_slug,rally_name,event_name,year,ewrc_event_url,driver_key,codriver_key,model_car_name,model_brand,model_scale,model_code,ewrc_model_url,thumb_url,image_url
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,østberg,andersson,Subaru Impreza S12B WRC '07,Sun Star,1:18,4481,https://www.ewrc-models.com/model/253/,https://ewrc-models.com/photos/f1/253/i_1123.jpg,https://ewrc-models.com/photos/f1/253/m_1123.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,grönholm,rautiainen,Ford Focus RS WRC '08,Sun Star,1:18,3954,https://www.ewrc-models.com/model/7072/,https://ewrc-models.com/photos/f8/7072/i_12311.jpg,https://ewrc-models.com/photos/f8/7072/m_12311.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,räikkönen,lindström,Citroën C4 WRC,Norev,1:43,155432,https://www.ewrc-models.com/model/5273/,https://ewrc-models.com/photos/f6/5273/i_9417.jpg,https://ewrc-models.com/photos/f6/5273/m_9417.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,räikkönen,lindström,Citroën C4 WRC,Altaya,1:43,NA,https://www.ewrc-models.com/model/3947/,https://ewrc-models.com/photos/f4/3947/i_7321.jpg,https://ewrc-models.com/photos/f4/3947/m_7321.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,räikkönen,lindström,Citroën C4 WRC,IXO,1:43,RAM409,https://www.ewrc-models.com/model/544/,https://ewrc-models.com/photos/f1/544/i_2166.jpg,https://ewrc-models.com/photos/f1/544/m_2166.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,østberg,andersson,Subaru Impreza S12B WRC '07,Vitesse,1:43,V43133,https://www.ewrc-models.com/model/1207/,https://ewrc-models.com/photos/f2/1207/i_3399.jpg,https://ewrc-models.com/photos/f2/1207/m_3399.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,tänak,sikk,Subaru Impreza STi N14,NA,1:43,NA,https://www.ewrc-models.com/model/16815/,https://ewrc-models.com/photos/f17/16815/i_36199.jpg,https://ewrc-models.com/photos/f17/16815/m_36199.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,solberg,minor,Ford Focus RS WRC '08,NA,1:43,NA,https://www.ewrc-models.com/model/18647/,https://ewrc-models.com/photos/f19/18647/i_41918.jpg,https://ewrc-models.com/photos/f19/18647/m_41918.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,grönholm,rautiainen,Ford Focus RS WRC '08,Altaya,1:43,NA,https://www.ewrc-models.com/model/3951/,https://ewrc-models.com/photos/f4/3951/i_7333.jpg,https://ewrc-models.com/photos/f4/3951/m_7333.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,grönholm,rautiainen,Ford Focus RS WRC '08,EHL43,1:43,K176,https://www.ewrc-models.com/model/2333/,https://ewrc-models.com/photos/f3/2333/i_4972.jpg,https://ewrc-models.com/photos/f3/2333/m_4972.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,hirvonen,lehtinen,Ford Focus RS WRC '09,Altaya,1:43,NA,https://www.ewrc-models.com/model/2714/,https://ewrc-models.com/photos/f3/2714/i_5678.jpg,https://ewrc-models.com/photos/f3/2714/m_5678.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,hirvonen,lehtinen,Ford Focus RS WRC '09,IXO,1:43,RAM407,https://www.ewrc-models.com/model/545/,https://ewrc-models.com/photos/f1/545/i_2167.jpg,https://ewrc-models.com/photos/f1/545/m_2167.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,grøndal,gulbæk,Subaru Impreza STi N16,NA,1:43,NA,https://www.ewrc-models.com/model/11997/,https://ewrc-models.com/photos/f12/11997/i_22663.jpg,https://ewrc-models.com/photos/f12/11997/m_22663.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,loeb,elena,Citroën C4 WRC,Saico,1:32,NA,https://www.ewrc-models.com/model/8898/,https://ewrc-models.com/photos/f9/8898/i_16291.jpg,https://ewrc-models.com/photos/f9/8898/m_16291.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,räikkönen,lindström,Citroën C4 WRC,Saico,1:32,NA,https://www.ewrc-models.com/model/8894/,https://ewrc-models.com/photos/f9/8894/i_16287.jpg,https://ewrc-models.com/photos/f9/8894/m_16287.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,wilson,martin,Ford Focus RS WRC '08,Bburago,1:32,NA,https://www.ewrc-models.com/model/11515/,https://ewrc-models.com/photos/f12/11515/i_21691.jpg,https://ewrc-models.com/photos/f12/11515/m_21691.jpg
sweden_2010,sweden,Sweden,Sweden 2010,2010,https://ewrc-results.com/event/573-rally-sweden-2010/,hirvonen,lehtinen,Ford Focus RS WRC '09,Saico,1:32,NA,https://www.ewrc-models.com/model/8895/,https://ewrc-models.com/photos/f9/8895/i_16288.jpg,https://ewrc-models.com/photos/f9/8895/m_16288.jpg
