track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
nurburgring,1960-06-22,5,Maserati Tipo 61 #2461 - Maserati no:2461 L4 2v DOHC 2890 cc N/A,1,S3.0,Camoradi/USA Racing Team (USA),Open bodywork,Front-engined,Stirling Moss (GB)/Dan Gurney (USA),CAMORADI USA,white,Goodyear/Pirelli,29/08/2010,Kat Miner See Things Differently,Maserati,Tipo 61,#2461,NA,Result: winner - (133.322 kph) - margin: 2m52s4000Grid: 2nd (9:50.1000),winner - (133.322 kph) - margin: 2m52s4000Grid: 2nd (9:50.1000),finished,2,9:50.1000,133.322 kph,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Nurburgring-1960-06-22-005.jpg,https://www.racingsportscars.com/photo/1960/Nurburgring-1960-06-22-005.jpg,https://www.racingsportscars.com/make/photo/Maserati.html,https://www.racingsportscars.com/type/photo/Maserati/Tipo%2061.html,https://www.racingsportscars.com/chassis/photo/2461%20%5bTipo%2061%5d.html,NA
nurburgring,1960-06-22,21,Porsche 718 RS 60 #041 - Porsche 1630 cc N/A,2,S2.0,Dr. Ing. h. c. F. Porsche KG. (D),Open bodywork,Mid-engined,"Jo Bonnier (S)/Olivier Gendebien (B)listed, never drove: Graham Hill (GB)",NA,NA,NA,NA,NA,Porsche,718,#041,RS 60,Result: 2nd 1st in S2.0 (2m52s4000 behind the winner)Grid: (9:43.6000),2nd 1st in S2.0 (2m52s4000 behind the winner)Grid: (9:43.6000),finished,NA,NA,2m52s4000 behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/718.html,https://www.racingsportscars.com/chassis/photo/718-041.html,https://www.racingsportscars.com/suffix/photo/Porsche/718/RS%2060.html
nurburgring,1960-06-22,2,Ferrari 250 TR Fantuzzi Spyder 59/60 #0770TR - Ferrari Tipo 128 LM V12/60° 2v SOHC 2953 cc N/A,3,S3.0,Scuderia Ferrari (I),Open bodywork,Front-engined,"Cliff Allison (GB)/Willy Mairesse (B)/Phil Hill (USA)DNS: Wolfgang von Trips (D); listed, never drove: Wolfgang Seidel (D)",FERRARI,red,NA,29/08/2010,Kat Miner See Things Differently,Ferrari,250 TR,#0770TR,Fantuzzi Spyder 59/60,Result: 3rd (4m03s6000 behind the winner)Grid:,3rd (4m03s6000 behind the winner)Grid:,finished,NA,NA,4m03s6000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Nurburgring-1960-06-22-002.jpg,https://www.racingsportscars.com/photo/1960/Nurburgring-1960-06-22-002.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20TR.html,https://www.racingsportscars.com/chassis/photo/0770TR%20%5b250TR%5d.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20TR/Fantuzzi%20Spyder%2059__60.html
nurburgring,1960-06-22,23,Porsche 718 RS 60 #043 - Porsche 1630 cc N/A,4,S2.0,Dr. Ing. h. c. F. Porsche KG. (D),-,Mid-engined,"Hans Herrmann (D)/Maurice Trintignant (F)listed, never drove: Olivier Gendebien (B)",NA,NA,NA,NA,NA,Porsche,718,#043,RS 60,Result: 4th (6m17s2000 behind the winner)Grid: 3rd (9:51.8000),4th (6m17s2000 behind the winner)Grid: 3rd (9:51.8000),finished,3,9:51.8000,6m17s2000 behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/718.html,https://www.racingsportscars.com/chassis/photo/718-043.html,https://www.racingsportscars.com/suffix/photo/Porsche/718/RS%2060.html
nurburgring,1960-06-22,6,Maserati Tipo 61 #2464 - Maserati no:2464 L4 2v DOHC 2890 cc N/A,5,S3.0,Camoradi/USA Racing Team (USA),Open bodywork,Front-engined,Masten Gregory (USA)/Gino Munaron (I)DNS: Umberto Maglioli (I),NA,NA,Goodyear/Pirelli,NA,NA,Maserati,Tipo 61,#2464,NA,Result: 5th (1 lap behind the winner)Grid:,5th (1 lap behind the winner)Grid:,finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Maserati.html,https://www.racingsportscars.com/type/photo/Maserati/Tipo%2061.html,https://www.racingsportscars.com/chassis/photo/2464%20%5bTipo%2061%5d.html,NA
nurburgring,1960-06-22,36,Porsche 718 RSK #029 - Porsche 1600 cc N/A,6,S1.6,Heinrich Walter (CH),-,Mid-engined,Heini Walter (CH)/Thomas Losinger (CH),NA,silver,NA,NA,NA,Porsche,718,#029,RSK,Result: 6th 1st in S1.6 (2 laps behind the winner)Grid:,6th 1st in S1.6 (2 laps behind the winner)Grid:,finished,NA,NA,2 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/718.html,https://www.racingsportscars.com/chassis/photo/718-029.html,https://www.racingsportscars.com/suffix/photo/Porsche/718/RSK.html
nurburgring,1960-06-22,31,Porsche 356 B 1600 GS Carrera Abarth GTL #1001 - Porsche F4 2v DOHC 1600 cc N/A,7,S1.6,Dr. Ing. h. c. F. Porsche KG. (D),Closed bodywork,Rear-engined,Sepp Greger (D)/Herbert Linge (D),"unknown
Registration: S-KH 17",NA,NA,NA,NA,Porsche,356,#1001,B 1600 GS Carrera Abarth GTL,Result: 7th (3 laps behind the winner)Grid:,7th (3 laps behind the winner)Grid:,finished,NA,NA,3 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/356.html,https://www.racingsportscars.com/chassis/photo/1001%20%5b356B%5d.html,https://www.racingsportscars.com/suffix/photo/Porsche/356/B%201600%20GS%20Carrera%20Abarth%20GTL.html
nurburgring,1960-06-22,77,Ferrari 250 GT LWB Berlinetta Scaglietti TdF #1333 - Ferrari V12/60° 2v SOHC 2953 cc N/A,8,GT+2.0,Scuderia Serenissima (I),Closed bodywork,Front-engined,Carlo Mario Abate (I)/Colin Davis (GB),NA,NA,NA,NA,NA,Ferrari,250 GT,#1333,LWB Berlinetta Scaglietti TdF,Result: 8th 1st in GT+2.0 (3 laps behind the winner)Grid:,8th 1st in GT+2.0 (3 laps behind the winner)Grid:,finished,NA,NA,3 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20GT.html,https://www.racingsportscars.com/chassis/photo/250.GT.1333.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20GT/LWB%20Berlinetta%20Scaglietti%20TdF.html
nurburgring,1960-06-22,34,Porsche 718 RS 60 #055 - Porsche 1600 cc N/A,9,S1.6,Ian Fraser-Jones (ZA),Open bodywork,Mid-engined,Carel Godin de Beaufort (NL)/Paul Frère (B),NA,NA,NA,NA,NA,Porsche,718,#055,RS 60,Result: 9th (4 laps behind the winner)Grid:,9th (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/718.html,https://www.racingsportscars.com/chassis/photo/718-055.html,https://www.racingsportscars.com/suffix/photo/Porsche/718/RS%2060.html
nurburgring,1960-06-22,83,Porsche 356 B 1600 GS Carrera Abarth GTL - Porsche F4 2v DOHC 1600 cc N/A,10,GT2.0,Paul Ernst Straehle (D),-,Rear-engined,Paul Ernst Strähle (D)/Hans Walter (D),NA,NA,NA,NA,NA,Porsche,356,NA,B 1600 GS Carrera Abarth GTL,Result: 10th 1st in GT2.0 (4 laps behind the winner)Grid:,10th 1st in GT2.0 (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/356.html,NA,https://www.racingsportscars.com/suffix/photo/Porsche/356/B%201600%20GS%20Carrera%20Abarth%20GTL.html
