track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url
nurburgring,1989-06-18,35,BMW M3 - BMW,1,Class 13,BMW M Team Schnitzer,Closed bodywork,Front-engined,Emanuele Pirro (I)/Roberto Ravaglia (I)/Fabien Giroix (F),NA,NA,NA,NA,NA,BMW,M3,NA,Result: winner - (151.010 kph) - margin: 1 lapGrid:,winner - (151.010 kph) - margin: 1 lapGrid:,finished,NA,NA,151.010 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1989-06-18,36,BMW M3 - BMW,2,Class 13,BMW M Team Linder,Closed bodywork,Front-engined,Altfrid Heger (D)/Harald Grohs (D)/Olaf Manthey (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 2nd (1 lap behind the winner)Grid:,2nd (1 lap behind the winner)Grid:,finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1989-06-18,2,Ford Sierra Cosworth - Ford,3,Class 1,Ford Motorsport Eggenberger,-,-,Gianfranco Brancatelli (I)/Alain Ferté (F)/Thomas Lindström (S),NA,NA,NA,NA,NA,Ford,Sierra,Cosworth,Result: 3rd 1st in Class 1 (4 laps behind the winner)Grid:,3rd 1st in Class 1 (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Sierra.html,https://www.racingsportscars.com/suffix/photo/Ford/Sierra/Cosworth.html
nurburgring,1989-06-18,34,BMW M3 - BMW,4,Class 13,BMW Faltz,Closed bodywork,Front-engined,Otto Altenbach (D)/Jürgen Oppermann (D)/Jürgen Lässig (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 4th (7 laps behind the winner)Grid:,4th (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1989-06-18,21,BMW 325i - BMW,5,Class 2,Auto Budde,-,-,Udo Schneider (D)/Gunnar Hermann/Hermann Tilke (D),NA,NA,NA,NA,NA,BMW,325i,NA,Result: 5th 1st in Class 2 (7 laps behind the winner)Grid:,5th 1st in Class 2 (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/325i.html,NA
nurburgring,1989-06-18,33,BMW M3 - BMW,6,Class 13,BMW M Team Zakspeed,Closed bodywork,Front-engined,/Franz Dufter (D)/Steve Soper (GB)/Dieter Quester (A),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 6th (7 laps behind the winner)Grid:,6th (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1989-06-18,200,Porsche 944 Turbo - Porsche Turbo,7,Class 11,Wehmeier & Castrop Team,-,-,Roland Kußmaul (D)/Walter Röhrl (D)/Knuth Mentel (D),NA,NA,NA,NA,NA,Porsche,944,Turbo,Result: 7th 1st in Class 11 (11 laps behind the winner)Grid:,7th 1st in Class 11 (11 laps behind the winner)Grid:,finished,NA,NA,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/944.html,https://www.racingsportscars.com/suffix/photo/Porsche/944/Turbo.html
nurburgring,1989-06-18,202,Porsche 911 Carrera - Porsche F6 2v SOHC,8,Class 11,,Closed bodywork,Rear-engined,Uwe Eickwinkel (D)/Karl-Heinz Wlazik (D)/Dariusch Ahrabian (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 8th (14 laps behind the winner)Grid:,8th (14 laps behind the winner)Grid:,finished,NA,NA,14 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1989-06-18,201,Porsche 911 Carrera - Porsche F6 2v SOHC,9,Class 11,Stade´s leicht RSR Racing Team,Closed bodywork,Rear-engined,Edgar Dören (D)/André Hardy (B)/Jürgen Barth (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 9th (14 laps behind the winner)Grid:,9th (14 laps behind the winner)Grid:,finished,NA,NA,14 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
nurburgring,1989-06-18,105,BMW M3 - BMW,10,Class 7,AC Schnitzer Automobile Technik,Closed bodywork,Front-engined,Manfred Wollgarten (D)/Annette Meeuvissen (D)/Carlos Palma,NA,NA,NA,NA,NA,BMW,M3,NA,Result: 10th 1st in Class 7 (15 laps behind the winner)Grid:,10th 1st in Class 7 (15 laps behind the winner)Grid:,finished,NA,NA,15 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1989-06-18,110,BMW M3 - BMW,11,Class 7,,Closed bodywork,Front-engined,Fred Koch/Michael Martini (D)/Manfred Dolata,NA,NA,NA,NA,NA,BMW,M3,NA,Result: 11th (17 laps behind the winner)Grid:,11th (17 laps behind the winner)Grid:,finished,NA,NA,17 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1989-06-18,19,BMW M3 - BMW,12,Class 2,Herba Proficrafttools-Racing,Closed bodywork,Front-engined,Peter Faubel (D)/Robert Walterscheid-Müller (D)/Miloš Bychl (CS),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 12th (17 laps behind the winner)Grid:,12th (17 laps behind the winner)Grid:,finished,NA,NA,17 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
