track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,NA,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url,NA_url
nurburgring,2003-06-01,5,Opel Astra V8 Coupé - Opel /Holzer V8,1,E1,OPC Team Phoenix,-,-,Manuel Reuter (D)/Timo Scheider (D)/Marcel Tiemann (D)/Volker Strycek (D),NA,NA,NA,NA,NA,Opel,Astra,V8 Coupé,NA,NA,Result: winner - (153.770 kph) - margin: 5 lapsGrid: 6th (9:09.1300),winner - (153.770 kph) - margin: 5 lapsGrid: 6th (9:09.1300),finished,6,9:09.1300,153.770 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Astra.html,https://www.racingsportscars.com/suffix/photo/Opel/Astra/V8%20Coup%c3%a9.html,NA,NA
nurburgring,2003-06-01,8,Audi TT-R Abt - Audi,2,E1,Abt Sportsline,Closed bodywork,Mid-engined,Karl Wendlinger (A)/Christian Abt (D)/Kris Nissen (DK)/Marco Werner (D),NA,NA,NA,NA,NA,Audi,TT,-R Abt,NA,NA,Result: 2nd (5 laps behind the winner)Grid: 8th (9:10.5070),2nd (5 laps behind the winner)Grid: 8th (9:10.5070),finished,8,9:10.5070,5 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/TT.html,https://www.racingsportscars.com/suffix/photo/Audi/TT/-R%20Abt.html,NA,NA
nurburgring,2003-06-01,12,Porsche 996 Turbo - Porsche Turbo,3,A8,Manthey-Racing,Closed bodywork,Rear-engined,Lucas Luhr (D)/Emmanuel Collard (F)/Timo Bernhard (D),NA,NA,NA,NA,NA,Porsche,996 Turbo,NA,NA,NA,Result: 3rd 1st in A8 (6 laps behind the winner)Grid: 2nd (9:02.9050),3rd 1st in A8 (6 laps behind the winner)Grid: 2nd (9:02.9050),finished,2,9:02.9050,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996%20Turbo.html,NA,NA,NA
nurburgring,2003-06-01,27,Porsche 996 - Porsche,4,A7,PZ Essen Grohs Motorsport,Closed bodywork,Rear-engined,/Peter Scharmach (D)/Harald Grohs (D)/Werner Fischer/Thomas Reissert,NA,NA,NA,NA,NA,Porsche,996,NA,NA,NA,Result: 4th 1st in A7 (8 laps behind the winner)Grid: 18th (9:45.2680),4th 1st in A7 (8 laps behind the winner)Grid: 18th (9:45.2680),finished,18,9:45.2680,8 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996.html,NA,NA,NA
nurburgring,2003-06-01,10,BMW M3 E46 - BMW,5,A7,Scuderia Augustusburg Brühl e.V. im ADAC,Closed bodywork,Front-engined,Johannes Scheid (D)/Oliver Kainz (D)/Mario Merten (D),NA,NA,NA,NA,NA,BMW,M3,E46,NA,NA,Result: 5th (10 laps behind the winner)Grid: 10th (9:21.2210),5th (10 laps behind the winner)Grid: 10th (9:21.2210),finished,10,9:21.2210,10 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E46.html,NA,NA
nurburgring,2003-06-01,34,Porsche 996 - Porsche,6,A7,,Closed bodywork,Rear-engined,Jörg Otto (D)/Georg Weiss (D)/Thomas Zinnow (D)/Arthur Erkes (D),NA,NA,NA,NA,NA,Porsche,996,NA,NA,NA,Result: 6th (11 laps behind the winner)Grid: 19th (9:48.9110),6th (11 laps behind the winner)Grid: 19th (9:48.9110),finished,19,9:48.9110,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996.html,NA,NA,NA
nurburgring,2003-06-01,46,Porsche 996 - Porsche,7,A7,Edgar Dören Motorsport,Closed bodywork,Rear-engined,Edgar Dören (D)/Karl-Christian Lück (D)/Ernst-Paul Wawer/Franjo Kovac (HR),NA,NA,NA,NA,NA,Porsche,996,NA,NA,NA,Result: 7th (11 laps behind the winner)Grid: 22nd (9:49.7820),7th (11 laps behind the winner)Grid: 22nd (9:49.7820),finished,22,9:49.7820,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996.html,NA,NA,NA
nurburgring,2003-06-01,64,BMW M3 E46 - BMW,8,A6,,Closed bodywork,Front-engined,Rudi Adams (D)/Andreas Fries/Josef Wenger/Werner Riess,NA,NA,NA,NA,NA,BMW,M3,E46,NA,NA,Result: 8th 1st in A6 (12 laps behind the winner)Grid: 39th (10:18.1310),8th 1st in A6 (12 laps behind the winner)Grid: 39th (10:18.1310),finished,39,10:18.1310,12 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E46.html,NA,NA
nurburgring,2003-06-01,52,BMW M3 E36 - BMW,9,A6,,Closed bodywork,Front-engined,Willie Moore (GB)/Dave Cox (GB)/Nick Barrow (GB),NA,NA,NA,NA,NA,BMW,M3,E36,NA,NA,Result: 9th (13 laps behind the winner)Grid: 26th (9:55.9600),9th (13 laps behind the winner)Grid: 26th (9:55.9600),finished,26,9:55.9600,13 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E36.html,NA,NA
nurburgring,2003-06-01,112,Honda S2000 - Honda,10,A3,,-,-,Klaus Niedzwiedz (D)/Stefan Schlesack (D)/Nils Bartels (D)/Peter Mamerow (D),NA,NA,NA,NA,NA,Honda,S2000,NA,NA,NA,Result: 10th 1st in A3 (14 laps behind the winner)Grid: 59th (10:28.2800),10th 1st in A3 (14 laps behind the winner)Grid: 59th (10:28.2800),finished,59,10:28.2800,14 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/S2000.html,NA,NA,NA
