track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
nurburgring,2021-06-06,911,Porsche 991 GT3 R - Porsche F6 4v DOHC 3996 cc N/A,1,SP9,Manthey-Racing,Closed bodywork,Rear-engined,Matteo Cairoli (I)/Michael Christensen (DK)/Kevin Estre (F),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,Porsche,991 GT3 R,NA,NA,Result: winner - (62.206 kph) - margin: 8s817Grid: 11th (8:21.0010) - 14th fastest qualifier,winner - (62.206 kph) - margin: 8s817Grid: 11th (8:21.0010) - 14th fastest qualifier,finished,11,8:21.0010,62.206 kph,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-911.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-911.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,NA,NA
nurburgring,2021-06-06,98,BMW M6 F13 GT3 #1606 - BMW P63 V8/90° 4395 cc Twin-Turbo,2,SP9,Rowe Racing (D),Closed bodywork,Front-engined,Connor De Phillippi (USA)/Martin Tomczyk (D)/Sheldon van der Linde (ZA)/Marco Wittmann (D),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,BMW,M6,F13 GT3,#1606,Result: 2nd (8s817 behind the winner)Grid: 25th (8:18.4980) - 6th fastest qualifier,2nd (8s817 behind the winner)Grid: 25th (8:18.4980) - 6th fastest qualifier,finished,25,8:18.4980,8s817 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-098.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-098.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M6.html,https://www.racingsportscars.com/suffix/photo/BMW/M6/F13%20GT3.html,https://www.racingsportscars.com/chassis/photo/F13-M6%20GT3%201606.html
nurburgring,2021-06-06,7,Mercedes-AMG GT3 Evo - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,3,SP9,Mercedes-AMG Team GetSpeed,Closed bodywork,Front-engined,Maximilian Götz (D)/Daniel Juncadella (E)/Raffaele Marciello (I),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,Mercedes-AMG,GT3,Evo,NA,Result: 3rd (49s608 behind the winner)Grid: 6th (8:24.2010) - 27th fastest qualifier,3rd (49s608 behind the winner)Grid: 6th (8:24.2010) - 27th fastest qualifier,finished,6,8:24.2010,49s608 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-007.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-007.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,https://www.racingsportscars.com/suffix/photo/Mercedes-AMG/GT3/Evo.html,NA
nurburgring,2021-06-06,44,Porsche 991 GT3 R - Porsche F6 4v DOHC 3996 cc N/A,4,SP9,Falken Motorsports,Closed bodywork,Rear-engined,Klaus Bachler (A)/Martin Ragginger (A)/Sven Müller (D)/Alessio Picariello (B),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,Porsche,991 GT3 R,NA,NA,Result: 4th (53s100 behind the winner)Grid: 29th (8:19.2740) - 11th fastest qualifier,4th (53s100 behind the winner)Grid: 29th (8:19.2740) - 11th fastest qualifier,finished,29,8:19.2740,53s100 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-044.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-044.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,NA,NA
nurburgring,2021-06-06,2,Audi R8 LMS - Audi FSI V10/90° 4v DOHC 5205 cc N/A,5,SP9,Audi Sport Team Car Collection,Closed bodywork,Mid-engined,Christopher Haase (D)/Nico Müller (CH)/Markus Winkelhock (D),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,Audi,R8 LMS,NA,NA,Result: 5th (53s266 behind the winner)Grid: 21st (8:15.8590) - 2nd fastest qualifier,5th (53s266 behind the winner)Grid: 21st (8:15.8590) - 2nd fastest qualifier,finished,21,8:15.8590,53s266 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-002.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-002.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8%20LMS.html,NA,NA
nurburgring,2021-06-06,20,BMW M6 F13 GT3 - BMW P63 V8/90° 4395 cc Twin-Turbo,6,SP9,Schubert Motorsport,Closed bodywork,Front-engined,Jesse Krohn (FIN)/Jens Klingmann (D)/Alexander Sims (GB)/Stef Dusseldorp (NL),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,BMW,M6,F13 GT3,NA,Result: 6th (54s301 behind the winner)Grid: 4th (8:25.7890) - 31st fastest qualifier,6th (54s301 behind the winner)Grid: 4th (8:25.7890) - 31st fastest qualifier,finished,4,8:25.7890,54s301 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-020.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-020.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M6.html,https://www.racingsportscars.com/suffix/photo/BMW/M6/F13%20GT3.html,NA
nurburgring,2021-06-06,8,Mercedes-AMG GT3 Evo - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,7,SP9,Mercedes-AMG Team GetSpeed,Closed bodywork,Front-engined,Jules Gounon (F)/Fabian Schiller (D)/Matthieu Vaxiviere (F),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,Mercedes-AMG,GT3,Evo,NA,Result: 7th (55s223 behind the winner)Grid: 27th (8:18.5690) - 8th fastest qualifier,7th (55s223 behind the winner)Grid: 27th (8:18.5690) - 8th fastest qualifier,finished,27,8:18.5690,55s223 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-008.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-008.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,https://www.racingsportscars.com/suffix/photo/Mercedes-AMG/GT3/Evo.html,NA
nurburgring,2021-06-06,23,Porsche 991 GT3 R - Porsche F6 4v DOHC 3996 cc N/A,8,SP9,Huber Motorsport,Closed bodywork,Rear-engined,Philipp Neuffer (D)/Stefan Aust (D)/Nico Menzel (D)/Marco Seefried (D),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,Porsche,991 GT3 R,NA,NA,Result: 8th (2m54s805 behind the winner)Grid: 15th (8:25.7510) - 30th fastest qualifier,8th (2m54s805 behind the winner)Grid: 15th (8:25.7510) - 30th fastest qualifier,finished,15,8:25.7510,2m54s805 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-023.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-023.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,NA,NA
nurburgring,2021-06-06,33,Porsche 991 GT3 R - Porsche F6 4v DOHC 3996 cc N/A,9,SP9,Falken Motorsports,Closed bodywork,Rear-engined,Klaus Bachler (A)/Dirk Werner (D)/Thomas Preining (A)/Lance Arnold (D),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,Porsche,991 GT3 R,NA,NA,Result: 9th (3m13s741 behind the winner)Grid: 28th (8:19.0640) - 10th fastest qualifier,9th (3m13s741 behind the winner)Grid: 28th (8:19.0640) - 10th fastest qualifier,finished,28,8:19.0640,3m13s741 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-033.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-033.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,NA,NA
nurburgring,2021-06-06,40,Mercedes-AMG GT3 Evo - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,10,SP9,10Q Racing Team Hauer & Zabel GbR,Closed bodywork,Front-engined,Kenneth Heyer (D)/Thomas Jäger (D)/Yelmer Buurman (NL)/Dominik Baumann (A),NA,NA,NA,22/08/2024,© Michael Herzig-fotomich.de,Mercedes-AMG,GT3,Evo,NA,Result: 10th (1 lap behind the winner)Grid: 31st (8:21.3490) - 16th fastest qualifier,10th (1 lap behind the winner)Grid: 31st (8:21.3490) - 16th fastest qualifier,finished,31,8:21.3490,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/2021/TN_Nurburgring-2021-06-06-040.jpg,https://www.racingsportscars.com/photo/2021/Nurburgring-2021-06-06-040.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,https://www.racingsportscars.com/suffix/photo/Mercedes-AMG/GT3/Evo.html,NA
