year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url
1990,19,BMW M3 - BMW,1,Class 13,Linder M Team,Closed bodywork,Front-engined,Altfrid Heger (D)/Frank Schmickler (A)/Joachim Winkelhock (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: winner - (151.630 kph) - margin: 7 lapsGrid:,winner - (151.630 kph) - margin: 7 lapsGrid:,finished,NA,NA,151.630 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
1990,18,BMW M3 - BMW,2,Class 13,Linder M Team,Closed bodywork,Front-engined,Kris Nissen (DK)/Norbert Haug (D)/Jean-Michel Martin (B)/Ellen Lohr (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 2nd (7 laps behind the winner)Grid:,2nd (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
1990,25,BMW M3 - BMW,3,Class 2,,Closed bodywork,Front-engined,Ulli Richter (D)/Dieter Schäfer (D)/Karl-Heinz Wlazik (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 3rd 1st in Class 2 (11 laps behind the winner)Grid:,3rd 1st in Class 2 (11 laps behind the winner)Grid:,finished,NA,NA,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
1990,4,Ford Sierra RS 500 - Ford,4,Class 1,Ford Ringshausen Motorsport,-,-,Arnold Mattschull (D)/Stefan Schlesack (D)/Werner Kather (D),NA,NA,NA,NA,NA,Ford,Sierra,RS 500,Result: 4th 1st in Class 1 (13 laps behind the winner)Grid:,4th 1st in Class 1 (13 laps behind the winner)Grid:,finished,NA,NA,13 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Sierra.html,https://www.racingsportscars.com/suffix/photo/Ford/Sierra/RS%20500.html
1990,107,BMW M3 - BMW,5,Class 7,Auto Budde Team Fina Deutschland,Closed bodywork,Front-engined,Andy Middendorf (D)/Heinz Wirth (CH)/Carlos Palma/Udo Schneider (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 5th 1st in Class 7 (14 laps behind the winner)Grid:,5th 1st in Class 7 (14 laps behind the winner)Grid:,finished,NA,NA,14 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
1990,16,Opel Omega - Opel,6,Class 13,Opel Team Irmscher,-,-,Klaus Niedzwiedz (D)/Markus Oestreich (D)/Volker Strycek (D),NA,NA,NA,NA,NA,Opel,Omega,NA,Result: 6th (14 laps behind the winner)Grid:,6th (14 laps behind the winner)Grid:,finished,NA,NA,14 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Omega.html,NA
1990,105,BMW M3 - BMW,7,Class 7,MSC Adenau e. V. im ADAC,Closed bodywork,Front-engined,Rafael Lunau/Marcus Luhr/Ludwig Hölzl (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 7th (14 laps behind the winner)Grid:,7th (14 laps behind the winner)Grid:,finished,NA,NA,14 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
1990,221,Porsche 911 Carrera - Porsche,8,Class 11,Team Matter Sicherheit,Closed bodywork,Rear-engined,Hermann Tilke (D)/Edgar Dören (D)/Günter Döbler (D)/Michael Neumann (D),NA,NA,NA,NA,NA,Porsche,911 Carrera,NA,Result: 8th 1st in Class 11 (15 laps behind the winner)Grid:,8th 1st in Class 11 (15 laps behind the winner)Grid:,finished,NA,NA,15 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,NA
1990,48,VW Golf GTI - VW,9,Class 3,,-,-,Michael Dernedde/Florian Billen/Ralf Feigenspan,NA,NA,NA,NA,NA,VW,Golf,GTI,Result: 9th 1st in Class 3 (15 laps behind the winner)Grid:,9th 1st in Class 3 (15 laps behind the winner)Grid:,finished,NA,NA,15 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/GTI.html
1990,117,BMW M3 - BMW,10,Class 7,Original ATE Bremsen,Closed bodywork,Front-engined,Manfred Wollgarten (D)/Peter Zakowski (D)/Andreas Wetzelsberger/Rauno Aaltonen (FIN),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 10th (16 laps behind the winner)Grid:,10th (16 laps behind the winner)Grid:,finished,NA,NA,16 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
