year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
2018,912,Porsche 991 GT3 R - Porsche F6 4v DOHC 3996 cc N/A,1,SP9,Manthey Racing,Closed bodywork,Rear-engined,Richard Lietz (A)/Patrick Pilet (F)/Frédéric Makowiecki (F)/Nick Tandy (GB),NA,NA,NA,22/02/2019,Thomas Morper,Porsche,991 GT3 R,NA,NA,Result: winner - (142.736 kph) - margin: 26s413Grid: 6th (8:10.0370),winner - (142.736 kph) - margin: 26s413Grid: 6th (8:10.0370),finished,6,8:10.0370,142.736 kph,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-912.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-912.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,NA,NA
2018,4,Mercedes-AMG GT3 # - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,2,SP9,Mercedes-AMG Team Black Falcon (D),Closed bodywork,Front-engined,Maro Engel (D)/Adam Christodoulou (GB)/Dirk Müller (D)/Manuel Metzger (D),NA,NA,NA,22/02/2019,Thomas Morper,Mercedes-AMG,GT3,#,NA,Result: 2nd (26s413 behind the winner)Grid: 4th (8:09.9160),2nd (26s413 behind the winner)Grid: 4th (8:09.9160),finished,4,8:09.9160,26s413 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-004.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-004.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,https://www.racingsportscars.com/chassis/photo/AMG-GT3-BlackFalcon-04%23.html,NA
2018,5,Mercedes-AMG GT3 # - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,3,SP9,Mercedes-AMG Team Black Falcon,Closed bodywork,Front-engined,Yelmer Buurman (NL)/Thomas Jäger (D)/Jan Seyffarth (D)/Luca Stolz (D),NA,NA,NA,22/02/2019,Thomas Morper,Mercedes-AMG,GT3,#,NA,Result: 3rd (10m23s367 behind the winner)Grid: 9th (8:10.7230),3rd (10m23s367 behind the winner)Grid: 9th (8:10.7230),finished,9,8:10.7230,10m23s367 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-005.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-005.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,https://www.racingsportscars.com/chassis/photo/AMG-GT3-BlackFalcon-05%23.html,NA
2018,7,Aston Martin V12 Vantage GT3 #032 (Prodrive) - Aston Martin AM11/Prodrive V12/60° 4v DOHC 5935 cc N/A,4,SP9 LG,Aston Martin Racing,Closed bodywork,Front-engined,Maxime Martin (B)/Marco Sørensen (DK)/Nicki Thiim (DK)/Darren Turner (GB),NA,NA,NA,22/02/2019,Thomas Morper,Aston Martin,V12 Vantage,#032,GT3,Result: 4th 1st in SP9 LG (1 lap behind the winner)Grid: 5th (8:10.0200),4th 1st in SP9 LG (1 lap behind the winner)Grid: 5th (8:10.0200),finished,5,8:10.0200,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-00007.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-00007.jpg,https://www.racingsportscars.com/make/photo/Aston%20Martin.html,https://www.racingsportscars.com/type/photo/Aston%20Martin/V12%20Vantage.html,https://www.racingsportscars.com/chassis/photo/AMRVANTAGEGT3-032.html,https://www.racingsportscars.com/suffix/photo/Aston%20Martin/V12%20Vantage/GT3.html
2018,6,Mercedes-AMG GT3 # - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,5,SP9,Black Falcon,Closed bodywork,Front-engined,Hubert Haupt (D)/Nico Bastian (D)/Erik Johansson (S)/Gabriele Piana (I),NA,NA,NA,22/02/2019,Thomas Morper,Mercedes-AMG,GT3,#,NA,Result: 5th (1 lap behind the winner)Grid: 12th (8:12.0190),5th (1 lap behind the winner)Grid: 12th (8:12.0190),finished,12,8:12.0190,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-006.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-006.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,https://www.racingsportscars.com/chassis/photo/AMG-GT3-BlackFalcon-05%23.html,NA
2018,1,Audi R8 LMS GT3 # - Audi FSI V10/90° 4v DOHC 5205 cc N/A,6,SP9,Audi Sport Team Land (D),Closed bodywork,Mid-engined,Christopher Mies (D)/Kelvin van der Linde (ZA)/Sheldon van der Linde (ZA)/René Rast (D),NA,NA,NA,22/02/2019,Thomas Morper,Audi,R8 LMS,#,GT3,Result: 6th (2 laps behind the winner)Grid: 15th (8:12.5110),6th (2 laps behind the winner)Grid: 15th (8:12.5110),finished,15,8:12.5110,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-001.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-001.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8%20LMS.html,https://www.racingsportscars.com/chassis/photo/AS4SAFGT201700070.html,https://www.racingsportscars.com/suffix/photo/Audi/R8%20LMS/GT3.html
2018,3,Audi R8 LMS GT3 - Audi FSI V10/90° 4v DOHC 5205 cc N/A,7,SP9,Audi Sport Team Phoenix,Closed bodywork,Mid-engined,Christopher Haase (D)/Frank Stippler (D)/Frederic Vervisch (B)/Nico Müller (CH),NA,NA,NA,22/02/2019,Thomas Morper,Audi,R8 LMS,NA,GT3,Result: 7th (2 laps behind the winner)Grid: 22nd (8:13.9760),7th (2 laps behind the winner)Grid: 22nd (8:13.9760),finished,22,8:13.9760,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-003.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-003.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8%20LMS.html,NA,https://www.racingsportscars.com/suffix/photo/Audi/R8%20LMS/GT3.html
2018,22,Ferrari 488 GT3 # (Michelotto) - Ferrari Tipo F154CB V8/90° 4v DOHC 3902 cc Twin-Turbo,8,SP9,Wochenspiegel Team Monschau (D),Closed bodywork,Mid-engined,Oliver Kainz (D)/Jochen Krumbach (D)/Christian Menzel (D),NA,NA,NA,22/02/2019,Thomas Morper,Ferrari,488,#,GT3,Result: 8th (3 laps behind the winner)Grid: 11th (8:11.6940),8th (3 laps behind the winner)Grid: 11th (8:11.6940),finished,11,8:11.6940,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-022.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-022.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/488.html,https://www.racingsportscars.com/chassis/photo/F142M%20GT3%204284.html,https://www.racingsportscars.com/suffix/photo/Ferrari/488/GT3.html
2018,44,Porsche 991 GT3 R - Porsche F6 4v DOHC 3996 cc N/A,9,SP9,Falken Motorsports,Closed bodywork,Rear-engined,Klaus Bachler (A)/Sven Müller (D)/Martin Ragginger (A)/Dirk Werner (D),NA,NA,NA,22/02/2019,Thomas Morper,Porsche,991 GT3 R,NA,NA,Result: 9th (3 laps behind the winner)Grid: 2nd (8:09.5220),9th (3 laps behind the winner)Grid: 2nd (8:09.5220),finished,2,8:09.5220,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-044.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-044.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,NA,NA
2018,16,Mercedes-AMG GT3 # - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,10,SP9,Landgraf Motorsport,Closed bodywork,Front-engined,Kenneth Heyer (D)/Sebastian Asch (D)/Edward Sandström (S)/Tristan Vautier (F),NA,NA,NA,22/02/2019,Thomas Morper,Mercedes-AMG,GT3,#,NA,Result: 10th (3 laps behind the winner)Grid: 24th (8:14.5440),10th (3 laps behind the winner)Grid: 24th (8:14.5440),finished,24,8:14.5440,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2018/TN_Nurburgring-2018-05-13-016.jpg,https://www.racingsportscars.com/photo/2018/Nurburgring-2018-05-13-016.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,https://www.racingsportscars.com/chassis/photo/AMG-GT3-Landgraf%23.html,NA
