year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
2019,4,Audi R8 LMS GT3 Evo #AS4SAFGT201700089 - Audi FSI V10/90° 4v DOHC 5205 cc N/A,1,SP9,Audi Sport Team Phoenix,Closed bodywork,Mid-engined,Pierre Kaffer (D)/Frank Stippler (D)/Frederic Vervisch (B)/Dries Vanthoor (B),NA,NA,NA,14/07/2019,Thomas Morper,Audi,R8 LMS,GT3 Evo,#AS4SAFGT201700089,Result: winner - (165.069 kph) - margin: 1 lapGrid: 4th (8:12.6690),winner - (165.069 kph) - margin: 1 lapGrid: 4th (8:12.6690),finished,4,8:12.6690,165.069 kph,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-004.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-004.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8%20LMS.html,https://www.racingsportscars.com/suffix/photo/Audi/R8%20LMS/GT3%20Evo.html,https://www.racingsportscars.com/chassis/photo/AS4SAFGT201700089.html
2019,3,Mercedes-AMG GT3 #AMG GT3 190 19 205 - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,2,SP9,Mercedes-AMG Team Black Falcon,Closed bodywork,Front-engined,Maximilian Buhk (D)/Thomas Jäger (D)/Hubert Haupt (D)/Luca Stolz (D),NA,NA,NA,14/07/2019,Thomas Morper,Mercedes-AMG,GT3,NA,#AMG GT3 190 19 205,Result: 2nd (1 lap behind the winner)Grid: 8th (8:13.6330),2nd (1 lap behind the winner)Grid: 8th (8:13.6330),finished,8,8:13.6330,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-003.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-003.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,NA,https://www.racingsportscars.com/chassis/photo/AMG%20GT3%20190%2019%20205.html
2019,14,Audi R8 LMS GT3 Evo - Audi FSI V10/90° 4v DOHC 5205 cc N/A,3,SP9,Audi Sport Team Car Collection,Closed bodywork,Mid-engined,Markus Winkelhock (D)/Christopher Haase (D)/Marcel Fässler (CH)/René Rast (D),NA,NA,NA,14/07/2019,Thomas Morper,Audi,R8 LMS,GT3 Evo,NA,Result: 3rd (1 lap behind the winner)Grid: 29th (8:19.4370),3rd (1 lap behind the winner)Grid: 29th (8:19.4370),finished,29,8:19.4370,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-014.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-014.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8%20LMS.html,https://www.racingsportscars.com/suffix/photo/Audi/R8%20LMS/GT3%20Evo.html,NA
2019,12,Porsche 991 GT3 R - Porsche F6 4v DOHC 3996 cc N/A,4,SP9,Manthey-Racing,Closed bodywork,Rear-engined,Otto Klohs (D)/Lars Kern (D)/Dennis Olsen (N)/Matteo Cairoli (I),NA,NA,NA,14/07/2019,Thomas Morper,Porsche,991 GT3 R,NA,NA,Result: 4th (2 laps behind the winner)Grid: 12th (8:14.9330),4th (2 laps behind the winner)Grid: 12th (8:14.9330),finished,12,8:14.9330,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-012.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-012.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/991%20GT3%20R.html,NA,NA
2019,33,BMW M6 F13 GT3 #1616 - BMW P63 V8/90° 4395 cc Twin-Turbo,5,SP9,Falken Motorsports,Closed bodywork,Front-engined,Peter Dumbreck (GB)/Stef Dusseldorp (NL)/Alexandre Imperatori (CH)/Jens Klingmann (D),NA,NA,NA,14/07/2019,Thomas Morper,BMW,M6,F13 GT3,#1616,Result: 5th (2 laps behind the winner)Grid: 31st (8:23.1300),5th (2 laps behind the winner)Grid: 31st (8:23.1300),finished,31,8:23.1300,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-033.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-033.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M6.html,https://www.racingsportscars.com/suffix/photo/BMW/M6/F13%20GT3.html,https://www.racingsportscars.com/chassis/photo/F13-M6%20GT3%201616.html
2019,18,Mercedes-AMG GT3 # - Mercedes-AMG M159 V8/90° 4v DOHC 6208 cc N/A,6,SP9,GetSpeed Performance (D),Closed bodywork,Front-engined,Fabian Vettel (D)/Philip Ellis (GB)/Luca Ludwig (D)/Jules Szymkowiak (NL),NA,NA,NA,14/07/2019,Thomas Morper,Mercedes-AMG,GT3,NA,#,Result: 6th (2 laps behind the winner)Grid: 14th (8:15.9870),6th (2 laps behind the winner)Grid: 14th (8:15.9870),finished,14,8:15.9870,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-018.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-018.jpg,https://www.racingsportscars.com/make/photo/Mercedes-AMG.html,https://www.racingsportscars.com/type/photo/Mercedes-AMG/GT3.html,NA,https://www.racingsportscars.com/chassis/photo/AMG%20GT3%20190%2018%20195.html
2019,5,Audi R8 LMS GT3 Evo # - Audi FSI V10/90° 4v DOHC 5205 cc N/A,7,SP9,Phoenix Racing,Closed bodywork,Mid-engined,Jeroen Bleekemolen (NL)/Vincent Kolb (D)/Kim-Luis Schramm (D)/Frank Stippler (D),NA,NA,NA,14/07/2019,Thomas Morper,Audi,R8 LMS,GT3 Evo,#,Result: 7th (3 laps behind the winner)Grid: 17th (8:16.5630),7th (3 laps behind the winner)Grid: 17th (8:16.5630),finished,17,8:16.5630,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-005.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-005.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8%20LMS.html,https://www.racingsportscars.com/suffix/photo/Audi/R8%20LMS/GT3%20Evo.html,https://www.racingsportscars.com/chassis/photo/AS4SAFGT201900125.html
2019,705,SCG 003 C - HPD /Autotechnica Motori V6 3500 cc Twin-Turbo,8,SP-X,Scuderia Cameron Glickenhaus (USA),Closed bodywork,Mid-engined,Thomas Mutsch (D)/Felipe Fernandez Laser (D)/Franck Mailleux (F)/Andreas Simonsen (S),NA,NA,NA,14/07/2019,Thomas Morper,SCG,003,C,NA,Result: 8th 1st in SP-X (3 laps behind the winner)Grid: 19th (8:16.9920),8th 1st in SP-X (3 laps behind the winner)Grid: 19th (8:16.9920),finished,19,8:16.9920,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-705.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-705.jpg,https://www.racingsportscars.com/make/photo/SCG.html,https://www.racingsportscars.com/type/photo/SCG/003.html,https://www.racingsportscars.com/suffix/photo/SCG/003/C.html,NA
2019,45,Nissan GT-R Nismo GT3 # - Nissan VR38DETT V6/60° 4v DOHC 3799 cc Twin-Turbo,9,SP9,Kondo Racing,Closed bodywork,Front-engined,Tom Coronel (NL)/Mitsunori Takaboshi (J)/Tomonobu Fujii (J)/Tsugio Matsuda (J),NA,NA,NA,14/07/2019,Thomas Morper,Nissan,GT-R,Nismo GT3,#,Result: 9th (3 laps behind the winner)Grid: 25th (8:19.7590),9th (3 laps behind the winner)Grid: 25th (8:19.7590),finished,25,8:19.7590,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-045.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-045.jpg,https://www.racingsportscars.com/make/photo/Nissan.html,https://www.racingsportscars.com/type/photo/Nissan/GT-R.html,https://www.racingsportscars.com/suffix/photo/Nissan/GT-R/Nismo%20GT3.html,https://www.racingsportscars.com/chassis/photo/R35GT3-Kondo%23.html
2019,11,Ferrari 488 GT3 Evo (Michelotto) - Ferrari Tipo F154CB V8/90° 4v DOHC 3902 cc Twin-Turbo,10,SP9,Wochenspiegel Team Monschau,Closed bodywork,Mid-engined,Daniel Keilwitz (D)/Oliver Kainz (D)/Jochen Krumbach (D)/Alexander Mattschull (D),NA,NA,NA,14/07/2019,Thomas Morper,Ferrari,488,GT3 Evo,NA,Result: 10th (4 laps behind the winner)Grid: 28th (8:24.8980),10th (4 laps behind the winner)Grid: 28th (8:24.8980),finished,28,8:24.8980,4 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2019/TN_Nurburgring-2019-06-23-011.jpg,https://www.racingsportscars.com/photo/2019/Nurburgring-2019-06-23-011.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/488.html,https://www.racingsportscars.com/suffix/photo/Ferrari/488/GT3%20Evo.html,NA
