track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
daytona,2009-01-25,58,Riley Mk XI #029 - Porsche N/A,1,DP,Brumos Racing,Closed bodywork,Mid-engined,Darren Law (USA)/David Donohue (USA)/Buddy Rice (USA)/Antonio Garcia (E),NA,NA,Pirelli,15/12/2019,Fred Lewis and Michael O. Crews,Riley,Mk XI,#029,NA,Result: winner - (175.409 kph) - margin: 0s167Grid: 1st (1:40.5400),winner - (175.409 kph) - margin: 0s167Grid: 1st (1:40.5400),finished,1,1:40.5400,175.409 kph,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-058.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-058.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XI.html,https://www.racingsportscars.com/chassis/photo/MkXI-029.html,NA
daytona,2009-01-25,1,Riley Mk XX #MkXI-004 - Lexus TRD V8 4987 cc N/A,2,DP,Chip Ganassi Racing with Felix Sabates (USA),Closed bodywork,Mid-engined,"Scott Pruett (USA)/Memo Rojas (MEX)/Juan Pablo Montoya (CO)listed, never drove: Scott Dixon (NZ)",NA,NA,Pirelli,15/12/2019,Michael O. Crews and Fred Lewis,Riley,Mk XX,#MkXI-004,NA,Result: 2nd (0s167 behind the winner)Grid: 4th (1:41.0160),2nd (0s167 behind the winner)Grid: 4th (1:41.0160),finished,4,1:41.0160,0s167 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-0001.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-0001.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XX.html,https://www.racingsportscars.com/chassis/photo/MkXI-004.html,NA
daytona,2009-01-25,59,Riley Mk XI #030 - Porsche N/A,3,DP,Brumos Racing (USA),Closed bodywork,Mid-engined,J. C. France (USA)/João Barbosa (P)/Terry Borcheller (USA)/Hurley Haywood (USA),NA,NA,Pirelli,21/05/2009,Michael O. Crews,Riley,Mk XI,#030,NA,Result: 3rd (5s504 behind the winner)Grid: 7th (1:41.3750),3rd (5s504 behind the winner)Grid: 7th (1:41.3750),finished,7,1:41.3750,5s504 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-059.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-059.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XI.html,https://www.racingsportscars.com/chassis/photo/MkXI-030.html,NA
daytona,2009-01-25,10,Dallara DP01 #004 - Ford V8 4v 4950 cc N/A,4,DP,SunTrust Racing,Closed bodywork,Mid-engined,Wayne Taylor (ZA)Pedro Lamy (P)/Max Angelelli (I)/Brian Frisselle (USA),NA,NA,Pirelli,04/06/2009,Michael O. Crews,Dallara,DP01,#004,NA,Result: 4th (10s589 behind the winner)Grid: 5th (1:41.3110),4th (10s589 behind the winner)Grid: 5th (1:41.3110),finished,5,1:41.3110,10s589 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-010.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-010.jpg,https://www.racingsportscars.com/make/photo/Dallara.html,https://www.racingsportscars.com/type/photo/Dallara/DP01.html,https://www.racingsportscars.com/chassis/photo/DP01-004.html,NA
daytona,2009-01-25,2,Riley Mk XI #002 - Lexus TRD V8 4987 cc N/A,5,DP,Chip Ganassi Racing with Felix Sabates (USA),Closed bodywork,Mid-engined,"Scott Dixon (NZ)/Dario Franchitti (GB)/Alex Lloyd (GB)listed, never drove: Scott Pruett (USA)",NA,NA,Pirelli,15/12/2019,Michael O. Crews and Fred Lewis,Riley,Mk XI,#002,NA,Result: 5th (4 laps behind the winner)Grid: 6th (1:41.3160),5th (4 laps behind the winner)Grid: 6th (1:41.3160),finished,6,1:41.3160,4 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-0002.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-0002.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XI.html,https://www.racingsportscars.com/chassis/photo/MkXI-002.html,NA
daytona,2009-01-25,16,Riley Mk XX #036 - Porsche N/A,6,DP,Penske Racing,Closed bodywork,Mid-engined,Romain Dumas (F)/Timo Bernhard (D)/Ryan Briscoe (AUS),NA,NA,Pirelli,04/06/2009,Michael O. Crews,Riley,Mk XX,#036,NA,Result: 6th (18 laps behind the winner)Grid: 2nd (1:40.5410),6th (18 laps behind the winner)Grid: 2nd (1:40.5410),finished,2,1:40.5410,18 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-016.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-016.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XX.html,https://www.racingsportscars.com/chassis/photo/MkXX-036.html,NA
daytona,2009-01-25,99,Riley Mk XX #MkXI-026 - Pontiac GM LS6 V8/90° 2v OHV 4988 cc N/A,7,DP,Gainsco/Bob Stallings Racing,Closed bodywork,Mid-engined,/Alex Gurney (USA)/Jon Fogarty (USA)/Jim Vasser (USA)/Jimmie Johnson (USA),NA,NA,Pirelli,15/12/2019,Fred Lewis and Michael O. Crews,Riley,Mk XX,#MkXI-026,NA,Result: 7th (21 laps behind the winner)Grid: 9th (1:41.6660),7th (21 laps behind the winner)Grid: 9th (1:41.6660),finished,9,1:41.6660,21 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-099.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-099.jpg,https://www.racingsportscars.com/make/photo/Riley.html,https://www.racingsportscars.com/type/photo/Riley/Mk%20XX.html,https://www.racingsportscars.com/chassis/photo/MkXI-026.html,NA
daytona,2009-01-25,2,Crawford DP08 #016 - Pontiac GM LS6 V8/90° 2v OHV 4988 cc N/A,8,DP,Childress-Howard Motorsports,Closed bodywork,Mid-engined,Andy Wallace (GB)/Rob Finlay (USA)/Danica Patrick (USA)/Casey Mears (USA),NA,NA,Pirelli,21/05/2009,Michael O. Crews,Crawford,DP08,#016,NA,Result: 8th (33 laps behind the winner)Grid: 18th (1:45.0700),8th (33 laps behind the winner)Grid: 18th (1:45.0700),finished,18,1:45.0700,33 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-002.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-002.jpg,https://www.racingsportscars.com/make/photo/Crawford.html,https://www.racingsportscars.com/type/photo/Crawford/DP08.html,https://www.racingsportscars.com/chassis/photo/DP03-016.html,NA
daytona,2009-01-25,67,Porsche 997 GT3 Cup #WP0ZZZ99Z9S798075 - Porsche F6 4v DOHC N/A,9,GT,TRG (USA),Closed bodywork,Rear-engined,Justin Marks (USA)/Andy Lally (USA)/Richard Valentine (USA)/Patrick Long (USA)/Jörg Bergmeister (D),NA,NA,Pirelli,15/12/2019,Michael O. Crews and Fred Lewis,Porsche,997 GT3 Cup,#WP0ZZZ99Z9S798075,NA,Result: 9th 1st in GT (40 laps behind the winner)Grid: 21st (1:49.5400),9th 1st in GT (40 laps behind the winner)Grid: 21st (1:49.5400),finished,21,1:49.5400,40 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-067.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-067.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/997%20GT3%20Cup.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99Z9S798075.html,NA
daytona,2009-01-25,66,Porsche 997 GT3 Cup #WP0ZZZ99Z9S798074 - Porsche F6 4v DOHC N/A,10,GT,TRG (USA),Closed bodywork,Rear-engined,"Spencer Pumpelly (USA)Ted Ballou (USA)/Emmanuel Collard (F)/Richard Lietz (A)/Tim George, Jr. (USA)",NA,NA,Pirelli,21/05/2009,Michael O. Crews,Porsche,997 GT3 Cup,#WP0ZZZ99Z9S798074,NA,Result: 10th (41 laps behind the winner)Grid: 26th (1:50.1090),10th (41 laps behind the winner)Grid: 26th (1:50.1090),finished,26,1:50.1090,41 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2009/TN_Daytona-2009-01-25-066.jpg,https://www.racingsportscars.com/photo/2009/Daytona-2009-01-25-066.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/997%20GT3%20Cup.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99Z9S798074.html,NA
