track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
fuji,1985-10-06,28,March 85G #8 - Nissan VG30ET/Electramotive V6/60° 2v SOHC 2966 cc 2xGarrett TO3,1,C1,Hoshino Racing (J),Closed bodywork,Mid-engined,"Kazuyoshi Hoshino (J)DNS: Akira Hagiwara (J), Keiji Matsumoto (J)",SILVIA/NICHI-RA/NIHON RADIATOR,white (+dark blue/blue),Bridgestone,25/05/2017,Nissan Motorsport,March,85G,#8,NA,Result: winner - (135.379 kph) - margin: 1 lapGrid: 3rd (1:16.9200),winner - (135.379 kph) - margin: 1 lapGrid: 3rd (1:16.9200),finished,3,1:16.9200,135.379 kph,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-10-06-028.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-10-06-028.jpg,https://www.racingsportscars.com/make/photo/March.html,https://www.racingsportscars.com/type/photo/March/85G.html,https://www.racingsportscars.com/chassis/photo/85G-8.html,NA
fuji,1985-10-06,12,LM 05C #01 - Nissan FJ 20 2341 cc Turbo,2,C1,Panasport Japan (J),Closed bodywork,Mid-engined,"Osamu Nakako (J)DNS: Emanuele Pirro (I), Akio Morimoto (J)",PERSON'S/NISSAN/panasport,white,Bridgestone,25/05/2017,Nissan Motorsport,LM,05C,#01,NA,Result: 2nd (1 lap behind the winner)Grid: 18th (1:21.3500) - 19th fastest qualifier,2nd (1 lap behind the winner)Grid: 18th (1:21.3500) - 19th fastest qualifier,finished,18,1:21.3500,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-10-06-012.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-10-06-012.jpg,https://www.racingsportscars.com/make/photo/LM.html,https://www.racingsportscars.com/type/photo/LM/05C.html,https://www.racingsportscars.com/chassis/photo/LM05-01.html,NA
fuji,1985-10-06,36,Tom's 85C # - Toyota 4T-GT L4 2v 2090 cc Turbo,3,C1,Tom's (J),Closed bodywork,Mid-engined,Satoru Nakajima (J)/Masanori Sekiya (J),TOYOTA/LEYTON HOUSE/BRIDGESTONE,white (+violet),Bridgestone,NA,NA,Tom's,85C,#,NA,Result: 3rd (1 lap behind the winner)Grid: 7th (1:18.0500),3rd (1 lap behind the winner)Grid: 7th (1:18.0500),finished,7,1:18.0500,1 lap behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Tom%27s.html,https://www.racingsportscars.com/type/photo/Tom%27s/85C.html,https://www.racingsportscars.com/chassis/photo/Toms85C-01%23.html,NA
fuji,1985-10-06,45,Tom's 84C # (Dome) - Toyota 4T-GT L4 2v 2090 cc Twin-Turbo,4,C1,Auto Beaurex Motorsport (J),Closed bodywork,Mid-engined,Naoki Nagasaka (J)DNS: Taku Akaike (J),WARPZONE/JVC,light,Dunlop,NA,NA,Tom's,84C,#,NA,Result: 4th (1 lap behind the winner)Grid: 13th (1:20.3800),4th (1 lap behind the winner)Grid: 13th (1:20.3800),finished,13,1:20.3800,1 lap behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Tom%27s.html,https://www.racingsportscars.com/type/photo/Tom%27s/84C.html,https://www.racingsportscars.com/chassis/photo/Toms84C-01%23.html,NA
fuji,1985-10-06,50,March 85G #9 - Nissan VG30ET/Electramotive V6/60° 2v SOHC 2966 cc 2xGarrett TO3,5,C1,Hasemi Motorsport (J),Closed bodywork,Mid-engined,Masahiro Hasemi (J)DNS: Takao Wada (J),TOMICA/SKYLINE TURBO C,white/dark blue (+red),Dunlop,25/05/2017,Nissan Motorsport,March,85G,#9,NA,Result: 5th (2 laps behind the winner)Grid: 4th (1:17.4500),5th (2 laps behind the winner)Grid: 4th (1:17.4500),finished,4,1:17.4500,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-10-06-050.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-10-06-050.jpg,https://www.racingsportscars.com/make/photo/March.html,https://www.racingsportscars.com/type/photo/March/85G.html,https://www.racingsportscars.com/chassis/photo/85G-9.html,NA
fuji,1985-10-06,60,Porsche 956 #111 - Porsche Type 935/79 F6 4v DOHC 2649 cc 2xKKK K26,6,C1,Trust Racing Team (J),Closed bodywork,Mid-engined,"Vern Schuppan (AUS)DNS: George Fouché (ZA), Keiichi Suzuki (J)",ISEKI TRACTOR,white/blue (+yellow/orange/red),Dunlop,25/05/2017,Nissan Motorsport,Porsche,956,#111,NA,Result: 6th (2 laps behind the winner)Grid: 11th (1:19.7300),6th (2 laps behind the winner)Grid: 11th (1:19.7300),finished,11,1:19.7300,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-10-06-060.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-10-06-060.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/956.html,https://www.racingsportscars.com/chassis/photo/956-111.html,NA
fuji,1985-10-06,35,Tom's 85C # - Toyota 4T-GT L4 2v 2090 cc Turbo,7,C1,Misaki Speed (J),Closed bodywork,Mid-engined,"Toshio Suzuki (J)DNS: Kaoru Hoshino (J), Kiyoshi Misaki (J)",MINOLTA/TOYOTA/elf,white (+blue),Bridgestone,25/05/2017,Nissan Motorsport,Tom's,85C,#,NA,Result: 7th (3 laps behind the winner)Grid: 17th (1:20.8300),7th (3 laps behind the winner)Grid: 17th (1:20.8300),finished,17,1:20.8300,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-10-06-035.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-10-06-035.jpg,https://www.racingsportscars.com/make/photo/Tom%27s.html,https://www.racingsportscars.com/type/photo/Tom%27s/85C.html,https://www.racingsportscars.com/chassis/photo/Toms85C-03%23.html,NA
fuji,1985-10-06,30,Lola T810 #HU3 - Nissan VG30 V6/60° 2v SOHC 2966 cc Twin-Turbo,8,C1,Central 20 Racing Team (J),Closed bodywork,Mid-engined,Aguri Suzuki (J)DNS: Haruhito Yanagida (J),Canon/Coca-Cola/NISSAN,white/red,Dunlop,25/05/2017,Nissan Motorsport,Lola,T810,#HU3,NA,Result: 8th (3 laps behind the winner)Grid: 15th (1:20.5800),8th (3 laps behind the winner)Grid: 15th (1:20.5800),finished,15,1:20.5800,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-10-06-030.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-10-06-030.jpg,https://www.racingsportscars.com/make/photo/Lola.html,https://www.racingsportscars.com/type/photo/Lola/T810.html,https://www.racingsportscars.com/chassis/photo/T810-HU3.html,NA
fuji,1985-10-06,38,Dome 85C # - Toyota 4T-GT L4 2090 cc Turbo,9,C1,Dome Motorsport (J),Closed bodywork,Mid-engined,Geoff Lees (GB)/Eje Elgh (S),WACOAL,NA,Dunlop,NA,NA,Dome,85C,#,NA,Result: 9th (4 laps behind the winner)Grid: 16th (1:20.6500),9th (4 laps behind the winner)Grid: 16th (1:20.6500),finished,16,1:20.6500,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Dome.html,https://www.racingsportscars.com/type/photo/Dome/85C.html,https://www.racingsportscars.com/chassis/photo/Dome85C-01%23.html,NA
fuji,1985-10-06,37,Tom's 85C # - Toyota 4T-GT L4 2v 2090 cc Turbo,10,C1,Team Ikuzawa (J),Closed bodywork,Mid-engined,Tiff Needell (GB)DNS: James Weaver (GB),Canon,white/red,Dunlop,08/12/2016,Hiro [8gatsuno HIKARI] 8月のひかり,Tom's,85C,#,NA,Result: 10th (5 laps behind the winner)Grid: 10th (1:19.5400),10th (5 laps behind the winner)Grid: 10th (1:19.5400),finished,10,1:19.5400,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1985/TN_Fuji-1985-10-06-037.jpg,https://www.racingsportscars.com/photo/1985/Fuji-1985-10-06-037.jpg,https://www.racingsportscars.com/make/photo/Tom%27s.html,https://www.racingsportscars.com/type/photo/Tom%27s/85C.html,https://www.racingsportscars.com/chassis/photo/Toms84C-Ikuzawa%23.html,NA
