track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
laguna_seca,1963-10-20,98,Cooper King Cobra #CM/1/63 - Ford V8/90° 2v OHV 4727 cc N/A,1,O2L,Shelby American (USA),Open bodywork,Mid-engined,Dave MacDonald (USA),NA,metallic blue,NA,NA,NA,Cooper,King Cobra,#CM/1/63,NA,Result: winner - (143.335 kph) - margin: 44s80Grid: 13th (1:15.6000),winner - (143.335 kph) - margin: 44s80Grid: 13th (1:15.6000),finished,13,1:15.6000,143.335 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Cooper.html,https://www.racingsportscars.com/type/photo/Cooper/King%20Cobra.html,https://www.racingsportscars.com/chassis/photo/CM__1__63.html,NA
laguna_seca,1963-10-20,91,Scarab Mk IV #MkIV (Shelby) - Oldsmobile V8 N/A,2,O2L,Mecom Racing Team (USA),Open bodywork,Mid-engined,A. J. Foyt (USA),NA,metallic blue (+white),NA,20/03/2019,Robert Parker,Scarab,Mk IV,#MkIV,NA,Result: 2nd (44s80 behind the winner)Grid: 7th (1:14.7000),2nd (44s80 behind the winner)Grid: 7th (1:14.7000),finished,7,1:14.7000,44s80 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1963/TN_Laguna_Seca-1963-10-20-091.jpg,https://www.racingsportscars.com/photo/1963/Laguna_Seca-1963-10-20-091.jpg,https://www.racingsportscars.com/make/photo/Scarab.html,https://www.racingsportscars.com/type/photo/Scarab/Mk%20IV.html,https://www.racingsportscars.com/chassis/photo/Scarab%20MkIV.html,NA
laguna_seca,1963-10-20,55,Chaparral 2A #001 - Chevrolet V8/90° 2v OHV 4760 cc N/A,3,O2L,Chaparral Cars (USA),Open bodywork,Mid-engined,Jim Hall (USA),NA,white,NA,20/03/2019,Robert Parker,Chaparral,2A,#001,NA,Result: 3rd (3 laps behind the winner)Grid: 4th (1:13.2000),3rd (3 laps behind the winner)Grid: 4th (1:13.2000),finished,4,1:13.2000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1963/TN_Laguna_Seca-1963-10-20-055.jpg,https://www.racingsportscars.com/photo/1963/Laguna_Seca-1963-10-20-055.jpg,https://www.racingsportscars.com/make/photo/Chaparral.html,https://www.racingsportscars.com/type/photo/Chaparral/2A.html,https://www.racingsportscars.com/chassis/photo/2A001.html,NA
laguna_seca,1963-10-20,146,Genie Mk VIII #1 - Buick B.O.P. V8 3600 cc N/A,4,O2L,Spencer Buick (USA),Open bodywork,Mid-engined,Dave Ridenour (USA),BUICK-GENIE/Spencer's Buick Inc.,white (+blue),NA,20/03/2019,Robert Parker,Genie,Mk VIII,#1,NA,Result: 4th (3 laps behind the winner)Grid: 17th (1:16.2000),4th (3 laps behind the winner)Grid: 17th (1:16.2000),finished,17,1:16.2000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1963/TN_Laguna_Seca-1963-10-20-146.jpg,https://www.racingsportscars.com/photo/1963/Laguna_Seca-1963-10-20-146.jpg,https://www.racingsportscars.com/make/photo/Genie.html,https://www.racingsportscars.com/type/photo/Genie/Mk%20VIII.html,https://www.racingsportscars.com/chassis/photo/MK%20VIII%20-%201.html,NA
laguna_seca,1963-10-20,22,Chaparral 1 #002 (Troutman-Barnes) - Chevrolet V8/90° 2v OHV 5524 cc N/A,5,O2L,Peter Hand Brewery (USA),Open bodywork,Front-engined,Harry Heuer (USA),NA,NA,NA,NA,NA,Chaparral,1,#002,NA,Result: 5th (3 laps behind the winner)Grid: 16th (1:16.2000),5th (3 laps behind the winner)Grid: 16th (1:16.2000),finished,16,1:16.2000,3 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Chaparral.html,https://www.racingsportscars.com/type/photo/Chaparral/1.html,https://www.racingsportscars.com/chassis/photo/1002.html,NA
laguna_seca,1963-10-20,11,Lotus 23 B # - Ford 1500 cc N/A,6,U2L,Tim Mayer,Open bodywork,Mid-engined,Tim Mayer (USA),NA,white (+dark blue),NA,20/03/2019,Robert Parker,Lotus,23,#,B,Result: 6th 1st in U2L (3 laps behind the winner)Grid: 8th (1:14.8000),6th 1st in U2L (3 laps behind the winner)Grid: 8th (1:14.8000),finished,8,1:14.8000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1963/TN_Laguna_Seca-1963-10-20-011.jpg,https://www.racingsportscars.com/photo/1963/Laguna_Seca-1963-10-20-011.jpg,https://www.racingsportscars.com/make/photo/Lotus.html,https://www.racingsportscars.com/type/photo/Lotus/23.html,https://www.racingsportscars.com/chassis/photo/23-Mayer%23.html,https://www.racingsportscars.com/suffix/photo/Lotus/23/B.html
laguna_seca,1963-10-20,211,Porsche 718 RS 61 - Porsche 1700 cc N/A,7,U2L,Otto Zipper,-,Mid-engined,Richie Ginther (USA),NA,NA,NA,NA,NA,Porsche,718,NA,RS 61,Result: 7th (4 laps behind the winner)Grid: 14th (1:15.9000),7th (4 laps behind the winner)Grid: 14th (1:15.9000),finished,14,1:15.9000,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/718.html,NA,https://www.racingsportscars.com/suffix/photo/Porsche/718/RS%2061.html
laguna_seca,1963-10-20,60,Porsche 718 RS 61 #066 - Porsche 1700 cc N/A,8,U2L,Porsche Car Pacific (USA),Open bodywork,Mid-engined,Don Wester (USA),PORSCHE CAR PACIFIC,yellow (+black),NA,20/03/2019,Robert Parker,Porsche,718,#066,RS 61,Result: 8th (4 laps behind the winner)Grid: 23rd (1:16.8000),8th (4 laps behind the winner)Grid: 23rd (1:16.8000),finished,23,1:16.8000,4 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1963/TN_Laguna_Seca-1963-10-20-060.jpg,https://www.racingsportscars.com/photo/1963/Laguna_Seca-1963-10-20-060.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/718.html,https://www.racingsportscars.com/chassis/photo/718-066.html,https://www.racingsportscars.com/suffix/photo/Porsche/718/RS%2061.html
laguna_seca,1963-10-20,18,Lotus 23 B #23-S-62 - L4 1594 cc N/A,9,U2L,Webster Racing Ents. (USA),Open bodywork,Mid-engined,Ed Leslie (USA),NA,NA,NA,NA,NA,Lotus,23,#23-S-62,B,Result: 9th (5 laps behind the winner)Grid: 15th (1:16.1000),9th (5 laps behind the winner)Grid: 15th (1:16.1000),finished,15,1:16.1000,5 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Lotus.html,https://www.racingsportscars.com/type/photo/Lotus/23.html,https://www.racingsportscars.com/chassis/photo/23-S-62.html,https://www.racingsportscars.com/suffix/photo/Lotus/23/B.html
laguna_seca,1963-10-20,23,Scarab Mk II #002 (Troutman-Barnes) - Chevrolet V8/90° 2v OHV 5524 cc N/A,10,O2L,Peter Hand Brewery (USA),Open bodywork,Front-engined,Don Devine (USA),NA,NA,Goodyear,NA,NA,Scarab,Mk II,#002,NA,Result: 10th (6 laps behind the winner)Grid: 27th (1:17.5000),10th (6 laps behind the winner)Grid: 27th (1:17.5000),finished,27,1:17.5000,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Scarab.html,https://www.racingsportscars.com/type/photo/Scarab/Mk%20II.html,https://www.racingsportscars.com/chassis/photo/Scarab%20002.html,NA
