track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
le_mans,1958-06-22,14,Ferrari 250 TR Scaglietti Spyder #0728TR - Ferrari Tipo 128 LM V12/60° 2v SOHC 2953 cc N/A,1,S3.0,Scuderia Ferrari (I),Open bodywork,Front-engined,Olivier Gendebien (B)/Phil Hill (USA)DNS: Mike Hawthorn (GB),FERRARI,red,Englebert,09/11/2022,Jelle ter Veer,Ferrari,250 TR,Scaglietti Spyder,#0728TR,Result: winner - (170.914 kph) - margin: 12 lapsGrid:,winner - (170.914 kph) - margin: 12 lapsGrid:,finished,NA,NA,170.914 kph,NA,https://www.racingsportscars.com/tn/photo/1958/TN_Le_Mans-1958-06-22-014.jpg,https://www.racingsportscars.com/photo/1958/Le_Mans-1958-06-22-014.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20TR.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20TR/Scaglietti%20Spyder.html,https://www.racingsportscars.com/chassis/photo/0728TR%20%5b250TR%5d.html
le_mans,1958-06-22,5,Aston Martin DB3S #6a - Aston Martin L6 2v DOHC 2993 cc N/A,2,S3.0,A. G. Whitehead (GB),Open bodywork,Front-engined,Graham Whitehead (GB)/Peter Whitehead (GB),"unknown
Registration: 62 EMU",dark green,Avon,NA,NA,Aston Martin,DB3S,NA,#6a,Result: 2nd (12 laps behind the winner)Grid:,2nd (12 laps behind the winner)Grid:,finished,NA,NA,12 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Aston%20Martin.html,https://www.racingsportscars.com/type/photo/Aston%20Martin/DB3S.html,NA,https://www.racingsportscars.com/chassis/photo/DB3S__6.html
le_mans,1958-06-22,29,Porsche 718 RSK #005 - Porsche F4 2v DOHC 1587 cc N/A,3,S2.0,Porsche KG (D),Open bodywork,Mid-engined,Jean Behra (F)/Hans Herrmann (D),NA,NA,Continental,23/12/2010,Jacques Mertens www.porsche356sl.com,Porsche,718,RSK,#005,Result: 3rd 1st in S2.0 (14 laps behind the winner)Grid:,3rd 1st in S2.0 (14 laps behind the winner)Grid:,finished,NA,NA,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1958/TN_Le_Mans-1958-06-22-029.jpg,https://www.racingsportscars.com/photo/1958/Le_Mans-1958-06-22-029.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/718.html,https://www.racingsportscars.com/suffix/photo/Porsche/718/RSK.html,https://www.racingsportscars.com/chassis/photo/718-005.html
le_mans,1958-06-22,31,Porsche 718 RSK #003/033 - Porsche F4 1498 cc N/A,4,S1.5,Porsche KG (D),Open bodywork,Mid-engined,Edgar Barth (DDR)/Paul Frère (B),NA,NA,Continental,NA,NA,Porsche,718,RSK,#003/033,Result: 4th 1st in S1.5 (15 laps behind the winner)Grid:,4th 1st in S1.5 (15 laps behind the winner)Grid:,finished,NA,NA,15 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/718.html,https://www.racingsportscars.com/suffix/photo/Porsche/718/RSK.html,https://www.racingsportscars.com/chassis/photo/718-003.html
le_mans,1958-06-22,32,Porsche 550 RS #0145 - Porsche F4 2v DOHC 1498 cc N/A,5,S1.5,Carel Godin de Beaufort,Open bodywork,Mid-engined,"Carel Godin de Beaufort (NL)/Herbert Linge (D)listed, never drove: Art Bunker (USA)",NA,NA,Continental,NA,NA,Porsche,550,RS,#0145,Result: 5th (17 laps behind the winner)Grid:,5th (17 laps behind the winner)Grid:,finished,NA,NA,17 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/550.html,https://www.racingsportscars.com/suffix/photo/Porsche/550/RS.html,https://www.racingsportscars.com/chassis/photo/550A-0145.html
le_mans,1958-06-22,21,Ferrari 250 TR Scaglietti Spyder 58 #0736TR - Ferrari Tipo 128 LM V12/60° 2v SOHC 2953 cc N/A,6,S3.0,Equipe Nationale Belge (B),Open bodywork,Front-engined,"Alain de Changy (B)/""Jean Beurlys"" (B)listed, never drove: Claude Dubois (B), Hermano da Silva Ramos (BR), Jean-François Malle (F)",FERRARI,yellow,Dunlop,09/11/2022,Jelle ter Veer,Ferrari,250 TR,Scaglietti Spyder 58,#0736TR,Result: 6th (26 laps behind the winner)Grid:,6th (26 laps behind the winner)Grid:,finished,NA,NA,26 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1958/TN_Le_Mans-1958-06-22-021.jpg,https://www.racingsportscars.com/photo/1958/Le_Mans-1958-06-22-021.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20TR.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20TR/Scaglietti%20Spyder%2058.html,https://www.racingsportscars.com/chassis/photo/0736TR%20%5b250TR%5d.html
le_mans,1958-06-22,22,Ferrari 250 TR Scaglietti Spyder 58 #0732TR - Ferrari Tipo 128 LM V12/60° 2v SOHC 2953 cc N/A,7,S3.0,Ed Hugus (USA),Open bodywork,Front-engined,"Ed Hugus (USA)/Ernie Erickson (USA)listed, never drove: Ed Crawford (USA)",FERRARI,white (+blue),NA,09/11/2022,Jelle ter Veer,Ferrari,250 TR,Scaglietti Spyder 58,#0732TR,Result: 7th (27 laps behind the winner)Grid:,7th (27 laps behind the winner)Grid:,finished,NA,NA,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1958/TN_Le_Mans-1958-06-22-022.jpg,https://www.racingsportscars.com/photo/1958/Le_Mans-1958-06-22-022.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20TR.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20TR/Scaglietti%20Spyder%2058.html,https://www.racingsportscars.com/chassis/photo/0732TR%20%5b250TR%5d.html
le_mans,1958-06-22,28,AC Ace LM #LM5000 (Tojeiro) - Bristol L6 2v OHV 1971 cc N/A,8,S2.0,A.C. Cars Ltd. (GB),Open bodywork,Front-engined,Peter Bolton (GB)/Dickie Stoop (GB),"unknown
Registration: 8FPK",green,Dunlop,29/10/2022,Andrew Greening,AC,Ace,LM,#LM5000,Result: 8th (48 laps behind the winner)Grid:,8th (48 laps behind the winner)Grid:,finished,NA,NA,48 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1958/TN_Le_Mans-1958-06-22-028.jpg,https://www.racingsportscars.com/photo/1958/Le_Mans-1958-06-22-028.jpg,https://www.racingsportscars.com/make/photo/AC.html,https://www.racingsportscars.com/type/photo/AC/Ace.html,https://www.racingsportscars.com/suffix/photo/AC/Ace/LM.html,https://www.racingsportscars.com/chassis/photo/LM5000.html
le_mans,1958-06-22,27,AC Ace #BEX 399 - Bristol L6 2v OHV 1971 cc N/A,9,S2.0,A.C. Cars Ltd. (GB),Open bodywork,Front-engined,Hubert Patthey (CH)/Georges Berger (B),NA,NA,Continental,NA,NA,AC,Ace,NA,#BEX 399,Result: 9th (50 laps behind the winner)Grid:,9th (50 laps behind the winner)Grid:,finished,NA,NA,50 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/AC.html,https://www.racingsportscars.com/type/photo/AC/Ace.html,NA,https://www.racingsportscars.com/chassis/photo/BEX%20399.html
le_mans,1958-06-22,34,Porsche 550 RS #0142 - Porsche F4 2v DOHC 1498 cc N/A,10,S1.5,Jean-Paul Colas,Open bodywork,Mid-engined,"Jean Kerguen (F)/""Franc"" (F)",NA,NA,Continental,NA,NA,Porsche,550,RS,#0142,Result: 10th (51 laps behind the winner)Grid:,10th (51 laps behind the winner)Grid:,finished,NA,NA,51 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/550.html,https://www.racingsportscars.com/suffix/photo/Porsche/550/RS.html,https://www.racingsportscars.com/chassis/photo/550A-0142.html
