track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
le_mans,2004-06-13,5,Audi R8 #602 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,1,LMP1,Audi Sport Japan Team Goh (J),Open bodywork,Mid-engined,Rinaldo Capello (I)/Tom Kristensen (DK)/Seiji Ara (J),CASIO,white/black/red,Michelin,24/06/2004,Sander van Dijk,Audi,R8,#602,NA,Result: winner - (215.418 kph) - margin: 41s354Grid: 4th (3:34.0380),winner - (215.418 kph) - margin: 41s354Grid: 4th (3:34.0380),finished,4,3:34.0380,215.418 kph,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-005.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-005.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100602.html,NA
le_mans,2004-06-13,88,Audi R8 #604 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,2,LMP1,Audi Sport UK Team Veloqx (GB),Open bodywork,Mid-engined,Jamie Davies (GB)/Guy Smith (GB)/Johnny Herbert (GB),Infineon/Canon,silver (+violet),Michelin,24/06/2004,Sander van Dijk,Audi,R8,#604,NA,Result: 2nd (41s354 behind the winner)Grid: 1st (3:32.8380),2nd (41s354 behind the winner)Grid: 1st (3:32.8380),finished,1,3:32.8380,41s354 behind the winner,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-088.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-088.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100604.html,NA
le_mans,2004-06-13,2,Audi R8 #505 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,3,LMP1,Champion Racing - Dave Maraj (USA),Open bodywork,Mid-engined,Emanuele Pirro (I)J.J. Lehto (FIN)/Marco Werner (D),ADT/Infineon/Canon,white (+red/yellow/green/blue),Michelin,24/06/2004,Sander van Dijk,Audi,R8,#505,NA,Result: 3rd (11 laps behind the winner)Grid: 6th (3:34.9270),3rd (11 laps behind the winner)Grid: 6th (3:34.9270),finished,6,3:34.9270,11 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-002.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-002.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100505.html,NA
le_mans,2004-06-13,18,Pescarolo C60 #N°4 (Courage) - Judd GV5 V10/72° 4v 4997 cc N/A,4,LMP1,Pescarolo Sport (F),Open bodywork,Mid-engined,"/Erik Comas (F)/Benoit Tréluyer (F)/Soheil Ayari (F)listed, never drove: Emmanuel Collard (F), Nicolas Minassian (F)",PlayStation Net/NEXX/La Sarthe,white/blue/light blue (+green),Michelin,24/06/2004,Sander van Dijk,Pescarolo,C60,#N°4,NA,Result: 4th (18 laps behind the winner)Grid: 11th (3:40.3990),4th (18 laps behind the winner)Grid: 11th (3:40.3990),finished,11,3:40.3990,18 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-018.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-018.jpg,https://www.racingsportscars.com/make/photo/Pescarolo.html,https://www.racingsportscars.com/type/photo/Pescarolo/C60.html,https://www.racingsportscars.com/chassis/photo/C60-N%c2%b04.html,NA
le_mans,2004-06-13,8,Audi R8 #603 (Dallara) - Audi V8/90° 4v DOHC 3596 cc 2xGarrett,5,LMP1,Audi Sport UK Team Veloqx (GB),Open bodywork,Mid-engined,Pierre Kaffer (D)Allan McNish (GB)/Frank Biela (D),Infineon/Canon,silver (+violet),Michelin,24/06/2004,Sander van Dijk,Audi,R8,#603,NA,Result: 5th (29 laps behind the winner)Grid: 2nd (3:33.2330),5th (29 laps behind the winner)Grid: 2nd (3:33.2330),finished,2,3:33.2330,29 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-008.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-008.jpg,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/R8.html,https://www.racingsportscars.com/chassis/photo/WAUZZZ8RZAA100603.html,NA
le_mans,2004-06-13,64,Chevrolet Corvette C5-R #010 (Pratt & Miller) - Chevrolet LS1 V8/90° 2v OHV 6991 cc N/A,6,GTS,Corvette Racing (USA),Closed bodywork,Front-engined,Oliver Gavin (GB)/Olivier Beretta (MC)/Jan Magnussen (DK),COMPUWARE/AER,yellow (+black),Michelin,24/06/2004,Sander van Dijk,Chevrolet,Corvette C5,#010,-R,Result: 6th 1st in GTS (34 laps behind the winner)Grid: 18th (3:49.7500),6th 1st in GTS (34 laps behind the winner)Grid: 18th (3:49.7500),finished,18,3:49.7500,34 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-064.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-064.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette%20C5.html,https://www.racingsportscars.com/chassis/photo/C5R-010.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette%20C5/-R.html
le_mans,2004-06-13,15,Dome S101 #03 - Judd GV4 V10/72° 4v DOHC 3994 cc N/A,7,LMP1,Racing for Holland (NL),Open bodywork,Mid-engined,Jan Lammers (NL)/Chris Dyson (USA)/Katsutomo Kaneishi (J),JUMBO/trim-line/BTMS/corus/Alpha Impex/....,black/white,Dunlop,24/06/2004,Sander van Dijk,Dome,S101,#03,NA,Result: 7th (38 laps behind the winner)Grid: 8th (3:36.3530),7th (38 laps behind the winner)Grid: 8th (3:36.3530),finished,8,3:36.3530,38 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-015.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-015.jpg,https://www.racingsportscars.com/make/photo/Dome.html,https://www.racingsportscars.com/type/photo/Dome/S101.html,https://www.racingsportscars.com/chassis/photo/S101-03.html,NA
le_mans,2004-06-13,63,Chevrolet Corvette C5-R #011 (Pratt & Miller) - Chevrolet LS1 V8/90° 2v OHV 6991 cc N/A,8,GTS,Corvette Racing (USA),Closed bodywork,Front-engined,Ron Fellows (CDN)/Johnny O'Connell (USA)/Max Papis (I),COMPUWARE/AER,yellow (+black),Michelin,24/06/2004,Sander van Dijk,Chevrolet,Corvette C5,#011,-R,Result: 8th (45 laps behind the winner)Grid: 20th (3:51.3780),8th (45 laps behind the winner)Grid: 20th (3:51.3780),finished,20,3:51.3780,45 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-063.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-063.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette%20C5.html,https://www.racingsportscars.com/chassis/photo/C5R-011.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette%20C5/-R.html
le_mans,2004-06-13,65,Ferrari 550 Maranello GTS #ZFFZR49B000113136 (CRD03) (Prodrive) - Ferrari V12/65° 4v DOHC 5983 cc N/A,9,GTS,Prodrive Racing (GB),Closed bodywork,Front-engined,"Darren Turner (GB)/Rickard Rydell (S)/Colin McRae (GB)listed, never drove: Peter Kox (NL), Alain Menu (CH), Tomáš Enge (CZ)",CARE RACING/prodrive,red,Michelin,24/06/2004,Sander van Dijk,Ferrari,550 Maranello,#ZFFZR49B000113136 (CRD03),GTS,Result: 9th (50 laps behind the winner)Grid: 21st (3:51.7550),9th (50 laps behind the winner)Grid: 21st (3:51.7550),finished,21,3:51.7550,50 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-065.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-065.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/550%20Maranello.html,https://www.racingsportscars.com/chassis/photo/ZFFZR49B000113136.html,https://www.racingsportscars.com/suffix/photo/Ferrari/550%20Maranello/GTS.html
le_mans,2004-06-13,90,Porsche 996 GT3-RSR #WP0ZZZ99Z4S693066 - Porsche M96/77 F6 4v DOHC 3598 cc N/A,10,GT,"Dale White, White Lightning Racing (USA)",Closed bodywork,Rear-engined,"Sascha Maassen (D)/Jörg Bergmeister (D)/Patrick Long (USA)preliminary session only: Michael Petersen (USA); listed, never drove: Lucas Luhr (D), Timo Bernhard (D)",WESTWARD-HO/MMPIE,white/red/yellow,Michelin,24/06/2004,Sander van Dijk,Porsche,996 GT3-RSR,#WP0ZZZ99Z4S693066,NA,Result: 10th 1st in GT (52 laps behind the winner)Grid: 29th (4:07.3940) - 32nd fastest qualifier,10th 1st in GT (52 laps behind the winner)Grid: 29th (4:07.3940) - 32nd fastest qualifier,finished,29,4:07.3940,52 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/2004/TN_Le_Mans-2004-06-13-090.jpg,https://www.racingsportscars.com/photo/2004/Le_Mans-2004-06-13-090.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996%20GT3-RSR.html,https://www.racingsportscars.com/chassis/photo/WP0ZZZ99Z4S693066.html,NA
