track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
monza,1971-04-25,2,Porsche 917 K #034=>013 - Porsche 912 F12 2v DOHC N/A,1,S5.0,J. W. Automotive (GB),Closed bodywork,Mid-engined,Pedro Rodriguez (MEX)/Jackie Oliver (GB),Gulf,light blue (+orange),Firestone,28/07/2012,Rallye Racing and Sergio Febbraro,Porsche,917,K,#034=>013,Result: winner - (235.834 kph) - margin: 3 lapsGrid: 5th (1:35.7400),winner - (235.834 kph) - margin: 3 lapsGrid: 5th (1:35.7400),finished,5,1:35.7400,235.834 kph,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Monza-1971-04-25-002.jpg,https://www.racingsportscars.com/photo/1971/Monza-1971-04-25-002.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-034.html
monza,1971-04-25,1,Porsche 917 K #017=>004 - Porsche 912 F12 2v DOHC N/A,2,S5.0,J. W. Automotive (GB),Closed bodywork,Mid-engined,Jo Siffert (CH)/Derek Bell (GB),Gulf,light blue (+orange),Firestone,28/07/2012,Loreno Longo and Rallye Racing,Porsche,917,K,#017=>004,Result: 2nd (3 laps behind the winner)Grid: 7th (1:36.4000) - 8th fastest qualifier,2nd (3 laps behind the winner)Grid: 7th (1:36.4000) - 8th fastest qualifier,finished,7,1:36.4000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Monza-1971-04-25-001.jpg,https://www.racingsportscars.com/photo/1971/Monza-1971-04-25-001.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-017.html
monza,1971-04-25,18,Alfa Romeo T33/3 #75080-005 - Alfa Romeo 300 V8 4v DOHC 2998 cc N/A,3,P3.0,Autodelta SpA (I),Open bodywork,Mid-engined,Andrea de Adamich (I)/Henri Pescarolo (F),NA,red (+white),Firestone,28/07/2012,Rallye Racing and Loreno Longo,Alfa Romeo,T33/3,NA,#75080-005,Result: 3rd 1st in P3.0 (6 laps behind the winner)Grid: 6th (1:35.7400),3rd 1st in P3.0 (6 laps behind the winner)Grid: 6th (1:35.7400),finished,6,1:35.7400,6 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Monza-1971-04-25-018.jpg,https://www.racingsportscars.com/photo/1971/Monza-1971-04-25-018.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__3.html,NA,https://www.racingsportscars.com/chassis/photo/75080-005.html
monza,1971-04-25,NA,Alfa Romeo T33/3 # - Alfa Romeo 300 V8 4v DOHC 2998 cc N/A,4,P3.0,Autodelta SpA (I),Open bodywork,Mid-engined,"Rolf Stommelen (D)/Toine Hezemans (NL)listed, never drove: Nanni Galli (I)",Shell/Alfa Romeo,red,Firestone,26/12/2022,Gioacchino Gullotti and Rallye Racing,Alfa Romeo,T33/3,NA,#,Result: 4th (7 laps behind the winner)Grid: 3rd (1:35.1500),4th (7 laps behind the winner)Grid: 3rd (1:35.1500),finished,3,1:35.1500,7 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Monza-1971-04-25-019_T.jpg,https://www.racingsportscars.com/photo/1971/Monza-1971-04-25-019_T.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__3.html,NA,https://www.racingsportscars.com/chassis/photo/75080-Stommelen%23.html
monza,1971-04-25,16,Alfa Romeo T33/3 - Alfa Romeo 300 V8 4v DOHC 2998 cc N/A,5,P3.0,Autodelta SpA (I),Open bodywork,Mid-engined,"Toine Hezemans (NL)/Nino Vaccarella (I)/Rolf Stommelen (D)listed, never drove: Teodoro Zeccoli (I)",Shell/Alfa Romeo,red (+orange),Firestone,26/12/2022,Gioacchino Gullotti,Alfa Romeo,T33/3,NA,NA,Result: 5th (8 laps behind the winner)Grid: 8th (1:36.9800) - 9th fastest qualifier,5th (8 laps behind the winner)Grid: 8th (1:36.9800) - 9th fastest qualifier,finished,8,1:36.9800,8 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Monza-1971-04-25-016.jpg,https://www.racingsportscars.com/photo/1971/Monza-1971-04-25-016.jpg,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/T33__3.html,NA,NA
monza,1971-04-25,12,Ferrari 512 M #1044 - Ferrari 512 V12 4v 4994 cc N/A,6,S5.0,Herbert Müller (CH),Closed bodywork,Mid-engined,Herbert Müller (CH)/René Herzog (CH),rolanaflor,red,NA,10/07/2008,Sergio Febbraro,Ferrari,512 M,NA,#1044,Result: 6th (10 laps behind the winner)Grid: 10th (1:38.3000) - 11th fastest qualifier,6th (10 laps behind the winner)Grid: 10th (1:38.3000) - 11th fastest qualifier,finished,10,1:38.3000,10 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Monza-1971-04-25-012.jpg,https://www.racingsportscars.com/photo/1971/Monza-1971-04-25-012.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/512%20M.html,NA,https://www.racingsportscars.com/chassis/photo/1044%20%5b512S%5d.html
monza,1971-04-25,6,Porsche 917 K #022 - Porsche 912 F12 2v DOHC N/A,7,S5.0,Team Auto Usdau (CH),Closed bodywork,Mid-engined,Willi Kauhsen (D)/Reinhold Jöst (D),TEAM AUTO USDAU,yellow (+green),NA,18/12/2011,Loreno Longo,Porsche,917,K,#022,Result: 7th (10 laps behind the winner)Grid: 14th (1:42.0700) - 16th fastest qualifier,7th (10 laps behind the winner)Grid: 14th (1:42.0700) - 16th fastest qualifier,finished,14,1:42.0700,10 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Monza-1971-04-25-006.jpg,https://www.racingsportscars.com/photo/1971/Monza-1971-04-25-006.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-022.html
monza,1971-04-25,11,Ferrari 512 M #1008 - Ferrari 512 V12 4v 4994 cc N/A,8,S5.0,Herbert Müller (CH),Closed bodywork,Mid-engined,"Gianpiero Moretti (I)/Teodoro Zeccoli (I)listed, never drove: Roland Kistler (CH)",rolanaflor/Shell,red,Firestone,10/07/2008,Sergio Febbraro,Ferrari,512 M,NA,#1008,Result: 8th (17 laps behind the winner)Grid: 13th (1:41.8000) - 15th fastest qualifier,8th (17 laps behind the winner)Grid: 13th (1:41.8000) - 15th fastest qualifier,finished,13,1:41.8000,17 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Monza-1971-04-25-011.jpg,https://www.racingsportscars.com/photo/1971/Monza-1971-04-25-011.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/512%20M.html,NA,https://www.racingsportscars.com/chassis/photo/1008%20%5b512S%5d.html
monza,1971-04-25,5,Porsche 917 K #025 - Porsche 912 F12 2v DOHC N/A,9,S5.0,Zitro Racing Cars,Closed bodywork,Mid-engined,Gérard Pillon (CH)/Dominique Martin (CH),ZITRO/GOODYEAR/SHELL,white/blue,Goodyear,10/02/2019,Gioacchino Gullotti,Porsche,917,K,#025,Result: 9th (20 laps behind the winner)Grid: 15th (1:48.4000) - 17th fastest qualifier,9th (20 laps behind the winner)Grid: 15th (1:48.4000) - 17th fastest qualifier,finished,15,1:48.4000,20 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1971/TN_Monza-1971-04-25-005.jpg,https://www.racingsportscars.com/photo/1971/Monza-1971-04-25-005.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-025.html
monza,1971-04-25,21,Porsche 908/02 #010 - Porsche Typ 908 F8 2v DOHC 3000 cc N/A,10,P3.0,Wicky Racing Team (CH),Open bodywork,Mid-engined,"André Wicky (CH)/Ernesto Brambilla (I)/Peter Mattli (CH)listed, never drove: Max Cohen-Olivar (MA)",LAUB/Wicky,white (+red),NA,NA,NA,Porsche,908/02,NA,#010,Result: 10th (30 laps behind the winner)Grid: 20th (1:54.7600),10th (30 laps behind the winner)Grid: 20th (1:54.7600),finished,20,1:54.7600,30 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/908__02.html,NA,https://www.racingsportscars.com/chassis/photo/908__02-010.html
