track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
nurburgring,1977-03-27,66,Porsche 935 #930 770 0908 - Porsche 930/72; no:677 2907 F6 2v SOHC 2808 cc 1xKKK,1,Div.I,Gelo-Racing-Team Georg Loos KG (D),Closed bodywork,Rear-engined,Rolf Stommelen (D),LOOS,red (+white/yellow),Goodyear,12/03/2023,Hartmut Schulz,Porsche,935,#930 770 0908,NA,Result: winner in race Div.I - (169.531 kph) - margin: 27s1000Grid: 1st in Div.I race (7:46.1000),winner in race Div.I - (169.531 kph) - margin: 27s1000Grid: 1st in Div.I race (7:46.1000),finished,1,NA,169.531 kph,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Nurburgring-1977-03-27-066.jpg,https://www.racingsportscars.com/photo/1977/Nurburgring-1977-03-27-066.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200908.html,NA
nurburgring,1977-03-27,15,BMW 320 #E21-R1-13 - BMW M12/7 L4 4v DOHC 1991 cc N/A,1,Div.II,Jägermeister-Faltz-BMW-Team-Essen (D),Closed bodywork,Front-engined,Hans-Joachim Stuck (D),Jägermeister,orange,Goodyear,12/03/2023,Hartmut Schulz,BMW,320,#E21-R1-13,NA,Result: winner in race Div.II - (162.412 kph) - margin: 20s8000Grid: 2nd in Div.II race (8:12.9000),winner in race Div.II - (162.412 kph) - margin: 20s8000Grid: 2nd in Div.II race (8:12.9000),finished,2,NA,162.412 kph,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Nurburgring-1977-03-27-015.jpg,https://www.racingsportscars.com/photo/1977/Nurburgring-1977-03-27-015.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,https://www.racingsportscars.com/chassis/photo/E21-R1-13.html,NA
nurburgring,1977-03-27,52,Porsche 935 #930 770 0905 - Porsche 930/72; no:0677 2904 F6 2v SOHC 2808 cc 1xKKK,2,Div.I,Jägermeister-Max-Moritz-Team (D),Closed bodywork,Rear-engined,Manfred Schurti (FL),Jägermeister,orange,Dunlop,12/03/2023,Hartmut Schulz,Porsche,935,#930 770 0905,NA,Result: 2nd in race Div.I (27s1000 behind the winner)Grid: 2nd in Div.I race (7:50.4000),2nd in race Div.I (27s1000 behind the winner)Grid: 2nd in Div.I race (7:50.4000),finished,2,NA,27s1000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Nurburgring-1977-03-27-052.jpg,https://www.racingsportscars.com/photo/1977/Nurburgring-1977-03-27-052.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200905.html,NA
nurburgring,1977-03-27,1,Ford Escort II RS 1800 #ZAK-E23/75 - Ford Cosworth BDG/Zakspeed L4 4v DOHC 1975 cc N/A,2,Div.II,Mampe Ford Zakspeed Team (D),Closed bodywork,Front-engined,Hans Heyer (D),Mampe/Castrol,black/yellow (+red),Goodyear,12/03/2023,Hartmut Schulz,Ford,Escort,#ZAK-E23/75,II RS 1800,Result: 2nd in race Div.II (20s8000 behind the winner)Grid: 3rd in Div.II race (8:13.2000),2nd in race Div.II (20s8000 behind the winner)Grid: 3rd in Div.II race (8:13.2000),finished,3,NA,20s8000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Nurburgring-1977-03-27-001.jpg,https://www.racingsportscars.com/photo/1977/Nurburgring-1977-03-27-001.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Escort.html,https://www.racingsportscars.com/chassis/photo/ZAK-E23__75.html,https://www.racingsportscars.com/suffix/photo/Ford/Escort/II%20RS%201800.html
nurburgring,1977-03-27,12,BMW 320 #E21-R1-22? - BMW M12/7 L4 4v DOHC 1991 cc N/A,3,Div.II,BMW Junior Team (D),Closed bodywork,Front-engined,Marc Surer (CH),BMW-Junior-Team/Castrol,white/blue (+red),Goodyear,12/03/2023,Hartmut Schulz,BMW,320,#E21-R1-22?,NA,Result: 3rd in race Div.II (49s9000 behind the winner)Grid: 4th in Div.II race (8:13.9000),3rd in race Div.II (49s9000 behind the winner)Grid: 4th in Div.II race (8:13.9000),finished,4,NA,49s9000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Nurburgring-1977-03-27-012.jpg,https://www.racingsportscars.com/photo/1977/Nurburgring-1977-03-27-012.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,https://www.racingsportscars.com/chassis/photo/E21-R1-22.html,NA
nurburgring,1977-03-27,51,Porsche 935 #930 770 0903 - Porsche 930/72; no:677 2902 F6 2v SOHC 2808 cc 1xKKK,3,Div.I,Vaillant-Kremer-Team (D),Closed bodywork,Rear-engined,Bob Wollek (F),Vaillant,green,Goodyear,NA,NA,Porsche,935,#930 770 0903,NA,Result: 3rd in race Div.I (28s2000 behind the winner)Grid: 6th in Div.I race (8:26.4000),3rd in race Div.I (28s2000 behind the winner)Grid: 6th in Div.I race (8:26.4000),finished,6,NA,28s2000 behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200903.html,NA
nurburgring,1977-03-27,54,Porsche 935 #930 770 0907 - Porsche 930/72; no:677 2905 F6 2v SOHC 2808 cc 1xKKK,4,Div.I,Brambring-Racing (D),Closed bodywork,Rear-engined,Jochen Mass (D),Möbel-Franz/BRAMBRING,white (+red),Dunlop,12/03/2023,Hartmut Schulz,Porsche,935,#930 770 0907,NA,Result: 4th in race Div.I (31s0000 behind the winner)Grid: 3rd in Div.I race (7:52.4000),4th in race Div.I (31s0000 behind the winner)Grid: 3rd in Div.I race (7:52.4000),finished,3,NA,31s0000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Nurburgring-1977-03-27-054.jpg,https://www.racingsportscars.com/photo/1977/Nurburgring-1977-03-27-054.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200907.html,NA
nurburgring,1977-03-27,13,BMW 320 #E21-R1-10 - BMW M12/7 L4 4v DOHC 1991 cc N/A,4,Div.II,BMW Junior Team (D),Closed bodywork,Front-engined,Manfred Winkelhock (D),BMW-Junior-Team/WÜRTH,white/blue (+red),Goodyear,12/03/2023,Hartmut Schulz,BMW,320,#E21-R1-10,NA,Result: 4th in race Div.II (1m02s3000 behind the winner)Grid: 5th in Div.II race (8:14.4000),4th in race Div.II (1m02s3000 behind the winner)Grid: 5th in Div.II race (8:14.4000),finished,5,NA,1m02s3000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Nurburgring-1977-03-27-013.jpg,https://www.racingsportscars.com/photo/1977/Nurburgring-1977-03-27-013.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,https://www.racingsportscars.com/chassis/photo/E21-R1-10.html,NA
nurburgring,1977-03-27,53,Porsche 934/5 #930 670 0168 - Porsche F6 2v SOHC Turbo,5,Div.I,Autohaus Max Moritz GmbH (D),Closed bodywork,Rear-engined,Edgar Dören (D),VALVOLINE/ROMULUS Werkzeuge/MAX MORITZ PORSCHE,white/blue/red,Dunlop,12/03/2023,Hartmut Schulz,Porsche,934,#930 670 0168,/5,Result: 5th in race Div.I (4m40s2000 behind the winner)Grid: 4th in Div.I race (8:21.9000),5th in race Div.I (4m40s2000 behind the winner)Grid: 4th in Div.I race (8:21.9000),finished,4,NA,4m40s2000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Nurburgring-1977-03-27-053.jpg,https://www.racingsportscars.com/photo/1977/Nurburgring-1977-03-27-053.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200168.html,https://www.racingsportscars.com/suffix/photo/Porsche/934/__5.html
nurburgring,1977-03-27,10,Ford Escort II RS 1800 # - Ford Cosworth BDG/Grab L4 4v DOHC 1975 cc N/A,5,Div.II,Ford-Grab-Weisberg-Werkzeuge (D),Closed bodywork,Front-engined,Toine Hezemans (NL),WEISBERG/GRAB,white (+blue/red),Goodyear,12/03/2023,Hartmut Schulz,Ford,Escort,#,II RS 1800,Result: 5th in race Div.II (2m59s8000 behind the winner)Grid: 12th in Div.II race (8:41.1000),5th in race Div.II (2m59s8000 behind the winner)Grid: 12th in Div.II race (8:41.1000),finished,12,NA,2m59s8000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Nurburgring-1977-03-27-010.jpg,https://www.racingsportscars.com/photo/1977/Nurburgring-1977-03-27-010.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Escort.html,https://www.racingsportscars.com/chassis/photo/Escort-G5-Grab%23.html,https://www.racingsportscars.com/suffix/photo/Ford/Escort/II%20RS%201800.html
