track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url
nurburgring,1997-06-08,28,BMW M3 - BMW,1,Class 3,Scuderia Augustusburg Brühl e. V. im ADAC,Closed bodywork,Front-engined,Johannes Scheid (D)/Sabine Reck/Hans-Jürgen Tiemann (D)/Peter Zakowski (D),NA,blue,NA,NA,NA,BMW,M3,NA,Result: winner - (132.200 kph) - margin: 1 lapGrid:,winner - (132.200 kph) - margin: 1 lapGrid:,finished,NA,NA,132.200 kph,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1997-06-08,170,VW Golf TDi - VW,2,Class 14,Volkswagen Motorsport,-,-,Kris Nissen (DK)/Christian Abt (D)/Jürgen Hohenester (D),VW TDI,silver (+blue),NA,NA,NA,VW,Golf,TDi,Result: 2nd 1st in Class 14 (1 lap behind the winner)Grid:,2nd 1st in Class 14 (1 lap behind the winner)Grid:,finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/TDi.html
nurburgring,1997-06-08,38,BMW M3 - BMW,3,Class 3,East Belgian Racing Team/Baugnee,Closed bodywork,Front-engined,Etienne Baugnee (B)/Damien Chaballe (B)/Pierre Fermine (B)/Bruno Thiry (B),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 3rd (4 laps behind the winner)Grid:,3rd (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1997-06-08,75,Opel Astra GSi - Opel,4,Class 5,Mühlner Motorsport GmbH,-,-,Wolfgang Savelsbergh (D)/Heinz-Josef Bermes (D)/Eric Neve (B),NA,NA,NA,NA,NA,Opel,Astra,GSi,Result: 4th 1st in Class 5 (6 laps behind the winner)Grid:,4th 1st in Class 5 (6 laps behind the winner)Grid:,finished,NA,NA,6 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Astra.html,https://www.racingsportscars.com/suffix/photo/Opel/Astra/GSi.html
nurburgring,1997-06-08,5,VW Golf GTI - VW,5,Class 1,ADAC Niedersachsen/Sachsen-Anhalt e. V.,-,-,Florian Billen/Edgar Dören (D)/Bertram Schäfer (D)/Otto Hofmayer,NA,NA,NA,NA,NA,VW,Golf,GTI,Result: 5th 1st in Class 1 (7 laps behind the winner)Grid:,5th 1st in Class 1 (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/GTI.html
nurburgring,1997-06-08,31,BMW M3 - BMW,6,Class 3,,Closed bodywork,Front-engined,Michael Tischner (D)/Wilfried Thal/Gerold Ried (D)/Matthias Tischner (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 6th (7 laps behind the winner)Grid:,6th (7 laps behind the winner)Grid:,finished,NA,NA,7 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1997-06-08,40,BMW M3 - BMW,7,Class 3,,Closed bodywork,Front-engined,Ralf-Peter Bonk (D)/Michael Bonk (D)/Reinhold Renger (D)/Helmut Hennes (D),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 7th (8 laps behind the winner)Grid:,7th (8 laps behind the winner)Grid:,finished,NA,NA,8 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1997-06-08,16,BMW M3 - BMW,8,Class 2,East Belgian Racing Team/Schröder Motorsport,Closed bodywork,Front-engined,Klaus Bügler (D)/Ian Khan (GB)/Michel Luxen (B)/Stéphane van Dyck (NL),NA,NA,NA,NA,NA,BMW,M3,NA,Result: 8th 1st in Class 2 (8 laps behind the winner)Grid:,8th 1st in Class 2 (8 laps behind the winner)Grid:,finished,NA,NA,8 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,NA
nurburgring,1997-06-08,76,Opel Astra GSi - Opel,9,Class 5,Mühlner Motorsport GmbH,-,-,Peter Wyss (CH)/Frank Klaas/Arno Wester (D)/Jo Albig,NA,NA,NA,NA,NA,Opel,Astra,GSi,Result: 9th (10 laps behind the winner)Grid:,9th (10 laps behind the winner)Grid:,finished,NA,NA,10 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Astra.html,https://www.racingsportscars.com/suffix/photo/Opel/Astra/GSi.html
nurburgring,1997-06-08,4,VW Golf GTI - VW,10,Class 1,ADAC Niedersachsen/Sachsen-Anhalt e. V.,-,-,Michael Dernedde/Ludwig Damminger/Mario Merten (D)/Florian Billen,NA,NA,NA,NA,NA,VW,Golf,GTI,Result: 10th (11 laps behind the winner)Grid:,10th (11 laps behind the winner)Grid:,finished,NA,NA,11 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/GTI.html
