track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
spa,1970-05-17,24,Porsche 917 K #014 - Porsche 912 F12 2v DOHC 4907 cc N/A,1,S5.0,J. W. Automotive Engineering (GB),Closed bodywork,Mid-engined,Jo Siffert (CH)/Brian Redman (GB),Gulf,light blue (+orange),Firestone,29/06/2018,"H-J Roegler, Jacques Ubags and Paul Kooyman",Porsche,917,K,#014,Result: winner - (240.460 kph) - margin: 2m34s5000Grid: 2nd (3:23.9000),winner - (240.460 kph) - margin: 2m34s5000Grid: 2nd (3:23.9000),finished,2,3:23.9000,240.460 kph,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-024.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-024.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-014.html
spa,1970-05-17,20,Ferrari 512 S #1038 - Ferrari 512 V12/60° 4v 4994 cc N/A,2,S5.0,Spa Ferrari SEFAC (I),Closed bodywork,Mid-engined,Jacky Ickx (B)/John Surtees (GB),Firestone,red,Firestone,29/06/2018,Jacques Ubags and H-J Roegler,Ferrari,512 S,NA,#1038,Result: 2nd (2m34s5000 behind the winner)Grid: 3rd (3:24.4000),2nd (2m34s5000 behind the winner)Grid: 3rd (3:24.4000),finished,3,3:24.4000,2m34s5000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-020.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-020.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/512%20S.html,NA,https://www.racingsportscars.com/chassis/photo/1038%20%5b512S%5d.html
spa,1970-05-17,28,Porsche 917 K #023 - Porsche 912 F12 2v DOHC 4907 cc N/A,3,S5.0,Porsche Salzburg (A),Closed bodywork,Mid-engined,"Vic Elford (GB)/Kurt Ahrens, Jr. (D)",Shell/PORSCHE/BOSCH,white,Goodyear,29/06/2018,Frans Oestlandt and H-J Roegler,Porsche,917,K,#023,Result: 3rd (1 lap behind the winner)Grid: 12th (3:40.5000),3rd (1 lap behind the winner)Grid: 12th (3:40.5000),finished,12,3:40.5000,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-028.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-028.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-023.html
spa,1970-05-17,22,Ferrari 512 S #1026 - Ferrari 512 V12/60° 4v 4994 cc N/A,4,S5.0,Spa Ferrari SEFAC (I),Closed bodywork,Mid-engined,Ignazio Giunti (I)/Nino Vaccarella (I),Firestone,red,Firestone,29/06/2018,Jacques Ubags and H-J Roegler,Ferrari,512 S,NA,#1026,Result: 4th (3 laps behind the winner)Grid: 5th (3:30.2000),4th (3 laps behind the winner)Grid: 5th (3:30.2000),finished,5,3:30.2000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-022.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-022.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/512%20S.html,NA,https://www.racingsportscars.com/chassis/photo/1026%20%5b512S%5d.html
spa,1970-05-17,43,Porsche 917 K #021 - Porsche 912 F12 2v DOHC N/A,5,S5.0,Racing Team AAW (FIN),Closed bodywork,Mid-engined,Hans Laine (FIN)/Gijs van Lennep (NL),Shell,yellow,NA,29/06/2018,H-J Roegler and Manfred Giet,Porsche,917,K,#021,Result: 5th (3 laps behind the winner)Grid: 6th (3:31.6000),5th (3 laps behind the winner)Grid: 6th (3:31.6000),finished,6,3:31.6000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-043.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-043.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-021.html
spa,1970-05-17,29,Porsche 917 K #020 - Porsche 912 F12 2v DOHC N/A,6,S5.0,Porsche Salzburg (A),Closed bodywork,Mid-engined,Richard Attwood (GB)/Hans Herrmann (D),Shell/PORSCHE,blue (+white),Goodyear,29/06/2018,Frans Oestlandt and H-J Roegler,Porsche,917,K,#020,Result: 6th (3 laps behind the winner)Grid: 8th (3:33.2000),6th (3 laps behind the winner)Grid: 8th (3:33.2000),finished,8,3:33.2000,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-029.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-029.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/917.html,https://www.racingsportscars.com/suffix/photo/Porsche/917/K.html,https://www.racingsportscars.com/chassis/photo/917-020.html
spa,1970-05-17,21,Ferrari 512 S #1044 - Ferrari 512 V12/60° 4v 4994 cc N/A,7,S5.0,Spa Ferrari SEFAC (I),Closed bodywork,Mid-engined,"Peter Schetty (CH)/Arturo Merzario (I)listed, never drove: Chris Amon (NZ)",Firestone,red,Firestone,29/06/2018,H-J Roegler and Jacques Ubags,Ferrari,512 S,NA,#1044,Result: 7th (5 laps behind the winner)Grid: 10th (3:35.4000),7th (5 laps behind the winner)Grid: 10th (3:35.4000),finished,10,3:35.4000,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-021.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-021.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/512%20S.html,NA,https://www.racingsportscars.com/chassis/photo/1044%20%5b512S%5d.html
spa,1970-05-17,23,Ferrari 512 S #1030 - Ferrari 512 V12/60° 4v 4994 cc N/A,8,S5.0,Ecurie Francorchamps (B),Closed bodywork,Mid-engined,Derek Bell (GB)/Hughes de Fierlant (B),Shell/FERODO,yellow,Firestone,19/08/2011,"Paul Kooyman, Jacques Ubags and Manfred Giet",Ferrari,512 S,NA,#1030,Result: 8th (7 laps behind the winner)Grid: 7th (3:31.6000),8th (7 laps behind the winner)Grid: 7th (3:31.6000),finished,7,3:31.6000,7 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-023.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-023.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/512%20S.html,NA,https://www.racingsportscars.com/chassis/photo/1030%20%5b512S%5d.html
spa,1970-05-17,6,Porsche 908/02 K Flunder #009=>019 - Porsche Typ 908 F8 2v DOHC 2997 cc N/A,9,P3.0,Martini International Racing Team (D),Open bodywork,Mid-engined,"Gérard Larrousse (F)/Rudi Lins (A)listed, never drove: Richard Attwood (GB)",MARTINI/Shell/PORSCHE,white (+yellow/red/metallic blue),NA,11/03/2005,Jacques Ubags,Porsche,908/02,K Flunder,#009=>019,Result: 9th 1st in P3.0 (7 laps behind the winner)Grid: 15th (3:49.3000),9th 1st in P3.0 (7 laps behind the winner)Grid: 15th (3:49.3000),finished,15,3:49.3000,7 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-006.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-006.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/908__02.html,https://www.racingsportscars.com/suffix/photo/Porsche/908__02/K%20Flunder.html,https://www.racingsportscars.com/chassis/photo/908__02-009.html
spa,1970-05-17,33,Lola T70 Mk.3B GT #SL76/143 - Chevrolet V8/90° 2v OHV 5000 cc N/A,10,S5.0,Ecurie Bonnier (CH),Closed bodywork,Mid-engined,Jo Bonnier (S)/Reine Wisell (S),BonGrip,yellow (+white/red),NA,29/06/2018,H-J Roegler,Lola,T70,Mk.3B GT,#SL76/143,Result: 10th (8 laps behind the winner)Grid: 9th (3:35.4000),10th (8 laps behind the winner)Grid: 9th (3:35.4000),finished,9,3:35.4000,8 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1970/TN_Spa-1970-05-17-033.jpg,https://www.racingsportscars.com/photo/1970/Spa-1970-05-17-033.jpg,https://www.racingsportscars.com/make/photo/Lola.html,https://www.racingsportscars.com/type/photo/Lola/T70.html,https://www.racingsportscars.com/suffix/photo/Lola/T70/Mk.3B%20GT.html,https://www.racingsportscars.com/chassis/photo/SL76__143.html
