track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
spa,1982-09-05,1,Porsche 956 #003 - Porsche Type 935/76 F6 4v DOHC 2649 cc 2xKKK K26,1,C,Rothmans Porsche Team (D),Closed bodywork,Mid-engined,Jacky Ickx (B)/Jochen Mass (D),ROTHMANS,white/blue (+red),Dunlop,24/04/2022,"Jacky Ickx Jacky-Ickx-Fan.net, Bob Vandenholt and Wolfgang Clemens",Porsche,956,#003,NA,Result: winner - (164.648 kph) - margin: 3 lapsGrid: 1st (2:15.1200),winner - (164.648 kph) - margin: 3 lapsGrid: 1st (2:15.1200),finished,1,2:15.1200,164.648 kph,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-001.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-001.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/956.html,https://www.racingsportscars.com/chassis/photo/956-003.html,NA
spa,1982-09-05,2,Porsche 956 #004 - Porsche Type 935/76 F6 4v DOHC 2649 cc 2xKKK K26,2,C,Rothmans Porsche Team (D),Closed bodywork,Mid-engined,Derek Bell (GB)/Vern Schuppan (AUS),ROTHMANS,white/blue (+red),Dunlop,10/10/2003,Bob Vandenholt,Porsche,956,#004,NA,Result: 2nd (3 laps behind the winner)Grid: 2nd (2:15.6200),2nd (3 laps behind the winner)Grid: 2nd (2:15.6200),finished,2,2:15.6200,3 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-002.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-002.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/956.html,https://www.racingsportscars.com/chassis/photo/956-004.html,NA
spa,1982-09-05,50,Lancia 828 CB1 #003 (Dallara) - Lancia L4 1425 cc Single-Turbo,3,Gr.6,Martini Racing (I),Open bodywork,Mid-engined,Riccardo Patrese (I)/Teo Fabi (I),MARTINI/MS,white (+blue/red),Pirelli,27/03/2008,Karsten Denecke,Lancia,828 CB1,#003,NA,Result: 3rd 1st in Gr.6 (4 laps behind the winner)Grid: 3rd (2:15.8200),3rd 1st in Gr.6 (4 laps behind the winner)Grid: 3rd (2:15.8200),finished,3,2:15.8200,4 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-050.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-050.jpg,https://www.racingsportscars.com/make/photo/Lancia.html,https://www.racingsportscars.com/type/photo/Lancia/828%20CB1.html,https://www.racingsportscars.com/chassis/photo/828CB1-003.html,NA
spa,1982-09-05,4,Porsche 936C #JR005 (Joest) - Porsche 935 F6 2600 cc Twin-Turbo,4,C,Belga Team-Joest-Porsche (D),Closed bodywork,Mid-engined,Jean-Michel Martin (B)/Philippe Martin (B),Belga/Texas Instruments,white/red,Dunlop,27/03/2008,Karsten Denecke,Porsche,936C,#JR005,NA,Result: 4th (7 laps behind the winner)Grid: 14th (2:26.4300),4th (7 laps behind the winner)Grid: 14th (2:26.4300),finished,14,2:26.4300,7 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-004.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-004.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/936C.html,https://www.racingsportscars.com/chassis/photo/936-JR005.html,NA
spa,1982-09-05,11,Rondeau M382 #004 - Ford Cosworth DFL V8 3955 cc N/A,5,C,Jean Rondeau (F),Closed bodywork,Mid-engined,"François Migault (F)/Gordon Spice (GB)listed, never drove: Jean-Pierre Jaussaud (F)",OTIS/SARI,dark blue (+white),Dunlop,NA,NA,Rondeau,M382,#004,NA,Result: 5th (8 laps behind the winner)Grid: 11th (2:24.4400),5th (8 laps behind the winner)Grid: 11th (2:24.4400),finished,11,2:24.4400,8 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Rondeau.html,https://www.racingsportscars.com/type/photo/Rondeau/M382.html,https://www.racingsportscars.com/chassis/photo/M382-004.html,NA
spa,1982-09-05,52,Osella PA9 # - BMW M12 L4 2000 cc N/A,6,Gr.6,Osella Mirabella Racing (I),Open bodywork,Mid-engined,Giorgio Francia (I)/Luigi Moreschi (I),CAR/Castrol/BOSCH,dark blue/green (+yellow),Pirelli,11/03/2005,Bob Vandenholt and Jacques Ubags,Osella,PA9,#,NA,Result: 6th (12 laps behind the winner)Grid: 15th (2:27.1200),6th (12 laps behind the winner)Grid: 15th (2:27.1200),finished,15,2:27.1200,12 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-052.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-052.jpg,https://www.racingsportscars.com/make/photo/Osella.html,https://www.racingsportscars.com/type/photo/Osella/PA9.html,https://www.racingsportscars.com/chassis/photo/PA9-107.html,NA
spa,1982-09-05,60,Porsche 935/78-81 #JR-001 (Joest) - Porsche F6 2v SOHC 2600 cc Turbo,7,Gr.5,Gianpiero Moretti (I),Closed bodywork,Rear-engined,Gianpiero Moretti (I)/Mauro Baldi (I),momo,red (+yellow),Pirelli,30/08/2017,"Jacques Ubags, Bob Vandenholt and Pierre de Marneffe",Porsche,935,#JR-001,/78-81,Result: 7th 1st in Gr.5 (12 laps behind the winner)Grid: 17th (2:29.3500),7th 1st in Gr.5 (12 laps behind the winner)Grid: 17th (2:29.3500),finished,17,2:29.3500,12 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-060.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-060.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/935__81%20JR-001.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/__78-81.html
spa,1982-09-05,24,Rondeau M382 #005 - Ford Cosworth DFL V8 3900 cc N/A,8,C,Jean Rondeau (F),Closed bodywork,Mid-engined,"Jean Rondeau (F)/Henri Pescarolo (F)/Jean-Pierre Jaussaud (F)listed, never drove: Jean Ragnotti (F)",OTIS/SARI,dark blue (+white),Dunlop,27/03/2008,Karsten Denecke,Rondeau,M382,#005,NA,Result: 8th (12 laps behind the winner)Grid: 9th (2:23.0700),8th (12 laps behind the winner)Grid: 9th (2:23.0700),finished,9,2:23.0700,12 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-024.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-024.jpg,https://www.racingsportscars.com/make/photo/Rondeau.html,https://www.racingsportscars.com/type/photo/Rondeau/M382.html,https://www.racingsportscars.com/chassis/photo/M382-005.html,NA
spa,1982-09-05,20,Sauber SHS C6 # (Seger & Hoffman) - Ford Cosworth DFL V8 3300 cc N/A,9,C,BASF Cassetten Team Sport (D),Closed bodywork,Mid-engined,Hans-Joachim Stuck (D)Hans Heyer (D),BASF CASSETTES,red (+white),Dunlop,22/09/2009,Sergey Suhovsky and Jacques Ubags,Sauber,SHS C6,#,NA,Result: 9th (13 laps behind the winner)Grid: 10th (2:24.4300),9th (13 laps behind the winner)Grid: 10th (2:24.4300),finished,10,2:24.4300,13 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-020.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-020.jpg,https://www.racingsportscars.com/make/photo/Sauber.html,https://www.racingsportscars.com/type/photo/Sauber/SHS%20C6.html,https://www.racingsportscars.com/chassis/photo/82-C6-02.html,NA
spa,1982-09-05,62,Porsche 935 K3 #009 0003 (Kremer) - Porsche F6 2v SOHC 2800 cc Turbo,10,Gr.5,Lässig Obermaier Team (D),Closed bodywork,Rear-engined,/Teddy Pilette (B)/Jean-Paul Libert (B)/Jürgen Lässig (D),terrarent/IMMOBILIEN,black/turquoise,NA,30/08/2017,Pierre de Marneffe,Porsche,935,#009 0003,K3,Result: 10th (15 laps behind the winner)Grid: 24th (2:35.2100),10th (15 laps behind the winner)Grid: 24th (2:35.2100),finished,24,2:35.2100,15 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-062.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-062.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/009%200003.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K3.html
spa,1982-09-05,32,Nimrod NRA/C2 #004 - Aston Martin DP1229 Tickford V8/90° 2v DOHC 5340 cc N/A,11,C,Viscount Downe Pace Petrol (GB),Closed bodywork,Mid-engined,Ray Mallock (GB)/Mike Salmon (GB),-,white (+blue),NA,30/08/2017,Pierre de Marneffe and Erik Nassen,Nimrod,NRA/C2,#004,NA,Result: 11th (18 laps behind the winner)Grid: 13th (2:26.2100),11th (18 laps behind the winner)Grid: 13th (2:26.2100),finished,13,2:26.2100,18 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1982/TN_Spa-1982-09-05-032.jpg,https://www.racingsportscars.com/photo/1982/Spa-1982-09-05-032.jpg,https://www.racingsportscars.com/make/photo/Nimrod.html,https://www.racingsportscars.com/type/photo/Nimrod/NRA__C2.html,https://www.racingsportscars.com/chassis/photo/NRA__C2-004.html,NA
