track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
zolder,1977-03-13,52,Porsche 935 #930 770 0905 - Porsche 930/72; no:0677 2904 F6 2v SOHC 2808 cc 1xKKK,1,Div.I,Jägermeister Max-Moritz-Team (D),Closed bodywork,Rear-engined,Manfred Schurti (FL),Jägermeister,orange,Dunlop,31/08/2017,Pierre de Marneffe and Frans Oestlandt,Porsche,935,#930 770 0905,NA,Result: winner in race Div.I - (158.935 kph) - margin: 1s9Grid: 1st in Div.I race (1:34.5000),winner in race Div.I - (158.935 kph) - margin: 1s9Grid: 1st in Div.I race (1:34.5000),finished,1,NA,158.935 kph,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-052.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-052.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200905.html,NA
zolder,1977-03-13,12,BMW 320 #E21-R1-22? - BMW M12/7 L4 4v DOHC 1991 cc N/A,1,Div.II,BMW Junior Team (D),Closed bodywork,Front-engined,Marc Surer (CH),BMW-Junior-Team/Castrol,white/blue (+red),Goodyear,29/11/2006,Frans Oestlandt,BMW,320,#E21-R1-22?,NA,Result: winner in race Div.II - (152.264 kph) - margin: 4s7Grid: 1st in Div.II race (1:39.0000),winner in race Div.II - (152.264 kph) - margin: 4s7Grid: 1st in Div.II race (1:39.0000),finished,1,NA,152.264 kph,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-012.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-012.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,https://www.racingsportscars.com/chassis/photo/E21-R1-22.html,NA
zolder,1977-03-13,51,Porsche 935 #930 770 0903 - Porsche 930/72; no:677 2902 F6 2v SOHC 2808 cc 1xKKK,2,Div.I,Vaillant Kremer Team (D),Closed bodywork,Rear-engined,Bob Wollek (F),Vaillant/PORSCHE-KREMER,white (+orange/red),Goodyear,31/08/2017,Pierre de Marneffe and Frans Oestlandt,Porsche,935,#930 770 0903,NA,Result: 2nd in race Div.I (1s9 behind the winner)Grid: 2nd in Div.I race (1:34.8000),2nd in race Div.I (1s9 behind the winner)Grid: 2nd in Div.I race (1:34.8000),finished,2,NA,1s9 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-051.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-051.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200903.html,NA
zolder,1977-03-13,1,Ford Escort II RS 1800 #ZAK-E23/75 - Ford Cosworth BDG/Zakspeed L4 4v DOHC 1975 cc N/A,2,Div.II,Mampe-Ford Zakspeed (D),Closed bodywork,Front-engined,Hans Heyer (D),Mampe/Castrol,black/yellow (+red),Goodyear,31/08/2017,Pierre de Marneffe and Frans Oestlandt,Ford,Escort,#ZAK-E23/75,II RS 1800,Result: 2nd in race Div.II (4s7 behind the winner)Grid: 2nd in Div.II race (1:39.8000),2nd in race Div.II (4s7 behind the winner)Grid: 2nd in Div.II race (1:39.8000),finished,2,NA,4s7 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-001.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-001.jpg,https://www.racingsportscars.com/make/photo/Ford.html,https://www.racingsportscars.com/type/photo/Ford/Escort.html,https://www.racingsportscars.com/chassis/photo/ZAK-E23__75.html,https://www.racingsportscars.com/suffix/photo/Ford/Escort/II%20RS%201800.html
zolder,1977-03-13,54,Porsche 935 #930 770 0907 - Porsche 930/72; no:677 2905 F6 2v SOHC 2808 cc 1xKKK,3,Div.I,Brambring Racing (D),Closed bodywork,Rear-engined,Jürgen Neuhaus (D),Möbel-Franz/BRAMBRING,white (+red),Dunlop,31/08/2017,Pierre de Marneffe,Porsche,935,#930 770 0907,NA,Result: 3rd in race Div.I (1m34s2 behind the winner)Grid: 3rd in Div.I race (1:37.6000),3rd in race Div.I (1m34s2 behind the winner)Grid: 3rd in Div.I race (1:37.6000),finished,3,NA,1m34s2 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-054.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-054.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200907.html,NA
zolder,1977-03-13,13,BMW 320 #E21-R1-10 - BMW M12/7 L4 4v DOHC 1991 cc N/A,3,Div.II,BMW Junior Team (D),Closed bodywork,Front-engined,Manfred Winkelhock (D),BMW-Junior-Team/WÜRTH,white/blue (+red),Goodyear,29/07/2025,Classic and Vintage BMW and Frans Oestlandt,BMW,320,#E21-R1-10,NA,Result: 3rd in race Div.II (9s2 behind the winner)Grid: 7th in Div.II race (1:40.9000),3rd in race Div.II (9s2 behind the winner)Grid: 7th in Div.II race (1:40.9000),finished,7,NA,9s2 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-013.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-013.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,https://www.racingsportscars.com/chassis/photo/E21-R1-10.html,NA
zolder,1977-03-13,14,BMW 320 #E21-R1-06 - BMW M12/7/Faltz L4 4v DOHC 1991 cc N/A,4,Div.II,Jägermeister BMW-Faltz (D),Closed bodywork,Front-engined,/Harald Grohs (D),Jägermeister,orange,Goodyear,31/08/2017,Pierre de Marneffe and Frans Oestlandt,BMW,320,#E21-R1-06,NA,Result: 4th in race Div.II (10s9 behind the winner)Grid: 4th in Div.II race (1:40.1000),4th in race Div.II (10s9 behind the winner)Grid: 4th in Div.II race (1:40.1000),finished,4,NA,10s9 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-014.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-014.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,https://www.racingsportscars.com/chassis/photo/E21-R1-06.html,NA
zolder,1977-03-13,58,Porsche 935 K #006 00019-K1 - Porsche F6 2v SOHC Turbo,4,Div.I,Kannacher Racing (D),Closed bodywork,Rear-engined,Franz Konrad (A),KANNACHER GT/Mobil,red,NA,31/08/2017,Pierre de Marneffe and Frans Oestlandt,Porsche,935,#006 00019-K1,K,Result: 4th in race Div.I (1 lap behind the winner)Grid: 4th in Div.I race (1:39.8000),4th in race Div.I (1 lap behind the winner)Grid: 4th in Div.I race (1:39.8000),finished,4,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-058.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-058.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/006%2000019-K1.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K.html
zolder,1977-03-13,NA,BMW 320 #E21-R1-12 - BMW M12/7 L4 4v DOHC 1991 cc N/A,5,Div.II,BMW Junior Team (D),Closed bodywork,Front-engined,Eddie Cheever (USA),Castrol,white/blue (+red),Goodyear,31/08/2017,Pierre de Marneffe and Frans Oestlandt,BMW,320,#E21-R1-12,NA,Result: 5th in race Div.II (25s9 behind the winner)Grid: 5th in Div.II race (1:40.4000),5th in race Div.II (25s9 behind the winner)Grid: 5th in Div.II race (1:40.4000),finished,5,NA,25s9 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-011_T.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-011_T.jpg,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320.html,https://www.racingsportscars.com/chassis/photo/E21-R1-12.html,NA
zolder,1977-03-13,56,Porsche 935 #930 770 0904 - Porsche 930/72; no:677 2903 F6 2v SOHC 2808 cc 1xKKK,5,Div.I,Kannacher Racing (D),Closed bodywork,Rear-engined,Jürgen Kannacher (D),KANNACHER GT/BULER Uhren,red (+yellow),NA,31/08/2017,Pierre de Marneffe,Porsche,935,#930 770 0904,NA,Result: 5th in race Div.I (1 lap behind the winner)Grid: 6th in Div.I race (1:42.6000),5th in race Div.I (1 lap behind the winner)Grid: 6th in Div.I race (1:42.6000),finished,6,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1977/TN_Zolder-1977-03-13-056.jpg,https://www.racingsportscars.com/photo/1977/Zolder-1977-03-13-056.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200904.html,NA
