track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
riverside,1960-10-16,53,Maserati Tipo 61 #2469 - Maserati L4 2v DOHC 2890 cc N/A,1,O2L,Maserati Representatives of Calif. (USA),Open bodywork,Front-engined,Bill Krause (USA),NA,white (+red),NA,01/09/2003,Don Dean Sheffield,Maserati,Tipo 61,#2469,NA,Result: winner - (147.225 kph) - margin: 32s0000Grid: 2nd (2:03.9000),winner - (147.225 kph) - margin: 32s0000Grid: 2nd (2:03.9000),finished,2,2:03.9000,147.225 kph,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-053.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-053.jpg,https://www.racingsportscars.com/make/photo/Maserati.html,https://www.racingsportscars.com/type/photo/Maserati/Tipo%2061.html,https://www.racingsportscars.com/chassis/photo/2469%20%5bTipo%2061%5d.html,NA
riverside,1960-10-16,70,Ol'Yaller Mk II # - Buick 5500 cc N/A,2,O2L,Max Balchowsky (USA),Open bodywork,Front-engined,Bob Drake (USA),NA,NA,NA,01/09/2003,Don Dean Sheffield,Ol'Yaller,Mk II,#,NA,Result: 2nd (32s0000 behind the winner)Grid: (2:07.8100),2nd (32s0000 behind the winner)Grid: (2:07.8100),finished,NA,NA,32s0000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-070.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-070.jpg,https://www.racingsportscars.com/make/photo/Ol%27Yaller.html,https://www.racingsportscars.com/type/photo/Ol%27Yaller/Mk%20II.html,https://www.racingsportscars.com/chassis/photo/OlYaller-Mk2.html,NA
riverside,1960-10-16,15,Scarab Mk II #002 (Troutman-Barnes) - Chevrolet V8 5700 cc N/A,3,O2L,Meister Brauser (USA),Open bodywork,Front-engined,Augie Pabst (USA),NA,blue (+white),NA,01/09/2003,Don Dean Sheffield,Scarab,Mk II,#002,NA,Result: 3rd (34s0000 behind the winner)Grid: (2:05.1500),3rd (34s0000 behind the winner)Grid: (2:05.1500),finished,NA,NA,34s0000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-015.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-015.jpg,https://www.racingsportscars.com/make/photo/Scarab.html,https://www.racingsportscars.com/type/photo/Scarab/Mk%20II.html,https://www.racingsportscars.com/chassis/photo/Scarab%20002.html,NA
riverside,1960-10-16,3,Maserati Tipo 61 Longtail #2451 - Maserati L4 2v DOHC 2890 cc N/A,4,O2L,J. Frank Harrison (USA),Open bodywork,Front-engined,Jim Jeffords (USA),NA,silver,NA,01/09/2003,Don Dean Sheffield,Maserati,Tipo 61,#2451,Longtail,Result: 4th (1m20s0000 behind the winner)Grid: (2:05.9300),4th (1m20s0000 behind the winner)Grid: (2:05.9300),finished,NA,NA,1m20s0000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-003.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-003.jpg,https://www.racingsportscars.com/make/photo/Maserati.html,https://www.racingsportscars.com/type/photo/Maserati/Tipo%2061.html,https://www.racingsportscars.com/chassis/photo/2451%20%5bTipo%2060%5d.html,https://www.racingsportscars.com/suffix/photo/Maserati/Tipo%2061/Longtail.html
riverside,1960-10-16,98,Maserati Tipo 61 #2467 - Maserati no:2467 L4 2v DOHC 2890 cc N/A,5,O2L,J. Frank Harrison (USA),Open bodywork,Front-engined,Carroll Shelby (USA),CARROLL SHELBY,red,NA,22/02/2007,Pete Vanlaw Tam's Old Race Car Site,Maserati,Tipo 61,#2467,NA,Result: 5th (1m50s0000 behind the winner)Grid: (2:05.1800),5th (1m50s0000 behind the winner)Grid: (2:05.1800),finished,NA,NA,1m50s0000 behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-098.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-098.jpg,https://www.racingsportscars.com/make/photo/Maserati.html,https://www.racingsportscars.com/type/photo/Maserati/Tipo%2061.html,https://www.racingsportscars.com/chassis/photo/2467%20%5bTipo%2061%5d.html,NA
riverside,1960-10-16,11,Cooper Monaco T49 # - Climax FPF L4 2v DOHC 2496 cc N/A,6,O2L,Ecurie Ecosse (GB),Open bodywork,Mid-engined,Roy Salvadori (GB),NA,NA,NA,01/09/2003,Don Dean Sheffield,Cooper,Monaco,#,T49,Result: 6th (1 lap behind the winner)Grid: (2:06.8000),6th (1 lap behind the winner)Grid: (2:06.8000),finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-011.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-011.jpg,https://www.racingsportscars.com/make/photo/Cooper.html,https://www.racingsportscars.com/type/photo/Cooper/Monaco.html,https://www.racingsportscars.com/chassis/photo/T49-Salvadori%23.html,https://www.racingsportscars.com/suffix/photo/Cooper/Monaco/T49.html
riverside,1960-10-16,2,Ferrari 250 TR Fantuzzi Spyder 59/60 #0774TR - Ferrari Tipo 128 LM V12/60° 2v SOHC 2953 cc N/A,7,O2L,Eleanor Von Neumann (USA),Open bodywork,Front-engined,Phil Hill (USA),NA,red,NA,01/09/2003,Don Dean Sheffield,Ferrari,250 TR,#0774TR,Fantuzzi Spyder 59/60,Result: 7th (1 lap behind the winner)Grid: (2:06.9700),7th (1 lap behind the winner)Grid: (2:06.9700),finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-002.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-002.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20TR.html,https://www.racingsportscars.com/chassis/photo/0774TR%20%5b250TR%5d.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20TR/Fantuzzi%20Spyder%2059__60.html
riverside,1960-10-16,61,Maserati Tipo 60 #2468 - Maserati no:2468 L4 2v DOHC 1990 cc N/A,8,U2L,The Momo Corp. (USA),Open bodywork,Front-engined,"Walt Hansgen (USA)listed, never drove: Briggs Cunningham (USA)",NA,NA,NA,01/09/2003,Don Dean Sheffield,Maserati,Tipo 60,#2468,NA,Result: 8th 1st in U2L (1 lap behind the winner)Grid: (2:08.2600),8th 1st in U2L (1 lap behind the winner)Grid: (2:08.2600),finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-061.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-061.jpg,https://www.racingsportscars.com/make/photo/Maserati.html,https://www.racingsportscars.com/type/photo/Maserati/Tipo%2060.html,https://www.racingsportscars.com/chassis/photo/2468%20%5bTipo%2060%5d.html,NA
riverside,1960-10-16,166,Maserati 450S #4508 - Maserati no.4511 V8 5700 cc N/A,9,O2L,Carroll Shelby Sports Cars (USA),Open bodywork,Front-engined,Jim Hall (USA),NA,NA,NA,01/09/2003,Don Dean Sheffield,Maserati,450S,#4508,NA,Result: 9th (1 lap behind the winner)Grid:,9th (1 lap behind the winner)Grid:,finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-166.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-166.jpg,https://www.racingsportscars.com/make/photo/Maserati.html,https://www.racingsportscars.com/type/photo/Maserati/450S.html,https://www.racingsportscars.com/chassis/photo/4508%20%5bTipo%2054%5d.html,NA
riverside,1960-10-16,60,Jaguar E 2A #E2A - Jaguar XK L6 2v DOHC 3780 cc N/A,10,O2L,"Jaguar of New York Distrbs., Inc",Open bodywork,Front-engined,Jack Brabham (AUS),NA,white (+blue),NA,01/09/2003,Don Dean Sheffield,Jaguar,E 2A,#E2A,NA,Result: 10th (1 lap behind the winner)Grid: (2:10.2000),10th (1 lap behind the winner)Grid: (2:10.2000),finished,NA,NA,1 lap behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Riverside-1960-10-16-060.jpg,https://www.racingsportscars.com/photo/1960/Riverside-1960-10-16-060.jpg,https://www.racingsportscars.com/make/photo/Jaguar.html,https://www.racingsportscars.com/type/photo/Jaguar/E%202A.html,https://www.racingsportscars.com/chassis/photo/E2A.html,NA
