track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,chassis,suffix,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,chassis_url,suffix_url
watkins_glen,1981-07-12,1,Lancia Beta Montecarlo Turbo #1007 (Dallara) - Lancia L4 4v DOHC 1425 cc KKK,1,Gr.5,Martini Racing (I),Closed bodywork,Mid-engined,Riccardo Patrese (I)/Michele Alboreto (I),MARTINI,white (+blue/red),Pirelli,17/11/2016,"Mike Strohmeyer, Randy McKee and Kurt Ahnert",Lancia,Beta Montecarlo Turbo,#1007,NA,Result: winner - (156.499 kph) - margin: 2 lapsGrid: 4th (1:51.1610),winner - (156.499 kph) - margin: 2 lapsGrid: 4th (1:51.1610),finished,4,1:51.1610,156.499 kph,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Watkins_Glen-1981-07-12-001.jpg,https://www.racingsportscars.com/photo/1981/Watkins_Glen-1981-07-12-001.jpg,https://www.racingsportscars.com/make/photo/Lancia.html,https://www.racingsportscars.com/type/photo/Lancia/Beta%20Montecarlo%20Turbo.html,https://www.racingsportscars.com/chassis/photo/1007%20%5bMontecarlo%5d.html,NA
watkins_glen,1981-07-12,5,Lancia Beta Montecarlo Turbo #1005 (Dallara) - Lancia L4 4v DOHC 1425 cc KKK,2,Gr.5,Martini Racing (I),Closed bodywork,Mid-engined,Andrea de Cesaris (I)/Henri Pescarolo (F),MARTINI,white (+blue/red),Pirelli,11/01/2009,Randy McKee,Lancia,Beta Montecarlo Turbo,#1005,NA,Result: 2nd (2 laps behind the winner)Grid: 6th (1:52.2060),2nd (2 laps behind the winner)Grid: 6th (1:52.2060),finished,6,1:52.2060,2 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Watkins_Glen-1981-07-12-005.jpg,https://www.racingsportscars.com/photo/1981/Watkins_Glen-1981-07-12-005.jpg,https://www.racingsportscars.com/make/photo/Lancia.html,https://www.racingsportscars.com/type/photo/Lancia/Beta%20Montecarlo%20Turbo.html,https://www.racingsportscars.com/chassis/photo/1005%20%5bMontecarlo%5d.html,NA
watkins_glen,1981-07-12,9,Porsche 935 K3/80 #009 00030 - Porsche F6 2v SOHC Twin-Turbo,3,Gr.5,Garretson Racing (USA),Closed bodywork,Rear-engined,Rick Mears (USA)/Bob Garretson (USA)/Johnny Rutherford (USA),STYLE AUTO,black (+yellow/green),Goodyear,17/11/2016,Mike Strohmeyer and Kurt Ahnert,Porsche,935,#009 00030,K3/80,Result: 3rd (5 laps behind the winner)Grid: 11th (1:55.3700),3rd (5 laps behind the winner)Grid: 11th (1:55.3700),finished,11,1:55.3700,5 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Watkins_Glen-1981-07-12-009.jpg,https://www.racingsportscars.com/photo/1981/Watkins_Glen-1981-07-12-009.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/009%2000030.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K3__80.html
watkins_glen,1981-07-12,11,Porsche 935 K3/80 #000 00011 (Kremer) - Porsche F6 2v SOHC Turbo,4,Gr.5,John Fitzpatrick Racing (GB),Closed bodywork,Rear-engined,John Fitzpatrick (GB)/Jim Busby (USA),SACHS/COX,white (+blue),NA,10/11/2014,Mike Strohmeyer and Randy McKee,Porsche,935,#000 00011,K3/80,Result: 4th (13 laps behind the winner)Grid: 13th (1:58.0930),4th (13 laps behind the winner)Grid: 13th (1:58.0930),finished,13,1:58.0930,13 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Watkins_Glen-1981-07-12-011.jpg,https://www.racingsportscars.com/photo/1981/Watkins_Glen-1981-07-12-011.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/000%2000011.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K3__80.html
watkins_glen,1981-07-12,22,Porsche 935 K3 #DMV 470 12CA=>930 770 0960° (AIR) - Porsche F6 2v SOHC Twin-Turbo,5,Gr.5,Marty Hinze Racing (USA),Closed bodywork,Rear-engined,Marty Hinze (USA)/Dale Whittington (USA)/Preston Henn (USA),Marty Hinze Racing/BBS,white (+dark green/yellow),NA,10/07/2008,Marty Hinze,Porsche,935,#DMV 470 12CA=>930 770 0960°,K3,Result: 5th (16 laps behind the winner)Grid: 15th (1:58.3230),5th (16 laps behind the winner)Grid: 15th (1:58.3230),finished,15,1:58.3230,16 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Watkins_Glen-1981-07-12-022.jpg,https://www.racingsportscars.com/photo/1981/Watkins_Glen-1981-07-12-022.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/930%20770%200960.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K3.html
watkins_glen,1981-07-12,30,Porsche 935/78-81 #JR-001 (Joest) - Porsche 930/79 F6 2v SOHC 3124 cc Turbo,6,Gr.5,"Momo Accessories, Inc. (I)",Closed bodywork,Rear-engined,Gianpiero Moretti (I)/Bobby Rahal (USA),momo/PENTHOUSE,red (+yellow),Goodyear,10/11/2014,Randy McKee and Mike Strohmeyer,Porsche,935,#JR-001,/78-81,Result: 6th (16 laps behind the winner)Grid: 3rd (1:49.2710),6th (16 laps behind the winner)Grid: 3rd (1:49.2710),finished,3,1:49.2710,16 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Watkins_Glen-1981-07-12-030.jpg,https://www.racingsportscars.com/photo/1981/Watkins_Glen-1981-07-12-030.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/935__81%20JR-001.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/__78-81.html
watkins_glen,1981-07-12,91,Porsche 934 #930 670 0167 - Porsche F6 2v SOHC Turbo,7,GTO,"Electrodyne, Inc. (USA)",Closed bodywork,Rear-engined,Chester Vincentz (USA)/Lance Van Every (USA)/John Wood (USA),NA,red,NA,NA,NA,Porsche,934,#930 670 0167,NA,Result: 7th 1st in GTO (17 laps behind the winner)Grid: 20th (2:05.2320),7th 1st in GTO (17 laps behind the winner)Grid: 20th (2:05.2320),finished,20,2:05.2320,17 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/934.html,https://www.racingsportscars.com/chassis/photo/930%20670%200167.html,NA
watkins_glen,1981-07-12,43,Porsche 935 K3/80 #000 00013 (Kremer) - Porsche F6 2v SOHC Turbo,8,Gr.5,"Bob Akin Motor Racing, Inc. (USA)",Closed bodywork,Rear-engined,Bob Akin (USA)/Craig Siebert (USA)/Vivian Candy (IRL),Coca-Cola/METCAR/AIR FLORIDA/HUDSON WIRE,red,NA,10/11/2014,Mike Strohmeyer,Porsche,935,#000 00013,K3/80,Result: 8th (27 laps behind the winner)Grid: 10th (1:55.1960),8th (27 laps behind the winner)Grid: 10th (1:55.1960),finished,10,1:55.1960,27 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1981/TN_Watkins_Glen-1981-07-12-043.jpg,https://www.racingsportscars.com/photo/1981/Watkins_Glen-1981-07-12-043.jpg,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/935.html,https://www.racingsportscars.com/chassis/photo/000%2000013.html,https://www.racingsportscars.com/suffix/photo/Porsche/935/K3__80.html
watkins_glen,1981-07-12,13,Porsche 911 Carrera # - Porsche F6 2v SOHC N/A,9,GTO,Southard Motor Racing (USA),Closed bodywork,Rear-engined,Steve Southard (USA)/Mark Altman (USA)/Gary Altman (USA),NA,white/bronze,NA,NA,NA,Porsche,911 Carrera,#,NA,Result: 9th (27 laps behind the winner)Grid: 25th (2:13.7410),9th (27 laps behind the winner)Grid: 25th (2:13.7410),finished,25,2:13.7410,27 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/chassis/photo/911-Southard%23.html,NA
watkins_glen,1981-07-12,26,Porsche 911 Carrera RSR #911 230 0030 - Porsche F6 2v SOHC N/A,10,GTO,Roe/Selby Racing (USA),Closed bodywork,Rear-engined,Tim Selby (USA)/Earl Roe (USA),NA,yellow,NA,NA,NA,Porsche,911 Carrera,#911 230 0030,RSR,Result: 10th (35 laps behind the winner)Grid: 26th (2:14.9800),10th (35 laps behind the winner)Grid: 26th (2:14.9800),finished,26,2:14.9800,35 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/911%20Carrera.html,https://www.racingsportscars.com/chassis/photo/911%20230%200030.html,https://www.racingsportscars.com/suffix/photo/Porsche/911%20Carrera/RSR.html
