position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,1,"Ogier, Sebastien",Toyota GR Yaris Rally1,FR,Rally1,"2h 43m 18,9s",NA,NA,NA
2,33,"Evans, Elfyn",Toyota GR Yaris Rally1,GB,Rally1,"+19,9s",NA,NA,NA
3,5,"Pajari, Sami",Toyota GR Yaris Rally1,FI,Rally1,"+1m 40,8s",NA,NA,NA
4,18,"Katsuta, Takamoto",Toyota GR Yaris Rally1,JP,Rally1,"+1m 51,2s",NA,NA,NA
5,16,"Fourmaux, Adrien",Hyundai i20 N Rally1,FR,Rally1,"+3m 29,5s",NA,NA,NA
6,11,"Neuville, Thierry",Hyundai i20 N Rally1,BE,Rally1,"+3m 41,0s",NA,NA,NA
7,6,"Sordo Castillo, Daniel",Hyundai i20 N Rally1,ES,Rally1,"+3m 57,7s",NA,NA,NA
8,55,"McErlean, Joshua",Ford Puma Rally1,IE,Rally1,"+6m 45,4s",NA,NA,NA
9,29,"Rossel, Yohan",Lancia Ypsilon,FR,Rally2,"+7m 24,3s",NA,NA,NA
10,31,"Cachon Rodriguez, Alejandro",Toyota Yaris,ES,Rally2,"+7m 49,4s",NA,NA,NA
11,95,"Armstrong, Jon",Ford Puma Rally1,GB,Rally1,"+7m 52,2s",NA,NA,NA
12,25,"Camilli, Eric",Skoda Fabia,FR,Rally2,"+8m 15,5s",NA,NA,NA
13,22,"Dapra, Roberto",Skoda Fabia,IT,Rally2,"+8m 24,9s",NA,NA,NA
14,20,"Rossel, Leo",Citroen C3,FR,Rally2,"+8m 26,6s",NA,NA,NA
15,27,"Gryazin, Nikolay",Lancia Ypsilon,RU,Rally2,"+8m 33,8s",NA,NA,NA
16,32,"Solans Baldo, Jan",Skoda Fabia,ES,Rally2,"+9m 17,3s",NA,NA,NA
17,34,"Lindholm, Emil",Skoda Fabia,FI,Rally2,"+9m 29,9s",NA,NA,NA
18,36,"Cruz, Enrique",Toyota Yaris,ES,Rally2,"+10m 05,9s",NA,NA,NA
19,39,"Johansson, Mille",Skoda Fabia,SE,Rally2,"+10m 08,7s",NA,NA,NA
20,42,"Sarrazin, Pablo",Citroen C3,FR,Rally2,"+10m 23,0s",NA,NA,NA
21,26,"Dominguez Jr., Diego",Toyota Yaris,PY,Rally2,"+10m 34,9s",NA,NA,NA
