position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,1,"Ogier, Sebastien",Toyota GR Yaris Rally1,FR,Rally1,"2h 44m 43,9s",NA,NA,NA
2,11,"Neuville, Thierry",Hyundai i20 N Rally1,BE,Rally1,"+16,4s",NA,NA,NA
3,69,"Rovanpera, Kalle",Toyota GR Yaris Rally1,FI,Rally1,"+34,5s",NA,NA,NA
4,8,"Tanak, Ott",Hyundai i20 N Rally1,EE,Rally1,"+44,0s",NA,NA,NA
5,6,"Sordo Castillo, Daniel",Hyundai i20 N Rally1,ES,Rally1,"+1m 16,5s",NA,NA,NA
6,33,"Evans, Elfyn",Toyota GR Yaris Rally1,GB,Rally1,"+1m 51,1s",NA,NA,NA
7,18,"Katsuta, Takamoto",Toyota GR Yaris Rally1,JP,Rally1,"+2m 19,1s",NA,NA,NA
8,16,"Fourmaux, Adrien",Ford Puma Rally1,FR,Rally1,"+2m 38,4s",NA,NA,NA
9,42,"Breen, Craig",Ford Puma Rally1,IE,Rally1,"+2m 43,0s",NA,NA,NA
10,7,"Loubet, Pierre-Louis",Ford Puma Rally1,FR,Rally1,"+3m 25,1s",0:10,NA,NA
11,21,"Suninen, Teemu",Hyundai i20,FI,Rally2,"+9m 45,7s",NA,NA,NA
12,20,"Rossel, Yohan",Citroen C3,FR,Rally2,"+10m 18,2s",NA,NA,NA
13,24,"Gryazin, Nikolay",Skoda Fabia,RU,Rally2,"+10m 39,0s",NA,NA,NA
14,22,"Lindholm, Emil",Skoda Fabia,FI,Rally2,"+11m 18,3s",NA,NA,NA
15,25,"Huttunen, Jari",Ford Fiesta,FI,Rally2,"+11m 42,8s",NA,NA,NA
16,23,"Kajetanowicz, Kajetan",Skoda Fabia,PL,Rally2,"+11m 56,2s",NA,NA,NA
17,34,"Pajari, Sami",Skoda Fabia,FI,Rally2,"+12m 38,3s",NA,NA,NA
18,41,"Zaldivar Zuccolillo, Fabrizio",Hyundai i20,PY,Rally2,"+13m 10,2s",NA,NA,NA
19,28,"Solans Baldo, Jan",Citroen C3,ES,Rally2,"+13m 16,3s",NA,NA,NA
