position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,33,"Evans, Elfyn",Toyota GR Yaris Rally1,GB,Rally1,"2h 50m 54,3s",NA,NA,NA
2,8,"Tanak, Ott",Ford Puma Rally1,EE,Rally1,"+27,0s",NA,NA,NA
3,4,"Lappi, Esapekka",Hyundai i20 N Rally1,FI,Rally1,"+58,6s",NA,NA,NA
4,69,"Rovanpera, Kalle",Toyota GR Yaris Rally1,FI,Rally1,"+1m 18,3s",NA,NA,NA
5,17,"Ogier, Sebastien",Toyota GR Yaris Rally1,FR,Rally1,"+1m 28,0s",1:10,NA,NA
6,18,"Katsuta, Takamoto",Toyota GR Yaris Rally1,JP,Rally1,"+2m 22,5s",NA,NA,NA
7,7,"Loubet, Pierre-Louis",Ford Puma Rally1,FR,Rally1,"+4m 22,6s",NA,NA,NA
8,21,"Rossel, Yohan",Citroen C3,FR,Rally2,"+7m 51,3s",NA,NA,NA
9,24,"Gryazin, Nikolay",Skoda Fabia,RU,Rally2,"+8m 07,4s",NA,NA,NA
10,20,"Solberg, Oliver",Skoda Fabia,SE,Rally2,"+9m 16,7s",NA,NA,NA
11,22,"Lindholm, Emil",Skoda Fabia,FI,Rally2,"+9m 18,8s",NA,NA,NA
12,25,"Fourmaux, Adrien",Ford Fiesta,FR,Rally2,"+10m 09,8s",NA,NA,NA
13,26,"Pajari, Sami",Skoda Fabia,FI,Rally2,"+10m 17,9s",0:10,NA,NA
14,23,"Greensmith, Fergus",Skoda Fabia,GB,Rally2,"+13m 03,7s",NA,NA,NA
15,32,"Kremer, Armin",Skoda Fabia,DE,Rally2,"+19m 15,5s",NA,NA,NA
16,37,"Herczig, Norbert",Skoda Fabia,HU,Rally2,"+21m 10,8s",NA,NA,NA
17,54,"Turk, Rok",Hyundai i20,SI,Rally2,"+24m 24,4s",NA,NA,NA
