position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,1,"Ogier, Sebastien",Ford Fiesta RS WRC 2017,FR,RC1,"4h 18m 55,5s",NA,NA,NA
2,8,"Tanak, Ott",Toyota Yaris WRC,EE,RC1,"+58,3s",NA,NA,NA
3,7,"Latvala, Jari-Matti",Toyota Yaris WRC,FI,RC1,"+1m 52,0s",NA,NA,NA
4,10,"Meeke, Kris",Citroen C3 WRC,GB,RC1,"+4m 43,1s",NA,NA,NA
5,5,"Neuville, Thierry",Hyundai i20 Coupe WRC,BE,RC1,"+4m 53,8s",NA,NA,NA
6,2,"Evans, Elfyn",Ford Fiesta RS WRC 2017,GB,RC1,"+4m 54,8s",NA,NA,NA
7,9,"Lappi, Esapekka",Toyota Yaris WRC,FI,RC1,"+4m 57,5s",NA,NA,NA
8,3,"Bouffier, Bryan",Ford Fiesta RS WRC 2017,FR,RC1,"+7m 39,5s",NA,NA,NA
9,11,"Breen, Craig",Citroen C3 WRC,IE,RC1,"+9m 06,7s",0:10,NA,NA
10,32,"Kopecky, Jan",Skoda Fabia,CZ,RC2,"+16m 43,0s",NA,NA,NA
11,73,"Rovanpera, Kalle",Skoda Fabia,FI,RC2,"+21m 58,3s",NA,NA,NA
12,72,"Burri, Olivier",Skoda Fabia,CH,RC2,"+30m 11,9s",NA,NA,NA
13,4,"Mikkelsen, Andreas",Hyundai i20 Coupe WRC,NO,RC1,"+36m 52,3s",0:10,NA,NA
14,36,"Sciessere, Eddie",Citroen DS3,IT,RC2,"+39m 30,7s",NA,NA,NA
15,92,"Bonato, Yoann",Peugeot 208,FR,RC4,"+43m 09,1s",NA,NA,NA
16,18,"Villa, Manuel",Ford Fiesta RS WRC,IT,RC1,"+45m 24,4s",0:20,NA,NA
17,95,"Latil, Nicolas",Peugeot 208,FR,RC4,"+49m 59,3s",NA,NA,NA
18,33,"Suninen, Teemu",Ford Fiesta,FI,RC2,"+50m 14,1s",NA,NA,NA
19,35,"de Mevius, Guillaume",Peugeot 208,BE,RC2,"+50m 29,1s",NA,NA,NA
20,61,"Brazzoli, Enrico",Peugeot 208,IT,RC4,"+1h 03m 07,5s",NA,NA,NA
21,82,"Boland, Eamonn",Ford Fiesta,IE,RC2,"+1h 03m 52,5s",5:10,NA,NA
22,108,"Scherrer, Laurent",Peugeot 208,FR,RC4,"+1h 06m 52,7s",6:00,NA,NA
23,101,"Jocius, Deividas",Peugeot 208,LT,RC4,"+1h 07m 19,3s",NA,NA,NA
