position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,17,"Ogier, Sebastien",Toyota Yaris WRC,FR,RC1,"2h 15m 51,0s",NA,NA,NA
2,8,"Tanak, Ott",Hyundai i20 Coupe WRC,EE,RC1,"+13,9s",NA,NA,NA
3,6,"Sordo Castillo, Daniel",Hyundai i20 Coupe WRC,ES,RC1,"+15,3s",0:10,NA,NA
4,4,"Lappi, Esapekka",Ford Fiesta RS WRC 2017,FI,RC1,"+45,7s",0:10,NA,NA
5,69,"Rovanpera, Kalle",Toyota Yaris WRC,FI,RC1,"+1m 11,1s",NA,NA,NA
6,34,"Mikkelsen, Andreas",Skoda Fabia,NO,RC2,"+3m 56,2s",NA,NA,NA
7,27,"Solberg, Oliver",Skoda Fabia,SE,RC2,"+4m 12,1s",NA,NA,NA
8,25,"Huttunen, Jari",Hyundai i20,FI,RC2,"+5m 15,4s",NA,NA,NA
9,21,"Ostberg, Mads",Citroen C3,NO,RC2,"+5m 27,4s",NA,NA,NA
10,20,"Tidemand, Pontus",Skoda Fabia,SE,RC2,"+5m 53,0s",NA,NA,NA
11,28,"Lindholm, Emil",Skoda Fabia,FI,RC2,"+5m 54,0s",NA,NA,NA
12,56,"Lefebvre, Stephane",Citroen C3,FR,RC2,"+6m 38,0s",NA,NA,NA
13,23,"Kopecky, Jan",Skoda Fabia,CZ,RC2,"+6m 50,8s",NA,NA,NA
14,26,"Kajetanowicz, Kajetan",Skoda Fabia,PL,RC2,"+7m 34,5s",NA,NA,NA
15,55,"Abbring, Kevin",Volkswagen Polo,NL,RC2,"+7m 41,0s",NA,NA,NA
16,24,"Bulacia Wilkinson, Marco",Citroen C3,BO,RC2,"+8m 47,8s",NA,NA,NA
17,36,"McErlean, Joshua",Hyundai i20,IE,RC2,"+9m 04,3s",NA,NA,NA
18,35,"de Cecco, Cedric",Skoda Fabia,BE,RC2,"+11m 02,7s",NA,NA,NA
19,52,"Perico, Alessandro",Skoda Fabia,IT,RC2,"+11m 20,9s",NA,NA,NA
20,18,"Katsuta, Takamoto",Toyota Yaris WRC,JP,RC1,"+11m 50,3s",NA,NA,NA
21,78,"Engel, Maro",Skoda Fabia,DE,RC2,"+11m 57,4s",NA,NA,NA
22,63,"Miele, Mauro",Skoda Fabia,IT,RC2,"+13m 37,7s",NA,NA,NA
23,37,"Ogliari, Giacomo",Citroen C3,IT,RC2,"+14m 17,8s",NA,NA,NA
24,57,"Richelmi, Stephane",Volkswagen Polo,MC,RC2,"+14m 41,3s",NA,NA,NA
