position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,1,"Ogier, Sebastien",Volkswagen Polo R WRC,FR,RC1,"2h 26m 11,5s",NA,NA,NA
2,9,"Mikkelsen, Andreas",Volkswagen Polo R WRC,NO,RC1,"+11,9s",NA,NA,NA
3,6,"Tanak, Ott",Ford Fiesta RS WRC,EE,RC1,"+23,0s",NA,NA,NA
4,20,"Paddon, Hayden",Hyundai i20 WRC,NZ,RC1,"+1m 14,6s",NA,NA,NA
5,2,"Latvala, Jari-Matti",Volkswagen Polo R WRC,FI,RC1,"+1m 24,7s",0:40,NA,NA
6,7,"Neuville, Thierry",Hyundai i20 WRC,BE,RC1,"+1m 44,5s",NA,NA,NA
7,3,"Meeke, Kris",Citroen DS3 WRC,GB,RC1,"+1m 57,7s",NA,NA,NA
8,14,"Kubica, Robert",Ford Fiesta RS WRC,PL,RC1,"+2m 08,3s",NA,NA,NA
9,4,"Ostberg, Mads",Citroen DS3 WRC,NO,RC1,"+2m 18,2s",0:10,NA,NA
10,8,"Sordo Castillo, Daniel",Hyundai i20 WRC,ES,RC1,"+2m 48,4s",NA,NA,NA
11,21,"Prokop, Martin",Ford Fiesta RS WRC,CZ,RC1,"+4m 43,3s",NA,NA,NA
12,43,"Lappi, Esapekka",Skoda Fabia,FI,RC2,"+5m 51,1s",NA,NA,NA
13,40,"Tidemand, Pontus",Skoda Fabia,SE,RC2,"+6m 47,2s",NA,NA,NA
14,36,"Kruuda, Karl",Citroen DS3,EE,RC2,"+7m 56,4s",NA,NA,NA
15,10,"Abbring, Kevin",Hyundai i20 WRC,NL,RC1,"+8m 37,7s",NA,NA,NA
16,37,"Bertelli, Lorenzo",Ford Fiesta RS WRC,IT,RC1,"+8m 46,0s",NA,NA,NA
17,38,"Ketomaa, Jari",Ford Fiesta,FI,RC2,"+10m 45,2s",NA,NA,NA
18,44,"Kremer, Armin",Skoda Fabia,DE,RC2,"+11m 03,0s",NA,NA,NA
19,76,"Suninen, Teemu",Skoda Fabia Super 2000,FI,RC2,"+11m 16,7s",NA,NA,NA
20,41,"Fuchs Sierlecki, Nicolas",Ford Fiesta,PE,RC2,"+12m 29,5s",NA,NA,NA
