position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,6,"Sordo Castillo, Daniel",Hyundai i20 Coupe WRC,ES,RC1,"3h 32m 27,2s",NA,NA,NA
2,3,"Suninen, Teemu",Ford Fiesta RS WRC 2017,FI,RC1,+13.7s,NA,NA,NA
3,89,"Mikkelsen, Andreas",Hyundai i20 Coupe WRC,NO,RC1,"+32,6s",NA,NA,NA
4,33,"Evans, Elfyn",Ford Fiesta RS WRC 2017,GB,RC1,"+33,5s",NA,NA,NA
5,8,"Tanak, Ott",Toyota Yaris WRC,EE,RC1,"+1m 30,1s",NA,NA,NA
6,11,"Neuville, Thierry",Hyundai i20 Coupe WRC,BE,RC1,"+2m 16,7s",0:10,NA,NA
7,4,"Lappi, Esapekka",Citroen C3 WRC,FI,RC1,"+2m 59,6s",NA,NA,NA
8,5,"Meeke, Kris",Toyota Yaris WRC,GB,RC1,"+4m 40,1s",NA,NA,NA
9,22,"Rovanpera, Kalle",Skoda Fabia,FI,RC2,"+8m 24,6s",NA,NA,NA
10,23,"Kopecky, Jan",Skoda Fabia,CZ,RC2,"+8m 49,2s",NA,NA,NA
11,49,"Loubet, Pierre-Louis",Skoda Fabia,FR,RC2,"+11m 13,0s",NA,NA,NA
12,46,"Kajetanowicz, Kajetan",Volkswagen Polo,PL,RC2,"+11m 54,7s",NA,NA,NA
13,50,"Tempestini, Simone",Hyundai i20,IT,RC2,"+12m 07,6s",NA,NA,NA
14,45,"Bulacia Wilkinson, Marco",Skoda Fabia,BO,RC2,"+12m 26,5s",NA,NA,NA
15,26,"Prokop, Martin",Ford Fiesta RS WRC,CZ,RC1,"+15m 07,4s",NA,NA,NA
16,101,"Rossetti, Luca",Citroen C3,IT,RC2,"+16m 06,4s",NA,NA,NA
17,100,"Basso, Giandomenico",Skoda Fabia,IT,RC2,"+16m 09,0s",NA,NA,NA
18,21,"Ostberg, Mads",Citroen C3,NO,RC2,"+17m 23,2s",NA,NA,NA
19,10,"Latvala, Jari-Matti",Toyota Yaris WRC,FI,RC1,"+20m 36,0s",NA,NA,NA
20,42,"Veiby, Ole Christian",Volkswagen Polo,NO,RC2,"+23m 34,7s",NA,NA,NA
21,72,"Solans Baldo, Jan",Ford Fiesta,ES,RC4,"+30m 09,0s",NA,NA,NA
22,73,"Radstrom, Dennis",Ford Fiesta,SE,RC4,"+30m 23,9s",NA,NA,NA
23,71,"Kristensson, Tom",Ford Fiesta,SE,RC4,"+33m 36,2s",NA,NA,NA
24,79,"Badiu, Raul",Ford Fiesta,UY,RC4,"+34m 46,5s",NA,NA,NA
25,76,"Sesks, Martins",Ford Fiesta,LV,RC4,"+35m 43,9s",NA,NA,NA
26,74,"Tannert, Julius",Ford Fiesta,DE,RC4,"+36m 50,8s",3:40,NA,NA
27,96,"von Thurn und Taxis, Albert",Skoda Fabia,DE,RC2,"+37m 45,5s",NA,NA,NA
28,80,"Zaldivar Zuccolillo, Fabrizio",Ford Fiesta,PY,RC4,"+39m 07,9s",NA,NA,NA
29,95,"Marrone, Francesco",Peugeot 208,IT,RC2,"+47m 51,8s",NA,NA,NA
30,78,"Oldrati, Enrico",Ford Fiesta,IT,RC4,"+47m 53,6s",NA,NA,NA
31,81,"Knacker, Nico",Ford Fiesta,DE,RC4,"+50m 02,9s",0:10,NA,NA
32,102,"Crugnola, Andrea",Skoda Fabia,IT,RC2,"+50m 40,1s",NA,NA,NA
33,91,"Arengi Bentivoglio, Fabrizio",Skoda Fabia,IT,RC2,"+52m 30,5s",0:10,NA,NA
34,48,"de Mevius, Guillaume",Citroen C3,BE,RC2,"+55m 13,1s",NA,NA,NA
35,137,"Martinez, Giovanni",Ford Fiesta,IT,RC4,"+55m 26,7s",NA,NA,NA
36,134,"Fourmaux, Adrien",Ford Fiesta,FR,RC4,"+58m 35,4s",NA,NA,NA
37,44,"Andolfi, Fabio",Skoda Fabia,IT,RC2,"+1h 05m 43,9s",NA,NA,NA
38,143,"Ciato, Sebastiano",Peugeot 208,IT,RC4,"+1h 07m 31,0s",NA,NA,NA
39,99,"Campedelli, Simone",Ford Fiesta,IT,RC2,"+1h 09m 12,4s",1:50,NA,NA
40,120,"Pollara, Marco",Ford Fiesta,IT,RC4,"+1h 16m 13,7s",0:20,NA,NA
41,1,"Ogier, Sebastien",Citroen C3 WRC,FR,RC1,"+1h 22m 58,5s",6:10,NA,NA
42,24,"Greensmith, Fergus",Ford Fiesta,GB,RC2,"+1h 25m 35,6s",0:40,NA,NA
43,116,"Maspoli, Luca",Mitsubishi Lancer Evo IX,CH,ASN,"+1h 31m 10,9s",0:10,NA,NA
44,144,"Toninelli, Wiliam",Renault Twingo,IT,RC4,"+1h 32m 20,3s",0:20,NA,NA
45,127,"Liceri, Michele",Peugeot 208,IT,RC4,"+1h 34m 36,1s",1:10,NA,NA
46,129,"Gallu, Andrea",Peugeot 208,IT,RC4,"+1h 35m 32,0s",0:10,NA,NA
47,135,"Leoni, Alessandro",Peugeot 208,IT,RC4,"+1h 51m 01,0s",0:40,NA,NA
48,140,"Pedala, Massimiliano",Peugeot 208,IT,RC4,"+2h 02m 39,9s",NA,NA,NA
49,147,"Donadio, Raffaele",Citroen DS3,IT,RC5,"+2h 16m 41,0s",0:20,NA,NA
NA,41,"Katsuta, Takamoto",Ford Fiesta,JP,RC2,NA,NA,TC16A,mechanical
NA,43,"Gryazin, Nikolay",Skoda Fabia,RU,RC2,NA,NA,SS10,mechanical
NA,51,"Solans Baldo, Nil",Ford Fiesta,ES,RC2,NA,NA,SS16,mechanical
NA,69,"Hanninen, Juho",Toyota Yaris WRC,FI,RC1,NA,NA,TC18A,mechanical
NA,75,"Williams, Tom",Ford Fiesta,GB,RC4,NA,NA,TC19A,mechanical
NA,77,"Johnston, Sean",Ford Fiesta,US,RC4,NA,NA,TC18,mechanical
NA,93,"Pusceddu, Giancarlo",Skoda Fabia,IT,RC2,NA,NA,TC9D,mechanical
NA,94,"Bitti, Giovanni",Skoda Fabia,IT,RC2,NA,NA,TC12A,mechanical
NA,97,"Biolghini, Pablo",Skoda Fabia,IT,RC2,NA,NA,TC9D,unknown
NA,98,"Dettori, Giuseppe",Skoda Fabia,IT,RC2,NA,NA,TC16,mechanical
NA,103,"Scandola, Umberto",Hyundai i20,IT,RC2,NA,NA,TC9D,unknown
NA,104,"Dalmazzini, Andrea",Ford Fiesta,IT,RC2,NA,NA,TC9D,unknown
NA,105,"Consani, Stephane George A.",Skoda Fabia,FR,RC2,NA,NA,TC9D,unknown
NA,106,"Marchioro, Nicolo",Skoda Fabia,IT,RC2,NA,NA,TC9D,unknown
NA,107,"Hoelbling, Luca",Hyundai i20,IT,RC2,NA,NA,SS13,mechanical
NA,108,"Cobbe, Luciano",Skoda Fabia,IT,RC2,NA,NA,TC9D,unknown
NA,109,"Costenaro, Giacomo",Skoda Fabia,IT,RC2,NA,NA,SS5,accident
NA,111,"Profeta, Alessio",Skoda Fabia,IT,RC2,NA,NA,TC15D,mechanical
NA,112,"Squarcialupi, Massimo",Ford Fiesta,IT,RC2,NA,NA,TC9D,unknown
NA,113,"Tali, Francesco",Ford Fiesta,IT,RC2,NA,NA,TC9D,unknown
NA,114,"Codato, Mattia",Mitsubishi Lancer Evo X,IT,ASN,NA,NA,TC9D,unknown
NA,115,"Bardini, James",Mitsubishi Lancer Evo VII,IT,ASN,NA,NA,TC9D,unknown
NA,117,"Messori, Giuseppe",Mitsubishi Lancer Evo X,IT,ASN,NA,NA,TC9D,unknown
NA,118,"Campagnoli, Gabriele",Subaru Impreza,IT,ASN,NA,NA,TC15E,mechanical
NA,119,"Ciuffi, Tommaso",Peugeot 208,IT,RC4,NA,NA,TC15D,mechanical
NA,121,"Mazzocchi, Andrea",Ford Fiesta,IT,RC4,NA,NA,TC11,mechanical
NA,122,"Vita, Mattia",Ford Fiesta,IT,RC4,NA,NA,TC15D,mechanical
NA,123,"Testa, Giuseppe",Ford Fiesta,IT,RC4,NA,NA,TC11,mechanical
NA,124,"Bernardi, Giorgio",Ford Fiesta,IT,RC4,NA,NA,TC11,mechanical
NA,125,"Bottarelli, Luca",Ford Fiesta,IT,RC4,NA,NA,TC9D,mechanical
NA,126,"Pucella, Pasquale",Ford Fiesta,IT,RC4,NA,NA,SS10,mechanical
NA,128,"Battilani, Fabio",Peugeot 208,IT,RC4,NA,NA,TC9D,unknown
NA,130,'Barone Jr.',Peugeot 208,IT,RC4,NA,NA,TC9D,unknown
NA,132,"Leoni, Gianluca",Renault Clio,IT,RC3,NA,NA,TC17A,mechanical
NA,133,"Coti Zelati, Andrea",Citroen DS3,IT,RC3,NA,NA,TC15D,mechanical
NA,136,"Covi, Carlo",Peugeot 208,IT,RC4,NA,NA,SS16,mechanical
NA,141,"Zaldivar Jr., Miguel",Ford Fiesta,PY,RC4,NA,NA,TC11,mechanical
NA,142,"Someda, Pietro Domenico",Peugeot 208,IT,RC4,NA,NA,SS16,mechanical
NA,145,"Biondi, Sergio Emiliano",Citroen DS3,AR,RC5,NA,NA,SS18,mechanical
