position,entry_number,driver_name,car_model,nationality,homologation_group,elapsed_time,penalty_time,retirement_control,retirement_reason
1,33,"Evans, Elfyn",Toyota Yaris WRC,GB,RC1,"2h 43m 02,7s",NA,NA,NA
2,11,"Neuville, Thierry",Hyundai i20 Coupe WRC,BE,RC1,"+35,2s",NA,NA,NA
3,9,"Loeb, Sebastien",Hyundai i20 Coupe WRC,FR,RC1,"+59,4s",NA,NA,NA
4,69,"Rovanpera, Kalle",Toyota Yaris WRC,FI,RC1,"+2m 35,9s",NA,NA,NA
5,44,"Greensmith, Fergus",Ford Fiesta RS WRC 2017,GB,RC1,"+4m 08,3s",NA,NA,NA
6,4,"Lappi, Esapekka",Ford Fiesta RS WRC 2017,FI,RC1,"+5m 36,2s",NA,NA,NA
7,26,"Kajetanowicz, Kajetan",Skoda Fabia,PL,RC2,"+12m 35,5s",NA,NA,NA
8,21,"Tidemand, Pontus",Skoda Fabia,SE,RC2,"+12m 59,7s",NA,NA,NA
9,22,"Fourmaux, Adrien",Ford Fiesta,FR,RC2,"+14m 42,6s",1:00,NA,NA
10,24,"Bulacia Wilkinson, Marco",Citroen C3,BO,RC2,"+14m 46,4s",NA,NA,NA
11,28,"Avci, Yagiz",Citroen C3,TU,RC2,"+19m 51,1s",NA,NA,NA
12,31,"Heller, Alberto",Ford Fiesta,CL,RC2,"+22m 03,4s",NA,NA,NA
13,29,"Cukurova, Burak",Skoda Fabia,TU,RC2,"+24m 47,4s",NA,NA,NA
14,32,"Solans Baldo, Jan",Ford Fiesta,ES,RC2,"+31m 15,5s",NA,NA,NA
15,25,"Fernandez Piraino, Emilio Andres",Skoda Fabia,CL,RC2,"+33m 52,5s",NA,NA,NA
16,36,"Pedretti, Massimo",Ford Fiesta,IT,RC2,"+35m 30,5s",NA,NA,NA
17,8,"Tanak, Ott",Hyundai i20 Coupe WRC,EE,RC1,"+1h 13m 43,3s",NA,NA,NA
18,23,"Brynildsen, Eyvind",Skoda Fabia,NO,RC2,"+1h 21m 24,4s",NA,NA,NA
NA,3,"Suninen, Teemu",Ford Fiesta RS WRC 2017,FI,RC1,NA,NA,SS9,mechanical
NA,7,"Loubet, Pierre-Louis",Hyundai i20 Coupe WRC,FR,RC1,NA,NA,SS9,mechanical
NA,17,"Ogier, Sebastien",Toyota Yaris WRC,FR,RC1,NA,NA,SS11,mechanical
NA,30,"Soylu, Ugur",Skoda Fabia,TU,RC2,NA,NA,TC12,mechanical
NA,34,"Johnston, Sean",Citroen C3,US,RC2,NA,NA,TC2D,mechanical
NA,37,"al-Attiyah, Nasser",Ford Fiesta,QA,RC2,NA,NA,SS1,accident
